POW_SA3_CODE_2021,St_Em_NS_35_39_HW_0,St_Em_NS_35_39_HW_1_19,St_Em_NS_35_39_HW_20_29,St_Em_NS_35_39_HW_30_34,St_Em_NS_35_39_HW_35_39,St_Em_NS_35_39_HW_40_44,St_Em_NS_35_39_HW_45_49,St_Em_NS_35_39_HW_50mor,St_Em_NS_35_39_HW_NS,St_Em_NS_35_39_Tot,St_Em_NS_40_44_HW_0,St_Em_NS_40_44_HW_1_19,St_Em_NS_40_44_HW_20_29,St_Em_NS_40_44_HW_30_34,St_Em_NS_40_44_HW_35_39,St_Em_NS_40_44_HW_40_44,St_Em_NS_40_44_HW_45_49,St_Em_NS_40_44_HW_50mor,St_Em_NS_40_44_HW_NS,St_Em_NS_40_44_Tot,St_Em_NS_45_49_HW_0,St_Em_NS_45_49_HW_1_19,St_Em_NS_45_49_HW_20_29,St_Em_NS_45_49_HW_30_34,St_Em_NS_45_49_HW_35_39,St_Em_NS_45_49_HW_40_44,St_Em_NS_45_49_HW_45_49,St_Em_NS_45_49_HW_50mor,St_Em_NS_45_49_HW_NS,St_Em_NS_45_49_Tot,St_Em_NS_50_54_HW_0,St_Em_NS_50_54_HW_1_19,St_Em_NS_50_54_HW_20_29,St_Em_NS_50_54_HW_30_34,St_Em_NS_50_54_HW_35_39,St_Em_NS_50_54_HW_40_44,St_Em_NS_50_54_HW_45_49,St_Em_NS_50_54_HW_50mor,St_Em_NS_50_54_HW_NS,St_Em_NS_50_54_Tot,St_Em_NS_55_59_HW_0,St_Em_NS_55_59_HW_1_19,St_Em_NS_55_59_HW_20_29,St_Em_NS_55_59_HW_30_34,St_Em_NS_55_59_HW_35_39,St_Em_NS_55_59_HW_40_44,St_Em_NS_55_59_HW_45_49,St_Em_NS_55_59_HW_50mor,St_Em_NS_55_59_HW_NS,St_Em_NS_55_59_Tot,St_Em_NS_60_64_HW_0,St_Em_NS_60_64_HW_1_19,St_Em_NS_60_64_HW_20_29,St_Em_NS_60_64_HW_30_34,St_Em_NS_60_64_HW_35_39,St_Em_NS_60_64_HW_40_44,St_Em_NS_60_64_HW_45_49,St_Em_NS_60_64_HW_50mor,St_Em_NS_60_64_HW_NS,St_Em_NS_60_64_Tot,St_Em_NS_65_69_HW_0,St_Em_NS_65_69_HW_1_19,St_Em_NS_65_69_HW_20_29,St_Em_NS_65_69_HW_30_34,St_Em_NS_65_69_HW_35_39,St_Em_NS_65_69_HW_40_44,St_Em_NS_65_69_HW_45_49,St_Em_NS_65_69_HW_50mor,St_Em_NS_65_69_HW_NS,St_Em_NS_65_69_Tot,St_Em_NS_70_74_HW_0,St_Em_NS_70_74_HW_1_19,St_Em_NS_70_74_HW_20_29,St_Em_NS_70_74_HW_30_34,St_Em_NS_70_74_HW_35_39,St_Em_NS_70_74_HW_40_44,St_Em_NS_70_74_HW_45_49,St_Em_NS_70_74_HW_50mor,St_Em_NS_70_74_HW_NS,St_Em_NS_70_74_Tot,St_Em_NS_75ov_HW_0,St_Em_NS_75ov_HW_1_19,St_Em_NS_75ov_HW_20_29,St_Em_NS_75ov_HW_30_34,St_Em_NS_75ov_HW_35_39,St_Em_NS_75ov_HW_40_44,St_Em_NS_75ov_HW_45_49,St_Em_NS_75ov_HW_50mor,St_Em_NS_75ov_HW_NS,St_Em_NS_75ov_Tot,St_Em_NS_Tot_HW_0,St_Em_NS_Tot_HW_1_19,St_Em_NS_Tot_HW_20_29,St_Em_NS_Tot_HW_30_34,St_Em_NS_Tot_HW_35_39,St_Em_NS_Tot_HW_40_44,St_Em_NS_Tot_HW_45_49,St_Em_NS_Tot_HW_50mor,St_Em_NS_Tot_HW_NS,St_Em_NS_Tot_Tot,Tot_15_19_HW_0,Tot_15_19_HW_1_19,Tot_15_19_HW_20_29,Tot_15_19_HW_30_34,Tot_15_19_HW_35_39,Tot_15_19_HW_40_44,Tot_15_19_HW_45_49,Tot_15_19_HW_50mor,Tot_15_19_HW_NS,Tot_15_19_Tot,Tot_20_24_HW_0,Tot_20_24_HW_1_19,Tot_20_24_HW_20_29,Tot_20_24_HW_30_34,Tot_20_24_HW_35_39,Tot_20_24_HW_40_44,Tot_20_24_HW_45_49,Tot_20_24_HW_50mor,Tot_20_24_HW_NS,Tot_20_24_Tot,Tot_25_29_HW_0,Tot_25_29_HW_1_19,Tot_25_29_HW_20_29,Tot_25_29_HW_30_34,Tot_25_29_HW_35_39,Tot_25_29_HW_40_44,Tot_25_29_HW_45_49,Tot_25_29_HW_50mor,Tot_25_29_HW_NS,Tot_25_29_Tot,Tot_30_34_HW_0,Tot_30_34_HW_1_19,Tot_30_34_HW_20_29,Tot_30_34_HW_30_34,Tot_30_34_HW_35_39,Tot_30_34_HW_40_44,Tot_30_34_HW_45_49,Tot_30_34_HW_50mor,Tot_30_34_HW_NS,Tot_30_34_Tot,Tot_35_39_HW_0,Tot_35_39_HW_1_19,Tot_35_39_HW_20_29,Tot_35_39_HW_30_34,Tot_35_39_HW_35_39,Tot_35_39_HW_40_44,Tot_35_39_HW_45_49,Tot_35_39_HW_50mor,Tot_35_39_HW_NS,Tot_35_39_Tot,Tot_40_44_HW_0,Tot_40_44_HW_1_19,Tot_40_44_HW_20_29,Tot_40_44_HW_30_34,Tot_40_44_HW_35_39,Tot_40_44_HW_40_44,Tot_40_44_HW_45_49,Tot_40_44_HW_50mor,Tot_40_44_HW_NS,Tot_40_44_Tot,Tot_45_49_HW_0,Tot_45_49_HW_1_19,Tot_45_49_HW_20_29,Tot_45_49_HW_30_34,Tot_45_49_HW_35_39,Tot_45_49_HW_40_44,Tot_45_49_HW_45_49,Tot_45_49_HW_50mor,Tot_45_49_HW_NS,Tot_45_49_Tot,Tot_50_54_HW_0,Tot_50_54_HW_1_19,Tot_50_54_HW_20_29,Tot_50_54_HW_30_34,Tot_50_54_HW_35_39,Tot_50_54_HW_40_44,Tot_50_54_HW_45_49,Tot_50_54_HW_50mor,Tot_50_54_HW_NS,Tot_50_54_Tot,Tot_55_59_HW_0,Tot_55_59_HW_1_19,Tot_55_59_HW_20_29,Tot_55_59_HW_30_34,Tot_55_59_HW_35_39,Tot_55_59_HW_40_44,Tot_55_59_HW_45_49,Tot_55_59_HW_50mor,Tot_55_59_HW_NS,Tot_55_59_Tot,Tot_60_64_HW_0,Tot_60_64_HW_1_19,Tot_60_64_HW_20_29,Tot_60_64_HW_30_34,Tot_60_64_HW_35_39,Tot_60_64_HW_40_44,Tot_60_64_HW_45_49,Tot_60_64_HW_50mor,Tot_60_64_HW_NS,Tot_60_64_Tot
50101,0,6,0,0,0,4,0,6,3,26,0,0,4,0,0,0,5,4,4,13,0,4,4,0,0,3,0,4,0,27,0,3,3,0,3,0,0,3,0,20,4,5,0,0,0,4,0,4,3,28,0,3,0,0,0,0,0,4,6,26,0,0,0,6,0,3,0,3,0,7,0,7,4,0,0,0,0,3,0,14,0,0,4,0,0,0,0,0,4,10,15,30,27,18,12,26,10,38,42,219,115,1032,168,104,171,117,26,20,37,1803,62,169,201,168,287,257,90,70,28,1322,69,189,202,158,351,318,87,148,32,1546,118,291,251,206,341,411,119,207,31,1983,119,409,385,254,377,425,126,249,33,2379,109,384,437,246,400,484,173,307,42,2589,84,331,416,276,416,512,156,381,42,2615,106,279,365,303,388,467,160,348,27,2447,129,326,355,246,349,376,121,293,24,2222,152,377,359,224,245,228,81,230,17,1903
50102,0,4,0,0,5,0,0,5,0,15,0,9,0,4,0,0,0,5,4,15,0,0,3,5,5,4,0,5,12,40,0,7,3,3,3,8,0,5,10,43,0,5,0,3,7,6,0,4,4,27,3,0,7,0,0,0,0,8,0,24,0,0,3,7,6,5,0,0,0,29,0,0,0,0,0,0,0,6,5,18,0,6,0,0,0,0,0,0,6,22,27,38,27,20,42,39,3,43,63,295,160,1677,357,160,332,310,95,144,66,3296,141,439,423,282,830,699,258,478,87,3640,197,403,403,273,867,900,280,593,83,4001,256,569,497,321,751,946,348,721,91,4499,219,644,612,430,814,1001,365,840,93,5011,148,548,576,437,827,1074,391,902,77,4986,178,517,602,424,947,1157,461,917,84,5278,230,434,614,444,990,1106,442,1020,69,5352,290,458,538,380,912,893,402,824,48,4745,297,480,466,356,603,577,258,649,34,3718
50103,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,3,0,4,0,14,0,0,0,0,0,7,0,8,0,19,0,0,0,3,5,0,0,3,0,19,0,0,3,0,0,7,0,4,0,13,0,3,0,4,0,0,0,4,0,16,0,6,0,0,0,0,0,0,3,8,0,0,0,0,0,3,0,0,0,5,3,19,12,11,4,27,11,27,13,126,12,256,57,35,72,70,16,24,20,571,37,51,55,44,109,124,44,78,16,554,31,67,39,63,99,119,36,119,24,609,38,102,80,52,99,149,34,143,5,709,33,105,94,77,110,153,50,174,14,797,27,109,84,61,111,163,57,204,18,836,33,107,121,104,124,202,64,254,13,1017,49,117,126,102,148,196,65,234,21,1064,67,151,140,84,164,205,73,234,16,1141,74,166,149,91,123,149,53,200,15,1029
50201,0,0,0,0,5,0,0,0,3,12,0,4,4,0,0,3,0,0,4,17,5,0,7,0,0,4,0,3,0,24,3,3,0,0,5,0,0,5,6,25,4,4,0,3,0,4,0,3,9,24,3,3,0,5,0,5,5,0,3,21,0,3,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,3,0,10,0,5,0,0,0,0,0,0,8,18,19,42,25,11,14,16,9,22,56,212,91,1752,372,127,215,145,29,47,51,2831,89,726,519,303,515,381,110,130,62,2828,118,396,388,188,609,447,144,232,65,2587,149,487,405,246,517,416,155,272,57,2710,135,477,503,291,593,497,167,321,45,3029,95,425,453,278,583,514,161,334,44,2886,105,373,462,336,682,596,194,401,49,3193,114,390,493,330,723,557,172,428,37,3238,161,395,455,336,633,467,189,362,43,3042,149,430,371,283,422,287,116,223,27,2306
50301,0,0,0,0,0,0,0,0,7,16,0,0,0,4,0,0,0,0,5,10,0,4,0,0,0,0,0,0,6,17,0,3,3,0,3,4,0,0,3,17,0,0,0,3,5,0,0,0,0,16,5,0,5,0,0,0,0,0,0,17,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,5,10,0,9,0,0,0,0,0,0,8,14,17,24,16,15,23,8,5,11,41,156,87,1648,240,72,86,54,14,10,27,2245,156,1695,847,446,686,582,117,128,80,4729,241,592,570,474,1268,1168,300,408,85,5119,406,576,649,522,1189,1108,336,481,78,5347,308,644,783,554,1077,1009,284,538,60,5250,150,510,696,482,942,899,257,529,47,4518,115,455,642,491,928,900,300,620,46,4499,133,496,607,510,961,862,262,657,43,4533,172,487,589,480,883,709,257,530,27,4133,174,516,526,361,616,528,118,368,23,3224
50302,11,3,8,0,7,6,0,14,19,67,5,5,0,5,11,9,0,4,14,47,9,3,0,4,14,9,0,8,16,66,3,3,0,11,10,8,3,7,14,60,3,7,5,0,3,0,4,9,10,47,8,7,3,7,0,17,0,3,8,50,0,4,5,3,4,3,0,4,7,35,3,6,3,4,0,3,0,3,11,33,6,5,0,0,0,6,0,0,30,43,59,62,56,29,82,68,17,70,204,641,160,2833,702,195,360,264,52,89,140,4788,496,3657,2691,1153,3608,3198,685,1039,319,16841,960,1735,2220,1435,6591,6766,1693,2694,412,24502,1917,1844,2554,1750,6883,7610,2043,3676,448,28721,1734,1980,3041,2119,6833,8381,2237,4185,333,30845,840,1610,2469,1894,5570,7696,2175,4118,254,26616,644,1285,1962,1650,4911,6803,2149,4230,240,23869,755,1156,1557,1539,4518,5760,1858,4089,193,21440,815,1074,1466,1257,3728,4260,1423,2873,131,17029,662,1213,1341,960,2564,2567,803,1566,106,11792
50401,0,3,7,0,0,4,0,0,7,24,0,0,3,0,0,0,4,8,3,13,3,5,0,0,0,0,0,0,0,18,0,0,0,0,0,3,0,8,3,13,3,0,3,3,0,4,0,4,6,23,0,0,0,0,3,0,0,0,4,16,0,5,0,5,0,3,0,0,0,15,0,0,0,0,5,0,0,0,0,5,0,4,3,0,0,0,0,0,0,4,12,32,15,17,22,23,9,15,40,176,52,1145,225,74,135,132,33,40,28,1869,74,696,520,208,510,426,144,178,79,2826,80,311,376,212,618,558,193,288,68,2705,112,328,310,199,608,629,196,344,64,2785,87,376,391,246,626,622,194,401,56,2996,68,310,342,226,539,605,224,405,39,2750,59,264,323,229,488,576,206,446,26,2618,70,287,287,246,572,565,237,453,27,2735,79,258,308,246,499,492,174,370,25,2458,73,287,264,176,385,306,104,256,17,1864
50402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,9,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,9,9,6,0,7,0,12,23,59,20,557,88,40,49,48,14,17,9,849,20,185,133,64,119,117,41,67,15,765,27,86,93,70,142,178,59,107,14,773,57,97,101,41,164,160,58,132,13,823,23,137,113,67,171,187,71,133,12,920,27,95,136,76,180,194,61,136,17,923,29,128,117,94,161,209,79,182,14,1009,31,123,152,101,183,239,80,195,13,1112,42,128,138,126,190,213,84,172,15,1112,55,153,110,71,136,131,42,121,13,824
50403,0,5,0,0,4,5,5,4,12,41,0,6,4,0,6,6,0,8,5,24,0,3,0,8,4,4,4,0,3,32,0,0,7,3,6,10,0,18,7,50,3,0,4,5,5,4,0,6,5,36,0,4,0,4,0,11,3,5,6,38,0,4,0,3,6,5,0,0,0,20,0,3,4,0,0,0,0,0,3,9,0,5,0,0,0,0,0,0,0,8,26,37,29,30,30,61,15,44,67,334,129,2559,571,223,353,335,90,108,66,4429,176,1275,969,458,1158,1029,309,457,170,6004,275,660,654,452,1493,1518,473,898,147,6564,355,741,805,456,1405,1656,546,1109,146,7219,240,744,829,486,1500,1615,489,1039,127,7067,155,605,710,491,1404,1479,507,1086,101,6533,177,527,677,502,1365,1469,566,1098,84,6458,194,482,630,513,1389,1494,507,1187,79,6478,214,500,568,485,1208,1213,416,967,61,5639,180,493,566,357,833,786,251,630,43,4131
50501,3,4,0,4,3,6,0,0,5,20,0,3,0,3,0,3,0,0,6,18,0,0,0,4,6,5,0,0,7,15,0,3,0,0,5,5,0,3,3,34,0,9,4,4,0,0,0,0,4,23,3,3,3,0,0,4,0,0,0,16,5,4,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,6,5,0,5,0,0,0,0,0,0,4,10,19,45,19,21,16,29,6,11,33,201,120,3516,619,166,210,150,39,17,48,4892,119,1683,1096,479,874,595,121,135,100,5202,188,634,597,426,1074,917,231,304,74,4445,282,723,642,424,977,859,199,399,91,4598,250,782,842,481,960,844,225,443,73,4889,129,679,887,518,862,864,238,463,51,4683,104,687,864,557,1044,894,284,562,50,5057,171,624,852,612,1049,941,282,635,59,5219,172,626,792,552,885,774,207,507,45,4546,179,703,672,399,578,498,147,346,31,3551
50502,3,4,4,0,7,6,0,7,10,40,0,3,3,0,8,6,5,3,8,46,0,6,3,3,4,11,0,5,11,46,6,3,3,0,3,9,0,7,7,41,0,5,7,5,3,3,0,4,3,32,0,10,6,0,3,7,0,0,3,30,0,12,0,0,0,0,0,0,4,24,0,7,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,6,16,22,75,36,22,36,52,12,40,86,391,168,2864,583,138,288,231,58,68,48,4450,237,1961,1296,574,1418,1262,285,358,134,7515,285,840,910,617,2118,1854,501,731,197,8052,458,909,1024,690,1954,2090,560,1053,189,8928,297,992,1137,701,1952,2105,589,1192,144,9107,181,864,1028,700,1701,1856,602,1104,97,8131,170,748,966,665,1758,1848,591,1234,93,8063,179,732,871,707,1706,1656,524,1169,100,7636,241,692,823,619,1522,1325,447,937,83,6698,243,800,753,542,1060,873,292,598,37,5191
50503,0,5,4,6,3,5,0,0,14,29,0,0,0,5,0,8,0,10,6,40,0,9,0,6,8,10,0,4,5,43,3,5,6,5,4,3,0,6,3,35,5,0,3,0,6,6,0,5,7,32,3,3,4,3,3,0,5,0,0,23,0,3,0,5,0,0,0,0,5,15,0,4,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,3,10,23,44,31,29,33,42,10,30,73,311,122,2628,613,181,355,310,62,82,57,4401,157,1130,928,420,1053,970,244,369,101,5370,203,578,568,344,1147,1198,374,594,124,5124,280,691,642,403,1115,1230,365,807,114,5649,191,767,797,470,1092,1241,395,886,100,5945,103,611,767,436,1004,1238,348,811,73,5413,130,588,682,500,1042,1155,370,894,72,5439,143,521,655,477,1048,1094,339,844,55,5176,164,451,559,386,887,870,316,711,62,4394,124,440,454,296,594,568,186,457,36,3163
50601,0,3,0,3,4,0,0,0,0,11,0,0,0,4,0,4,0,0,5,9,0,3,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,6,4,13,0,0,0,0,0,3,0,0,0,8,0,6,5,0,0,4,0,0,0,16,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,3,0,0,0,10,9,12,13,9,12,24,0,11,31,122,53,1089,233,98,125,86,34,37,24,1780,62,472,343,201,400,308,102,116,48,2055,115,260,240,186,502,472,163,235,56,2224,127,327,330,203,452,486,171,318,43,2452,92,339,346,233,481,480,119,295,42,2432,56,267,328,248,424,463,119,303,36,2246,51,233,274,239,414,408,120,254,33,2027,71,208,262,203,415,374,124,285,30,1972,76,195,242,199,293,308,109,230,27,1685,71,204,213,142,240,206,67,144,11,1299
50602,5,5,0,0,0,5,0,6,10,40,0,5,4,0,6,0,0,0,8,24,0,4,0,3,4,4,0,0,6,25,4,4,6,0,7,3,0,13,6,39,8,3,3,0,4,0,0,4,8,34,0,0,0,4,0,0,0,0,6,20,0,0,0,0,0,0,0,4,0,5,0,4,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,10,24,44,27,20,27,28,8,39,86,292,112,1651,397,124,188,206,34,73,60,2843,220,1615,1193,527,1082,1066,263,455,165,6589,340,763,902,583,1629,1741,517,951,167,7588,478,690,842,575,1815,2121,693,1322,163,8696,445,725,833,546,1911,2106,705,1379,125,8780,260,561,672,479,1486,1839,560,1309,96,7263,212,476,554,440,1383,1734,623,1220,93,6738,244,429,476,431,1289,1501,537,1211,77,6192,259,427,490,371,1131,1231,417,967,73,5362,195,419,438,270,829,833,273,542,46,3847
50603,0,5,4,6,0,4,0,0,6,28,4,0,5,3,0,3,0,4,9,28,0,4,0,0,5,3,0,5,9,33,0,0,6,0,8,7,0,3,5,29,3,0,0,0,3,4,0,6,6,29,0,0,0,0,0,3,0,7,0,14,0,7,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,10,18,18,33,29,18,41,38,9,36,79,300,110,2030,498,155,302,332,98,95,58,3683,174,1761,1157,496,1267,1218,365,555,154,7150,237,778,815,464,1817,1762,499,943,187,7499,362,692,791,500,1912,1941,565,1191,160,8107,283,700,876,548,2029,2032,643,1216,132,8458,156,586,699,496,1695,1927,635,1116,111,7422,154,544,597,498,1652,1799,624,1251,96,7207,188,452,618,460,1624,1746,601,1254,79,7020,201,504,569,426,1430,1428,567,1109,61,6302,186,510,536,348,974,985,340,710,50,4633
50604,4,0,3,3,3,6,0,3,5,27,0,0,0,0,3,8,3,0,4,16,0,5,0,0,0,3,0,0,0,11,0,0,3,0,4,3,0,0,4,18,0,3,3,5,0,4,0,0,8,17,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,4,11,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,4,15,24,19,13,14,29,8,10,31,153,57,1058,244,66,174,128,41,63,21,1849,62,602,442,196,520,432,124,174,65,2619,105,319,354,197,601,631,192,316,70,2782,165,331,364,211,623,633,196,354,83,2961,123,410,447,263,665,664,178,460,55,3259,60,351,415,276,567,626,205,393,39,2937,59,301,355,274,594,599,192,408,41,2818,83,247,324,228,583,549,202,433,35,2680,98,264,290,218,504,504,172,374,35,2466,86,276,262,157,358,335,98,239,26,1841
