POW_SA3_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
50101,368,53,13,2589,1843,272,417,54,27,2615,1739,267,367,58,20,2447,1527,249,362,54,28,2222,1244,216,339,78,26,1903,548,109,212,89,7,965,170,71,111,74,14,436,47,24,56,59,10,204,16826,1807,2930,618,219,22399
50102,273,50,15,4986,4587,274,323,54,40,5278,4594,305,351,60,43,5352,4019,287,342,69,27,4745,3041,248,335,74,24,3718,1156,132,218,79,29,1605,288,79,133,72,18,587,101,42,72,68,22,298,41332,1993,2745,644,295,47015
50103,99,34,12,836,740,97,123,45,14,1017,729,101,154,54,19,1064,783,86,190,67,19,1141,694,93,164,65,13,1029,296,63,159,86,16,617,84,39,106,77,8,321,36,28,69,84,5,216,6795,695,1274,586,126,9475
50201,255,33,17,2886,2596,241,282,49,24,3193,2615,240,318,39,25,3238,2387,235,337,50,24,3042,1737,194,297,62,21,2306,657,126,165,53,8,1005,202,58,83,44,10,398,66,27,38,38,18,185,25386,1683,2504,460,212,30240
50301,230,34,10,4518,3766,389,277,48,17,4499,3674,445,323,65,17,4533,3355,364,338,59,16,4133,2578,294,284,60,17,3224,1251,240,212,39,5,1748,432,151,123,48,10,762,187,105,83,77,14,471,40675,2731,2505,498,156,46564
50302,763,97,47,26616,21521,1396,793,88,66,23869,19042,1335,887,116,60,21440,15043,1119,748,74,47,17029,10141,861,658,86,50,11792,4384,578,434,67,35,5501,1382,270,227,67,33,1975,399,142,121,64,43,779,197251,9298,6613,909,641,214707
50401,223,32,13,2750,2010,291,275,31,18,2618,2108,294,293,31,13,2735,1859,253,297,32,23,2458,1345,216,264,21,16,1864,611,149,163,30,15,964,229,69,85,28,5,423,51,32,42,28,4,163,22177,2089,2405,317,176,27166
50402,117,9,11,923,718,114,149,28,0,1009,781,133,169,30,6,1112,764,144,167,26,8,1112,542,111,142,26,9,824,272,60,105,20,6,466,63,37,54,19,0,178,37,14,38,8,4,100,7500,856,1230,196,59,9849
50403,435,71,24,6533,5389,486,456,101,32,6458,5269,565,513,77,50,6478,4510,538,481,82,36,5639,3230,385,401,76,38,4131,1306,266,240,77,20,1901,380,111,105,52,9,664,148,72,69,55,8,348,54380,3866,4057,814,334,63447
50501,521,71,18,4683,3944,477,547,66,15,5057,4014,498,608,76,34,5219,3449,455,559,67,23,4546,2607,402,464,65,16,3551,1034,218,317,70,11,1650,333,113,167,46,5,665,100,40,53,27,10,228,40932,3391,4487,625,201,49633
50502,600,72,46,8131,6462,842,622,92,46,8063,6118,760,651,66,41,7636,5310,685,607,62,32,6698,3989,556,517,90,30,5191,1789,367,370,58,24,2609,591,245,194,70,11,1109,206,140,95,43,16,501,65549,5808,5501,746,391,77993
50503,619,80,40,5413,4052,606,651,86,43,5439,3668,695,694,82,35,5176,3109,574,601,82,32,4394,2212,371,475,89,23,3163,887,214,263,48,15,1430,256,89,104,43,10,501,82,40,45,32,10,202,41425,4432,5286,771,311,52222
50601,214,33,9,2246,1590,198,204,26,9,2027,1547,170,226,18,13,1972,1299,138,215,27,8,1685,1005,106,152,25,16,1299,467,81,100,15,3,665,138,40,55,12,6,244,32,20,30,19,10,103,17628,1366,1832,247,122,21189
50602,266,36,24,7263,6079,335,276,28,25,6738,5484,367,272,34,39,6192,4666,369,250,41,34,5362,3280,259,251,34,20,3847,1420,147,162,23,5,1755,424,66,98,18,4,615,117,39,47,28,10,242,60566,2798,2501,357,292,66512
50603,303,52,28,7422,6368,455,296,48,33,7207,6085,514,341,50,29,7020,5363,484,358,64,29,6302,3915,358,308,33,14,4633,1598,235,206,43,13,2094,466,103,88,46,9,714,153,59,47,44,18,318,63196,3630,2933,537,300,70598
50604,304,38,16,2937,2239,252,281,40,11,2818,2134,236,262,29,18,2680,1958,203,251,40,17,2466,1414,174,209,31,10,1841,658,115,140,30,11,952,191,61,64,23,6,343,61,23,31,13,4,145,22883,1924,2327,367,153,27649
