POW_SA3_CODE_2021,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
50101,36,72,67,136,29,12,40,13,3,16,362,175,538,0,0,4,0,11,11,20,17,35,3,6,10,0,0,0,10,3,15,3,0,10,3,9,12,46,49,101,6,3,6,49,91,139,6,12,22,54,55,111,110,168,274,0,0,0,29,20,52,117,231,347,150,252,399,0,0,0,364,500,863,60,31,82,426,525,950,0,0,0,95,189,286,269,319,590,369,504,876,0,3,3,251,336,585,3,0,5,74,38,106,325,376,700,10,21,34,319,1390,1711,21,61,80,52,135,188,411,1608,2010,6,50,55,104,477,588,197,784,981,77,464,542,113,536,651,501,2312,2812,9,6,16,39,49,85,41,56,92,74,82,159,0,5,3,160,190,353,0,0,0,307,69,383,82,415,498,0,0,0,393,490,875,339,303,639,114,114,225,10057,12347,22399
50102,11,138,123,260,143,47,193,47,23,66,1371,471,1841,3,5,9,9,17,28,21,32,52,35,42,78,0,0,0,48,23,75,12,5,12,0,8,8,131,125,262,8,20,29,73,176,250,29,72,105,76,104,183,187,378,566,0,0,0,100,43,140,133,296,430,230,341,568,6,5,5,607,696,1299,78,18,94,683,721,1404,0,0,5,131,247,384,277,363,635,409,614,1022,0,9,5,652,1017,1667,4,0,7,593,295,890,1249,1316,2571,27,64,93,627,2896,3518,119,267,388,67,161,225,839,3388,4226,17,91,108,355,1729,2081,348,1572,1920,94,858,956,321,1423,1743,1131,5676,6807,7,3,10,21,30,52,23,58,82,126,222,348,8,5,13,181,326,510,0,0,0,725,181,908,206,778,981,0,3,4,933,963,1897,838,429,1267,273,223,498,23775,23242,47015
50103,9,24,44,65,0,4,0,4,0,4,217,94,315,0,0,0,3,3,9,0,0,0,4,0,4,0,0,0,0,0,3,0,0,0,0,4,4,11,7,19,0,0,4,4,27,34,3,7,9,4,6,11,13,42,54,0,0,0,3,0,10,17,54,79,29,65,87,0,0,0,98,114,219,15,11,23,117,128,245,0,0,0,27,47,78,76,96,163,101,133,241,0,6,6,252,207,455,0,0,0,45,22,60,295,227,522,0,11,11,115,556,676,0,15,22,3,20,27,127,599,727,11,24,33,37,240,279,37,170,212,22,159,187,35,193,230,141,785,934,0,0,0,20,6,27,19,20,34,6,28,32,0,0,0,43,56,98,0,0,0,136,26,165,20,111,127,0,0,0,155,135,296,149,90,238,88,62,153,4909,4568,9475
50201,17,112,86,199,32,8,40,24,11,35,536,261,801,0,0,0,11,17,22,16,14,27,20,18,35,4,0,0,19,9,23,6,3,3,4,3,10,60,62,120,11,11,21,27,114,139,14,39,53,52,69,125,101,238,339,0,0,0,40,45,85,129,315,444,172,363,533,5,3,3,282,491,777,65,26,92,347,521,871,0,0,5,98,189,290,235,348,584,335,537,876,0,0,0,353,570,925,11,9,19,243,130,374,604,711,1319,16,31,46,536,2486,3019,39,95,127,56,140,196,646,2745,3391,14,84,103,111,748,860,310,1381,1693,98,1115,1220,249,1322,1576,786,4656,5443,0,6,9,25,26,52,20,25,47,148,239,381,11,14,29,203,315,514,0,0,0,462,132,589,129,691,829,0,3,3,594,821,1414,488,383,874,201,156,357,12200,18036,30240
50301,4,85,40,122,16,6,16,5,0,10,225,81,303,3,3,10,11,26,32,27,25,53,3,3,6,0,3,6,19,12,30,11,3,14,6,11,8,80,81,162,29,12,40,117,143,259,19,34,54,215,156,372,383,346,732,0,3,3,12,10,23,363,471,838,379,487,856,3,8,8,1317,1811,3134,263,87,349,1584,1908,3489,0,5,5,118,213,329,205,176,380,322,390,714,3,0,0,347,548,893,620,119,741,104,38,139,1070,706,1777,32,70,102,876,2503,3381,1681,2188,3865,254,398,653,2843,5165,8001,64,233,295,2983,9406,12388,638,2251,2892,207,759,966,237,835,1076,4133,13487,17621,8,14,21,15,16,35,40,92,137,465,357,823,5,4,3,545,479,1020,0,4,4,136,35,172,380,1005,1389,0,64,60,517,1112,1625,494,464,963,227,175,404,17256,29304,46564
50302,251,193,105,295,679,365,1046,177,86,265,3369,1403,4776,42,39,76,187,130,318,183,120,296,285,294,578,75,44,119,780,330,1109,378,128,506,42,124,163,1964,1209,3169,144,117,262,3134,3853,6985,1685,2731,4423,2365,2033,4394,7327,8738,16065,0,7,5,92,66,160,1726,1911,3636,1823,1981,3800,97,54,145,19235,16080,35315,5646,1871,7518,24975,18006,42979,0,5,5,2054,3214,5264,831,1114,1943,2886,4333,7220,36,45,80,6174,9995,16172,48,57,103,3797,2561,6356,10057,12658,22716,162,339,503,999,3133,4133,953,1561,2518,341,603,948,2455,5642,8099,131,477,608,2672,9192,11863,1681,5834,7519,544,2355,2902,1146,3825,4973,6179,21683,27862,34,59,94,147,255,407,371,476,843,522,567,1092,237,226,464,1312,1585,2898,0,0,3,623,194,821,1527,3326,4853,0,48,48,2153,3572,5726,3484,2479,5961,1120,935,2055,105743,108960,214707
50401,9,161,65,225,27,7,33,105,27,129,696,154,853,3,0,3,13,0,13,23,21,46,18,6,25,4,0,6,48,14,65,15,8,21,0,13,13,119,64,184,3,6,10,37,102,143,21,39,60,48,43,85,104,191,296,4,0,3,133,52,184,104,150,255,242,200,444,10,0,10,484,529,1014,156,46,198,642,578,1223,0,3,3,141,171,315,224,162,384,366,336,705,3,0,3,257,360,619,0,0,0,415,135,553,683,496,1180,32,53,82,456,1640,2092,28,33,64,118,201,313,635,1923,2556,14,42,55,8,15,22,246,825,1068,169,794,965,178,694,874,614,2373,2984,9,11,27,11,3,16,81,123,200,136,144,274,6,16,28,253,292,547,3,0,4,747,139,885,242,553,800,0,13,13,992,708,1702,913,451,1369,188,143,328,14564,12594,27166
50402,3,61,31,88,7,0,14,3,0,3,368,138,511,0,0,0,0,3,9,5,0,5,4,0,4,0,0,0,0,4,9,3,0,3,0,0,0,20,15,32,3,0,3,8,3,11,0,4,4,21,12,34,26,25,54,0,0,0,9,5,15,37,65,102,48,75,116,5,0,10,211,248,455,38,14,53,253,265,517,0,0,0,20,26,51,84,56,143,103,87,195,0,0,0,168,157,328,3,0,3,380,283,667,560,441,995,8,14,19,225,1009,1235,7,9,15,26,77,106,267,1110,1376,3,6,14,0,15,14,66,265,328,35,162,199,64,273,335,166,722,894,0,0,3,7,13,18,18,21,43,20,44,66,0,0,0,51,76,127,0,0,0,238,67,305,34,177,215,0,0,0,267,251,521,248,143,394,71,49,121,4840,5009,9849
50403,19,459,173,630,241,51,289,223,83,309,3269,846,4111,13,0,14,13,31,40,32,23,57,44,13,54,0,0,0,233,61,290,48,8,56,7,6,15,382,147,532,11,9,19,95,158,255,26,65,89,75,82,156,208,315,520,0,0,0,196,77,274,194,265,456,391,339,728,8,0,8,977,832,1813,297,77,372,1285,904,2188,0,0,0,330,300,630,583,438,1021,911,738,1648,3,6,4,740,893,1638,360,106,465,1388,779,2168,2491,1784,4279,31,50,76,820,3414,4235,141,97,238,132,294,422,1118,3852,4970,32,105,139,443,1760,2204,400,1563,1962,134,716,849,529,1966,2495,1533,6114,7649,7,10,17,52,45,95,46,54,97,229,240,464,12,27,38,340,370,715,0,0,0,1339,266,1602,339,1137,1472,0,6,4,1682,1401,3081,1966,897,2862,471,300,772,34728,28716,63447
50501,24,144,88,231,18,8,28,11,9,23,583,184,767,7,0,10,11,19,28,107,91,194,3,0,4,3,3,3,52,14,68,18,6,28,5,14,16,195,153,349,20,19,35,92,193,288,78,181,263,167,142,310,356,540,896,0,0,3,25,30,52,226,473,696,248,500,752,4,4,6,793,902,1695,289,119,411,1086,1020,2109,0,0,0,187,370,562,373,352,723,561,724,1287,0,3,6,794,1103,1899,18,0,14,797,344,1144,1609,1456,3061,31,90,123,1085,4754,5844,731,1391,2125,179,344,521,2035,6577,8608,25,144,170,610,3001,3614,668,2970,3637,112,1014,1125,214,1608,1817,1637,8731,10367,14,14,25,14,21,30,50,75,124,320,358,674,28,21,49,413,497,908,0,0,0,351,98,456,413,1526,1939,0,18,18,768,1645,2408,581,518,1102,246,217,462,18260,31377,49633
