POW_SA3_CODE_2021,SWs_PINS_H_0,SWs_PINS_H_1_19,SWs_PINS_H_20_29,SWs_PINS_H_30_34,SWs_PINS_H_35_39,SWs_PINS_H_40_44,SWs_PINS_H_45_49,SWs_PINS_H_50ov,SWs_PINS_H_NS,SWs_PINS_H_Tot,SWs_Tot_H_0,SWs_Tot_H_1_19,SWs_Tot_H_20_29,SWs_Tot_H_30_34,SWs_Tot_H_35_39,SWs_Tot_H_40_44,SWs_Tot_H_45_49,SWs_Tot_H_50ov,SWs_Tot_H_NS,SWs_Tot_H_Tot,MaOpD_NNI_H_0,MaOpD_NNI_H_1_19,MaOpD_NNI_H_20_29,MaOpD_NNI_H_30_34,MaOpD_NNI_H_35_39,MaOpD_NNI_H_40_44,MaOpD_NNI_H_45_49,MaOpD_NNI_H_50ov,MaOpD_NNI_H_NS,MaOpD_NNI_H_Tot,MaOpD_1_149_H_0,MaOpD_1_149_H_1_19,MaOpD_1_149_H_20_29,MaOpD_1_149_H_30_34,MaOpD_1_149_H_35_39,MaOpD_1_149_H_40_44,MaOpD_1_149_H_45_49,MaOpD_1_149_H_50ov,MaOpD_1_149_H_NS,MaOpD_1_149_H_Tot,MaOpD_150_299_H_0,MaOpD_150_299_H_1_19,MaOpD_150_299_H_20_29,MaOpD_150_299_H_30_34,MaOpD_150_299_H_35_39,MaOpD_150_299_H_40_44,MaOpD_150_299_H_45_49,MaOpD_150_299_H_50ov,MaOpD_150_299_H_NS,MaOpD_150_299_H_Tot,MaOpD_300_399_H_0,MaOpD_300_399_H_1_19,MaOpD_300_399_H_20_29,MaOpD_300_399_H_30_34,MaOpD_300_399_H_35_39,MaOpD_300_399_H_40_44,MaOpD_300_399_H_45_49,MaOpD_300_399_H_50ov,MaOpD_300_399_H_NS,MaOpD_300_399_H_Tot,MaOpD_400_499_H_0,MaOpD_400_499_H_1_19,MaOpD_400_499_H_20_29,MaOpD_400_499_H_30_34,MaOpD_400_499_H_35_39,MaOpD_400_499_H_40_44,MaOpD_400_499_H_45_49,MaOpD_400_499_H_50ov,MaOpD_400_499_H_NS,MaOpD_400_499_H_Tot,MaOpD_500_649_H_0,MaOpD_500_649_H_1_19,MaOpD_500_649_H_20_29,MaOpD_500_649_H_30_34,MaOpD_500_649_H_35_39,MaOpD_500_649_H_40_44,MaOpD_500_649_H_45_49,MaOpD_500_649_H_50ov,MaOpD_500_649_H_NS,MaOpD_500_649_H_Tot,MaOpD_650_799_H_0,MaOpD_650_799_H_1_19,MaOpD_650_799_H_20_29,MaOpD_650_799_H_30_34,MaOpD_650_799_H_35_39,MaOpD_650_799_H_40_44,MaOpD_650_799_H_45_49,MaOpD_650_799_H_50ov,MaOpD_650_799_H_NS,MaOpD_650_799_H_Tot,MaOpD_800_999_H_0,MaOpD_800_999_H_1_19,MaOpD_800_999_H_20_29,MaOpD_800_999_H_30_34,MaOpD_800_999_H_35_39,MaOpD_800_999_H_40_44,MaOpD_800_999_H_45_49,MaOpD_800_999_H_50ov,MaOpD_800_999_H_NS,MaOpD_800_999_H_Tot,MaOpD_1000_1249_H_0,MaOpD_1000_1249_H_1_19,MaOpD_1000_1249_H_20_29,MaOpD_1000_1249_H_30_34,MaOpD_1000_1249_H_35_39,MaOpD_1000_1249_H_40_44,MaOpD_1000_1249_H_45_49,MaOpD_1000_1249_H_50ov,MaOpD_1000_1249_H_NS,MaOpD_1000_1249_H_Tot,MaOpD_1250_1499_H_0,MaOpD_1250_1499_H_1_19,MaOpD_1250_1499_H_20_29,MaOpD_1250_1499_H_30_34,MaOpD_1250_1499_H_35_39,MaOpD_1250_1499_H_40_44,MaOpD_1250_1499_H_45_49,MaOpD_1250_1499_H_50ov,MaOpD_1250_1499_H_NS,MaOpD_1250_1499_H_Tot,MaOpD_1500_1749_H_0,MaOpD_1500_1749_H_1_19,MaOpD_1500_1749_H_20_29,MaOpD_1500_1749_H_30_34,MaOpD_1500_1749_H_35_39,MaOpD_1500_1749_H_40_44,MaOpD_1500_1749_H_45_49,MaOpD_1500_1749_H_50ov,MaOpD_1500_1749_H_NS,MaOpD_1500_1749_H_Tot,MaOpD_1750_1999_H_0,MaOpD_1750_1999_H_1_19,MaOpD_1750_1999_H_20_29,MaOpD_1750_1999_H_30_34,MaOpD_1750_1999_H_35_39,MaOpD_1750_1999_H_40_44,MaOpD_1750_1999_H_45_49,MaOpD_1750_1999_H_50ov,MaOpD_1750_1999_H_NS,MaOpD_1750_1999_H_Tot,MaOpD_2000_2999_H_0,MaOpD_2000_2999_H_1_19,MaOpD_2000_2999_H_20_29,MaOpD_2000_2999_H_30_34,MaOpD_2000_2999_H_35_39,MaOpD_2000_2999_H_40_44,MaOpD_2000_2999_H_45_49,MaOpD_2000_2999_H_50ov,MaOpD_2000_2999_H_NS,MaOpD_2000_2999_H_Tot,MaOpD_3000_3499_H_0,MaOpD_3000_3499_H_1_19,MaOpD_3000_3499_H_20_29,MaOpD_3000_3499_H_30_34,MaOpD_3000_3499_H_35_39,MaOpD_3000_3499_H_40_44,MaOpD_3000_3499_H_45_49,MaOpD_3000_3499_H_50ov,MaOpD_3000_3499_H_NS,MaOpD_3000_3499_H_Tot,MaOpD_3500mo_H_0,MaOpD_3500mo_H_1_19,MaOpD_3500mo_H_20_29,MaOpD_3500mo_H_30_34,MaOpD_3500mo_H_35_39,MaOpD_3500mo_H_40_44,MaOpD_3500mo_H_45_49,MaOpD_3500mo_H_50ov,MaOpD_3500mo_H_NS,MaOpD_3500mo_H_Tot,MaOpD_PINS_H_0,MaOpD_PINS_H_1_19,MaOpD_PINS_H_20_29,MaOpD_PINS_H_30_34,MaOpD_PINS_H_35_39,MaOpD_PINS_H_40_44,MaOpD_PINS_H_45_49,MaOpD_PINS_H_50ov,MaOpD_PINS_H_NS,MaOpD_PINS_H_Tot,MaOpD_Tot_H_0,MaOpD_Tot_H_1_19,MaOpD_Tot_H_20_29,MaOpD_Tot_H_30_34,MaOpD_Tot_H_35_39,MaOpD_Tot_H_40_44,MaOpD_Tot_H_45_49,MaOpD_Tot_H_50ov,MaOpD_Tot_H_NS,MaOpD_Tot_H_Tot,Lab_NNI_H_0,Lab_NNI_H_1_19,Lab_NNI_H_20_29,Lab_NNI_H_30_34,Lab_NNI_H_35_39,Lab_NNI_H_40_44,Lab_NNI_H_45_49,Lab_NNI_H_50ov,Lab_NNI_H_NS,Lab_NNI_H_Tot
50101,0,8,5,4,0,4,0,0,3,16,116,823,473,257,321,255,64,114,23,2451,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,19,0,16,9,0,0,0,0,0,3,28,0,18,0,0,0,0,0,0,0,25,4,19,13,0,0,0,0,0,0,43,4,17,23,9,4,7,0,3,0,74,10,13,27,16,14,10,0,3,3,101,5,9,17,20,34,33,9,10,8,141,13,8,13,13,48,43,20,26,0,181,10,6,8,6,23,34,13,32,0,138,7,0,3,3,14,19,15,36,0,91,3,3,0,0,7,8,0,21,4,44,5,0,0,3,0,0,6,35,0,55,4,0,0,0,0,0,0,5,0,9,0,0,0,0,0,4,0,3,0,10,0,4,0,0,3,0,0,0,4,10,54,131,119,78,154,158,65,170,23,950,0,10,4,0,0,0,0,4,0,27
50102,0,3,4,0,0,4,0,4,8,25,187,1331,729,369,570,377,120,211,42,3940,6,6,0,0,5,0,0,3,0,17,0,26,0,0,4,4,0,0,0,39,8,28,8,0,0,3,0,0,0,47,0,37,17,4,0,3,0,0,0,67,0,26,27,8,5,6,0,4,0,80,9,28,40,16,12,9,0,9,4,129,3,27,40,24,37,34,9,9,5,197,18,17,39,48,111,94,38,38,8,407,18,20,27,20,120,167,96,103,7,583,27,11,16,19,75,130,101,201,10,589,29,20,17,7,73,162,96,225,6,639,44,4,14,4,75,154,79,238,12,623,80,17,21,12,147,225,151,363,12,1020,10,0,0,0,12,20,8,37,0,89,13,0,3,4,4,6,4,23,0,66,3,0,0,7,0,8,0,7,10,32,280,263,271,165,678,1021,598,1264,80,4617,9,20,9,0,3,0,0,4,0,45
50103,0,3,0,0,0,0,0,0,4,4,24,198,116,63,90,81,22,41,11,646,0,0,3,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,13,0,6,0,0,0,0,0,0,0,6,3,4,0,0,0,0,0,0,0,13,4,5,22,3,4,3,0,0,0,38,3,0,10,5,18,8,0,3,0,40,0,3,12,4,31,27,4,15,5,110,8,0,3,7,33,40,8,32,0,134,6,4,0,0,15,30,15,55,3,131,15,5,5,4,13,26,12,50,8,123,7,6,0,3,7,11,10,57,0,105,6,3,0,0,5,8,4,65,0,93,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,4,0,5,0,3,0,0,0,0,0,3,3,9,62,50,59,28,128,160,47,286,15,839,3,4,0,5,0,3,0,0,0,17
50201,0,7,0,0,6,3,0,4,10,36,151,1622,778,362,509,270,65,158,53,3984,3,3,0,0,0,0,0,0,0,6,3,36,3,0,0,0,0,0,0,46,3,53,3,0,0,0,0,0,0,59,7,36,12,5,0,0,0,4,3,67,0,20,17,7,5,0,0,0,0,56,7,27,41,16,5,3,3,3,0,105,4,19,42,18,28,15,0,11,7,144,6,7,20,32,45,35,6,15,4,161,15,6,13,10,46,48,20,24,0,193,12,3,7,13,38,46,29,31,4,183,12,3,0,3,50,33,30,49,10,204,12,4,7,4,40,29,25,50,6,168,38,9,10,3,157,28,69,70,4,383,7,5,7,0,14,3,0,4,5,41,0,0,0,0,3,3,0,5,0,19,0,0,0,0,0,0,0,0,5,9,125,228,175,121,437,250,197,272,46,1850,3,14,6,0,0,0,0,4,0,33
50301,0,4,0,5,0,0,0,0,0,18,106,1137,544,217,352,259,70,165,28,2879,0,0,0,0,0,0,0,0,0,3,0,30,0,0,0,0,0,0,0,35,3,26,0,0,0,0,0,0,0,32,0,22,3,5,0,0,0,0,0,31,0,15,5,4,0,0,0,0,0,32,0,13,24,6,0,0,0,0,0,40,0,9,11,7,9,4,0,0,0,45,0,6,13,15,23,16,0,3,5,76,7,8,5,4,40,33,8,9,0,115,4,7,0,8,33,16,6,4,0,88,0,5,0,0,5,11,8,7,0,29,5,0,0,0,4,6,10,7,0,28,0,0,0,0,4,3,0,13,0,28,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,5,18,143,74,50,122,99,35,50,15,603,5,3,3,0,0,0,0,0,0,10
50302,0,11,13,3,4,8,0,0,15,53,304,2408,1581,653,1715,1407,347,638,117,9181,4,5,0,0,0,0,0,0,0,11,0,30,0,0,0,0,0,0,0,40,6,52,12,0,0,0,0,0,0,73,8,33,19,0,0,6,0,0,3,66,5,26,26,4,5,7,0,0,3,79,5,33,50,15,9,8,0,3,6,131,3,30,44,25,28,20,4,9,8,172,11,20,26,46,99,55,14,28,9,312,30,11,23,35,120,104,26,55,16,411,26,10,9,17,70,77,34,82,14,338,44,8,12,10,25,69,38,128,7,337,56,4,3,6,41,98,40,207,12,467,180,26,33,11,55,131,94,667,30,1216,52,8,10,4,8,30,19,171,3,305,63,0,0,4,17,35,21,126,3,271,6,0,3,0,0,4,0,6,25,45,489,304,266,176,471,635,295,1492,149,4272,11,24,6,0,0,0,4,6,8,60
50401,0,8,5,7,3,0,0,0,0,25,97,1061,552,265,402,277,99,150,36,2939,0,0,0,0,3,0,0,0,0,8,3,23,6,0,0,0,0,0,0,34,0,27,4,0,0,5,0,0,0,46,0,30,11,3,0,0,0,0,5,52,4,28,21,6,9,3,0,0,0,73,0,23,35,15,14,10,0,0,0,102,0,17,30,22,58,29,4,5,0,166,9,13,17,37,126,113,18,24,9,369,4,13,9,21,110,108,44,46,0,360,5,5,5,11,60,57,41,53,3,234,0,3,0,5,23,38,19,69,3,166,4,0,3,0,10,21,4,47,0,94,5,0,0,5,9,12,15,64,0,109,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,4,9,6,13,0,0,0,0,4,9,0,7,3,18,43,201,146,117,419,409,147,335,29,1848,6,7,0,4,0,0,0,0,0,18
50402,0,3,0,0,3,0,0,0,0,16,30,385,159,89,88,117,27,54,4,958,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,11,0,14,0,0,0,0,0,0,0,15,0,7,3,0,0,0,0,0,0,15,0,9,7,4,3,0,0,0,0,23,0,9,11,7,0,3,0,0,0,37,0,0,4,3,15,5,0,0,0,37,3,8,5,9,28,20,6,9,0,86,4,0,7,7,39,33,15,21,3,128,0,5,5,7,18,34,12,23,0,106,6,0,5,5,14,8,9,35,0,82,3,4,0,0,4,4,3,35,0,54,13,0,3,0,5,9,3,36,0,70,5,0,0,0,0,0,0,8,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,39,59,61,45,131,119,50,172,10,687,0,3,0,0,0,4,0,0,0,8
50403,0,19,0,3,7,0,0,0,19,44,202,2132,1179,490,958,658,188,333,67,6210,3,3,6,0,5,0,0,5,0,29,3,49,4,0,0,0,0,3,0,64,5,83,19,6,0,0,0,0,3,125,5,69,41,5,8,3,0,3,3,136,8,51,60,17,6,4,3,9,0,155,7,48,111,29,24,17,4,15,9,263,8,50,92,66,100,73,16,23,7,435,35,48,61,69,406,265,58,63,17,1014,34,22,51,51,378,417,130,195,16,1307,28,12,34,27,187,217,141,240,6,891,25,21,7,16,87,125,102,247,6,635,24,6,16,14,48,65,74,243,4,495,54,5,7,5,39,52,55,354,6,590,9,3,3,0,14,9,4,63,0,104,12,0,0,3,3,6,3,39,0,55,0,4,0,6,6,8,0,5,16,50,250,492,512,307,1316,1274,588,1507,97,6341,8,40,6,4,3,7,0,4,0,70
50501,0,12,6,4,4,0,0,3,13,54,192,2978,1458,504,724,431,157,194,57,6702,0,7,4,0,0,0,0,0,0,11,6,64,0,0,0,0,0,0,0,68,3,56,10,0,0,0,0,0,0,68,3,34,12,5,0,0,0,0,0,49,0,16,20,0,9,0,0,0,0,43,0,22,25,14,7,5,0,0,5,78,3,18,21,18,20,10,0,0,3,101,4,15,26,23,54,34,4,13,4,163,7,0,14,15,74,44,10,10,9,191,9,0,0,12,40,30,16,13,4,125,6,3,0,9,30,32,14,15,0,110,4,4,0,5,5,7,4,7,0,39,5,5,5,4,12,8,0,17,0,48,0,0,0,0,0,0,4,3,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,11,46,241,134,95,242,174,58,98,28,1118,3,27,5,0,4,0,0,0,3,36
