POW_SA3_CODE_2021,M_Australia_E,M_Australia_OM_IE,M_Australia_OM_UIE,M_Australia_CFW,M_Australia_ES_NS,M_Australia_Tot,M_Afghanistan_E,M_Afghanistan_OM_IE,M_Afghanistan_OM_UIE,M_Afghanistan_CFW,M_Afghanistan_ES_NS,M_Afghanistan_Tot,M_Bangladesh_E,M_Bangladesh_OM_IE,M_Bangladesh_OM_UIE,M_Bangladesh_CFW,M_Bangladesh_ES_NS,M_Bangladesh_Tot,M_Canada_E,M_Canada_OM_IE,M_Canada_OM_UIE,M_Canada_CFW,M_Canada_ES_NS,M_Canada_Tot,M_China_E,M_China_OM_IE,M_China_OM_UIE,M_China_CFW,M_China_ES_NS,M_China_Tot,M_Croatia_E,M_Croatia_OM_IE,M_Croatia_OM_UIE,M_Croatia_CFW,M_Croatia_ES_NS,M_Croatia_Tot,M_Egypt_E,M_Egypt_OM_IE,M_Egypt_OM_UIE,M_Egypt_CFW,M_Egypt_ES_NS,M_Egypt_Tot,M_Fiji_E,M_Fiji_OM_IE,M_Fiji_OM_UIE,M_Fiji_CFW,M_Fiji_ES_NS,M_Fiji_Tot,M_Germany_E,M_Germany_OM_IE,M_Germany_OM_UIE,M_Germany_CFW,M_Germany_ES_NS,M_Germany_Tot,M_Greece_E,M_Greece_OM_IE,M_Greece_OM_UIE,M_Greece_CFW,M_Greece_ES_NS,M_Greece_Tot,M_HongKong_E,M_HongKong_OM_IE,M_HongKong_OM_UIE,M_HongKong_CFW,M_HongKong_ES_NS,M_HongKong_Tot,M_India_E,M_India_OM_IE,M_India_OM_UIE,M_India_CFW,M_India_ES_NS,M_India_Tot,M_Indonesia_E,M_Indonesia_OM_IE,M_Indonesia_OM_UIE,M_Indonesia_CFW,M_Indonesia_ES_NS,M_Indonesia_Tot,M_Iran_E,M_Iran_OM_IE,M_Iran_OM_UIE,M_Iran_CFW,M_Iran_ES_NS,M_Iran_Tot,M_Iraq_E,M_Iraq_OM_IE,M_Iraq_OM_UIE,M_Iraq_CFW,M_Iraq_ES_NS,M_Iraq_Tot,M_Ireland_E,M_Ireland_OM_IE,M_Ireland_OM_UIE,M_Ireland_CFW,M_Ireland_ES_NS,M_Ireland_Tot,M_Italy_E,M_Italy_OM_IE,M_Italy_OM_UIE,M_Italy_CFW,M_Italy_ES_NS,M_Italy_Tot,M_Japan_E,M_Japan_OM_IE,M_Japan_OM_UIE,M_Japan_CFW,M_Japan_ES_NS,M_Japan_Tot,M_KoreaSouth_E,M_KoreaSouth_OM_IE,M_KoreaSouth_OM_UIE,M_KoreaSouth_CFW,M_KoreaSouth_ES_NS,M_KoreaSouth_Tot,M_Lebanon_E,M_Lebanon_OM_IE,M_Lebanon_OM_UIE,M_Lebanon_CFW,M_Lebanon_ES_NS,M_Lebanon_Tot,M_Malaysia_E,M_Malaysia_OM_IE,M_Malaysia_OM_UIE,M_Malaysia_CFW,M_Malaysia_ES_NS,M_Malaysia_Tot,M_Nepal_E,M_Nepal_OM_IE,M_Nepal_OM_UIE,M_Nepal_CFW,M_Nepal_ES_NS,M_Nepal_Tot,M_Netherlands_E,M_Netherlands_OM_IE,M_Netherlands_OM_UIE,M_Netherlands_CFW,M_Netherlands_ES_NS,M_Netherlands_Tot,M_NZ_E,M_NZ_OM_IE,M_NZ_OM_UIE,M_NZ_CFW,M_NZ_ES_NS,M_NZ_Tot,M_Pakistan_E,M_Pakistan_OM_IE,M_Pakistan_OM_UIE,M_Pakistan_CFW,M_Pakistan_ES_NS,M_Pakistan_Tot,M_Philippines_E,M_Philippines_OM_IE,M_Philippines_OM_UIE,M_Philippines_CFW,M_Philippines_ES_NS,M_Philippines_Tot,M_Poland_E,M_Poland_OM_IE,M_Poland_OM_UIE,M_Poland_CFW,M_Poland_ES_NS,M_Poland_Tot,M_Singapore_E,M_Singapore_OM_IE,M_Singapore_OM_UIE,M_Singapore_CFW,M_Singapore_ES_NS,M_Singapore_Tot,M_SthAfrica_E,M_SthAfrica_OM_IE,M_SthAfrica_OM_UIE,M_SthAfrica_CFW,M_SthAfrica_ES_NS,M_SthAfrica_Tot,M_SriLanka_E,M_SriLanka_OM_IE,M_SriLanka_OM_UIE,M_SriLanka_CFW,M_SriLanka_ES_NS,M_SriLanka_Tot,M_Taiwan_E,M_Taiwan_OM_IE,M_Taiwan_OM_UIE,M_Taiwan_CFW,M_Taiwan_ES_NS,M_Taiwan_Tot,M_Thailand_E,M_Thailand_OM_IE,M_Thailand_OM_UIE,M_Thailand_CFW,M_Thailand_ES_NS,M_Thailand_Tot,M_UK_E,M_UK_OM_IE,M_UK_OM_UIE,M_UK_CFW,M_UK_ES_NS,M_UK_Tot,M_USA_E,M_USA_OM_IE
50101,5145,865,1204,207,86,7505,28,7,13,6,0,46,3,0,0,0,0,3,22,5,5,0,0,37,16,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,40,14,9,4,0,63,0,0,0,0,0,0,5,0,0,0,0,5,71,11,0,0,0,82,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,36,13,10,0,0,54,60,6,7,3,0,79,12,0,0,0,0,12,18,0,3,0,0,25,0,0,0,0,0,0,15,4,3,0,0,24,8,0,0,0,0,10,14,0,10,3,0,27,220,41,37,8,5,314,14,0,0,0,0,13,59,0,0,0,0,59,4,0,4,0,0,7,10,0,0,0,0,13,105,31,26,8,0,176,11,0,0,0,0,14,17,0,0,0,0,17,7,0,0,0,0,7,566,93,160,35,15,871,37,6
50102,15504,1021,1133,233,125,18026,3,0,0,0,0,3,11,0,0,0,0,10,31,6,9,0,0,44,75,10,8,0,0,94,0,0,0,0,0,0,14,0,0,0,0,17,23,0,0,0,0,23,38,3,8,4,0,54,0,0,0,0,0,4,19,0,3,0,0,20,237,29,18,0,5,293,31,0,0,0,0,31,25,0,0,0,0,25,8,4,0,0,0,13,104,6,13,3,0,128,44,5,5,4,0,53,14,0,5,0,0,18,53,3,0,0,0,54,13,5,0,0,0,19,58,0,11,3,0,75,26,0,0,0,0,24,58,3,8,0,0,71,803,29,35,3,5,874,39,3,0,0,0,43,424,4,5,0,3,442,21,0,0,0,0,20,31,0,5,0,0,38,503,31,29,0,0,564,23,3,0,0,0,35,56,0,0,0,0,56,18,0,0,0,0,16,1399,79,138,17,14,1653,48,4
50103,2599,369,591,261,58,3875,22,0,0,0,0,24,0,0,0,0,0,0,6,4,0,0,0,10,9,0,0,0,0,7,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,13,0,0,0,0,0,0,6,0,3,0,0,3,14,0,4,0,0,24,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,20,22,9,3,4,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,11,0,0,0,0,0,0,8,0,3,3,0,16,106,14,20,8,0,149,4,0,0,0,0,9,16,0,0,0,0,20,0,0,0,0,0,0,5,4,0,0,0,7,34,4,0,3,0,47,0,0,0,0,0,0,9,0,0,0,0,9,3,0,0,0,0,3,243,27,55,21,9,350,12,0
50201,6397,634,799,138,64,8030,10,5,3,0,0,19,15,0,5,0,0,19,24,0,5,0,3,32,20,10,8,5,0,42,4,0,0,0,0,7,16,0,0,0,0,16,12,0,0,0,0,12,20,3,5,0,0,29,0,0,0,0,0,0,9,3,0,0,3,15,215,27,25,3,4,271,26,0,5,0,0,36,12,0,0,0,0,17,3,3,0,0,0,6,55,7,9,0,0,69,21,3,7,3,0,32,9,0,0,0,0,7,27,11,4,0,0,31,0,0,0,0,0,0,70,8,10,0,0,87,23,0,0,0,0,22,24,4,8,0,0,34,397,35,47,7,5,488,22,3,0,0,0,28,189,7,3,3,0,210,6,0,0,0,0,8,22,3,7,0,0,31,215,44,37,10,0,303,25,4,0,0,0,28,8,0,0,0,0,8,20,0,5,0,0,24,1268,151,249,31,17,1713,39,3
50301,7669,1115,716,127,27,9650,33,10,8,0,0,50,48,3,0,0,0,47,61,11,10,0,0,76,238,33,14,10,0,304,13,7,5,0,0,26,24,3,3,0,0,30,3,0,0,0,0,5,84,11,9,0,0,103,10,0,7,0,0,16,87,8,3,4,0,97,585,26,19,0,4,637,89,8,0,5,0,101,66,8,7,3,0,85,15,5,0,0,0,17,149,17,15,0,0,188,110,22,19,6,4,155,44,0,0,0,0,50,53,9,4,0,0,60,3,0,3,0,0,6,283,39,22,3,4,341,86,0,0,0,0,86,47,8,4,0,0,60,294,36,38,0,3,369,71,0,3,0,0,76,134,4,9,0,0,137,37,0,13,0,0,48,176,18,11,5,0,207,346,61,34,8,0,444,104,7,10,0,0,117,39,0,4,0,0,41,36,5,0,0,0,38,1447,202,167,24,3,1844,121,15
50302,50171,3883,2105,193,156,56504,131,12,12,4,4,159,262,9,3,0,0,276,411,33,18,0,0,462,1261,135,54,31,7,1481,122,5,9,0,3,143,131,14,10,0,0,154,66,0,0,0,0,67,410,37,22,0,0,467,40,13,12,0,0,68,453,33,21,4,0,519,4502,210,90,14,15,4830,794,31,11,4,4,843,540,37,37,4,0,612,90,10,8,0,3,107,1111,87,42,0,3,1256,544,77,45,17,8,692,309,20,12,4,3,350,343,39,10,0,0,397,38,10,4,0,4,50,2347,157,73,7,8,2597,461,11,9,0,0,486,296,23,12,4,0,338,2665,149,100,6,12,2937,746,36,17,5,3,805,1158,8,6,3,0,1182,261,14,16,0,0,290,996,70,35,0,3,1093,3070,180,112,9,8,3387,759,32,11,4,4,808,144,10,5,0,0,163,204,12,8,3,0,226,11079,760,443,38,38,12358,621,36
50401,6509,851,741,71,51,8224,65,17,6,0,0,96,25,0,5,0,0,30,11,0,0,0,0,13,184,38,31,11,0,267,20,0,3,4,0,22,5,0,0,0,0,11,8,0,0,0,0,9,48,5,7,0,0,64,11,0,0,0,0,14,43,6,10,0,0,62,546,63,44,8,5,667,39,7,0,0,0,49,39,13,10,0,3,53,15,8,4,6,3,37,112,34,15,0,0,156,72,24,34,6,0,129,8,0,6,0,0,9,35,6,12,0,0,55,7,3,3,0,0,14,174,23,22,0,0,222,48,5,0,3,0,59,31,0,9,0,0,41,376,41,41,4,0,465,57,6,17,0,0,82,299,3,5,4,0,306,19,7,13,0,0,35,63,8,12,3,0,86,243,32,28,0,0,309,64,3,13,0,0,82,28,3,0,0,0,37,34,6,7,0,0,42,990,133,146,7,3,1282,44,9
50402,2368,383,401,49,24,3224,8,0,6,0,0,15,3,0,0,0,0,3,7,3,0,0,0,12,25,6,0,0,0,25,4,0,0,0,0,4,3,0,0,0,0,7,0,0,0,0,0,0,13,3,0,0,0,25,0,0,0,0,0,0,5,5,0,0,0,6,131,11,4,4,0,153,4,0,0,0,0,4,5,0,0,0,0,3,5,0,0,0,0,13,20,3,4,0,0,30,17,5,0,0,0,29,3,0,3,0,0,3,7,0,0,0,0,14,0,0,0,0,0,0,21,4,0,0,0,31,12,0,0,0,0,12,9,0,7,4,0,16,126,20,29,4,0,183,16,0,0,0,0,20,57,0,4,0,0,61,6,5,0,0,0,5,12,0,0,0,0,14,66,9,0,0,0,76,13,0,0,0,0,13,3,0,0,0,0,3,8,0,0,0,0,8,340,62,121,18,0,532,15,3
50403,17115,1510,1255,193,97,20171,106,18,33,4,0,163,33,4,0,0,0,42,57,8,5,0,0,68,228,54,26,9,3,323,37,3,11,3,0,62,23,0,6,0,0,35,16,0,0,0,0,19,100,9,8,0,0,124,20,3,7,0,0,30,85,14,5,0,0,106,1255,213,129,16,12,1625,103,7,3,0,0,113,87,12,14,3,0,114,45,13,18,0,0,85,289,29,16,0,0,344,187,36,35,14,0,272,26,4,4,0,0,24,73,10,4,0,0,95,7,7,3,0,0,17,289,33,21,0,4,350,86,4,0,0,0,90,47,3,10,3,0,61,1274,98,79,9,3,1463,120,8,23,0,5,150,701,9,17,3,4,733,58,12,15,0,0,89,204,16,18,0,0,235,654,86,49,7,0,795,126,11,12,0,0,152,46,3,4,0,0,56,68,5,4,0,0,71,2838,268,247,32,12,3392,115,13
50501,7540,1062,1135,119,41,9901,14,4,3,0,0,23,23,4,0,0,0,26,43,14,3,0,0,58,120,45,12,6,3,190,17,0,3,0,0,28,19,3,4,0,0,33,3,0,0,0,0,4,48,22,21,0,0,90,9,0,3,0,0,15,49,7,8,0,0,62,515,46,32,8,0,604,32,4,6,0,0,47,48,0,9,0,0,61,23,3,11,0,0,32,181,63,42,4,5,288,47,21,19,8,0,87,18,0,3,0,0,20,41,4,4,0,0,49,3,0,0,0,0,9,121,17,28,0,0,171,62,6,0,0,0,65,25,16,17,0,0,56,321,81,74,7,0,481,80,7,7,0,0,92,146,9,0,0,0,151,20,10,8,0,0,44,77,8,10,0,0,102,491,141,93,8,0,737,52,0,4,0,0,61,8,3,0,0,0,14,36,4,0,0,0,46,2116,441,566,41,22,3187,76,11
