POW_SA3_CODE_2021,EWPT_20_24_TertUni_or_OHE_FT,EWPT_20_24_TertUni_or_OHE_PT,EWPT_20_24_TertUni_or_OHE_NS,EWPT_20_24_TertUni_or_OHE_Tot,EWPT_20_24_Other_FT,EWPT_20_24_Other_PT,EWPT_20_24_Other_NS,EWPT_20_24_Other_Tot,EWPT_20_24_Not_Stated,EWPT_20_24_Tot,EWPT_25_29_TertVE_TPTP_FT,EWPT_25_29_TertVE_TPTP_PT,EWPT_25_29_TertVE_TPTP_NS,EWPT_25_29_TertVE_TPTP_Tot,EWPT_25_29_TertUni_or_OHE_FT,EWPT_25_29_TertUni_or_OHE_PT,EWPT_25_29_TertUni_or_OHE_NS,EWPT_25_29_TertUni_or_OHE_Tot,EWPT_25_29_Other_FT,EWPT_25_29_Other_PT,EWPT_25_29_Other_NS,EWPT_25_29_Other_Tot,EWPT_25_29_Not_Stated,EWPT_25_29_Tot,EWPT_30ov_TertVE_TPTP_FT,EWPT_30ov_TertVE_TPTP_PT,EWPT_30ov_TertVE_TPTP_NS,EWPT_30ov_TertVE_TPTP_Tot,EWPT_30ov_TertUni_or_OHE_FT,EWPT_30ov_TertUni_or_OHE_PT,EWPT_30ov_TertUni_or_OHE_NS,EWPT_30ov_TertUni_or_OHE_Tot,EWPT_30ov_Other_FT,EWPT_30ov_Other_PT,EWPT_30ov_Other_NS,EWPT_30ov_Other_Tot,EWPT_30ov_Not_Stated,EWPT_30ov_Tot,EWPT_Tot_TertVE_TPTP_FT,EWPT_Tot_TertVE_TPTP_PT,EWPT_Tot_TertVE_TPTP_NS,EWPT_Tot_TertVE_TPTP_Tot,EWPT_Tot_TertUni_or_OHE_FT,EWPT_Tot_TertUni_or_OHE_PT,EWPT_Tot_TertUni_or_OHE_NS,EWPT_Tot_TertUni_or_OHE_Tot,EWPT_Tot_Other_FT,EWPT_Tot_Other_PT,EWPT_Tot_Other_NS,EWPT_Tot_Other_Tot,EWPT_Tot_Not_Stated,EWPT_Tot_Tot,EAFW_15_TertVE_TPTP_FT,EAFW_15_TertVE_TPTP_PT,EAFW_15_TertVE_TPTP_NS,EAFW_15_TertVE_TPTP_Tot,EAFW_15_TertUni_or_OHE_FT,EAFW_15_TertUni_or_OHE_PT,EAFW_15_TertUni_or_OHE_NS,EAFW_15_TertUni_or_OHE_Tot,EAFW_15_Other_FT,EAFW_15_Other_PT,EAFW_15_Other_NS,EAFW_15_Other_Tot,EAFW_15_Not_Stated,EAFW_15_Tot,EAFW_16_TertVE_TPTP_FT,EAFW_16_TertVE_TPTP_PT,EAFW_16_TertVE_TPTP_NS,EAFW_16_TertVE_TPTP_Tot,EAFW_16_TertUni_or_OHE_FT,EAFW_16_TertUni_or_OHE_PT,EAFW_16_TertUni_or_OHE_NS,EAFW_16_TertUni_or_OHE_Tot,EAFW_16_Other_FT,EAFW_16_Other_PT,EAFW_16_Other_NS,EAFW_16_Other_Tot,EAFW_16_Not_Stated,EAFW_16_Tot,EAFW_17_TertVE_TPTP_FT,EAFW_17_TertVE_TPTP_PT,EAFW_17_TertVE_TPTP_NS,EAFW_17_TertVE_TPTP_Tot,EAFW_17_TertUni_or_OHE_FT,EAFW_17_TertUni_or_OHE_PT,EAFW_17_TertUni_or_OHE_NS,EAFW_17_TertUni_or_OHE_Tot,EAFW_17_Other_FT,EAFW_17_Other_PT,EAFW_17_Other_NS,EAFW_17_Other_Tot,EAFW_17_Not_Stated,EAFW_17_Tot,EAFW_18_TertVE_TPTP_FT,EAFW_18_TertVE_TPTP_PT,EAFW_18_TertVE_TPTP_NS,EAFW_18_TertVE_TPTP_Tot,EAFW_18_TertUni_or_OHE_FT,EAFW_18_TertUni_or_OHE_PT,EAFW_18_TertUni_or_OHE_NS,EAFW_18_TertUni_or_OHE_Tot,EAFW_18_Other_FT,EAFW_18_Other_PT,EAFW_18_Other_NS,EAFW_18_Other_Tot,EAFW_18_Not_Stated,EAFW_18_Tot,EAFW_19_TertVE_TPTP_FT,EAFW_19_TertVE_TPTP_PT,EAFW_19_TertVE_TPTP_NS,EAFW_19_TertVE_TPTP_Tot,EAFW_19_TertUni_or_OHE_FT,EAFW_19_TertUni_or_OHE_PT,EAFW_19_TertUni_or_OHE_NS,EAFW_19_TertUni_or_OHE_Tot,EAFW_19_Other_FT,EAFW_19_Other_PT,EAFW_19_Other_NS,EAFW_19_Other_Tot,EAFW_19_Not_Stated,EAFW_19_Tot,EAFW_20_24_TertVE_TPTP_FT,EAFW_20_24_TertVE_TPTP_PT,EAFW_20_24_TertVE_TPTP_NS,EAFW_20_24_TertVE_TPTP_Tot,EAFW_20_24_TertUni_or_OHE_FT,EAFW_20_24_TertUni_or_OHE_PT,EAFW_20_24_TertUni_or_OHE_NS,EAFW_20_24_TertUni_or_OHE_Tot,EAFW_20_24_Other_FT,EAFW_20_24_Other_PT,EAFW_20_24_Other_NS,EAFW_20_24_Other_Tot,EAFW_20_24_Not_Stated,EAFW_20_24_Tot,EAFW_25_29_TertVE_TPTP_FT,EAFW_25_29_TertVE_TPTP_PT,EAFW_25_29_TertVE_TPTP_NS,EAFW_25_29_TertVE_TPTP_Tot,EAFW_25_29_TertUni_or_OHE_FT,EAFW_25_29_TertUni_or_OHE_PT,EAFW_25_29_TertUni_or_OHE_NS,EAFW_25_29_TertUni_or_OHE_Tot,EAFW_25_29_Other_FT,EAFW_25_29_Other_PT,EAFW_25_29_Other_NS,EAFW_25_29_Other_Tot,EAFW_25_29_Not_Stated,EAFW_25_29_Tot,EAFW_30ov_TertVE_TPTP_FT,EAFW_30ov_TertVE_TPTP_PT,EAFW_30ov_TertVE_TPTP_NS,EAFW_30ov_TertVE_TPTP_Tot,EAFW_30ov_TertUni_or_OHE_FT,EAFW_30ov_TertUni_or_OHE_PT,EAFW_30ov_TertUni_or_OHE_NS,EAFW_30ov_TertUni_or_OHE_Tot,EAFW_30ov_Other_FT,EAFW_30ov_Other_PT,EAFW_30ov_Other_NS,EAFW_30ov_Other_Tot,EAFW_30ov_Not_Stated,EAFW_30ov_Tot,EAFW_Tot_TertVE_TPTP_FT,EAFW_Tot_TertVE_TPTP_PT,EAFW_Tot_TertVE_TPTP_NS,EAFW_Tot_TertVE_TPTP_Tot,EAFW_Tot_TertUni_or_OHE_FT,EAFW_Tot_TertUni_or_OHE_PT,EAFW_Tot_TertUni_or_OHE_NS,EAFW_Tot_TertUni_or_OHE_Tot,EAFW_Tot_Other_FT,EAFW_Tot_Other_PT,EAFW_Tot_Other_NS,EAFW_Tot_Other_Tot,EAFW_Tot_Not_Stated,EAFW_Tot_Tot,Tot_15_TertVE_TPTP_FT,Tot_15_TertVE_TPTP_PT,Tot_15_TertVE_TPTP_NS,Tot_15_TertVE_TPTP_Tot,Tot_15_TertUni_or_OHE_FT,Tot_15_TertUni_or_OHE_PT,Tot_15_TertUni_or_OHE_NS,Tot_15_TertUni_or_OHE_Tot,Tot_15_Other_FT,Tot_15_Other_PT,Tot_15_Other_NS,Tot_15_Other_Tot,Tot_15_Not_Stated,Tot_15_Tot,Tot_16_TertVE_TPTP_FT,Tot_16_TertVE_TPTP_PT,Tot_16_TertVE_TPTP_NS,Tot_16_TertVE_TPTP_Tot,Tot_16_TertUni_or_OHE_FT,Tot_16_TertUni_or_OHE_PT,Tot_16_TertUni_or_OHE_NS,Tot_16_TertUni_or_OHE_Tot
50101,78,22,0,97,0,3,0,3,5,153,17,32,0,47,26,18,0,47,0,9,0,12,0,108,38,198,0,236,65,136,0,199,5,60,0,68,33,536,100,293,0,393,201,180,0,380,936,73,4,1015,43,1833,0,0,0,0,0,0,0,0,36,0,0,36,0,34,0,0,0,0,0,0,0,0,29,0,0,29,0,32,0,5,0,5,0,0,0,0,31,0,0,31,0,37,0,0,0,3,5,0,0,5,0,0,0,0,0,8,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,5,0,5,5,3,0,8,0,0,0,0,3,18,0,7,0,8,8,3,0,9,0,0,0,0,0,18,5,12,0,21,3,10,0,13,0,7,0,7,15,53,6,32,0,45,22,16,0,37,102,11,0,110,17,208,0,3,0,4,0,0,0,0,313,0,0,313,4,315,10,11,0,15,0,0,0,0
50102,172,50,0,226,9,6,0,16,3,333,20,34,0,58,49,32,0,88,4,15,0,19,3,160,76,251,0,328,104,219,0,327,12,63,0,69,38,768,219,391,6,614,412,328,0,743,1432,88,0,1522,55,2937,0,0,0,0,0,0,0,0,29,0,0,29,0,28,5,5,0,7,0,0,0,0,39,0,0,39,0,46,4,3,0,5,0,0,0,0,39,0,0,43,0,52,0,0,0,5,4,0,0,4,7,0,0,11,0,19,0,0,0,0,3,0,0,3,0,0,0,0,0,7,12,15,0,23,21,4,0,28,0,0,0,0,8,55,0,7,0,7,6,4,0,11,0,3,0,3,3,29,13,26,0,34,8,25,0,37,5,10,0,16,49,135,32,59,0,91,47,34,0,85,121,11,0,139,59,369,0,4,0,4,0,0,0,0,418,0,0,420,4,425,16,28,0,48,0,0,0,0
50103,11,5,0,12,0,0,0,0,0,25,3,7,0,9,5,0,0,3,0,0,0,0,0,20,6,58,0,63,12,29,0,41,0,14,0,17,13,136,14,87,0,109,30,38,0,66,234,17,0,251,21,444,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,8,0,0,8,0,8,0,0,0,0,0,0,0,0,5,0,0,3,0,3,0,0,0,0,5,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,4,0,4,0,0,0,0,0,8,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,3,0,6,0,5,0,10,5,21,0,8,0,8,13,4,0,16,16,3,0,25,8,53,0,0,0,0,0,0,0,0,65,0,0,65,4,72,4,5,0,10,0,0,0,0
50201,439,90,0,530,16,9,0,23,0,694,34,40,0,79,55,40,0,94,6,18,0,22,3,202,57,199,0,265,114,143,0,255,8,74,0,82,34,638,251,373,0,626,925,313,0,1241,1297,106,0,1400,53,3325,0,0,0,0,0,0,0,0,28,0,0,28,0,28,0,0,0,0,0,0,0,0,20,0,0,20,0,27,0,0,0,0,0,0,0,0,24,0,0,24,0,23,0,5,0,5,6,0,0,4,3,0,0,3,0,8,0,7,0,7,6,0,0,6,0,0,0,0,0,11,4,4,0,15,27,4,0,34,0,0,0,0,3,52,3,6,0,9,4,3,0,8,0,0,0,0,3,22,7,16,0,24,7,15,0,28,0,0,0,0,17,65,21,37,0,60,52,24,0,79,74,4,0,80,27,244,7,9,0,10,0,0,0,0,349,0,0,349,0,358,23,25,0,40,0,0,0,0
50301,1752,226,0,1981,31,11,0,47,6,2172,88,44,0,130,407,127,0,536,15,23,0,43,0,708,109,189,0,307,361,409,3,776,37,68,0,107,26,1213,342,304,0,649,3462,820,5,4286,798,109,0,908,40,5885,0,0,0,0,0,0,0,0,11,0,0,11,0,15,0,0,0,0,0,0,0,0,25,0,0,25,0,25,0,0,0,0,0,0,0,0,20,0,0,20,0,24,0,0,0,0,19,0,0,19,3,0,0,3,0,23,0,0,0,0,18,0,0,22,0,0,0,0,0,22,9,4,0,9,111,20,0,132,0,0,0,5,6,146,3,6,0,13,48,20,0,65,3,0,0,4,0,78,3,10,0,20,22,51,4,73,4,6,0,10,10,121,18,23,0,41,219,87,4,314,65,10,0,74,16,446,0,0,0,0,0,0,0,0,182,0,0,182,0,186,10,3,0,7,0,0,0,0
50302,3690,711,7,4404,116,48,0,157,10,5181,362,190,0,550,1050,385,3,1436,113,64,0,170,3,2166,465,723,4,1194,811,1103,0,1913,139,310,0,447,64,3622,1386,1156,8,2545,6931,2304,15,9249,1777,428,3,2204,84,14086,0,0,0,0,0,0,0,0,14,0,0,14,0,14,0,0,0,0,0,0,0,0,48,0,0,48,0,47,0,0,0,0,0,0,0,0,37,0,0,37,0,37,5,5,0,5,26,3,0,28,3,0,0,5,0,46,0,0,0,7,48,4,0,51,0,0,0,0,3,59,41,18,0,57,243,43,3,293,8,5,0,9,10,370,21,19,0,36,75,54,0,129,14,15,0,34,18,220,43,103,0,146,89,217,0,305,20,59,0,76,89,620,115,146,0,262,482,326,4,807,143,78,4,229,121,1417,0,3,0,5,0,0,0,0,323,0,0,323,0,327,13,11,0,24,0,0,0,0
50401,618,101,3,718,18,15,0,28,6,897,60,34,0,99,136,47,0,183,22,16,0,33,0,310,79,155,0,240,106,107,0,211,22,60,0,81,11,542,269,289,0,565,1231,280,4,1525,767,88,0,855,15,2957,0,0,0,0,0,0,0,0,7,0,0,7,0,7,0,0,0,0,0,0,0,0,13,0,0,13,0,13,0,0,0,0,0,0,0,0,18,0,0,18,0,23,0,0,0,3,7,0,0,10,0,0,0,0,0,10,4,0,0,4,5,0,0,5,0,0,0,0,0,11,7,0,0,8,32,6,0,39,4,0,0,4,4,55,5,3,0,7,4,4,0,11,0,0,0,3,5,27,3,17,0,19,11,18,0,29,6,7,0,11,19,77,23,23,0,43,73,26,0,100,52,7,0,63,24,227,0,0,0,4,0,0,0,0,173,0,0,173,0,176,4,10,0,15,0,0,0,0
50402,151,18,0,169,4,0,0,4,0,211,7,10,0,20,28,9,0,30,0,3,0,7,0,53,15,57,0,73,33,43,0,73,0,21,0,22,3,174,60,94,0,158,297,80,0,381,433,24,0,457,5,999,0,0,0,0,0,0,0,0,9,0,0,9,0,9,0,0,0,0,0,0,0,0,10,0,0,10,0,10,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,9,0,0,0,0,0,6,0,6,0,0,0,0,0,6,0,3,0,7,0,0,0,0,0,0,0,0,7,18,0,5,0,11,6,5,0,11,20,5,0,23,6,53,5,0,0,5,0,0,0,0,103,0,0,103,0,106,3,4,0,10,0,0,0,0
50403,1048,194,3,1237,43,17,0,60,4,1528,88,59,0,146,239,81,0,323,18,22,0,40,3,511,122,257,0,374,204,265,3,472,38,100,0,146,30,1033,473,500,3,974,2153,622,6,2776,1845,157,6,2011,51,5814,0,0,0,0,0,0,0,0,21,0,0,21,0,21,0,0,0,0,0,0,0,0,35,0,0,35,0,31,0,4,0,4,0,0,0,0,37,0,0,37,0,44,4,0,0,3,13,0,0,13,8,0,0,8,0,22,0,0,0,3,13,0,0,19,0,0,0,0,0,25,16,11,0,30,78,16,0,96,0,0,0,7,3,134,6,5,0,13,22,17,0,41,3,0,0,3,8,62,13,23,0,34,19,41,0,57,8,17,0,24,33,151,32,46,4,90,148,72,0,216,109,17,0,130,41,485,7,0,0,7,0,0,0,0,436,0,0,438,3,448,19,17,0,35,0,0,0,0
50501,1542,263,5,1800,39,33,0,72,0,2127,59,64,0,125,290,118,0,411,8,23,0,34,3,571,81,268,0,349,239,354,4,598,29,118,0,148,32,1126,468,505,0,975,3025,835,4,3868,2475,182,0,2665,38,7545,0,0,0,0,0,0,0,0,20,0,0,20,0,20,0,0,0,0,0,0,0,0,27,0,0,27,0,28,0,0,0,0,0,0,0,0,28,0,0,28,0,27,3,0,0,3,14,0,0,14,7,0,0,7,0,25,0,0,0,3,10,0,0,14,0,0,0,0,6,20,7,9,0,14,62,8,0,69,0,3,0,7,6,95,3,4,0,12,20,11,0,28,0,0,0,0,0,46,3,20,0,22,24,40,0,63,0,18,0,17,19,119,26,31,0,56,127,62,0,190,82,20,0,102,28,384,4,3,0,10,0,0,0,0,618,3,0,616,0,628,14,10,0,26,0,0,0,0
