POW_SA3_CODE_2021,F_EWFT_25_29_OM_UIE,F_EWFT_25_29_CFW,F_EWFT_25_29_ES_NS,F_EWFT_25_29_Tot,F_EWFT_30_34_E,F_EWFT_30_34_OM_IE,F_EWFT_30_34_OM_UIE,F_EWFT_30_34_CFW,F_EWFT_30_34_ES_NS,F_EWFT_30_34_Tot,F_EWFT_35_39_E,F_EWFT_35_39_OM_IE,F_EWFT_35_39_OM_UIE,F_EWFT_35_39_CFW,F_EWFT_35_39_ES_NS,F_EWFT_35_39_Tot,F_EWFT_40_44_E,F_EWFT_40_44_OM_IE,F_EWFT_40_44_OM_UIE,F_EWFT_40_44_CFW,F_EWFT_40_44_ES_NS,F_EWFT_40_44_Tot,F_EWFT_45_49_E,F_EWFT_45_49_OM_IE,F_EWFT_45_49_OM_UIE,F_EWFT_45_49_CFW,F_EWFT_45_49_ES_NS,F_EWFT_45_49_Tot,F_EWFT_50_54_E,F_EWFT_50_54_OM_IE,F_EWFT_50_54_OM_UIE,F_EWFT_50_54_CFW,F_EWFT_50_54_ES_NS,F_EWFT_50_54_Tot,F_EWFT_55_59_E,F_EWFT_55_59_OM_IE,F_EWFT_55_59_OM_UIE,F_EWFT_55_59_CFW,F_EWFT_55_59_ES_NS,F_EWFT_55_59_Tot,F_EWFT_60_64_E,F_EWFT_60_64_OM_IE,F_EWFT_60_64_OM_UIE,F_EWFT_60_64_CFW,F_EWFT_60_64_ES_NS,F_EWFT_60_64_Tot,F_EWFT_65_69_E,F_EWFT_65_69_OM_IE,F_EWFT_65_69_OM_UIE,F_EWFT_65_69_CFW,F_EWFT_65_69_ES_NS,F_EWFT_65_69_Tot,F_EWFT_70_74_E,F_EWFT_70_74_OM_IE,F_EWFT_70_74_OM_UIE,F_EWFT_70_74_CFW,F_EWFT_70_74_ES_NS,F_EWFT_70_74_Tot,F_EWFT_75ov_E,F_EWFT_75ov_OM_IE,F_EWFT_75ov_OM_UIE,F_EWFT_75ov_CFW,F_EWFT_75ov_ES_NS,F_EWFT_75ov_Tot,F_EWFT_Tot_E,F_EWFT_Tot_OM_IE,F_EWFT_Tot_OM_UIE,F_EWFT_Tot_CFW,F_EWFT_Tot_ES_NS,F_EWFT_Tot_Tot,F_EWPT_15_19_E,F_EWPT_15_19_OM_IE,F_EWPT_15_19_OM_UIE,F_EWPT_15_19_CFW,F_EWPT_15_19_ES_NS,F_EWPT_15_19_Tot,F_EWPT_20_24_E,F_EWPT_20_24_OM_IE,F_EWPT_20_24_OM_UIE,F_EWPT_20_24_CFW,F_EWPT_20_24_ES_NS,F_EWPT_20_24_Tot,F_EWPT_25_29_E,F_EWPT_25_29_OM_IE,F_EWPT_25_29_OM_UIE,F_EWPT_25_29_CFW,F_EWPT_25_29_ES_NS,F_EWPT_25_29_Tot,F_EWPT_30_34_E,F_EWPT_30_34_OM_IE,F_EWPT_30_34_OM_UIE,F_EWPT_30_34_CFW,F_EWPT_30_34_ES_NS,F_EWPT_30_34_Tot,F_EWPT_35_39_E,F_EWPT_35_39_OM_IE,F_EWPT_35_39_OM_UIE,F_EWPT_35_39_CFW,F_EWPT_35_39_ES_NS,F_EWPT_35_39_Tot,F_EWPT_40_44_E,F_EWPT_40_44_OM_IE,F_EWPT_40_44_OM_UIE,F_EWPT_40_44_CFW,F_EWPT_40_44_ES_NS,F_EWPT_40_44_Tot,F_EWPT_45_49_E,F_EWPT_45_49_OM_IE,F_EWPT_45_49_OM_UIE,F_EWPT_45_49_CFW,F_EWPT_45_49_ES_NS,F_EWPT_45_49_Tot,F_EWPT_50_54_E,F_EWPT_50_54_OM_IE,F_EWPT_50_54_OM_UIE,F_EWPT_50_54_CFW,F_EWPT_50_54_ES_NS,F_EWPT_50_54_Tot,F_EWPT_55_59_E,F_EWPT_55_59_OM_IE,F_EWPT_55_59_OM_UIE,F_EWPT_55_59_CFW,F_EWPT_55_59_ES_NS,F_EWPT_55_59_Tot,F_EWPT_60_64_E,F_EWPT_60_64_OM_IE,F_EWPT_60_64_OM_UIE,F_EWPT_60_64_CFW,F_EWPT_60_64_ES_NS,F_EWPT_60_64_Tot,F_EWPT_65_69_E,F_EWPT_65_69_OM_IE,F_EWPT_65_69_OM_UIE,F_EWPT_65_69_CFW,F_EWPT_65_69_ES_NS,F_EWPT_65_69_Tot,F_EWPT_70_74_E,F_EWPT_70_74_OM_IE,F_EWPT_70_74_OM_UIE,F_EWPT_70_74_CFW,F_EWPT_70_74_ES_NS,F_EWPT_70_74_Tot,F_EWPT_75ov_E,F_EWPT_75ov_OM_IE,F_EWPT_75ov_OM_UIE,F_EWPT_75ov_CFW,F_EWPT_75ov_ES_NS,F_EWPT_75ov_Tot,F_EWPT_Tot_E,F_EWPT_Tot_OM_IE,F_EWPT_Tot_OM_UIE,F_EWPT_Tot_CFW,F_EWPT_Tot_ES_NS,F_EWPT_Tot_Tot,F_EAFW_E,F_EAFW_OM_IE,F_EAFW_OM_UIE,F_EAFW_CFW,F_EAFW_ES_NS,F_EAFW_Tot,F_H_NS_E,F_H_NS_OM_IE,F_H_NS_OM_UIE,F_H_NS_CFW,F_H_NS_ES_NS,F_H_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_EWFT_15_19_E,P_EWFT_15_19_OM_IE,P_EWFT_15_19_OM_UIE,P_EWFT_15_19_CFW,P_EWFT_15_19_ES_NS,P_EWFT_15_19_Tot,P_EWFT_20_24_E,P_EWFT_20_24_OM_IE,P_EWFT_20_24_OM_UIE,P_EWFT_20_24_CFW,P_EWFT_20_24_ES_NS,P_EWFT_20_24_Tot,P_EWFT_25_29_E,P_EWFT_25_29_OM_IE,P_EWFT_25_29_OM_UIE,P_EWFT_25_29_CFW,P_EWFT_25_29_ES_NS,P_EWFT_25_29_Tot,P_EWFT_30_34_E,P_EWFT_30_34_OM_IE,P_EWFT_30_34_OM_UIE,P_EWFT_30_34_CFW,P_EWFT_30_34_ES_NS,P_EWFT_30_34_Tot,P_EWFT_35_39_E,P_EWFT_35_39_OM_IE,P_EWFT_35_39_OM_UIE,P_EWFT_35_39_CFW
50101,15,0,0,408,360,13,29,3,0,408,358,42,37,4,5,449,432,42,54,6,0,535,460,58,82,12,3,618,483,55,68,9,7,622,372,53,57,11,3,490,227,24,35,13,0,301,60,8,19,4,0,94,7,7,3,3,0,30,0,0,7,0,0,16,3542,300,414,79,32,4374,707,0,3,0,0,709,317,0,10,0,0,320,326,0,33,6,8,376,446,26,77,9,3,562,668,52,121,20,4,869,695,52,123,23,0,898,658,37,119,19,5,838,579,36,79,22,9,724,525,40,80,22,5,668,471,36,95,24,0,631,197,33,60,25,0,316,60,6,34,23,4,129,19,5,12,15,0,48,5659,319,853,210,42,7088,602,19,75,23,13,727,106,6,12,6,19,162,9912,652,1352,321,102,12347,342,0,0,0,0,344,676,0,23,6,0,705,823,16,52,6,0,904,894,75,95,10,11,1088,886,124,143,11
50102,24,0,4,1040,840,26,26,0,4,902,869,36,45,12,5,965,1004,49,43,8,0,1106,1167,68,67,16,8,1325,1207,53,79,16,4,1360,914,53,73,18,3,1059,544,28,41,8,4,623,125,14,13,9,7,165,16,8,7,4,0,32,6,0,0,3,0,14,8872,344,441,95,39,9787,1306,0,3,0,0,1308,687,5,12,4,0,716,704,6,32,4,4,751,975,18,77,24,0,1102,1277,31,100,18,6,1432,1173,39,81,19,5,1315,1152,42,84,16,8,1308,1093,34,82,20,13,1238,957,39,75,27,3,1098,779,42,72,29,5,918,345,20,55,32,5,460,106,14,31,21,4,179,34,8,15,10,3,68,10581,299,725,225,48,11876,1124,26,45,13,21,1233,276,9,22,17,23,353,20846,681,1233,354,130,23242,870,0,4,0,0,881,2220,7,31,6,12,2266,2515,40,78,4,11,2646,2540,93,113,4,7,2764,2684,165,130,25
50103,7,0,0,105,110,8,7,3,0,134,121,12,16,0,0,149,153,18,18,7,0,199,187,25,29,12,0,256,172,26,22,13,6,236,165,18,45,16,0,255,123,20,27,14,0,188,30,7,16,13,0,66,9,7,14,6,0,31,6,3,10,12,0,23,1339,136,218,101,10,1805,210,0,0,3,0,212,92,0,6,0,0,101,107,0,9,5,0,122,154,0,14,6,0,187,173,11,31,12,4,229,168,8,26,9,3,212,208,11,25,8,6,250,211,14,38,12,4,283,235,9,30,10,4,282,217,9,42,15,5,287,86,12,35,25,5,162,26,4,24,18,0,70,6,3,12,11,4,40,1892,81,283,135,31,2425,196,14,27,10,0,249,60,3,8,12,4,92,3485,236,539,261,48,4568,179,0,0,0,0,182,338,0,14,3,0,354,333,10,20,8,3,374,342,30,34,8,7,421,373,58,44,17
50201,25,0,4,681,507,26,33,6,0,568,618,34,38,0,0,687,667,47,42,0,3,767,815,68,58,7,3,956,860,54,56,13,0,979,630,35,70,9,9,751,367,30,37,4,4,443,94,7,20,8,0,129,11,3,0,4,0,26,3,3,0,0,0,5,5858,339,389,67,17,6673,1331,0,0,0,5,1335,988,5,25,0,3,1015,619,8,52,11,3,687,803,28,78,20,5,930,934,41,96,16,0,1081,826,23,96,19,4,972,862,21,74,19,4,982,854,44,93,14,10,1022,809,41,77,9,4,946,625,45,88,26,3,784,261,24,49,13,0,342,66,12,29,12,0,119,18,0,9,8,8,44,8991,294,766,167,59,10268,771,13,35,15,12,844,191,10,17,15,18,249,15809,653,1212,259,107,18036,438,0,3,0,0,437,1099,4,30,0,0,1132,1297,50,68,3,5,1425,1166,80,100,8,4,1360,1316,126,122,15
50301,27,0,0,1946,1631,26,46,0,0,1705,1324,46,27,10,0,1405,1203,57,32,6,0,1298,1324,86,54,5,3,1476,1336,77,54,10,3,1482,1165,72,50,12,6,1296,713,35,35,6,7,791,275,21,9,7,4,320,63,9,14,7,0,94,7,3,4,5,0,22,11995,445,353,62,23,12883,1121,3,9,0,0,1132,1830,0,29,0,4,1870,1045,3,34,0,0,1090,1287,14,47,8,0,1364,1504,40,90,10,0,1651,1280,51,94,14,0,1438,1146,75,107,27,4,1356,1109,77,128,32,5,1351,1053,60,112,21,0,1249,875,40,94,19,5,1038,493,48,61,15,4,621,171,35,34,22,0,259,85,15,23,20,3,141,13003,463,868,187,27,14549,1509,13,38,18,9,1588,213,13,14,17,28,284,26721,930,1275,286,92,29304,161,0,3,0,0,167,1481,5,22,0,0,1511,3052,40,57,3,4,3148,2893,114,99,8,4,3122,2646,172,71,15
50302,97,4,6,9182,8913,145,107,8,9,9185,7838,199,131,11,12,8196,6996,255,138,9,8,7407,6685,249,158,26,17,7131,6022,263,202,16,12,6519,4683,208,119,12,10,5027,2727,124,75,5,0,2933,928,63,44,8,6,1036,164,13,10,3,4,197,37,3,5,0,0,53,58970,1593,1103,112,89,61864,2151,4,26,6,5,2186,4350,5,77,6,4,4445,3314,30,118,4,4,3466,4470,84,174,27,13,4764,5431,148,211,44,9,5837,4476,135,200,39,3,4857,3579,121,187,35,5,3933,2948,117,202,34,6,3313,2528,99,141,26,11,2808,2161,90,143,36,9,2433,1119,65,91,23,4,1304,417,39,61,24,6,544,120,13,28,13,6,177,37055,943,1651,319,85,40065,5626,62,65,15,36,5802,1005,31,43,45,104,1228,102656,2630,2866,496,311,108960,758,6,5,0,0,765,8414,34,66,9,12,8527,17335,178,193,12,18,17743,19344,551,274,27,24,20214,20245,942,397,25
50401,21,5,0,619,538,17,36,9,0,597,479,40,33,0,0,556,473,40,35,9,0,551,498,55,60,7,0,619,551,38,45,6,0,647,412,41,33,5,0,489,261,30,25,3,0,325,90,12,11,0,0,114,26,6,9,5,0,42,0,0,0,0,0,3,4426,297,307,39,9,5082,826,0,6,0,0,839,764,4,19,0,5,796,482,4,33,8,0,528,482,30,74,12,0,595,595,38,92,20,5,742,540,36,65,13,0,663,492,29,71,6,8,603,486,32,72,11,0,604,469,30,64,10,8,585,380,27,46,10,4,466,188,23,39,15,4,270,77,10,15,8,0,112,15,8,18,8,3,45,5806,266,614,124,38,6852,439,11,22,3,11,486,141,8,15,4,19,186,10808,578,963,174,75,12594,338,0,0,0,6,339,1208,16,24,3,3,1251,1519,53,74,3,6,1659,1556,109,97,11,3,1779,1490,194,147,6
50402,3,0,0,190,149,6,12,0,0,174,158,13,15,4,0,189,190,21,20,3,0,229,202,24,33,7,0,266,227,26,27,3,0,289,205,26,31,0,0,266,121,14,16,3,0,154,40,7,5,0,0,52,4,4,3,0,0,15,4,0,3,0,0,6,1649,139,175,22,3,1988,376,0,6,0,0,387,191,0,15,0,0,206,134,0,15,0,0,158,145,8,32,5,0,184,188,11,40,11,0,247,182,17,43,8,0,251,193,17,46,9,0,269,205,20,52,8,0,292,217,27,50,16,0,301,144,22,48,12,3,222,95,11,30,3,6,136,21,11,18,8,0,57,11,0,12,3,0,30,2119,145,402,78,9,2758,174,10,14,4,0,204,37,3,3,10,9,63,3984,293,595,115,28,5009,129,0,0,0,0,135,325,0,7,0,0,338,454,7,15,0,0,483,430,38,40,0,7,513,457,49,47,9
50403,46,3,0,1597,1413,46,70,10,6,1543,1294,61,73,9,3,1441,1285,60,71,9,4,1428,1444,78,84,23,6,1638,1376,98,102,16,8,1597,1077,82,81,22,5,1258,681,58,41,5,3,793,180,21,17,11,0,228,28,7,3,10,0,42,4,7,9,3,0,17,11620,550,602,117,32,12921,1841,0,10,6,3,1873,1453,3,26,9,0,1495,982,4,71,13,6,1080,1227,41,151,33,4,1449,1300,56,149,39,3,1546,1205,64,124,33,4,1430,1091,58,119,36,3,1304,1026,59,104,20,9,1217,918,63,98,26,11,1121,756,44,93,29,3,928,342,49,43,26,0,460,99,20,23,16,0,160,39,6,13,9,0,69,12293,470,1014,291,52,14116,1165,23,29,20,16,1251,341,16,31,13,23,433,25411,1059,1678,445,123,28716,870,0,9,0,0,882,2888,17,41,3,6,2956,4127,109,140,6,5,4379,4171,256,252,20,12,4717,4005,365,240,25
50501,47,4,0,1372,1101,40,46,0,4,1189,956,61,71,3,0,1094,1037,78,74,4,0,1192,1327,89,107,13,5,1536,1396,98,110,8,10,1626,1110,86,79,9,3,1287,643,54,29,8,4,737,169,24,29,4,0,223,40,6,7,0,0,54,5,5,0,0,0,11,10212,546,625,63,28,11472,2543,5,12,4,6,2567,1937,0,35,7,5,1978,1018,11,71,7,0,1109,1224,38,147,21,3,1432,1493,75,195,34,4,1805,1479,79,210,43,6,1825,1537,77,189,38,4,1834,1504,68,194,22,8,1793,1365,80,151,29,5,1629,1103,76,146,30,4,1355,450,38,75,37,0,600,139,26,44,15,0,222,37,6,12,6,3,67,15829,589,1475,287,55,18232,1227,27,62,12,9,1338,277,10,18,13,12,334,27544,1170,2172,377,107,31377,414,0,4,0,3,425,1658,4,56,0,4,1720,2335,48,133,7,0,2528,2099,177,143,12,4,2439,1962,293,194,9
