POW_SA3_CODE_2021,TaTW_1500_1749_A_45_54,TaTW_1500_1749_A_55_64,TaTW_1500_1749_A_65_74,TaTW_1500_1749_A_75ov,TaTW_1500_1749_Tot,TaTW_1750_1999_A_15_19,TaTW_1750_1999_A_20_24,TaTW_1750_1999_A_25_34,TaTW_1750_1999_A_35_44,TaTW_1750_1999_A_45_54,TaTW_1750_1999_A_55_64,TaTW_1750_1999_A_65_74,TaTW_1750_1999_A_75ov,TaTW_1750_1999_Tot,TaTW_2000_2999_A_15_19,TaTW_2000_2999_A_20_24,TaTW_2000_2999_A_25_34,TaTW_2000_2999_A_35_44,TaTW_2000_2999_A_45_54,TaTW_2000_2999_A_55_64,TaTW_2000_2999_A_65_74,TaTW_2000_2999_A_75ov,TaTW_2000_2999_Tot,TaTW_3000_3499_A_15_19,TaTW_3000_3499_A_20_24,TaTW_3000_3499_A_25_34,TaTW_3000_3499_A_35_44,TaTW_3000_3499_A_45_54,TaTW_3000_3499_A_55_64,TaTW_3000_3499_A_65_74,TaTW_3000_3499_A_75ov,TaTW_3000_3499_Tot,TaTW_3500mo_A_15_19,TaTW_3500mo_A_20_24,TaTW_3500mo_A_25_34,TaTW_3500mo_A_35_44,TaTW_3500mo_A_45_54,TaTW_3500mo_A_55_64,TaTW_3500mo_A_65_74,TaTW_3500mo_A_75ov,TaTW_3500mo_Tot,TaTW_PINS_A_15_19,TaTW_PINS_A_20_24,TaTW_PINS_A_25_34,TaTW_PINS_A_35_44,TaTW_PINS_A_45_54,TaTW_PINS_A_55_64,TaTW_PINS_A_65_74,TaTW_PINS_A_75ov,TaTW_PINS_Tot,TaTW_Tot_A_15_19,TaTW_Tot_A_20_24,TaTW_Tot_A_25_34,TaTW_Tot_A_35_44,TaTW_Tot_A_45_54,TaTW_Tot_A_55_64,TaTW_Tot_A_65_74,TaTW_Tot_A_75ov,TaTW_Tot_Tot,CoPSW_NNI_A_15_19,CoPSW_NNI_A_20_24,CoPSW_NNI_A_25_34,CoPSW_NNI_A_35_44,CoPSW_NNI_A_45_54,CoPSW_NNI_A_55_64,CoPSW_NNI_A_65_74,CoPSW_NNI_A_75ov,CoPSW_NNI_Tot,CoPSW_1_149_A_15_19,CoPSW_1_149_A_20_24,CoPSW_1_149_A_25_34,CoPSW_1_149_A_35_44,CoPSW_1_149_A_45_54,CoPSW_1_149_A_55_64,CoPSW_1_149_A_65_74,CoPSW_1_149_A_75ov,CoPSW_1_149_Tot,CoPSW_150_299_A_15_19,CoPSW_150_299_A_20_24,CoPSW_150_299_A_25_34,CoPSW_150_299_A_35_44,CoPSW_150_299_A_45_54,CoPSW_150_299_A_55_64,CoPSW_150_299_A_65_74,CoPSW_150_299_A_75ov,CoPSW_150_299_Tot,CoPSW_300_399_A_15_19,CoPSW_300_399_A_20_24,CoPSW_300_399_A_25_34,CoPSW_300_399_A_35_44,CoPSW_300_399_A_45_54,CoPSW_300_399_A_55_64,CoPSW_300_399_A_65_74,CoPSW_300_399_A_75ov,CoPSW_300_399_Tot,CoPSW_400_499_A_15_19,CoPSW_400_499_A_20_24,CoPSW_400_499_A_25_34,CoPSW_400_499_A_35_44,CoPSW_400_499_A_45_54,CoPSW_400_499_A_55_64,CoPSW_400_499_A_65_74,CoPSW_400_499_A_75ov,CoPSW_400_499_Tot,CoPSW_500_649_A_15_19,CoPSW_500_649_A_20_24,CoPSW_500_649_A_25_34,CoPSW_500_649_A_35_44,CoPSW_500_649_A_45_54,CoPSW_500_649_A_55_64,CoPSW_500_649_A_65_74,CoPSW_500_649_A_75ov,CoPSW_500_649_Tot,CoPSW_650_799_A_15_19,CoPSW_650_799_A_20_24,CoPSW_650_799_A_25_34,CoPSW_650_799_A_35_44,CoPSW_650_799_A_45_54,CoPSW_650_799_A_55_64,CoPSW_650_799_A_65_74,CoPSW_650_799_A_75ov,CoPSW_650_799_Tot,CoPSW_800_999_A_15_19,CoPSW_800_999_A_20_24,CoPSW_800_999_A_25_34,CoPSW_800_999_A_35_44,CoPSW_800_999_A_45_54,CoPSW_800_999_A_55_64,CoPSW_800_999_A_65_74,CoPSW_800_999_A_75ov,CoPSW_800_999_Tot,CoPSW_1000_1249_A_15_19,CoPSW_1000_1249_A_20_24,CoPSW_1000_1249_A_25_34,CoPSW_1000_1249_A_35_44,CoPSW_1000_1249_A_45_54,CoPSW_1000_1249_A_55_64,CoPSW_1000_1249_A_65_74,CoPSW_1000_1249_A_75ov,CoPSW_1000_1249_Tot,CoPSW_1250_1499_A_15_19,CoPSW_1250_1499_A_20_24,CoPSW_1250_1499_A_25_34,CoPSW_1250_1499_A_35_44,CoPSW_1250_1499_A_45_54,CoPSW_1250_1499_A_55_64,CoPSW_1250_1499_A_65_74,CoPSW_1250_1499_A_75ov,CoPSW_1250_1499_Tot,CoPSW_1500_1749_A_15_19,CoPSW_1500_1749_A_20_24,CoPSW_1500_1749_A_25_34,CoPSW_1500_1749_A_35_44,CoPSW_1500_1749_A_45_54,CoPSW_1500_1749_A_55_64,CoPSW_1500_1749_A_65_74,CoPSW_1500_1749_A_75ov,CoPSW_1500_1749_Tot,CoPSW_1750_1999_A_15_19,CoPSW_1750_1999_A_20_24,CoPSW_1750_1999_A_25_34,CoPSW_1750_1999_A_35_44,CoPSW_1750_1999_A_45_54,CoPSW_1750_1999_A_55_64,CoPSW_1750_1999_A_65_74,CoPSW_1750_1999_A_75ov,CoPSW_1750_1999_Tot,CoPSW_2000_2999_A_15_19,CoPSW_2000_2999_A_20_24,CoPSW_2000_2999_A_25_34,CoPSW_2000_2999_A_35_44,CoPSW_2000_2999_A_45_54,CoPSW_2000_2999_A_55_64,CoPSW_2000_2999_A_65_74,CoPSW_2000_2999_A_75ov,CoPSW_2000_2999_Tot,CoPSW_3000_3499_A_15_19,CoPSW_3000_3499_A_20_24,CoPSW_3000_3499_A_25_34,CoPSW_3000_3499_A_35_44,CoPSW_3000_3499_A_45_54,CoPSW_3000_3499_A_55_64,CoPSW_3000_3499_A_65_74,CoPSW_3000_3499_A_75ov,CoPSW_3000_3499_Tot,CoPSW_3500mo_A_15_19,CoPSW_3500mo_A_20_24,CoPSW_3500mo_A_25_34,CoPSW_3500mo_A_35_44,CoPSW_3500mo_A_45_54,CoPSW_3500mo_A_55_64,CoPSW_3500mo_A_65_74,CoPSW_3500mo_A_75ov,CoPSW_3500mo_Tot,CoPSW_PINS_A_15_19,CoPSW_PINS_A_20_24,CoPSW_PINS_A_25_34,CoPSW_PINS_A_35_44,CoPSW_PINS_A_45_54,CoPSW_PINS_A_55_64
50101,71,52,12,0,312,0,5,48,56,48,32,3,0,191,0,4,60,71,49,19,5,0,214,0,0,3,12,7,3,0,0,34,0,0,3,9,9,4,5,0,27,0,0,5,10,3,7,4,0,27,207,328,748,819,622,472,135,7,3337,9,0,0,4,3,0,0,0,18,229,0,10,17,12,7,0,0,271,70,10,20,21,12,7,13,0,155,23,20,26,33,32,32,9,0,181,34,25,45,43,36,40,5,0,235,26,32,68,87,58,55,10,0,345,34,49,99,113,114,83,13,0,504,27,54,122,102,110,80,9,0,507,7,30,78,87,114,74,7,0,389,0,8,40,41,32,30,4,0,151,0,5,19,19,23,12,6,0,88,0,0,9,15,17,11,0,0,57,0,0,12,21,21,22,3,0,74,0,0,0,0,7,0,0,0,11,0,0,0,0,0,4,0,0,4,3,3,8,4,7,9
50102,183,121,18,0,816,0,50,194,209,186,137,26,0,799,0,55,417,470,474,311,40,0,1765,0,7,77,93,137,76,11,0,404,3,5,29,83,74,63,9,0,265,10,6,14,12,17,15,0,0,74,461,890,1874,1803,1744,1253,248,12,8280,7,0,9,3,5,8,0,0,26,182,17,17,24,16,8,6,0,265,89,30,47,27,33,19,9,0,244,52,38,52,56,26,28,9,0,264,50,49,76,83,61,46,16,0,393,65,85,112,153,146,128,30,0,722,47,114,145,171,223,142,30,5,877,26,112,153,185,207,151,22,0,843,6,78,128,121,214,159,28,5,739,4,28,62,95,105,80,14,0,391,0,10,51,71,84,75,9,0,301,0,0,25,50,72,52,4,0,203,0,0,33,66,71,61,4,0,231,0,0,0,6,5,8,0,0,20,0,0,0,4,11,3,0,0,17,6,9,8,11,8,4
50103,35,32,5,0,134,0,5,14,16,21,8,0,0,71,0,0,28,33,40,31,3,0,145,0,0,11,4,14,7,3,0,37,0,0,7,6,0,9,0,0,22,0,5,3,0,6,0,0,0,20,91,114,234,212,247,244,87,3,1236,4,0,0,0,0,0,0,0,8,36,5,6,0,0,9,0,0,53,12,0,3,3,3,7,6,0,44,4,0,11,10,12,6,5,0,48,8,10,6,20,16,18,5,0,83,14,6,14,16,33,32,11,3,134,10,11,29,26,24,31,15,0,150,4,11,18,30,51,29,6,0,147,0,9,16,15,24,34,3,4,114,0,3,5,5,16,16,4,0,45,0,0,6,9,3,5,0,0,19,0,0,0,0,5,4,0,0,18,0,0,5,9,8,5,0,0,32,0,0,0,0,4,0,0,0,7,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0
50201,91,63,5,0,372,0,9,64,59,72,57,7,0,260,0,13,132,175,151,125,17,0,616,0,0,29,40,39,26,3,0,128,0,0,11,19,29,9,5,0,76,10,0,3,5,6,13,0,0,36,282,481,1020,907,869,718,136,20,4432,6,3,4,3,9,5,0,0,25,213,27,17,30,7,7,0,0,307,117,55,48,47,35,27,6,0,330,59,63,66,63,40,39,13,0,341,39,87,70,70,66,61,19,0,423,39,115,140,129,149,93,22,0,693,23,119,160,180,177,148,25,0,837,20,108,158,176,204,150,25,0,838,4,50,109,153,179,166,10,0,686,5,22,67,65,78,45,3,4,287,0,10,35,53,51,45,0,0,203,0,3,22,40,43,22,0,0,133,0,3,23,31,55,22,0,0,138,0,0,0,5,3,4,0,0,6,0,0,3,4,3,0,0,0,15,4,5,7,14,12,0
50301,109,97,27,3,482,0,8,57,65,79,41,15,3,261,0,0,65,82,78,41,13,4,290,0,0,9,9,17,9,5,0,43,0,0,3,13,11,7,4,0,40,0,4,8,4,7,0,0,0,24,122,426,1056,862,747,569,169,15,3964,17,3,5,4,4,5,3,0,41,386,92,14,15,7,12,0,0,528,220,237,46,21,9,18,3,0,558,76,179,61,46,30,22,10,0,428,55,197,79,54,29,31,18,0,471,46,224,170,88,73,64,24,0,691,19,188,176,113,89,97,46,5,731,16,136,244,138,126,106,39,0,803,10,90,240,184,177,156,37,0,899,3,47,125,103,82,87,17,5,474,0,15,72,76,48,49,12,0,275,0,12,52,52,34,22,9,0,180,0,8,82,84,56,45,8,0,280,0,0,8,14,12,3,3,0,43,0,0,11,3,22,4,4,0,46,0,12,6,3,3,0
50302,343,235,42,4,1678,0,38,308,428,330,183,45,0,1336,0,45,657,1025,762,470,66,0,3025,0,8,201,361,327,158,35,0,1085,0,14,229,466,445,242,31,0,1424,3,15,36,28,33,20,7,0,149,392,1378,4619,4587,3342,2117,486,32,16954,23,15,22,17,4,4,4,0,90,416,136,37,41,15,15,8,0,671,290,366,136,92,69,44,16,0,1012,160,395,239,131,88,62,20,3,1099,126,444,325,133,103,81,24,5,1248,75,583,598,279,195,148,58,5,1938,67,520,706,358,244,204,56,4,2167,48,441,809,484,305,260,80,5,2430,22,278,800,550,376,365,85,8,2486,5,127,507,394,264,218,38,7,1556,13,76,368,293,229,159,24,0,1152,0,33,257,259,264,149,17,0,983,0,23,269,418,556,243,26,0,1527,0,5,17,27,75,32,5,0,157,0,7,20,27,35,28,3,0,125,16,20,37,23,14,10
50401,126,100,16,0,560,0,14,77,107,93,70,16,0,385,0,9,87,135,141,76,22,0,469,0,0,11,18,22,10,6,0,71,0,0,4,12,20,10,0,0,46,0,6,12,7,13,5,5,0,45,228,562,1128,1088,943,783,210,20,4977,4,6,3,5,6,0,0,0,18,137,22,3,12,5,4,0,0,182,78,53,25,26,19,13,4,0,226,48,53,24,40,29,15,12,0,221,25,75,52,33,38,26,6,0,264,26,77,99,80,91,54,23,4,449,7,67,113,100,102,75,21,0,493,9,84,162,115,128,68,14,0,584,0,43,143,121,115,96,16,0,543,4,6,63,64,48,53,10,0,248,0,3,40,42,33,25,5,0,154,0,3,20,33,23,18,0,0,103,0,6,33,67,72,42,0,0,218,0,0,0,8,7,11,0,0,27,0,0,3,0,6,6,0,0,13,0,3,3,4,7,4
50402,32,28,11,0,151,0,4,19,37,24,11,4,0,98,0,8,33,22,46,10,3,0,116,0,0,5,0,8,4,0,0,16,0,0,0,4,0,0,0,0,11,0,3,0,3,0,5,3,0,19,63,141,302,301,322,219,91,8,1444,0,0,0,8,0,0,0,0,4,61,4,0,6,7,3,0,0,82,31,15,16,10,7,6,0,0,85,22,8,12,13,11,7,0,0,67,11,19,18,11,20,8,7,0,92,9,28,23,27,31,18,8,3,152,13,24,26,35,34,21,7,0,167,0,17,32,41,50,49,8,0,199,0,13,23,37,38,29,10,0,152,0,4,26,23,18,31,6,0,111,0,7,30,48,51,60,12,0,202,0,0,26,35,40,46,0,0,144,0,0,10,27,21,27,6,0,89,0,0,0,0,6,0,0,0,4,0,0,0,0,5,0,0,0,3,3,0,0,0,0,0
50403,274,202,42,0,1244,0,27,234,234,213,126,16,0,847,0,34,373,340,296,168,26,0,1236,0,3,79,58,44,27,3,0,218,0,4,41,65,48,25,0,0,183,0,10,25,23,15,14,3,0,95,512,1097,2821,2338,1946,1374,330,27,10450,4,4,11,10,4,3,0,0,38,282,36,20,20,11,9,4,0,378,166,105,59,53,33,22,8,0,445,88,95,54,65,50,27,8,0,387,50,106,105,82,75,47,9,4,479,57,167,171,138,131,100,32,3,795,22,185,247,226,155,118,43,0,1007,21,131,289,228,249,122,19,0,1070,10,96,244,226,226,160,33,0,994,5,55,147,141,110,77,15,0,549,0,22,99,107,125,77,14,3,444,0,10,68,103,108,70,9,0,375,0,3,61,122,186,168,5,0,556,0,0,3,8,13,5,4,0,35,0,0,4,4,13,9,0,0,32,0,13,14,5,13,7
50501,124,76,23,0,522,0,3,58,56,76,43,12,0,254,0,4,66,85,97,52,10,0,318,0,4,10,23,20,9,0,0,70,0,0,17,15,16,11,5,0,63,3,3,15,3,7,17,0,0,59,224,493,1133,1106,1055,759,247,18,5031,14,8,6,8,5,3,0,0,45,480,64,26,40,16,22,3,0,644,272,144,67,69,59,42,6,0,657,131,160,75,67,78,60,15,0,590,101,158,116,110,114,97,31,0,728,68,215,213,159,202,162,44,0,1063,46,209,203,195,224,187,29,0,1097,24,212,329,237,307,205,24,3,1341,14,159,318,218,264,160,31,4,1168,3,59,127,114,105,98,16,0,517,0,25,94,74,65,47,5,0,316,0,15,60,80,79,35,0,0,269,0,0,45,118,118,65,0,0,343,0,0,3,3,8,0,0,0,16,0,0,5,5,4,4,0,0,14,6,15,8,7,15,18
