POW_SA3_CODE_2021,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
50101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,5,5,0,0,0,34,10,12,5,5,0,0,0,40,40,216,543,574,529,350,79,2331,648,432,555,428,545,229,21,2846,31,24,31,25,25,11,8,148,3116,3527,4964,5063,4119,1402,204,22399
50102,0,0,3,0,0,0,0,3,6,0,4,0,0,0,0,9,24,32,35,18,8,3,0,107,25,34,32,18,7,3,0,125,56,245,450,486,505,306,80,2124,1151,1000,1030,1041,1097,285,34,5631,33,40,51,48,35,14,27,249,6936,8492,9996,10633,8465,2194,298,47015
50103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,3,0,0,0,0,0,11,23,80,184,265,316,269,92,1230,173,145,139,168,238,112,20,1001,17,9,15,6,20,9,11,94,1124,1315,1631,2079,2168,939,216,9475
50201,10,15,10,4,0,0,0,33,11,0,0,0,0,0,0,8,28,16,11,7,3,0,4,68,50,34,16,12,6,0,4,113,48,236,399,474,476,258,66,1954,1173,723,654,695,657,200,19,4121,21,25,35,23,21,10,18,153,5658,5289,5918,6432,5349,1404,185,30240
50301,62,99,65,87,67,14,0,403,11,5,6,0,7,0,0,31,19,52,30,20,8,4,3,134,93,151,100,106,86,24,4,566,148,402,766,1060,894,482,187,3941,1257,1419,1203,813,830,324,60,5901,34,35,35,13,14,12,15,152,6972,10460,9765,9025,7358,2516,471,46564
50302,429,648,686,441,258,47,4,2515,29,61,49,21,6,3,0,165,159,407,336,176,97,21,5,1210,609,1122,1071,636,368,74,8,3892,649,4583,7781,6021,3110,968,154,23270,3406,5893,5707,3525,3018,1021,102,22668,106,206,154,131,77,43,49,765,21634,53224,57463,45311,28819,7480,779,214707
50401,20,15,9,6,3,0,0,61,12,5,0,0,0,0,0,20,41,43,25,8,7,0,0,127,76,62,38,16,13,0,5,215,48,265,475,460,322,191,34,1790,813,484,409,345,353,148,17,2571,19,34,27,20,11,9,0,117,4694,5489,5754,5358,4321,1383,163,27166
50402,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,12,8,0,7,4,0,0,26,12,9,3,8,3,0,0,38,19,111,212,293,300,151,37,1126,310,162,158,164,194,83,9,1076,8,6,14,0,15,3,0,51,1610,1593,1844,2122,1939,643,100,9849
50403,34,26,12,7,6,0,0,89,7,3,0,0,0,0,0,14,78,82,48,32,19,0,0,267,112,114,65,46,22,0,0,363,88,557,866,786,670,300,74,3344,1722,1432,1131,989,872,298,45,6488,47,59,57,41,36,16,4,254,10432,13789,13602,12938,9775,2570,348,63447
50501,61,23,18,11,13,9,0,134,7,0,5,0,0,0,0,8,50,45,20,12,15,0,0,150,118,67,38,26,28,10,0,292,122,528,1120,1322,1179,569,87,4922,2189,1155,1088,907,890,304,34,6572,25,29,20,29,14,7,4,143,10096,9043,9579,10281,8100,2313,228,49633
50502,67,59,29,27,19,7,0,209,16,5,7,3,5,0,0,31,93,106,68,36,23,10,0,343,178,175,104,69,41,16,0,581,168,989,1827,1648,1289,574,154,6658,2106,1653,1372,1010,1060,464,58,7718,47,87,52,43,31,17,12,296,11963,16981,17239,15698,11879,3724,501,77993
50503,31,10,11,10,5,0,0,59,10,0,0,0,0,0,0,13,78,47,35,26,17,0,0,193,119,54,44,33,17,0,0,271,139,681,1055,1026,754,306,50,4012,1551,974,847,673,641,199,21,4906,34,52,44,30,27,7,12,198,9770,10771,11361,10615,7561,1935,202,52222
50601,13,5,4,7,0,0,0,30,4,0,0,0,0,0,0,4,37,18,18,3,3,0,0,80,49,32,22,7,9,0,0,118,46,265,395,333,258,127,29,1458,717,540,416,355,338,122,9,2487,21,22,20,25,5,8,4,98,3830,4675,4680,3998,2982,913,103,21189
50602,48,67,24,17,22,0,0,179,13,10,8,11,0,0,0,38,81,142,104,55,32,4,4,424,147,213,134,79,56,5,4,643,107,553,907,693,472,210,41,2982,1691,1939,1735,1192,1046,310,41,7942,51,71,43,50,26,8,7,261,9426,16287,16043,12932,9210,2369,242,66512
