SUA_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
5000,44,53,29,28,14,0,0,0,166,13,39,33,31,25,0,0,0,134,27,197,419,842,1196,2036,913,407,6034,84,286,478,897,1228,2036,913,407,6331,12557,13953,15013,16554,17705,13682,6019,1220,96698,2356,4095,4053,3836,3001,1817,900,277,20334,14995,18334,19542,21290,21931,17536,7829,1899,123367,13,11,5,12,4,0,0,0,48,3,6,5,9,3,0,0,0,33,14,29,101,207,264,209,88,39,959,28,52,118,226,272,209,88,39,1037,11230,13983,15301,16255,17733,13531,6173,1974,96187,1712,1988,2000,1980,1857,1412,845,411,12199,12973,16031,17415,18455,19866,15145,7115,2421,109415,63,69,35,32,16,0,0,0,214,11,48,37,42,25,0,0,0,163,38,224,522,1053,1458,2243,1006,448,6993,110,336,593,1126,1499,2243,1006,448,7369,23791,27939,30312,32809,35440,27207,12190,3188,192886,4064,6083,6058,5816,4854,3233,1749,683,32530,27970,34362,36962,39751,41796,32681,14942,4317,232781
5001,0,0,0,0,0,0,0,0,4,4,7,5,10,3,0,0,0,28,5,19,33,100,131,247,135,115,785,6,27,44,107,135,247,135,115,816,1843,1688,1594,1812,1973,1788,1027,327,12054,125,248,216,154,140,126,66,43,1110,1975,1961,1856,2067,2247,2155,1229,481,13971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,34,34,15,14,120,0,4,9,23,34,34,15,14,126,1717,1730,1893,2243,2397,2207,1364,571,14119,87,82,82,94,116,122,96,67,744,1806,1816,1985,2357,2543,2360,1475,654,14988,0,0,0,0,0,0,0,0,4,4,7,7,10,3,0,0,0,31,5,20,37,114,162,282,151,128,906,6,28,48,128,170,282,151,128,942,3556,3413,3490,4055,4373,3990,2394,905,26171,215,331,301,248,251,244,159,107,1855,3781,3773,3839,4425,4793,4515,2701,1133,28964
5002,0,4,0,0,0,0,0,0,6,0,8,3,7,0,0,0,0,18,3,10,19,52,43,36,19,8,199,3,21,30,55,48,36,19,8,217,597,864,899,805,602,342,80,18,4204,145,195,175,187,137,61,16,6,924,743,1081,1106,1048,783,438,118,33,5349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,6,12,13,8,3,0,38,0,4,10,11,13,8,3,0,41,665,1175,1131,855,674,318,99,23,4951,141,241,172,157,104,56,21,12,898,812,1424,1310,1024,791,380,123,31,5887,0,4,0,0,0,0,0,0,6,0,5,4,4,0,0,0,0,17,3,19,26,60,60,45,20,8,234,3,25,39,65,57,45,20,8,260,1264,2044,2030,1657,1276,660,178,41,9158,285,432,350,347,242,114,37,19,1818,1552,2504,2413,2075,1573,819,237,63,11236
5003,0,4,4,3,3,0,0,0,8,4,4,8,5,7,0,0,0,28,13,43,104,217,262,504,309,130,1594,17,49,115,230,277,504,309,130,1631,4051,4032,4327,4209,4055,3059,1506,361,25614,270,513,509,415,325,232,110,89,2463,4345,4599,4952,4853,4657,3798,1919,588,29714,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,16,27,45,70,62,31,17,270,5,19,31,45,74,62,31,17,277,4097,4503,4877,4895,4678,3812,2046,776,29687,187,277,211,211,197,187,164,161,1588,4290,4800,5117,5149,4947,4065,2244,957,31553,0,0,7,3,5,0,0,0,16,9,8,5,5,7,0,0,0,32,17,58,132,270,339,566,339,152,1868,23,65,145,276,345,566,339,152,1912,8148,8538,9204,9100,8736,6876,3550,1140,55304,455,792,718,624,517,417,275,253,4056,8636,9396,10065,10003,9605,7859,4162,1539,61269
5004,0,3,0,0,0,0,0,0,3,0,6,4,7,0,0,0,0,15,0,20,50,105,120,297,220,116,933,0,27,48,118,125,297,220,116,952,1822,1643,2154,2327,2218,2247,1136,247,13780,104,181,201,196,167,128,89,38,1107,1927,1851,2401,2639,2512,2666,1448,404,15832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,10,34,34,48,24,16,172,3,4,13,31,34,48,24,16,180,1615,1818,2601,2699,2671,2638,1366,579,16003,114,136,134,117,134,143,115,45,934,1731,1957,2746,2849,2833,2834,1509,645,17118,0,3,0,0,0,0,0,0,4,0,5,0,9,0,0,0,0,18,0,24,53,140,150,344,248,140,1101,0,29,61,148,154,344,248,140,1127,3429,3461,4758,5028,4888,4881,2505,828,29785,219,313,333,314,299,273,208,82,2038,3654,3811,5149,5485,5341,5494,2956,1045,32951
5005,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,6,13,37,85,39,24,218,0,4,6,15,35,85,39,24,223,607,558,595,686,704,504,310,72,4034,94,74,66,102,75,63,60,9,551,701,636,668,803,822,652,414,103,4811,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,4,0,30,3,0,0,4,9,10,4,0,35,542,631,638,706,737,593,391,149,4389,66,60,89,62,60,62,48,15,471,606,692,728,777,803,670,447,168,4895,4,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,9,19,45,93,47,28,247,3,10,9,22,45,93,47,28,252,1146,1187,1236,1393,1442,1099,707,221,8431,160,134,155,169,140,131,106,24,1016,1311,1333,1398,1582,1627,1322,858,275,9700
5006,0,4,5,0,3,0,0,0,9,0,6,8,3,3,0,0,0,18,6,24,42,86,127,251,118,96,742,4,33,50,91,130,251,118,96,773,2024,1920,1945,2164,2145,1481,775,195,12649,249,317,315,287,237,124,96,56,1686,2276,2270,2309,2540,2516,1860,992,349,15104,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,16,26,28,29,16,4,112,3,6,16,29,28,29,16,4,115,2024,2121,2204,2489,2297,1811,968,378,14298,196,211,238,191,157,143,103,94,1343,2218,2340,2456,2710,2485,1980,1088,477,15759,0,5,5,0,3,0,0,0,12,0,10,8,5,3,0,0,0,21,3,23,54,112,153,279,129,99,856,5,36,62,117,163,279,129,99,887,4045,4043,4153,4656,4439,3295,1744,575,26942,444,532,555,479,391,272,200,148,3024,4489,4610,4767,5253,4994,3839,2078,828,30859
5007,0,3,0,0,4,0,0,0,9,7,3,5,4,3,0,0,0,19,5,22,46,92,101,92,41,18,426,9,33,51,95,109,92,41,18,456,1658,2073,1914,1703,1548,768,266,36,9957,230,334,294,257,211,116,41,12,1502,1893,2434,2255,2059,1866,980,354,60,11910,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,10,14,11,7,3,4,61,7,9,11,14,11,7,3,4,68,1503,2062,1875,1654,1383,697,287,114,9564,175,235,200,161,141,82,27,24,1047,1688,2308,2085,1829,1526,785,322,138,10682,4,4,0,0,4,0,0,0,11,7,4,5,4,3,0,0,0,22,3,32,54,103,115,104,48,21,484,20,41,61,110,118,104,48,21,523,3155,4134,3783,3357,2927,1461,555,148,19527,409,573,499,416,351,201,69,31,2549,3575,4745,4344,3889,3399,1770,669,202,22592
5008,3,5,15,5,0,0,0,0,34,0,11,5,4,0,0,0,0,24,0,29,51,70,57,20,0,0,230,9,47,68,83,59,20,0,0,280,813,1250,1411,972,600,161,30,4,5245,174,264,300,211,126,37,5,0,1120,992,1557,1780,1266,787,222,41,5,6644,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,3,3,4,17,17,16,0,0,0,56,3,4,19,20,16,0,0,0,65,692,1386,1331,929,446,140,28,5,4958,130,245,219,148,80,25,4,0,839,820,1633,1571,1092,544,164,37,8,5868,3,5,13,11,0,0,0,0,33,0,11,5,4,0,0,0,0,26,3,29,69,85,72,21,0,0,286,13,49,92,104,73,21,0,0,347,1503,2637,2747,1898,1047,299,62,6,10200,298,510,523,349,206,61,14,0,1959,1816,3195,3353,2357,1328,384,75,11,12514
5009,556,1351,773,441,169,0,0,0,3293,213,476,368,334,271,0,0,0,1658,273,1780,3186,5445,6561,9411,6271,3143,36069,1034,3614,4321,6214,7004,9411,6271,3143,41022,121530,133034,136037,119764,102474,76524,38518,10604,738489,6548,11125,10006,8117,6073,3792,2904,1963,50521,129112,147770,150366,134098,115557,89720,47690,15710,830028,268,343,171,71,30,0,0,0,885,58,125,91,82,36,0,0,0,392,102,379,755,1354,1428,1123,709,433,6280,434,850,1021,1502,1492,1123,709,433,7564,118658,145103,146683,130856,116234,93570,49994,20920,822013,5472,7899,6362,5029,4140,3825,3941,3597,40254,124559,153847,154065,137390,121867,98515,54641,24953,869829,826,1694,946,513,204,0,0,0,4180,264,606,458,414,309,0,0,0,2054,377,2161,3935,6794,7989,10530,6982,3583,42353,1469,4457,5340,7720,8498,10530,6982,3583,48581,240194,278141,282721,250615,218710,170095,88507,31522,1560495,12017,19022,16371,13150,10210,7613,6841,5556,90773,253674,301619,304430,271487,237421,188232,102330,40664,1699854
