SUA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
5000,71946,66410,138352,12098,12379,24474,948,858,1814,906,871,1778,1355,1164,2516,431,417,853,24655,24310,48969,214,201,413,454,389,847,52,38,92,21,21,39,29041,28279,57326,3178,3236,6417,813,658,1472,45127,44551,89684,24301,15287,39590,141375,126252,267626
5001,8776,9348,18127,1527,1731,3258,71,84,162,48,70,122,77,57,132,23,35,56,3789,4284,8071,12,22,37,31,36,57,8,13,19,0,0,0,4059,4597,8657,333,341,677,130,131,259,6051,6799,12854,1358,984,2339,16185,17133,33316
5002,2564,2608,5170,1063,1186,2247,95,100,194,117,146,265,102,112,213,37,40,76,1107,1326,2435,14,12,29,55,69,125,4,10,18,5,0,5,1541,1817,3351,211,330,544,71,57,127,2879,3390,6273,1113,1049,2158,6556,7051,13600
5003,19348,20223,39569,2854,3078,5935,176,188,369,189,174,361,218,248,469,79,67,139,8161,9265,17425,52,66,116,140,136,276,13,16,24,0,0,0,9034,10155,19185,827,1005,1835,318,271,589,13027,14515,27540,2847,1929,4774,35222,36658,71881
5004,9797,10248,20048,2309,2481,4792,110,139,250,118,123,242,104,120,221,40,32,71,4272,4781,9045,26,32,57,41,55,96,8,8,11,0,0,0,4723,5288,10006,432,504,933,94,93,189,7556,8366,15923,1338,1213,2551,18696,19823,38516
5005,3010,3020,6033,960,1009,1974,25,32,56,44,38,82,47,50,97,26,17,40,689,748,1435,3,3,10,7,4,14,0,0,0,0,0,0,838,897,1730,92,112,201,42,42,79,1927,2058,3986,699,603,1306,5642,5686,11329
5006,9557,9806,19365,1512,1576,3092,96,94,190,103,127,225,104,122,230,53,41,96,3841,4306,8143,25,28,47,68,78,146,12,17,31,6,4,3,4300,4813,9110,307,362,670,147,129,276,6267,6875,13136,2059,1730,3790,17881,18409,36290
5007,6465,5831,12292,1270,1261,2531,159,142,300,165,155,315,241,212,458,84,82,159,2937,2833,5774,46,47,93,40,31,77,7,3,4,0,0,0,3686,3516,7196,722,680,1405,177,143,322,5849,5599,11453,1792,1302,3098,14108,12734,26843
5008,2416,2042,4454,1594,1484,3082,100,92,188,109,100,207,234,189,425,59,49,108,1755,1727,3481,6,13,18,95,91,186,7,9,19,0,0,0,2366,2267,4637,285,358,642,112,70,187,4358,4189,8543,1387,1108,2501,8159,7343,15504
5009,534685,553678,1088362,52198,55358,107556,7596,7901,15494,6692,7271,13967,6059,6255,12315,2090,2177,4266,240235,255087,495318,970,1096,2063,1864,1845,3709,799,816,1614,117,132,246,266414,282581,548998,49742,55431,105175,7631,6843,14479,375999,400215,776205,57785,47096,104883,968467,1000990,1969453
5010,1967,1663,3630,1301,1294,2600,182,179,354,117,103,220,314,246,555,62,43,109,1641,1567,3204,26,24,48,51,46,99,0,0,5,0,3,5,2389,2209,4597,311,337,651,75,85,163,4080,3934,8010,1278,995,2269,7321,6596,13909
