SUA_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
5000,663,2884,327,1182,557,167,136,303,48,6258,922,3138,110,1436,507,141,93,219,39,6599,1473,828,265,667,2650,643,213,546,85,7363,622,985,195,1854,734,266,142,458,73,5327,186,285,89,182,193,109,29,128,19,1219,333,52,579,527,443,265,144,353,37,2721,4,5,5,12,4,9,0,14,0,52,62,74,41,74,62,27,29,31,11,424,157,110,89,232,185,116,48,199,169,1298,5201,9215,2278,6523,5924,1962,1075,2768,532,35475,436,748,276,149,159,70,83,174,22,2104,125,151,118,48,68,43,71,104,19,748,2423,1408,8709,350,414,261,2316,1553,292,17722,730,185,1944,131,129,90,690,592,95,4583,2029,666,656,246,327,204,483,857,66,5544,842,3589,425,1394,597,184,260,392,66,7741,1218,3901,213,1534,536,158,238,288,56,8146,2609,1307,647,863,2922,892,546,836,132,10756,884,1373,332,2385,822,321,291,664,83,7155,266,417,188,233,216,149,103,226,25,1825
5001,52,609,40,282,80,41,9,34,6,1159,59,417,16,210,61,16,3,24,6,815,145,158,31,110,424,135,8,73,10,1092,79,213,28,429,109,69,8,68,4,1014,13,58,15,33,32,18,0,9,0,175,35,15,98,88,59,52,6,35,5,403,0,0,0,0,0,3,0,7,0,11,9,12,9,15,13,0,0,4,0,52,8,12,3,24,16,17,3,14,7,107,454,1608,310,1248,862,391,44,329,48,5287,50,101,33,21,25,11,9,16,0,266,14,26,44,12,12,15,14,41,0,190,177,116,791,76,42,51,186,151,27,1620,92,51,431,29,20,25,56,44,3,747,95,103,88,41,37,42,67,99,8,583,72,832,54,335,83,42,13,47,7,1485,105,587,29,236,70,20,18,35,6,1110,289,277,61,151,475,202,45,113,12,1617,106,312,53,551,118,87,29,92,10,1365,23,94,31,46,38,34,5,33,0,299
5002,45,415,13,58,42,10,0,15,0,602,43,253,5,102,26,10,0,0,0,441,125,80,17,76,217,60,3,43,4,619,68,139,10,124,69,28,3,25,7,467,13,41,9,27,20,4,6,4,0,124,25,11,26,50,40,17,0,20,0,185,0,0,0,0,0,0,0,0,0,0,9,11,0,7,7,0,0,0,0,32,7,15,3,17,26,14,0,11,21,113,351,1028,95,492,491,154,25,137,41,2816,22,46,15,13,20,7,3,13,0,140,12,12,7,5,7,10,0,8,0,63,92,142,320,48,39,24,66,62,9,807,62,19,159,27,7,8,30,46,9,364,31,31,26,12,14,9,9,21,0,159,56,518,12,81,43,12,9,10,0,746,58,336,12,122,30,15,5,12,5,585,219,129,39,102,243,79,11,59,14,897,95,196,25,187,85,30,11,28,6,670,28,65,19,29,19,12,8,9,0,186
5003,96,1267,97,453,178,81,24,52,15,2268,128,1025,23,562,127,56,16,46,0,1989,336,368,91,246,1057,320,52,172,24,2663,127,377,49,905,265,133,25,138,25,2044,27,91,43,48,52,47,8,23,4,337,69,25,256,204,127,128,25,100,12,962,0,0,0,10,0,0,0,3,0,14,12,29,16,27,30,6,8,14,3,150,8,24,15,47,37,24,7,44,43,245,885,3459,811,2597,2010,871,223,712,131,11697,58,186,127,37,34,13,32,43,3,529,49,82,97,34,45,44,34,53,3,446,479,569,2998,103,188,116,607,357,79,5498,127,88,797,43,61,39,220,235,15,1626,88,103,102,26,44,21,68,101,10,571,142,1696,140,521,189,91,61,82,14,2943,200,1332,62,592,141,68,69,62,0,2522,648,632,241,303,1188,422,175,267,44,3933,182,526,81,1108,293,177,82,200,30,2688,52,132,64,67,60,61,28,52,10,525
5004,76,676,58,228,100,53,11,40,8,1255,91,516,16,270,91,49,4,51,10,1091,230,207,47,137,486,165,26,97,9,1407,94,225,39,367,128,66,14,86,3,1023,37,82,21,46,52,49,4,23,4,309,71,17,176,131,69,59,9,63,7,609,0,0,0,0,0,4,0,0,0,14,8,18,0,10,9,13,0,4,0,71,19,12,7,37,26,27,0,22,17,163,717,1901,443,1263,1036,521,87,439,69,6479,68,173,40,23,33,7,5,35,6,390,22,43,19,14,16,18,6,19,0,160,233,183,1005,46,60,64,236,195,32,2048,153,59,601,28,32,23,91,92,19,1102,146,67,112,27,29,26,47,92,5,552,102,873,78,268,106,60,29,55,13,1580,142,659,33,301,91,61,14,66,18,1381,450,391,118,181,537,254,67,169,25,2199,149,304,67,442,141,86,27,119,7,1328,60,128,54,58,51,51,7,40,0,458
5005,16,139,15,32,27,9,4,9,3,254,28,150,3,64,32,12,3,3,4,293,62,46,9,24,170,41,9,25,5,389,22,38,8,95,43,14,8,13,7,246,10,15,0,7,6,4,3,5,5,55,8,6,41,42,21,16,3,24,5,168,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,12,4,4,0,12,13,8,3,13,3,64,169,450,111,292,333,110,34,100,25,1620,13,30,9,0,9,0,0,0,0,59,6,7,4,0,0,0,3,0,3,34,83,44,359,4,24,9,106,64,12,716,29,10,115,6,6,7,37,26,7,234,49,46,41,3,6,18,31,25,10,226,27,186,15,35,30,8,16,7,3,325,50,204,8,64,32,9,9,4,3,386,99,81,26,37,182,58,30,33,6,549,28,52,17,115,48,17,10,15,9,304,10,16,4,7,10,3,6,10,5,72
5006,63,683,53,246,90,47,8,20,0,1212,72,564,11,290,67,25,5,14,3,1052,159,191,26,115,530,128,21,61,15,1242,67,228,13,396,111,51,10,35,10,923,14,31,15,18,22,33,0,19,0,158,40,9,101,111,70,45,15,37,0,433,0,0,6,0,0,5,0,0,0,9,0,3,0,15,5,3,0,7,0,39,15,11,4,22,22,13,0,15,21,123,471,1836,303,1290,978,384,78,247,64,5660,31,83,42,23,16,7,10,13,4,233,21,40,25,13,19,10,14,15,0,162,257,236,1261,80,63,70,302,242,31,2538,82,37,411,39,25,24,82,96,15,813,55,61,66,28,29,38,36,55,10,387,85,883,61,283,99,49,19,32,6,1508,114,725,24,316,73,32,16,22,7,1322,300,303,78,152,591,176,69,92,23,1794,109,303,24,500,122,63,20,63,15,1219,16,55,25,32,27,43,9,27,0,245
5007,41,388,32,123,69,33,20,21,5,722,66,363,11,161,33,4,15,11,0,668,142,118,30,72,383,101,53,54,10,970,41,153,22,197,93,33,25,33,5,609,12,24,10,8,24,3,8,3,0,94,37,17,77,74,79,38,37,37,3,404,0,0,0,0,0,4,0,0,0,10,6,10,0,12,7,0,7,7,0,44,4,13,11,24,17,9,13,21,15,135,388,1239,260,699,765,238,215,223,47,4068,35,235,37,13,20,0,13,12,0,364,14,30,24,6,7,4,11,12,0,106,285,327,1843,42,70,48,379,145,33,3175,44,15,176,20,10,8,94,33,6,399,18,24,18,9,20,4,37,23,0,150,69,491,43,140,71,30,42,23,9,922,75,450,20,168,40,4,40,13,4,820,254,194,75,95,425,124,117,86,17,1376,60,202,44,266,98,41,54,50,7,821,13,29,24,18,28,7,24,10,0,149
5008,34,225,22,49,43,9,10,5,0,400,40,284,14,80,34,4,0,10,0,473,106,91,45,56,284,76,22,45,5,727,36,96,8,137,56,24,5,27,0,390,7,26,7,7,14,5,0,0,0,73,28,5,38,41,37,28,7,13,6,211,0,0,0,0,0,0,0,0,0,3,5,0,8,9,5,0,0,0,0,38,0,12,6,10,13,9,3,7,10,71,306,809,233,407,530,162,81,126,37,2691,16,40,36,8,13,0,5,3,5,132,11,9,22,6,9,3,6,3,0,66,195,240,1151,28,69,31,158,99,42,2013,57,16,193,0,22,3,58,48,4,402,24,28,22,6,5,7,16,8,0,114,47,276,38,67,49,9,16,10,0,513,64,351,33,79,33,4,13,13,4,597,217,121,117,74,322,97,51,64,15,1091,58,124,22,185,57,25,15,42,3,544,12,34,16,12,17,9,3,6,0,111
5009,3050,41903,2737,12939,4870,1885,483,1239,441,69543,3578,25906,574,12058,3700,1290,254,895,234,48496,14492,20286,2233,8089,30123,8068,1131,3720,996,89130,5540,18008,1542,19614,9374,3017,638,2699,607,61048,1965,5495,1061,2282,2705,1897,242,724,153,16520,2365,857,6400,5707,4147,2815,577,2013,250,25127,26,35,14,103,70,72,19,82,7,431,550,1099,264,937,871,379,116,272,96,4581,577,856,379,1368,1311,688,182,649,1323,7335,36612,130288,20683,66841,62382,22573,4649,14563,4491,363076,4232,14625,3560,2255,2531,1270,757,1153,304,30686,3667,10977,3102,1363,1952,1153,1334,1455,272,25275,18346,30526,55838,3783,6065,3351,11504,8221,1692,139332,5327,4643,19228,1234,1973,1137,3170,3803,518,41030,1840,2626,2707,758,989,622,948,1613,148,12253,5103,55905,3796,16073,5479,2290,1272,1957,642,92510,5341,33592,1167,13100,4083,1529,895,1306,333,61361,33215,39627,6398,11693,37929,13234,5745,7265,1920,157023,9410,27524,3262,26245,11616,4249,2484,4651,1010,90440,3180,9420,2834,3354,3499,2942,1097,1720,271,28311
