SUA_CODE_2021,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_19,F_AgriForestFish_20_29,F_AgriForestFish_30_34,F_AgriForestFish_35_39,F_AgriForestFish_40_44,F_AgriForestFish_45_49,F_AgriForestFish_50_over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_19,F_Min_20_29,F_Min_30_34,F_Min_35_39,F_Min_40_44,F_Min_45_49,F_Min_50_over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_19,F_Mnfg_20_29,F_Mnfg_30_34,F_Mnfg_35_39,F_Mnfg_40_44,F_Mnfg_45_49,F_Mnfg_50_over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_19,F_EGW_WS_20_29,F_EGW_WS_30_34,F_EGW_WS_35_39,F_EGW_WS_40_44,F_EGW_WS_45_49,F_EGW_WS_50_over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_19,F_Cnstn_20_29,F_Cnstn_30_34,F_Cnstn_35_39,F_Cnstn_40_44,F_Cnstn_45_49,F_Cnstn_50_over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_19,F_WTrade_20_29,F_WTrade_30_34,F_WTrade_35_39,F_WTrade_40_44,F_WTrade_45_49,F_WTrade_50_over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_19,F_RTrade_20_29,F_RTrade_30_34,F_RTrade_35_39,F_RTrade_40_44,F_RTrade_45_49,F_RTrade_50_over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_19,F_AccomFoodS_20_29,F_AccomFoodS_30_34,F_AccomFoodS_35_39,F_AccomFoodS_40_44,F_AccomFoodS_45_49,F_AccomFoodS_50_over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_19,F_TransPostWhse_20_29,F_TransPostWhse_30_34,F_TransPostWhse_35_39,F_TransPostWhse_40_44,F_TransPostWhse_45_49,F_TransPostWhse_50_over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_19,F_InfoMedTelecom_20_29,F_InfoMedTelecom_30_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40_44,F_InfoMedTelecom_45_49,F_InfoMedTelecom_50_over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_19,F_FinInsurS_20_29,F_FinInsurS_30_34,F_FinInsurS_35_39,F_FinInsurS_40_44,F_FinInsurS_45_49,F_FinInsurS_50_over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_19,F_RentHirREserv_20_29,F_RentHirREserv_30_34,F_RentHirREserv_35_39,F_RentHirREserv_40_44,F_RentHirREserv_45_49,F_RentHirREserv_50_over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_19,F_ProScieTechServ_20_29,F_ProScieTechServ_30_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40_44,F_ProScieTechServ_45_49,F_ProScieTechServ_50_over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_19,F_AdminSupServ_20_29,F_AdminSupServ_30_34,F_AdminSupServ_35_39,F_AdminSupServ_40_44,F_AdminSupServ_45_49,F_AdminSupServ_50_over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_19,F_PubAdmiSafety_20_29,F_PubAdmiSafety_30_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40_44,F_PubAdmiSafety_45_49,F_PubAdmiSafety_50_over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_19,F_EducTrain_20_29,F_EducTrain_30_34,F_EducTrain_35_39,F_EducTrain_40_44,F_EducTrain_45_49,F_EducTrain_50_over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_19,F_HealthCareSocA_20_29,F_HealthCareSocA_30_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40_44,F_HealthCareSocA_45_49,F_HealthCareSocA_50_over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_19,F_ArtRecServ_20_29,F_ArtRecServ_30_34,F_ArtRecServ_35_39,F_ArtRecServ_40_44,F_ArtRecServ_45_49,F_ArtRecServ_50_over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_19,F_OthServ_20_29,F_OthServ_30_34,F_OthServ_35_39,F_OthServ_40_44,F_OthServ_45_49,F_OthServ_50_over,F_OthServ_hours_NS,F_OthServ_Tot
5000,4020,5155,3830,2820,7533,12659,5598,24125,1791,67519,301,1109,845,511,545,950,285,1280,116,5948,300,126,141,64,159,345,234,1266,46,2676,97,340,231,177,384,327,125,207,17,1911,23,33,33,25,64,61,21,31,11,300,84,268,196,104,177,283,65,236,16,1436,45,136,130,74,131,236,66,107,9,925,269,1481,1081,584,801,558,196,364,84,5416,226,1417,807,459,516,494,172,647,90,4830,88,326,320,120,178,226,70,212,27,1580,7,40,36,14,21,16,0,18,0,171,55,107,120,75,136,140,24,50,4,706,25,105,73,51,155,123,32,82,6,653,101,377,271,232,269,269,78,159,15,1771,95,546,339,188,243,191,48,203,32,1891,272,405,436,302,889,791,156,275,25,3543,497,1369,1405,980,1203,1176,501,930,87,8152,768,1649,1730,1353,1763,1213,237,610,123,9450,48,207,153,55,93,86,28,71,21,753,91,471,315,202,272,211,69,121,23,1771
5001,402,873,594,498,1352,1816,779,1486,148,7944,18,53,33,19,18,19,6,18,0,183,3,0,4,0,0,0,0,15,0,30,4,37,28,15,42,39,31,12,3,214,8,9,0,4,10,7,5,0,0,34,9,60,27,22,35,28,6,16,8,203,0,14,9,5,10,29,6,0,0,82,54,339,216,110,194,93,28,37,7,1088,28,301,146,69,78,63,16,37,9,755,10,27,24,9,19,23,4,14,0,121,0,9,9,3,17,11,5,0,0,54,4,13,18,9,44,23,8,10,0,134,12,16,19,8,42,17,12,7,0,130,16,72,57,40,62,53,8,24,6,337,9,90,34,9,38,17,6,15,8,223,33,57,53,44,121,77,20,19,0,415,48,198,203,141,148,153,49,98,4,1043,128,327,420,350,454,237,64,127,20,2125,8,30,26,11,16,10,4,6,0,110,13,72,59,41,78,33,3,16,0,325
5002,159,240,172,148,629,765,270,910,93,3389,0,0,7,0,3,0,4,10,0,32,0,4,0,0,0,3,4,13,0,23,0,0,8,0,3,6,0,6,0,34,0,0,0,0,11,3,4,0,0,16,0,15,11,3,13,31,10,12,0,90,0,0,0,0,6,3,0,4,0,20,12,86,47,28,75,49,18,27,3,350,6,58,48,38,94,47,16,51,5,359,8,12,17,21,19,35,6,26,4,152,0,3,4,0,8,8,0,0,0,33,3,4,0,3,13,5,3,3,0,38,5,4,3,4,17,14,3,10,0,68,4,15,15,10,32,17,6,20,0,121,0,28,14,15,23,22,3,22,4,138,23,10,20,21,104,63,11,27,0,279,38,62,76,74,144,103,48,87,5,640,79,88,106,148,330,189,33,82,15,1061,0,17,11,5,15,6,0,10,0,70,4,18,18,13,28,21,6,10,5,119
5003,945,1466,1015,802,2748,4279,1791,5018,282,18347,4,43,29,17,43,30,13,14,0,185,57,17,27,17,31,82,27,144,7,412,37,93,74,58,162,175,66,53,9,729,9,17,16,11,41,23,7,9,0,137,21,107,71,58,84,115,28,63,3,552,6,36,22,15,30,39,12,13,0,181,136,694,471,294,413,201,66,83,10,2377,60,615,293,120,174,115,24,67,16,1491,16,49,60,27,62,64,11,39,0,323,3,34,10,10,23,21,11,9,0,106,15,35,50,25,75,61,15,24,5,294,4,30,39,16,94,40,11,30,0,269,22,123,108,68,122,87,20,52,0,592,23,171,116,48,83,55,21,22,11,545,66,103,123,84,273,148,45,60,9,908,117,458,452,330,401,312,140,205,14,2426,292,700,915,683,916,479,109,213,34,4342,7,81,38,33,34,16,4,13,3,227,31,198,126,76,152,70,26,47,3,732
5004,613,1044,729,573,1332,1982,772,2317,161,9519,17,58,48,22,17,27,18,23,7,235,28,8,7,3,10,8,12,68,0,149,24,71,79,46,57,48,14,26,0,370,0,5,5,0,7,12,3,0,0,38,12,75,62,34,49,43,5,21,7,313,3,19,26,13,15,17,5,6,0,105,72,359,272,128,193,102,34,47,3,1216,65,452,252,129,164,117,35,57,17,1292,4,24,35,22,21,20,8,7,0,138,0,11,0,9,14,9,0,0,0,49,4,26,27,24,27,28,6,10,0,156,11,31,24,21,54,22,4,22,0,191,23,94,79,68,69,48,16,21,4,428,26,159,101,40,45,48,8,26,9,468,27,44,42,26,84,71,15,5,0,316,83,223,227,155,169,173,62,106,4,1203,136,341,404,314,337,213,54,85,13,1902,9,53,23,11,19,13,3,6,0,133,21,107,70,45,61,45,18,15,5,393
5005,175,218,148,125,373,693,270,829,77,2905,11,37,19,10,6,23,9,11,3,127,5,3,0,6,0,4,0,16,0,27,0,16,8,0,9,3,3,7,0,49,0,0,3,0,3,0,0,0,0,13,4,20,15,5,4,7,0,11,0,66,4,5,5,3,10,18,0,8,0,47,15,106,64,34,68,33,6,17,3,357,20,74,46,23,19,21,9,25,8,246,9,20,12,10,25,14,4,12,0,105,0,7,0,0,4,0,0,0,0,16,0,6,5,4,11,10,0,4,0,47,0,8,7,8,8,7,3,4,0,44,4,15,15,9,20,19,3,8,0,94,6,32,15,3,10,14,0,4,0,90,7,22,17,20,32,23,3,5,0,130,22,56,56,46,78,73,24,38,0,392,39,59,115,75,94,71,20,24,3,491,3,5,4,6,0,0,0,0,0,33,4,21,25,12,25,25,7,3,0,123
5006,470,779,561,444,1288,1942,846,2422,158,8916,0,39,21,7,10,19,3,12,4,117,16,4,10,9,9,28,21,62,6,157,4,29,20,7,33,20,3,6,0,124,0,4,0,3,6,4,5,6,0,21,11,49,42,25,34,51,7,24,0,249,6,11,20,3,24,22,11,5,3,109,37,337,252,125,215,96,32,50,7,1158,26,303,151,82,85,60,24,45,4,780,15,39,23,28,35,54,12,21,0,227,5,10,4,3,12,12,0,0,0,43,12,17,13,17,35,34,4,10,0,130,4,7,11,3,39,18,5,10,0,97,15,56,48,43,84,31,18,26,3,311,11,62,54,17,38,32,4,18,0,245,40,54,36,38,182,84,24,28,0,485,71,232,241,194,249,212,81,160,10,1443,157,309,396,329,510,319,73,152,32,2272,3,34,16,14,8,6,0,4,0,81,13,73,62,41,73,54,10,19,3,349
5007,340,435,308,191,743,1404,889,3840,179,8334,0,0,0,3,0,0,0,0,0,12,66,63,56,34,56,144,112,374,3,901,13,18,13,10,21,42,40,22,0,178,0,3,4,0,10,9,3,7,0,33,6,27,31,19,22,38,18,30,0,192,8,11,13,10,40,35,8,23,0,140,31,198,146,78,134,84,30,35,8,747,20,143,111,66,96,53,21,56,3,566,4,21,41,19,36,55,18,42,7,227,0,5,7,5,3,4,5,0,0,25,4,7,13,6,20,8,0,0,0,67,10,7,18,5,36,34,8,26,0,149,10,32,23,15,69,54,18,56,0,278,5,46,42,29,38,37,10,20,0,237,36,25,19,24,106,117,19,37,3,388,41,107,122,80,187,159,66,108,5,884,54,107,119,122,324,259,60,119,12,1175,3,32,17,10,8,12,4,10,0,95,15,42,39,20,60,48,11,37,3,278
5008,265,257,132,131,469,1018,630,1943,88,4935,0,3,0,0,0,0,0,0,0,4,57,18,26,11,38,101,47,101,4,394,4,12,7,4,9,16,6,5,0,61,3,5,3,6,18,16,4,17,0,68,8,11,18,13,16,43,14,31,0,162,3,9,9,3,11,12,0,3,0,48,18,98,75,46,73,31,14,30,0,388,5,71,26,35,44,39,13,45,3,278,5,15,13,9,32,41,13,38,0,163,4,5,0,0,4,0,0,0,0,23,0,3,3,3,6,14,0,0,0,33,3,12,13,0,15,37,12,12,0,105,6,9,14,9,18,20,5,21,0,99,12,48,39,14,43,30,24,29,0,238,29,20,30,13,97,74,20,27,5,307,39,75,76,62,114,86,40,100,3,605,49,63,76,73,143,104,35,36,3,593,0,14,15,8,6,3,5,0,0,53,6,38,19,17,26,18,14,23,3,157
5009,19462,53051,38243,26507,98749,135595,46773,117694,9367,545448,91,599,428,348,456,473,109,227,41,2772,1278,688,1096,780,1911,3600,1445,4516,161,15464,519,2472,2204,1274,3565,3061,779,1076,94,15036,178,212,348,299,1165,807,203,224,16,3462,484,2374,2229,1238,2565,3725,733,1414,141,14902,279,1066,1165,746,2147,1907,433,550,37,8322,2268,18096,11741,5198,8720,4764,1335,1649,464,54242,1243,14867,7590,3239,3996,2889,869,2089,419,37195,667,1568,1708,933,2201,2404,541,793,99,10916,164,659,513,283,725,627,153,237,32,3395,847,1235,1936,1306,3709,3252,704,1035,69,14091,284,1156,1112,683,1948,1746,417,829,58,8236,1560,5022,5125,3349,7221,7755,1915,3164,155,35268,692,4740,3460,1493,2989,2147,519,1071,174,17281,2037,2672,3476,2496,9670,5951,1525,1749,168,29742,3130,13118,11716,7809,12380,9768,3876,6509,385,68689,6870,19575,23569,16905,25998,14659,3292,6021,887,117780,430,3295,1653,898,1354,1057,261,482,58,9476,744,5336,4057,2280,3823,2633,671,1037,218,20791
