SUA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
5000,149382,133713,283092,8008,7463,15469,18007,16837,34842,7675,6931,14606,7326,6036,13364,18334,16031,34362,19542,17415,36962,21290,18455,39751,21931,19866,41796,17536,15145,32681,7829,7115,14942,1899,2421,4317,132265,121056,253319,17114,12656,29769,14236,13455,27686,173,132,304,207,175,381,14614,13757,28368,105063,95156,200216,23982,23671,47656,113840,106778,220613,11793,11975,23768,117146,110169,227321,1690,1678,3367,15611,14548,30155,4275,4168,8444,726,896,1624,1638,4046,5684,43330,48306,91636,13119,12464,25587,33949,25798,59750,7270,5287,12556,4655,3260,7923,778,527,1308,111457,110731,222184,72196,34906,107098
5001,17081,17975,35053,899,844,1741,2208,2142,4351,1133,1035,2170,842,766,1611,1961,1816,3773,1856,1985,3839,2067,2357,4425,2247,2543,4793,2155,2360,4515,1229,1475,2701,481,654,1133,15627,16782,32411,1460,1188,2643,762,626,1382,9,8,22,16,7,18,782,638,1425,13037,13460,26494,3118,3679,6791,14830,15932,30757,1047,1202,2249,14935,16098,31028,244,207,450,2058,1998,4058,761,744,1503,114,141,254,302,684,986,5592,7088,12683,1622,1808,3425,4274,3816,8098,871,780,1651,587,480,1068,79,69,149,14994,16338,31337,1637,1332,2969
5002,7108,7553,14660,552,508,1060,1211,1154,2368,375,435,804,367,374,748,1081,1424,2504,1106,1310,2413,1048,1024,2075,783,791,1573,438,380,819,118,123,237,33,31,63,6460,7001,13466,643,552,1193,1570,1642,3208,19,27,41,86,97,182,1675,1760,3436,5111,5241,10351,982,1275,2257,5297,5565,10859,677,914,1590,5622,5922,11544,111,96,210,996,977,1972,203,261,458,40,65,109,157,377,533,2350,3218,5571,584,577,1163,1126,870,1999,238,193,430,123,98,221,33,27,65,6003,6544,12555,3838,4101,7942
5003,37589,38869,76452,2369,2203,4567,5513,5107,10620,2365,2382,4749,1976,1907,3887,4599,4800,9396,4952,5117,10065,4853,5149,10003,4657,4947,9605,3798,4065,7859,1919,2244,4162,588,957,1539,34445,36768,71213,3144,2100,5245,1285,1338,2625,16,13,27,30,35,64,1332,1391,2720,28179,29031,57211,7267,8058,15327,31966,33581,65546,2922,3478,6399,32295,34089,66387,678,589,1269,5172,4814,9984,1600,1678,3279,314,454,767,632,1507,2138,11910,14745,26652,3694,3902,7591,9086,8482,17571,1847,1623,3470,887,908,1795,117,90,206,33301,35996,69300,2709,2029,4740
5004,19696,20852,40544,1005,1030,2030,2860,2707,5567,1183,1078,2264,737,651,1390,1851,1957,3811,2401,2746,5149,2639,2849,5485,2512,2833,5341,2666,2834,5494,1448,1509,2956,404,645,1045,17508,19295,36803,2187,1559,3740,404,372,765,3,5,15,9,3,16,418,383,797,14750,15526,30279,3653,4198,7848,17511,18593,36102,933,1161,2090,17352,18443,35797,272,276,548,2693,2527,5223,829,778,1601,137,156,290,290,803,1094,7290,8719,16015,1835,1887,3721,4108,4184,8289,846,729,1577,457,448,909,69,45,114,17107,18738,35844,1939,2178,4120
5005,5987,6019,12003,349,331,677,830,794,1624,406,333,737,297,277,578,636,692,1333,668,728,1398,803,777,1582,822,803,1627,652,670,1322,414,447,858,103,168,275,5434,5584,11019,551,431,988,275,271,540,5,3,9,3,0,5,286,273,558,4583,4499,9080,696,874,1567,5097,5143,10242,226,291,517,5034,5079,10117,79,94,171,715,686,1398,227,215,439,40,58,93,68,169,241,1700,2160,3860,600,671,1271,1401,1090,2494,305,272,572,185,159,346,10,14,24,5000,5157,10152,1028,885,1911
5006,19039,19561,38595,1155,1150,2306,2781,2654,5436,1269,1188,2454,1006,1027,2033,2270,2340,4610,2309,2456,4767,2540,2710,5253,2516,2485,4994,1860,1980,3839,992,1088,2078,349,477,828,17359,18402,35758,1680,1157,2839,1780,1875,3658,12,12,26,33,19,52,1821,1906,3736,14668,14923,29588,2565,2985,5545,15694,16231,31927,1346,1584,2929,16171,16865,33037,272,281,549,2477,2357,4835,752,785,1536,135,207,348,350,824,1172,5417,6846,12259,1977,2106,4082,4409,3865,8277,965,859,1822,639,526,1163,92,104,196,16287,17454,33734,2373,2170,4545
5007,15265,13805,29072,1154,1073,2227,2195,2051,4245,849,772,1616,1048,912,1961,2434,2308,4745,2255,2085,4344,2059,1829,3889,1866,1526,3399,980,785,1770,354,322,669,60,138,202,14309,13094,27404,957,708,1668,1134,984,2121,25,17,43,36,34,67,1196,1031,2231,10196,9159,19353,3535,3437,6974,11579,10579,22162,1854,1871,3727,11356,10490,21846,273,288,561,1927,1822,3750,495,449,940,146,138,283,387,609,1000,4673,5163,9835,1488,1225,2706,3327,2394,5724,638,460,1099,300,267,562,72,46,113,13023,12190,25214,2909,1731,4646
5008,8976,8036,17013,815,697,1508,1517,1478,2990,506,417,924,485,408,890,1557,1633,3195,1780,1571,3353,1266,1092,2357,787,544,1328,222,164,384,41,37,75,5,8,11,8472,7587,16056,505,451,956,667,700,1365,37,32,65,56,41,96,755,773,1530,5818,5221,11038,1729,1704,3434,6511,5786,12300,1012,1081,2097,6697,5992,12691,213,179,400,1274,1233,2508,310,265,572,45,69,113,185,376,555,2956,3254,6216,809,584,1394,1380,895,2278,255,178,430,83,71,148,22,12,35,7274,6800,14071,3620,1697,5313
5009,1034714,1063528,2098239,66247,62540,128789,138442,131156,269599,62498,59635,122135,66618,64924,131537,147770,153847,301619,150366,154065,304430,134098,137390,271487,115557,121867,237421,89720,98515,188232,47690,54641,102330,15710,24953,40664,973148,1023524,1996676,61559,40003,101565,19454,19721,39175,511,436,952,515,504,1015,20472,20661,41139,617641,627711,1245356,364492,392544,757036,767950,783669,1551617,209006,232470,441469,857243,885336,1742585,19172,17818,36991,131153,124246,255404,47892,48094,95985,25639,28535,54172,32861,52836,85704,484742,531510,1016256,77505,75970,153468,155163,153355,308522,34202,32819,67019,19909,23621,43526,5524,6947,12470,948946,998395,1947337,53320,52826,106150
5010,8028,7271,15298,705,677,1385,1196,1199,2392,420,377,793,417,413,825,1471,1531,3009,1483,1299,2783,1087,868,1956,933,633,1568,242,215,455,57,44,103,10,12,25,7520,6799,14317,505,476,976,1202,1273,2468,75,54,128,77,83,160,1361,1402,2759,5100,4724,9828,1657,1540,3195,5577,5078,10654,1097,1116,2215,5855,5366,11223,149,151,297,1015,1016,2028,215,197,408,51,46,96,191,340,534,2461,2701,5165,820,572,1395,1329,953,2287,278,180,459,108,110,223,32,28,60,6482,6111,12593,3927,1681,5605
