SUA_CODE_2021,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
5000,70,229,262,281,220,235,73,9,1374,122,164,182,119,98,60,8,0,757,1292,4062,4116,4171,4285,3106,1090,186,22310,367,1113,1070,1017,1088,852,296,59,5873,369,633,923,945,851,604,231,45,4612,70,291,341,383,440,298,129,31,1980,69,208,317,412,501,495,153,25,2185,343,680,782,901,861,650,227,44,4481,199,429,453,426,457,371,143,19,2503,99,177,162,145,126,136,60,8,902,183,403,466,459,384,206,93,10,2198,36,17,5,4,9,5,11,0,86,70,144,168,192,184,142,57,12,974,2522,3917,4016,4177,3531,2392,1255,393,22203,5814,12459,13265,13634,13038,9555,3829,846,72434,77,288,376,297,219,114,24,3,1400,21,58,73,72,69,52,10,0,346,114,316,273,210,151,99,50,19,1222,29,95,102,89,66,26,5,0,419,272,470,612,466,323,138,30,3,2311,506,1515,1542,1533,1923,1375,550,142,9079,368,1301,1745,1839,1820,1250,428,89,8834,775,2007
5001,14,21,34,31,42,34,21,5,206,34,52,41,30,25,9,0,0,198,151,388,316,382,403,356,179,51,2228,83,197,162,139,139,126,80,27,948,62,64,82,109,116,92,49,17,598,20,78,63,88,86,51,22,7,414,3,45,54,80,95,109,37,9,435,81,66,130,129,134,112,47,17,715,60,63,73,90,109,106,21,7,533,25,31,33,29,21,22,9,3,172,23,78,82,73,54,25,22,6,363,4,5,0,0,0,0,0,0,8,6,14,21,25,20,25,14,3,121,124,164,168,154,171,161,112,74,1128,681,1276,1275,1362,1407,1234,622,221,8081,12,32,47,45,29,18,5,0,186,3,12,14,15,5,7,0,0,54,6,31,20,17,16,3,10,9,119,3,15,16,14,7,6,0,0,62,26,36,55,54,45,14,5,0,246,108,273,282,301,340,274,138,53,1773,48,145,199,247,254,239,111,22,1271,147,238
5002,5,19,19,16,9,0,0,0,62,20,16,20,7,3,0,0,0,60,71,206,190,194,124,75,15,4,883,11,92,110,87,57,25,3,0,393,10,22,33,35,17,13,3,0,132,3,37,47,35,25,6,5,0,167,0,25,47,34,30,19,5,0,171,18,62,87,72,42,24,0,0,317,10,67,53,36,41,15,3,0,230,4,22,21,18,3,10,0,0,79,10,32,39,42,22,3,0,0,144,4,0,0,0,0,0,0,0,9,0,10,15,15,5,4,0,0,57,154,213,181,206,150,70,21,6,1013,327,829,869,796,532,282,69,12,3714,11,30,27,15,4,0,0,0,89,0,3,9,0,0,0,0,0,18,10,24,22,5,3,3,0,0,74,0,14,3,7,8,0,0,0,33,6,22,23,11,4,0,0,0,68,41,224,162,113,94,39,12,0,680,26,118,149,97,72,44,11,3,507,53,200
5003,14,47,75,61,65,63,25,0,352,69,120,124,54,40,14,7,0,428,447,1207,1346,1288,1174,874,382,83,6801,154,435,380,306,322,247,110,28,1994,41,76,91,97,103,67,35,13,526,46,131,177,168,157,100,39,7,822,21,75,111,160,172,152,54,15,764,128,224,348,352,301,216,81,13,1659,124,140,148,144,141,114,38,17,855,51,52,60,36,35,18,7,0,257,50,133,153,125,106,57,21,0,643,8,4,0,0,9,5,0,0,36,20,35,67,77,59,23,10,3,301,266,449,462,468,383,318,180,111,2629,1446,3132,3537,3345,3054,2251,990,290,18055,24,85,82,97,56,28,0,0,374,8,29,39,29,32,9,3,0,142,41,122,96,65,53,32,11,10,419,11,42,46,41,17,5,0,0,154,38,58,75,61,38,9,7,0,282,265,600,631,527,571,400,175,61,3226,171,381,558,642,511,341,130,34,2756,349,841
5004,9,31,70,60,48,57,30,8,306,22,32,38,29,16,15,4,0,165,110,337,513,537,540,544,256,55,2902,84,263,241,243,238,216,97,28,1411,26,61,111,110,88,76,46,10,523,6,35,92,105,87,58,31,8,421,6,34,70,74,84,120,57,10,462,78,133,159,238,205,183,98,15,1115,31,68,79,84,69,86,40,8,452,25,31,42,33,25,29,11,0,195,53,105,127,113,74,59,10,3,536,6,10,0,0,0,0,0,0,18,9,13,26,30,23,17,6,3,126,132,209,252,258,202,182,144,56,1438,587,1353,1830,1904,1704,1643,843,201,10065,6,36,67,62,41,24,9,0,240,4,9,10,12,12,5,0,0,51,14,11,26,29,22,16,8,3,135,7,20,26,21,9,5,3,0,95,17,37,60,52,36,15,3,0,221,99,252,363,319,369,280,163,47,1889,46,181,351,353,302,279,98,23,1630,121,297
5005,0,4,6,0,3,6,3,0,32,6,8,3,3,3,0,0,0,31,67,166,171,166,155,95,46,14,884,31,60,61,40,49,28,16,0,279,19,27,37,35,38,20,21,3,205,0,19,12,22,22,14,0,3,92,0,13,20,27,26,12,15,0,113,14,27,39,46,29,14,15,7,188,4,11,16,16,11,11,4,4,78,0,9,0,0,0,5,0,0,21,10,22,21,22,18,9,0,0,93,0,0,0,0,0,0,0,0,0,0,5,12,3,0,10,6,0,36,109,84,84,129,97,87,80,15,684,275,462,477,522,462,304,205,44,2748,5,17,18,10,3,0,0,0,50,0,0,0,0,5,0,0,0,8,6,11,5,10,5,7,0,0,33,0,0,0,0,3,0,0,0,12,7,22,18,15,8,0,4,0,74,16,68,71,64,75,55,43,15,400,12,68,66,90,73,51,33,9,394,69,90
5006,18,28,25,25,17,14,6,0,134,24,52,32,25,16,4,3,0,161,210,574,590,601,563,388,151,49,3131,77,226,177,156,180,125,50,12,1006,31,42,50,79,63,50,13,4,331,18,60,73,87,67,39,10,0,361,11,38,65,83,84,58,11,0,349,40,80,140,168,137,80,27,6,680,31,68,77,72,72,43,11,3,376,16,24,26,14,11,9,4,0,106,32,70,67,60,42,20,15,0,299,5,7,0,0,5,0,0,4,11,13,11,25,23,24,11,9,0,121,237,315,319,323,274,171,146,77,1861,766,1599,1668,1717,1556,1008,456,168,8935,17,35,53,28,19,15,0,0,161,4,12,17,7,7,8,5,0,64,24,34,28,28,19,10,7,4,157,0,4,13,12,9,5,0,0,48,37,46,41,38,26,9,0,0,195,161,365,299,298,201,166,73,27,1595,55,226,273,349,254,124,48,14,1343,151,317
5007,19,73,63,35,25,6,0,0,227,10,24,25,11,3,4,0,0,85,273,896,793,674,489,211,54,8,3394,43,113,81,65,80,52,19,0,459,10,22,27,27,10,10,0,0,105,14,41,45,54,43,25,3,0,222,0,35,37,37,36,12,3,0,175,38,77,133,93,76,32,3,5,448,24,66,66,46,29,15,4,0,254,16,14,16,8,11,0,0,0,64,22,50,44,44,30,8,4,0,208,5,5,3,0,5,0,0,0,15,6,17,31,27,18,11,0,0,114,223,316,284,263,243,159,74,15,1581,715,1744,1655,1380,1102,548,179,29,7353,13,72,67,23,11,0,0,0,180,0,7,14,11,3,0,0,0,42,31,75,51,27,10,0,0,0,198,0,8,9,7,0,0,0,0,26,13,26,12,15,9,3,0,0,79,92,219,172,154,135,52,17,0,849,59,179,190,169,105,37,14,9,766,114,306
5008,7,14,20,17,4,3,0,0,57,5,16,14,8,0,0,0,0,51,141,536,591,420,233,53,9,0,1985,18,136,118,60,51,14,0,0,407,5,11,27,19,16,5,0,0,72,3,36,34,26,17,7,0,0,121,3,29,36,41,12,5,0,0,128,11,71,139,99,50,9,0,0,380,16,33,44,41,16,3,0,0,164,8,16,16,4,0,0,0,0,40,14,42,38,23,12,8,0,0,133,3,0,0,0,0,0,0,0,4,6,15,30,17,13,0,0,0,88,188,301,344,229,144,41,12,0,1263,431,1248,1450,1005,570,155,20,0,4890,3,26,28,24,4,0,0,0,81,0,7,15,6,4,0,0,0,32,21,65,54,23,8,0,0,0,166,0,6,9,7,3,0,0,0,26,6,15,18,11,7,0,0,0,49,34,174,142,70,51,13,3,0,483,31,155,173,115,45,12,0,0,531,68,275
5009,1649,4043,4194,3934,3315,2541,1145,221,21043,2312,5540,7857,4323,2184,841,165,7,23226,9250,32913,34737,30598,28059,21393,9848,2536,169341,3382,10618,9545,8121,7114,5410,2781,840,47812,660,1784,2200,2024,1643,1099,582,159,10143,1743,6485,6090,5224,3990,2526,1250,348,27663,683,2764,2920,3044,3444,3147,1515,390,17896,6457,15783,20312,17010,12419,8454,3565,759,84757,4130,8172,7739,6838,5299,4166,1716,363,38423,2975,4239,3395,1988,1298,985,342,84,15315,1997,4797,4911,3375,2413,1313,623,119,19554,330,159,80,66,69,58,36,12,817,578,1589,1878,1728,1269,797,452,135,8427,7617,12930,12336,10440,8034,5691,4517,2694,64254,43762,111807,118194,98715,80552,58441,28527,8674,548668,2279,5220,5192,3661,2308,1211,390,102,20366,422,2125,2544,1384,894,325,67,7,7764,1136,4300,4087,2376,1493,888,459,282,15026,500,2028,1638,1054,647,294,75,22,6259,609,1625,1744,1107,678,279,68,29,6142,7163,22937,19382,15356,13403,8841,4139,1340,92564,3549,11759,13678,13975,12054,8919,3716,994,68639,8481,26564
