SUA_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
5000,407,6167,1097,7675,343,5530,1453,7326,923,13038,4376,18334,1410,13698,4439,19542,1954,15170,4170,21290,2325,16328,3283,21931,1660,13872,2004,17536,734,6099,998,7829,186,1407,310,1899,9937,91306,22126,123367,368,5575,991,6931,416,4695,928,6036,1376,12467,2186,16031,2281,12870,2268,17415,3045,13240,2173,18455,3589,14246,2031,19866,2196,11471,1479,15145,761,5421,931,7115,125,1863,431,2421,14143,81853,13418,109415,771,11742,2085,14606,756,10226,2381,13364,2299,25511,6557,34362,3685,26571,6705,36962,4993,28409,6346,39751,5911,30572,5309,41796,3854,25347,3478,32681,1496,11516,1930,14942,307,3270,744,4317,24079,173160,35537,232781
5001,56,1006,69,1133,39,733,68,842,97,1604,253,1961,157,1471,227,1856,256,1651,158,2067,352,1752,146,2247,244,1783,136,2155,139,1009,78,1229,62,370,50,481,1396,11391,1188,13971,55,925,57,1035,46,673,44,766,184,1534,91,1816,329,1564,90,1985,471,1783,111,2357,569,1849,124,2543,390,1829,143,2360,207,1158,108,1475,46,535,73,654,2299,11847,845,14988,113,1934,123,2170,82,1408,114,1611,285,3139,349,3773,485,3031,317,3839,730,3433,268,4425,915,3603,273,4793,632,3609,280,4515,351,2169,183,2701,102,906,126,1133,3692,23240,2031,28964
5002,12,293,72,375,21,267,81,367,38,841,201,1081,75,845,187,1106,66,774,214,1048,44,590,143,783,32,343,64,438,8,89,21,118,0,23,10,33,297,4063,989,5349,15,325,87,435,19,289,71,374,92,1073,254,1424,118,1001,185,1310,118,746,156,1024,97,582,113,791,38,279,63,380,13,91,17,123,0,22,10,31,515,4417,957,5887,26,622,162,804,39,555,152,748,132,1911,461,2504,195,1845,372,2413,183,1518,372,2075,146,1172,257,1573,68,627,129,819,18,182,39,237,0,46,16,63,814,8477,1944,11236
5003,87,2154,128,2365,75,1729,178,1976,232,3828,538,4599,408,4003,541,4952,494,3924,443,4853,614,3711,338,4657,439,3107,253,3798,207,1583,135,1919,48,447,97,588,2601,24477,2638,29714,132,2142,103,2382,105,1693,115,1907,413,4078,305,4800,765,4110,234,5117,951,3977,223,5149,1130,3610,209,4947,637,3210,213,4065,253,1804,186,2244,43,744,166,957,4423,25364,1769,31553,222,4294,232,4749,182,3419,292,3887,648,7905,847,9396,1183,8112,774,10065,1438,7897,667,10003,1739,7321,547,9605,1077,6319,464,7859,459,3384,317,4162,91,1194,262,1539,7026,49844,4398,61269
5004,37,1077,70,1183,23,677,41,737,84,1578,189,1851,176,2012,216,2401,257,2165,216,2639,335,1999,176,2512,238,2282,143,2666,156,1186,113,1448,39,303,51,404,1351,13267,1219,15832,49,944,83,1078,29,572,46,651,149,1669,141,1957,352,2251,146,2746,516,2206,129,2849,596,2095,140,2833,418,2253,159,2834,184,1188,138,1509,40,553,59,645,2344,13722,1045,17118,88,2025,157,2264,50,1247,88,1390,230,3244,328,3811,530,4256,362,5149,776,4369,346,5485,937,4095,318,5341,656,4535,305,5494,340,2365,254,2956,82,856,111,1045,3698,26996,2260,32951
5005,13,334,59,406,11,243,43,297,30,528,82,636,52,544,77,668,85,611,111,803,104,641,79,822,57,518,77,652,33,311,72,414,12,86,13,103,390,3815,603,4811,14,273,41,333,17,234,29,277,71,560,60,692,98,549,85,728,133,577,71,777,139,600,66,803,99,506,60,670,48,340,59,447,12,141,13,168,623,3779,491,4895,33,605,103,737,28,477,68,578,96,1084,147,1333,149,1093,160,1398,219,1181,184,1582,241,1242,143,1627,158,1029,137,1322,81,653,128,858,22,229,19,275,1019,7595,1092,9700
5006,64,1064,148,1269,48,841,116,1006,93,1838,336,2270,186,1795,327,2309,244,1981,310,2540,302,1959,252,2516,188,1535,131,1860,102,778,104,992,34,257,57,349,1260,12051,1789,15104,56,1027,107,1188,48,875,104,1027,227,1884,230,2340,371,1832,250,2456,456,2042,214,2710,512,1807,161,2485,292,1525,160,1980,113,842,129,1088,19,368,89,477,2101,12209,1448,15759,116,2087,256,2454,92,1721,218,2033,323,3726,573,4610,556,3629,578,4767,702,4024,523,5253,813,3768,418,4994,485,3065,289,3839,219,1627,231,2078,59,622,148,828,3362,24264,3228,30859
5007,20,741,90,849,29,862,159,1048,81,2003,344,2434,130,1825,305,2255,147,1637,276,2059,147,1498,218,1866,81,768,133,980,24,277,50,354,3,51,9,60,661,9658,1593,11910,21,662,87,772,35,767,106,912,134,1926,253,2308,219,1649,218,2085,220,1435,176,1829,207,1185,147,1526,93,609,91,785,29,258,35,322,5,117,23,138,957,8606,1128,10682,40,1396,180,1616,63,1627,264,1961,216,3932,596,4745,341,3472,529,4344,364,3069,449,3889,349,2678,364,3399,172,1375,223,1770,50,536,86,669,10,160,31,202,1611,18264,2717,22592
5008,7,425,79,506,7,375,97,485,52,1235,272,1557,113,1357,313,1780,64,982,216,1266,42,611,130,787,12,167,41,222,0,28,5,41,0,4,0,5,307,5186,1154,6644,22,335,62,417,14,321,75,408,82,1297,257,1633,133,1215,221,1571,116,824,149,1092,39,420,83,544,15,124,25,164,8,26,4,37,0,9,0,8,420,4571,875,5868,25,761,137,924,24,693,172,890,125,2533,531,3195,244,2574,536,3353,183,1808,366,2357,86,1031,214,1328,29,294,64,384,7,53,14,75,0,6,4,11,724,9759,2029,12514
5009,2489,57044,2969,62498,2916,59175,4525,66618,7196,128395,12180,147770,11413,127871,11085,150366,14647,110536,8918,134098,15565,93375,6619,115557,10796,74632,4292,89720,5264,39154,3268,47690,1572,12124,2014,15710,71850,702310,55871,830028,2815,53958,2866,59635,3851,57534,3541,64924,11544,133442,8864,153847,18938,127883,7241,154065,24869,106790,5730,137390,26771,90413,4679,121867,16652,77481,4384,98515,6211,44235,4201,54641,1202,20167,3586,24953,112840,711899,45082,869829,5304,111003,5830,122135,6761,116711,8064,131537,18736,261836,21047,301619,30355,255753,18321,304430,39513,217327,14644,271487,42329,183790,11299,237421,27445,152114,8675,188232,11476,83385,7471,102330,2773,32289,5600,40664,184693,1414207,100957,1699854
