SUA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
5000,63,33,9,3438,697,106,47,663,79,240,49,78,43,239,2440,4692,41,6,20,33,7,17,6,10,8,40,125,305,5085,1038,388,7304,926,3747,483,1059,482,2107,2649,25266
5001,0,6,0,389,28,6,6,47,0,22,4,13,0,23,285,444,0,0,5,0,0,0,0,0,0,0,9,20,650,177,25,1140,116,506,55,161,39,193,304,3352
5002,0,5,4,321,32,5,0,19,6,8,3,6,4,3,143,227,0,0,4,0,0,0,0,0,0,8,5,23,420,46,13,400,77,141,27,38,23,74,161,1435
5003,15,12,0,1329,129,19,0,124,18,59,10,19,7,47,871,1300,7,0,5,9,0,0,0,3,0,0,31,61,1644,287,76,2783,304,1411,155,326,127,422,912,8444
5004,12,8,0,664,56,23,9,81,6,23,5,9,5,28,539,788,3,0,4,9,0,6,4,0,0,0,11,37,772,251,49,1477,135,515,118,187,62,183,551,4310
5005,0,0,0,145,32,8,5,36,7,5,0,0,6,3,107,211,0,0,0,0,0,0,0,0,0,4,0,12,239,48,21,413,36,152,26,34,20,55,114,1149
5006,8,3,0,594,50,8,5,49,7,25,5,11,3,19,493,667,0,0,0,5,0,0,0,0,4,0,10,19,842,162,39,1128,133,516,87,163,59,219,507,3845
5007,11,3,3,958,54,3,5,26,12,19,5,11,8,12,280,430,0,0,9,0,0,0,0,0,3,0,22,33,899,81,38,928,143,635,55,73,58,99,312,3312
5008,26,4,0,896,36,0,0,14,3,8,0,0,0,6,174,259,0,0,0,0,0,0,0,0,0,0,10,13,580,52,26,653,122,390,40,35,44,29,183,2162
5009,508,871,86,63481,2650,482,282,2733,401,1502,244,648,297,1216,20571,31022,152,15,156,152,58,72,22,20,63,100,804,1615,54475,10711,2201,80191,9876,44835,3641,11858,3427,15554,21915,258688
5010,9,0,0,626,32,3,0,14,5,15,0,4,0,6,137,205,4,0,0,4,6,0,0,0,0,0,9,27,522,41,29,403,98,294,28,38,36,54,161,1704
