SUA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
5000,..,25421,25421,32687,1836,34522,11433,283,11723,11319,94,11416,5674,32,5707,3200,32,3235,64313,27707,92016
5001,..,4045,4045,4708,263,4974,1708,51,1757,1608,13,1618,696,4,697,357,0,357,9075,4372,13451
5002,..,1102,1102,1266,149,1411,658,59,711,755,15,771,343,4,344,183,6,181,3201,1333,4532
5003,..,7386,7386,9451,640,10092,4111,108,4219,4179,28,4211,1714,6,1719,763,15,771,20220,8185,28400
5004,..,3730,3730,5477,304,5786,2011,65,2069,2140,20,2160,876,4,877,328,3,327,10831,4129,14957
5005,..,1305,1305,1504,103,1610,556,12,569,532,4,537,241,0,242,114,0,114,2950,1430,4379
5006,..,3899,3899,4655,325,4981,2011,54,2062,1843,4,1841,822,0,822,411,0,413,9737,4281,14020
5007,..,2718,2718,2826,282,3116,1518,62,1580,1497,12,1512,701,9,700,353,5,354,6890,3081,9975
5008,..,1102,1102,1294,134,1428,802,38,840,1042,7,1048,469,0,468,171,7,177,3774,1288,5062
5009,..,193244,193244,235048,19277,254327,121347,5415,126758,125652,1812,127470,48724,580,49300,21813,265,22072,552581,220584,773166
5010,..,1241,1241,1288,135,1418,746,20,766,737,6,739,375,0,377,222,0,222,3367,1401,4766
