SUA_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
5000,55,17,4,15,3,9,0,9,11,424,11,558,23,14,0,3,0,9,0,21,6,203,0,284,6,3,0,5,0,7,0,42,0,131,4,203,4,0,0,3,0,6,0,31,0,121,0,180,42,47,0,27,5,26,5,101,13,758,13,1037,10,22,4,21,5,43,6,140,15,368,11,626,60,92,7,60,0,94,9,286,39,2838,44,3530,94,125,15,93,3,183,14,339,47,1268,22,2209,145,227,28,161,14,345,15,293,58,944,25,2251,231,248,30,406,29,308,33,283,47,906,26,2552,158,120,14,319,14,284,18,101,23,201,6,1277,367,149,45,425,29,260,25,101,42,255,6,1707,1084,225,62,856,107,511,63,130,82,274,18,3408,975,105,53,700,106,159,50,63,30,135,0,2385,852,69,35,446,90,182,32,33,26,101,5,1874,586,55,21,227,53,39,20,12,6,28,5,1054,1212,129,62,486,95,259,35,55
5001,0,0,0,0,0,0,0,0,0,52,3,56,0,0,0,0,0,0,0,3,0,33,0,38,0,5,0,0,0,0,0,6,0,16,0,21,0,0,0,0,0,3,0,8,0,6,0,22,0,4,0,0,0,0,0,8,3,92,0,108,0,0,0,0,0,0,0,12,5,56,0,82,5,10,0,4,3,7,0,48,5,460,9,550,4,24,0,9,0,21,0,60,5,244,6,379,13,43,0,16,0,44,5,65,4,196,0,384,28,53,5,60,3,34,4,55,7,178,0,428,21,24,3,58,7,31,5,22,7,46,0,224,48,20,0,76,4,37,3,17,4,57,4,265,156,34,10,144,15,54,9,32,8,53,0,518,149,12,3,96,9,16,14,10,0,25,0,340,72,15,7,62,11,18,3,10,9,17,0,216,51,9,0,25,3,7,3,4,0,7,0,111,77,13,3,48,11,23,3,8
5002,0,0,0,0,0,0,0,0,0,14,0,16,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,17,0,0,0,0,0,0,0,0,0,6,0,9,6,0,0,4,0,0,0,12,0,27,0,44,5,0,0,0,0,5,0,6,0,12,0,27,0,0,0,5,0,14,0,7,3,19,5,47,9,3,0,7,0,5,0,4,0,9,0,42,3,4,0,9,0,11,0,3,0,6,0,31,14,3,0,10,0,7,0,7,0,0,0,36,78,7,3,29,4,18,3,4,0,4,0,155,85,13,0,40,5,16,0,5,0,0,0,164,81,3,0,23,10,7,3,0,0,5,0,143,68,0,4,15,3,4,0,0,0,0,0,92,101,6,0,29,10,7,0,4
5003,3,0,0,0,0,0,0,0,0,118,3,129,3,0,0,0,0,0,0,6,0,38,0,52,0,0,0,0,0,0,0,10,6,38,0,56,0,0,0,0,0,0,0,4,0,29,0,37,0,6,0,3,0,0,0,18,0,178,3,211,0,6,0,0,0,11,0,50,0,85,0,157,0,16,0,4,0,20,4,70,15,838,10,978,5,18,0,4,0,33,0,85,6,455,5,620,8,46,0,24,4,77,0,85,16,370,0,644,33,44,4,93,5,86,5,77,7,319,8,680,34,29,0,87,9,93,11,41,5,74,0,383,83,20,0,125,7,99,5,26,9,105,0,495,305,52,15,265,26,186,15,39,20,106,4,1019,271,34,5,280,18,44,11,18,6,37,0,733,252,14,16,170,23,49,13,10,5,28,0,584,169,4,8,53,12,17,3,3,0,5,0,275,308,18,5,123,24,70,10,20
5004,0,0,0,3,0,0,0,0,0,66,0,71,0,0,0,0,0,0,0,8,0,36,4,49,0,3,0,0,0,0,0,0,0,26,0,33,0,0,0,0,0,0,0,3,0,18,0,27,5,6,0,4,0,0,0,16,0,110,0,137,0,5,0,0,0,0,0,22,0,62,0,101,3,4,0,3,0,10,0,48,0,484,9,570,9,21,3,3,0,16,5,60,11,262,6,383,9,40,0,21,0,28,7,66,9,323,6,515,22,65,7,69,3,38,4,62,0,235,0,506,15,30,5,66,7,37,8,21,0,79,0,264,47,30,4,66,4,23,7,22,0,98,0,304,151,42,12,158,15,57,12,25,4,92,6,576,131,17,10,123,10,18,4,13,4,42,0,375,92,15,5,65,11,13,9,3,6,28,0,251,67,3,3,37,3,10,7,6,0,10,0,147,131,26,5,84,16,36,7,14
5005,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,19,0,24,0,0,0,0,0,0,0,7,0,9,0,20,5,3,0,0,0,0,0,12,0,121,0,141,0,4,0,0,0,3,0,17,5,53,0,87,3,8,4,4,0,16,0,12,0,55,0,104,11,9,0,18,0,13,0,3,0,42,0,107,11,3,0,16,0,20,3,3,0,9,0,66,14,4,0,23,0,13,0,8,0,15,0,84,72,8,3,43,6,20,5,9,0,12,0,180,49,8,3,31,8,0,3,0,0,8,0,116,45,4,0,27,0,5,0,0,3,7,0,92,19,4,0,3,0,0,0,0,0,5,0,32,58,3,0,24,3,11,0,4
5006,6,0,0,0,0,0,0,0,0,72,0,79,0,0,0,0,0,0,0,4,0,21,0,28,0,0,0,0,0,0,0,3,0,23,0,25,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,7,0,77,0,92,0,0,0,0,0,3,0,21,0,46,0,80,4,3,0,0,0,13,0,39,5,380,8,451,4,22,0,7,0,17,0,48,3,165,4,267,9,26,0,24,0,48,0,42,6,120,3,268,19,26,0,44,4,43,3,41,4,128,0,318,20,23,3,55,5,47,6,24,8,34,0,218,34,16,4,57,4,44,4,11,6,38,0,216,158,22,4,139,7,80,7,15,12,33,0,479,154,21,8,106,11,24,10,7,0,17,0,371,140,11,5,80,14,26,9,6,4,14,4,304,87,4,5,29,8,5,0,3,0,10,0,144,172,0,4,64,26,43,7,6
5007,0,0,0,0,0,0,0,0,0,17,0,28,0,0,0,0,0,0,0,0,0,11,0,13,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,5,0,13,0,28,0,0,0,0,0,0,0,8,0,11,0,28,0,0,0,3,0,12,0,11,3,82,4,111,0,8,0,0,0,16,0,8,3,47,0,67,0,3,0,5,0,24,0,12,3,28,0,87,15,8,3,18,0,27,0,20,7,36,0,127,6,4,0,13,3,26,3,0,3,3,0,68,21,6,0,20,0,35,0,6,4,13,0,102,118,13,0,78,7,74,4,11,9,12,0,325,170,7,8,86,11,15,6,5,0,5,0,319,164,10,0,71,13,36,0,0,0,4,0,303,149,3,0,26,15,7,3,0,0,0,0,203,335,6,7,67,17,35,3,0
5008,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0,8,0,11,3,0,0,0,0,4,0,4,0,4,0,22,4,3,0,0,0,3,0,3,0,0,0,12,10,4,0,3,0,14,0,0,0,0,0,38,73,4,0,28,3,21,0,7,4,4,0,147,67,3,0,32,0,9,0,3,0,0,0,119,98,5,0,32,9,18,3,6,0,0,0,175,90,0,4,24,4,5,0,0,0,0,0,130,272,8,10,63,29,39,9,6
5009,44,24,18,29,3,42,4,74,24,3998,54,4303,13,28,0,3,0,18,0,159,21,1325,18,1579,4,31,0,5,0,23,4,262,37,881,13,1252,4,7,0,5,0,17,3,192,19,648,4,903,18,105,3,16,0,56,9,492,41,3797,47,4583,15,144,4,42,4,147,16,858,67,2248,27,3575,37,364,20,95,10,441,43,1566,143,15715,175,18609,91,648,22,234,20,946,56,2025,164,8952,79,13241,189,1196,39,693,60,1922,92,2031,203,8180,77,14684,626,1597,70,2188,115,2273,155,1853,219,7246,106,16442,693,887,40,2527,141,2200,127,1049,178,2174,31,10037,1700,857,72,3032,187,1992,138,879,202,2436,33,11510,7978,1396,167,6380,584,4010,291,1269,377,2708,66,25222,8373,826,206,5436,609,1301,286,619,150,1287,36,19118,7473,504,182,3522,512,1438,180,441,142,850,41,15292,5715,294,137,1784,383,412,118,183,41,397,8,9472,12607,860,307,4392,866,2961,264,951
