SUA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
5000,1961,1886,3847,8283,7581,15861,1749,1647,3391,984,927,1909,11023,10164,21191,5555,5125,10686,1011,1092,2102,978,1160,2137,7549,7391,14933,313,300,607,142,325,466,773,441,1209,624,1497,2122,17,11,28,1866,2565,4436,272,572,837,176,468,638,80,207,282,431,1190,1620,6,0,13,965,2433,3396,2834,5004,7839,250,260,516,320,639,960,20,8,28,589,919,1503,24039,15237,39274,47989,40593,88581
5001,283,248,533,875,827,1699,120,126,248,269,310,583,1267,1267,2536,838,765,1605,121,136,253,292,340,631,1257,1240,2494,74,68,142,32,87,116,156,70,226,108,237,349,3,6,7,374,465,839,43,79,117,36,72,107,15,36,52,82,222,304,0,0,0,173,407,585,549,870,1422,21,36,57,97,116,215,0,0,3,123,150,270,1290,917,2207,4769,4697,9464
5002,130,108,236,537,506,1040,170,142,314,8,11,22,710,662,1375,308,350,659,124,136,255,9,14,18,439,497,936,6,16,30,13,16,26,34,35,63,63,134,199,0,0,0,121,199,325,19,35,52,20,54,76,0,23,24,44,138,182,0,0,0,83,253,335,202,456,660,15,14,26,17,43,61,0,0,0,28,55,85,1113,1059,2171,2624,2837,5460
5003,710,654,1364,2480,2234,4710,519,527,1044,484,409,899,3486,3178,6662,1810,1859,3667,551,568,1122,437,448,889,2798,2883,5681,141,151,287,81,198,282,317,186,500,219,473,694,5,3,7,761,1005,1770,100,258,360,82,224,307,30,85,120,177,431,611,0,4,4,392,1005,1395,1161,2011,3169,76,81,160,169,244,414,4,0,4,249,329,573,2776,1894,4673,11180,10940,22123
5004,318,327,643,1078,954,2030,410,402,808,311,315,626,1804,1665,3473,783,688,1474,368,417,777,325,323,650,1481,1427,2904,65,36,97,31,86,109,147,84,225,119,233,355,5,0,8,363,436,800,42,105,144,33,110,143,13,30,47,68,251,321,0,0,0,155,502,658,521,941,1456,39,41,79,63,136,198,0,3,8,104,178,286,1277,1099,2374,5503,5645,11146
5005,87,99,185,400,407,808,43,32,75,30,33,70,476,475,951,328,296,625,7,16,24,71,73,145,406,388,795,24,15,37,5,4,10,37,34,71,19,88,115,0,4,3,87,146,233,10,23,30,8,17,26,3,10,16,16,40,56,0,0,0,39,93,135,129,236,367,9,9,9,14,23,40,0,0,0,20,28,50,678,590,1275,1803,1820,3624
5006,338,330,670,951,801,1752,448,484,931,246,264,508,1649,1550,3198,719,659,1375,405,483,889,181,202,386,1311,1345,2653,63,97,158,42,78,119,158,124,283,149,327,475,0,5,8,410,623,1037,33,78,111,23,97,126,20,45,62,92,244,336,0,0,0,168,465,634,587,1088,1673,36,37,70,76,108,185,4,0,0,109,148,262,1987,1641,3628,5976,6106,12083
5007,297,301,593,1027,949,1972,254,233,494,78,89,172,1363,1277,2644,494,535,1036,314,283,593,66,57,123,883,880,1764,43,37,80,37,33,63,138,84,221,141,241,382,5,0,4,353,392,749,64,56,119,70,68,143,13,23,36,86,179,268,3,3,8,234,335,570,591,732,1321,44,21,60,62,103,167,4,4,4,106,124,237,1770,1308,3079,5010,4624,9629
5008,203,191,396,753,723,1472,161,149,306,29,32,58,946,901,1844,418,396,816,147,138,287,6,5,10,575,537,1114,17,17,35,17,17,40,52,49,105,77,162,241,4,0,4,180,239,418,8,20,27,8,31,38,3,14,17,59,119,177,0,0,0,80,179,263,264,422,682,5,7,21,32,61,94,0,0,0,41,73,112,1403,1114,2521,3434,3241,6673
5009,19133,17605,36729,63657,59720,123375,14498,14419,28924,12347,12202,24548,90651,86504,177156,41252,38362,79616,15174,14946,30117,16103,15718,31817,72605,69115,141720,4887,4589,9470,3925,6619,10544,6167,3597,9763,6959,12001,18961,97,89,184,22033,26894,48924,22355,28697,51060,8949,11842,20788,3743,4704,8449,8815,14537,23351,100,126,225,43968,59904,103871,66125,86927,153051,3155,3423,6577,5310,8252,13558,100,97,198,8563,11770,20332,57104,46576,103681,314177,318500,632678
