SUA_CODE_2021,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
5000,5573,101,12,0,5,0,8,1231,6931,4033,619,301,58,9,0,3,1024,6036,3657,1170,1005,400,114,27,11,1069,7449,2499,1366,1951,1054,342,112,50,1200,8577,1460,1150,2601,1660,603,181,129,1176,8957,1179,916,2569,1637,689,194,188,1085,8460,1151,924,2714,1708,725,250,192,1146,8808,1219,1025,3067,1933,766,285,225,1141,9656,1222,923,3076,2229,941,304,206,1132,10042,1022,795,3054,2395,1058,312,173,1011,9822,746,618,2644,2086,972,297,159,899,8421,442,442,2157,1737,802,242,161,736,6725,261,262,1198,1150,612,204,137,589,4407,118,96,524,710,481,217,143,415,2704,102,91,366,520,450,244,224,412,2421,24688,10509,27228,19270,8569,2879,2007,14265,109415
5001,948,6,0,0,0,0,0,84,1035,597,83,21,8,0,0,0,56,766,487,157,131,43,15,3,0,48,878,266,161,286,119,32,13,8,63,934,162,130,358,187,69,23,11,45,988,141,138,355,189,73,29,20,53,992,148,128,435,232,90,24,26,55,1141,177,129,419,263,115,38,26,57,1216,188,135,428,256,94,34,19,74,1227,190,127,472,277,115,36,23,71,1321,154,120,436,309,105,29,27,69,1248,117,82,382,288,116,27,21,75,1111,58,65,276,218,93,36,28,66,833,34,26,147,173,126,47,36,55,640,39,39,123,163,112,53,36,89,654,3708,1525,4257,2723,1167,383,277,953,14988
5002,344,0,0,0,0,0,0,87,435,250,33,26,0,0,0,0,70,374,390,48,68,17,5,0,0,111,646,313,108,130,49,15,7,8,142,775,187,104,183,80,41,9,3,100,716,119,62,134,118,41,18,12,85,595,85,57,162,80,29,14,10,84,523,97,64,128,76,35,10,14,80,499,63,60,111,78,20,10,16,66,430,58,31,88,80,32,15,9,46,362,33,24,54,53,28,7,10,38,246,13,15,34,27,16,5,8,19,133,8,9,21,14,3,7,8,17,82,6,0,7,3,4,3,10,6,35,5,0,3,4,4,0,6,6,31,1972,618,1148,689,283,112,108,958,5887
5003,2209,18,0,0,0,0,0,153,2382,1452,234,64,16,0,0,0,132,1907,1151,440,306,112,41,11,3,182,2243,692,509,763,308,89,36,11,147,2550,391,410,1019,482,131,48,25,114,2623,283,342,974,507,188,53,30,114,2492,291,286,1034,537,188,60,37,107,2532,296,328,1014,557,209,60,25,122,2614,262,233,940,586,216,51,30,116,2428,211,204,955,649,254,79,40,118,2512,163,132,785,601,209,64,51,121,2121,143,127,747,512,215,57,31,113,1942,72,60,411,380,191,69,29,107,1328,40,47,227,238,151,75,39,94,915,30,34,147,227,180,100,78,156,957,7693,3406,9384,5719,2269,762,444,1886,31553
5004,977,0,0,0,0,0,0,98,1078,526,45,18,0,0,0,0,64,651,494,153,96,33,3,0,0,86,867,386,209,281,105,27,5,3,73,1096,220,225,532,232,60,10,9,78,1377,170,152,576,303,84,17,8,62,1371,183,187,583,318,87,21,14,59,1450,189,185,548,282,93,24,15,67,1403,209,120,461,313,124,26,16,77,1345,173,127,527,413,133,30,16,73,1484,143,121,551,391,125,35,7,81,1454,115,110,498,374,139,30,13,103,1380,82,45,326,253,97,37,5,77,926,36,28,142,175,100,35,15,59,588,34,38,121,151,144,62,40,60,645,3924,1754,5267,3348,1206,329,168,1110,17118
5005,287,3,0,0,0,0,0,47,333,204,32,8,3,0,0,0,28,277,163,54,49,21,6,0,0,35,327,97,71,101,41,16,3,0,38,367,53,35,127,74,27,13,6,49,383,42,39,113,62,35,16,8,38,344,45,48,146,74,26,8,9,43,394,33,37,137,88,33,14,7,32,383,41,43,161,88,39,11,5,27,418,30,32,128,105,44,16,3,35,389,26,32,118,84,37,8,6,37,344,22,21,107,82,40,8,3,36,321,3,10,71,88,50,14,7,39,277,4,4,32,40,40,7,14,25,172,4,0,19,39,38,22,19,24,168,1060,457,1316,885,426,139,91,521,4895
5006,1029,12,0,0,0,0,0,148,1188,730,102,46,13,0,0,4,122,1027,548,182,196,64,23,3,0,116,1126,325,234,289,158,61,17,6,115,1210,210,161,391,217,72,25,20,123,1228,131,138,426,239,106,36,31,123,1227,159,160,487,269,77,35,35,104,1324,173,169,479,303,101,39,23,106,1387,131,122,406,327,119,42,20,97,1261,91,110,395,305,155,32,34,97,1220,80,69,410,284,114,26,25,89,1088,33,51,300,254,120,43,9,84,896,39,33,155,167,115,35,17,64,629,16,21,84,127,88,38,24,63,464,11,26,68,102,88,52,50,83,477,3715,1595,4133,2827,1239,413,309,1535,15759
5007,655,15,0,0,0,0,0,103,772,637,111,40,6,4,0,5,112,912,569,188,162,54,9,0,0,145,1128,334,217,304,138,47,15,3,109,1181,186,164,367,190,84,21,18,118,1156,123,125,302,171,81,31,15,88,932,132,111,291,171,96,25,14,81,915,123,107,270,180,97,19,17,97,911,83,82,239,212,86,30,18,88,843,54,62,207,152,82,40,18,72,692,28,28,128,124,66,19,10,58,463,21,15,91,83,37,20,11,37,325,11,15,37,49,28,13,12,14,175,11,14,19,31,27,7,12,21,143,0,15,19,16,15,20,20,30,138,2956,1274,2474,1585,764,278,166,1186,10682
5008,350,3,0,0,0,0,0,67,417,278,39,12,3,0,0,0,71,408,383,104,70,21,5,0,0,115,706,264,173,214,103,24,11,0,149,931,143,120,312,143,45,15,4,125,910,82,69,222,126,50,4,4,97,661,66,64,199,132,46,14,11,80,609,54,56,150,90,39,14,15,72,479,28,27,101,68,27,9,8,48,314,16,25,62,43,28,8,8,37,227,7,6,32,23,13,6,0,12,106,4,0,11,15,10,3,0,13,62,0,3,3,3,3,3,3,4,22,5,0,0,0,0,5,0,0,14,0,0,0,6,0,0,0,0,8,1674,701,1376,783,296,86,63,889,5868
5009,55062,285,20,4,0,0,11,4248,59635,55799,2994,1069,244,31,3,10,4773,64924,48546,9714,6051,1884,472,114,44,5090,71906,33485,18034,17778,5813,1684,437,241,4468,81938,18656,15847,28806,10667,2999,882,528,3883,82259,11962,11266,28140,12174,3573,1062,740,2890,71810,10347,10146,27344,12837,3873,1187,812,2854,69404,9786,9569,26872,12862,4076,1260,855,2698,67980,8524,8032,24531,13176,4450,1215,826,2524,63270,6862,6777,22510,13479,4705,1290,709,2265,58597,5391,5712,20368,12569,4494,1191,709,2252,52688,3762,4315,18087,11249,4219,1117,645,2419,45824,2273,2424,11073,8355,3441,1021,647,2264,31501,1430,1456,6315,6269,3435,1187,797,2260,23138,1405,1489,5523,5795,3827,1708,1496,3705,24953,273269,108070,244492,127383,45272,13681,9066,48597,869829
