SUA_CODE_2021,M_AgriForestFish_0,M_AgriForestFish_1_19,M_AgriForestFish_20_29,M_AgriForestFish_30_34,M_AgriForestFish_35_39,M_AgriForestFish_40_44,M_AgriForestFish_45_49,M_AgriForestFish_50_over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_19,M_Min_20_29,M_Min_30_34,M_Min_35_39,M_Min_40_44,M_Min_45_49,M_Min_50_over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_19,M_Mnfg_20_29,M_Mnfg_30_34,M_Mnfg_35_39,M_Mnfg_40_44,M_Mnfg_45_49,M_Mnfg_50_over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_19,M_EGW_WS_20_29,M_EGW_WS_30_34,M_EGW_WS_35_39,M_EGW_WS_40_44,M_EGW_WS_45_49,M_EGW_WS_50_over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_19,M_Cnstn_20_29,M_Cnstn_30_34,M_Cnstn_35_39,M_Cnstn_40_44,M_Cnstn_45_49,M_Cnstn_50_over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_19,M_WTrade_20_29,M_WTrade_30_34,M_WTrade_35_39,M_WTrade_40_44,M_WTrade_45_49,M_WTrade_50_over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_19,M_RTrade_20_29,M_RTrade_30_34,M_RTrade_35_39,M_RTrade_40_44,M_RTrade_45_49,M_RTrade_50_over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_19,M_AccomFoodS_20_29,M_AccomFoodS_30_34,M_AccomFoodS_35_39,M_AccomFoodS_40_44,M_AccomFoodS_45_49,M_AccomFoodS_50_over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_19,M_TransPostWhse_20_29,M_TransPostWhse_30_34,M_TransPostWhse_35_39,M_TransPostWhse_40_44,M_TransPostWhse_45_49,M_TransPostWhse_50_over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_19,M_InfoMedTelecom_20_29,M_InfoMedTelecom_30_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40_44,M_InfoMedTelecom_45_49,M_InfoMedTelecom_50_over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_19,M_FinInsurS_20_29,M_FinInsurS_30_34,M_FinInsurS_35_39,M_FinInsurS_40_44,M_FinInsurS_45_49,M_FinInsurS_50_over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_19,M_RentHirREserv_20_29,M_RentHirREserv_30_34,M_RentHirREserv_35_39,M_RentHirREserv_40_44,M_RentHirREserv_45_49,M_RentHirREserv_50_over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_19,M_ProScieTechServ_20_29,M_ProScieTechServ_30_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40_44,M_ProScieTechServ_45_49,M_ProScieTechServ_50_over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_19,M_AdminSupServ_20_29,M_AdminSupServ_30_34,M_AdminSupServ_35_39,M_AdminSupServ_40_44,M_AdminSupServ_45_49,M_AdminSupServ_50_over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_19,M_PubAdmiSafety_20_29,M_PubAdmiSafety_30_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40_44,M_PubAdmiSafety_45_49,M_PubAdmiSafety_50_over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_19,M_EducTrain_20_29,M_EducTrain_30_34,M_EducTrain_35_39,M_EducTrain_40_44,M_EducTrain_44_49,M_EducTrain_50_over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_19,M_HealthCareSocA_20_29,M_HealthCareSocA_30_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40_44,M_HealthCareSocA_45_49,M_HealthCareSocA_50_over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_19,M_ArtRecServ_20_29,M_ArtRecServ_30_34,M_ArtRecServ_35_39,M_ArtRecServ_40_44,M_ArtRecServ_45_49,M_ArtRecServ_50_over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_19,M_OthServ_20_29,M_OthServ_30_34,M_OthServ_35_39,M_OthServ_40_44,M_OthServ_45_49,M_OthServ_50_over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot
5000,520,781,727,615,811,2450,1103,6118,274,13390,1378,403,276,86,488,1040,1068,7209,264,12200,192,233,202,171,894,1052,461,998,70,4267,56,60,42,37,258,325,136,300,19,1244,437,419,422,408,846,1742,662,2908,156,7994,71,107,64,59,185,510,231,575,24,1824,112,602,309,196,428,537,182,512,30,2910,104,576,269,173,316,367,151,634,60,2650,189,314,310,155,269,569,248,1284,75,3404,10,25,21,18,29,63,16,34,0,215,6,23,22,18,47,69,17,55,0,249,18,49,25,20,43,78,37,212,9,481,72,164,107,72,190,350,110,412,19,1504,87,245,180,136,194,225,103,381,22,1581,250,192,134,107,959,1241,355,578,43,3858,85,217,180,149,373,470,185,309,15,1986,98,195,208,178,425,336,110,201,21,1769,35,97,54,34,86,106,32,93,4,545,100,169,111,80,347,624,219,620,44,2308,194,287,164,115,349,517,183,698,630,3134
5001,36,62,49,35,56,94,44,149,4,526,40,7,12,6,10,13,23,208,3,331,19,35,19,16,97,164,142,121,6,622,9,4,6,6,54,37,18,19,0,153,62,60,62,78,224,366,157,245,20,1278,9,9,8,4,36,103,40,78,3,280,25,158,86,48,159,149,51,88,8,774,13,170,79,46,62,60,29,55,8,521,21,38,38,30,45,88,64,131,7,464,5,0,4,0,8,15,4,18,0,59,4,4,6,0,21,25,7,16,0,85,0,5,5,10,8,28,9,14,6,86,6,29,27,24,48,66,25,38,0,264,16,48,28,18,34,25,9,16,3,195,52,34,25,17,130,209,44,66,0,582,12,56,31,39,98,93,30,42,5,406,28,58,58,71,136,116,22,50,8,553,3,19,11,5,18,7,0,13,0,84,16,28,23,13,64,116,31,56,6,353,21,38,23,23,37,58,21,55,61,336
5002,5,11,6,3,3,19,0,58,0,94,27,5,0,0,4,14,8,116,0,187,0,6,4,0,28,13,9,19,0,73,5,0,6,0,7,26,8,23,0,72,13,20,21,16,50,117,59,152,4,447,4,0,3,0,7,10,4,15,0,47,4,45,15,8,43,62,20,44,0,251,7,38,23,17,70,47,20,57,3,284,12,19,17,18,54,73,16,98,5,321,0,0,0,4,11,8,0,6,0,31,0,0,0,0,0,4,0,7,0,17,0,0,5,0,3,11,3,16,0,39,4,4,11,9,21,26,5,22,0,92,6,22,20,9,24,26,6,25,0,131,31,11,4,8,74,108,28,69,7,336,7,14,10,8,66,56,21,27,4,208,18,16,21,21,107,71,17,47,4,319,0,11,3,0,8,4,8,13,0,45,3,10,3,9,19,34,19,56,0,155,6,15,10,7,27,38,9,43,52,213
5003,11,39,26,17,44,80,18,120,5,354,264,55,57,21,139,382,232,1161,39,2345,117,61,67,64,423,914,395,514,8,2570,23,18,15,10,151,162,81,123,0,581,124,125,117,121,355,820,323,1301,37,3325,20,17,14,14,75,121,55,143,0,443,45,249,152,101,232,224,105,156,12,1265,40,346,111,62,95,87,33,87,13,874,45,67,66,53,127,211,97,396,14,1084,0,17,10,3,31,20,11,19,0,116,5,8,3,8,35,39,17,41,0,164,11,14,11,3,29,33,19,46,0,172,17,49,35,24,96,193,59,157,3,629,22,64,42,33,64,69,19,74,4,379,59,42,49,32,226,250,57,99,3,820,20,67,55,43,138,133,54,94,6,613,52,87,120,110,216,176,48,127,3,941,3,34,5,11,25,20,5,18,0,127,28,50,40,31,136,177,81,170,4,716,45,63,29,23,123,155,71,179,132,815
5004,26,43,43,30,68,98,49,164,3,531,184,27,39,8,33,78,80,654,14,1118,36,44,41,36,125,198,93,151,0,730,5,7,4,7,32,32,17,35,0,141,88,96,98,117,262,520,162,473,30,1836,4,13,17,4,18,42,18,40,0,156,32,164,79,72,138,130,59,96,12,767,46,245,108,65,151,140,49,102,16,927,31,56,38,31,28,40,30,104,3,364,4,9,3,0,13,9,0,3,0,46,9,3,4,3,17,48,11,24,0,111,9,15,6,7,8,35,12,34,0,130,19,46,33,32,45,102,28,84,6,389,19,64,49,27,52,64,20,51,0,343,25,23,22,11,86,128,31,47,0,371,19,36,19,20,41,68,29,69,4,306,18,58,61,55,92,85,23,47,3,442,6,27,13,4,22,19,8,7,0,109,9,28,20,12,56,93,31,59,0,315,24,40,20,26,44,69,24,76,61,383
5005,22,27,15,16,23,84,31,136,10,358,32,4,5,5,8,12,7,114,5,186,3,10,6,3,16,26,13,44,0,120,4,0,0,0,15,27,4,13,0,66,21,23,16,25,54,94,32,130,6,388,9,6,5,8,21,61,44,40,0,188,9,36,26,12,38,39,9,16,9,188,4,39,17,6,18,19,7,24,0,140,31,16,22,3,45,113,37,141,8,422,0,0,0,0,0,6,0,0,0,13,4,0,0,0,4,3,4,9,0,28,0,0,3,0,0,0,0,12,0,23,0,4,10,9,7,14,9,16,0,61,0,12,4,3,8,10,0,8,0,52,12,5,0,4,35,48,19,25,3,148,9,12,3,8,19,36,10,21,0,114,0,10,4,6,26,21,3,12,0,92,0,0,0,0,0,0,0,3,0,8,3,5,7,9,22,58,28,38,0,178,9,9,6,6,16,26,12,35,31,148
5006,29,51,47,34,25,83,43,139,10,451,111,26,31,7,45,107,119,540,22,1011,10,13,10,9,55,82,45,99,5,333,6,4,0,3,39,36,18,38,4,149,65,66,52,63,182,366,144,422,11,1383,14,12,9,7,41,99,64,103,0,345,17,155,84,69,144,135,56,65,0,730,8,160,58,37,52,65,21,46,7,462,60,44,44,43,72,189,90,344,12,902,0,11,4,3,14,15,0,12,0,60,0,6,3,3,14,19,9,13,0,69,0,5,3,0,11,11,5,27,0,67,5,21,21,20,61,86,27,89,6,344,18,28,34,25,30,38,15,40,3,237,38,27,19,8,167,206,52,97,4,632,14,36,24,28,94,128,33,54,0,402,22,42,55,45,120,81,32,59,4,461,6,21,5,3,9,7,4,4,0,54,16,25,21,9,69,124,38,121,6,426,19,25,33,19,52,70,29,92,58,402
5007,0,0,0,0,3,7,0,8,0,18,169,93,70,20,108,310,345,1956,52,3124,16,6,6,6,31,73,125,209,5,478,0,5,0,4,27,29,21,44,3,136,22,19,21,20,56,188,75,419,6,841,3,6,10,5,23,54,37,152,0,284,11,81,44,29,50,71,22,54,5,364,6,71,53,13,48,26,19,42,3,284,23,26,20,21,54,124,50,262,12,600,0,6,0,0,6,3,4,9,0,28,0,0,0,0,4,16,0,5,0,29,6,8,3,4,9,19,3,72,0,128,0,7,9,7,42,62,15,116,9,273,6,13,9,10,14,6,3,26,0,98,19,14,0,5,66,150,38,80,3,376,6,12,11,4,56,52,24,28,7,196,3,18,11,17,68,69,22,28,0,231,0,9,7,3,3,3,0,3,0,28,25,13,9,9,32,75,48,217,9,424,16,17,17,11,38,71,32,127,73,401
5008,3,0,0,0,0,0,0,0,0,9,129,40,22,15,99,266,232,590,26,1418,4,11,0,4,22,80,35,62,0,226,6,3,3,5,17,26,23,63,0,152,29,31,21,17,36,120,92,482,14,846,4,4,0,0,11,19,13,53,0,105,6,53,14,14,31,36,13,41,0,205,5,48,16,12,33,39,19,47,3,217,14,18,16,11,47,70,35,149,3,358,6,0,0,0,3,8,0,0,0,14,0,0,0,0,0,4,0,0,0,5,6,3,4,0,13,21,11,34,0,88,0,4,8,4,9,28,10,51,0,109,4,9,12,4,23,20,23,54,0,146,20,9,3,6,45,100,42,65,0,287,3,3,0,9,27,49,24,16,0,131,5,5,4,11,16,24,4,12,5,86,0,7,0,0,9,6,4,3,0,23,0,11,0,7,12,40,18,92,0,186,14,6,6,4,25,73,35,125,35,333
5009,156,461,418,314,612,957,314,980,69,4285,4743,1338,1209,644,4056,8944,5428,26708,816,53873,1075,1717,1570,1266,9898,11504,4728,8338,270,40369,275,248,222,249,2203,2274,863,1773,75,8182,2330,3673,3922,3864,10681,23382,7805,21472,966,78093,485,847,726,592,3986,5533,1919,4141,115,18346,1071,9030,5316,2670,7266,6857,2320,4505,348,39378,803,10433,4855,2055,3814,3576,1321,3564,360,30782,1632,2714,3103,2083,5767,9014,3546,8075,519,36444,128,587,398,302,1410,1595,378,757,25,5576,242,517,518,438,2727,3925,1033,2298,57,11754,135,648,540,346,1119,1744,761,1977,53,7328,990,2837,2259,1953,8866,16211,4359,9324,208,46999,535,2538,2241,1154,2714,3132,874,2235,176,15594,1585,1664,1379,1104,9410,10386,2957,4346,241,33064,644,3970,1992,1442,5004,5486,1854,3488,127,24004,1012,3194,3250,2908,7865,6619,1874,3818,249,30778,279,2442,992,693,1622,1538,450,941,73,9033,496,1698,1540,1067,4162,5268,1887,3830,239,20176,864,2511,1805,1362,5573,7650,2114,5123,4396,31394
