SUA_CODE_2021,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
5000,14,276,312,296,349,309,133,19,1705,9,98,159,204,222,153,37,6,877,300,1518,1581,1452,1214,1003,352,56,7479,159,723,1117,1320,1375,1198,463,76,6428,2133,5621,5795,5817,5892,3998,1357,238,30864,672,317,214,164,161,84,25,7,1641,89,152,225,260,321,331,126,32,1539,2898,6085,6232,6242,6385,4421,1506,280,34043,36,80,82,127,120,128,61,15,644,2402,3680,3780,3988,3387,2347,1281,398,21262,5814,12459,13265,13634,13038,9555,3829,846,72434,37,460,570,399,402,252,62,0,2191,32,390,489,500,484,323,75,3,2294,554,3004,3237,2615,2058,1255,460,110,13293,278,1301,1728,1986,2263,1514,516,106,9690,1626,2943,3131,2791,2373,1100,247,34,14246,749,508,415,377,328,190,50,3,2615,133,216,337,471,527,359,136,25,2199,2506,3668,3881,3631,3226,1651,431,63,19062,33,77,108,102,137,170,87,24,746,1939,2317,2427,2494,2493,2198,1401,602,15882,5382,11215,12453,11738,11062,7364,3021,927,63157,51,734
5001,5,38,56,57,44,63,26,4,303,3,19,32,37,42,33,10,3,177,28,163,194,225,204,206,73,18,1101,25,107,153,185,235,192,98,14,1016,353,738,649,656,644,485,254,86,3857,140,45,33,22,24,12,6,0,282,14,17,22,34,37,54,21,7,195,511,799,700,704,705,551,273,94,4336,0,15,10,10,13,23,14,3,80,112,137,132,139,165,164,133,82,1063,681,1276,1275,1362,1407,1234,622,221,8081,10,65,78,75,82,44,9,6,372,10,44,67,103,91,68,15,4,407,72,341,422,418,356,284,133,26,2045,61,196,268,327,352,270,137,46,1655,282,476,433,439,357,195,54,19,2259,159,68,45,45,39,22,9,0,399,21,30,31,87,100,69,26,8,376,468,573,510,573,498,288,91,31,3025,3,4,14,20,16,33,21,12,119,102,103,117,132,191,230,224,156,1251,725,1330,1476,1646,1596,1216,631,263,8877,9,111
5002,3,42,42,26,13,3,0,0,135,0,25,20,21,10,7,0,0,82,16,177,157,109,66,42,9,0,566,15,67,117,89,62,28,6,0,398,96,291,334,313,209,107,20,3,1373,38,15,3,12,6,3,0,0,74,12,18,15,16,18,10,3,0,81,139,320,354,341,227,123,22,3,1522,5,3,3,10,3,7,3,0,35,145,198,170,192,146,69,27,10,960,327,829,869,796,532,282,69,12,3714,0,87,88,49,33,21,6,0,292,3,61,79,45,36,12,4,0,238,49,390,300,202,118,48,8,0,1120,23,133,170,122,100,39,5,0,601,87,162,159,128,71,34,3,0,640,45,33,37,12,13,0,0,0,140,3,16,20,28,22,11,0,0,98,130,212,222,160,106,42,4,0,881,3,3,9,0,8,0,8,0,33,142,265,186,173,140,68,29,10,1010,363,1154,1050,757,541,232,56,11,4169,9,129
5003,3,77,155,154,114,91,28,12,631,0,32,63,78,76,60,9,4,332,67,426,520,505,405,307,109,27,2368,61,254,418,435,394,303,134,27,2024,731,1794,1836,1654,1545,1075,454,105,9197,294,111,48,35,26,20,4,0,541,35,38,63,68,92,63,33,9,392,1060,1949,1948,1755,1656,1164,491,110,10131,3,21,36,24,30,41,27,4,185,248,380,398,392,373,295,187,109,2389,1446,3132,3537,3345,3054,2251,990,290,18055,16,137,179,147,114,68,12,0,674,15,122,179,190,146,87,24,0,761,162,913,1081,861,577,367,149,41,4151,102,481,599,582,620,410,153,57,2996,927,1274,1165,1030,748,361,84,14,5598,278,196,133,110,83,52,12,6,881,53,70,127,188,187,121,50,9,805,1261,1536,1430,1328,1019,531,145,30,7275,5,25,33,33,32,46,22,9,209,231,325,295,290,329,354,327,202,2352,1786,3528,3793,3431,2837,1862,837,342,18423,19,214
5004,0,30,53,86,67,76,48,3,368,0,23,51,44,31,40,9,4,188,15,202,315,333,287,286,118,32,1587,14,124,216,251,267,282,154,23,1327,304,711,915,859,778,701,316,75,4659,109,45,21,26,13,18,5,0,237,14,23,28,53,46,48,28,6,240,429,774,961,935,837,770,352,77,5132,6,13,12,12,17,17,11,4,92,118,196,222,244,200,168,145,64,1362,587,1353,1830,1904,1704,1643,843,201,10065,3,70,107,102,67,61,20,0,419,3,56,120,143,107,74,18,6,524,60,428,732,576,417,311,146,35,2705,51,234,370,419,406,311,132,34,1955,247,446,532,516,403,220,61,13,2439,112,44,55,56,52,42,12,3,371,26,39,64,85,94,101,34,7,452,377,522,652,660,554,358,104,27,3256,6,17,18,21,29,32,27,7,156,132,174,176,155,211,252,219,128,1440,640,1499,2169,2076,1777,1400,666,238,10459,3,102
5005,0,12,7,13,11,9,0,0,59,0,0,11,7,8,0,6,0,33,10,54,52,66,43,37,17,9,278,4,21,48,54,48,41,22,8,254,114,273,261,237,241,122,65,15,1327,33,20,11,4,5,0,0,0,67,6,7,3,5,6,5,8,0,46,153,301,275,256,250,127,77,14,1442,4,0,4,4,5,4,5,4,28,102,79,84,122,93,90,83,10,660,275,462,477,522,462,304,205,44,2748,0,17,15,19,6,7,0,0,67,3,17,25,24,20,15,3,6,110,22,151,128,105,65,54,35,3,563,12,61,78,86,96,60,35,7,425,89,153,132,137,97,50,17,0,670,40,25,23,13,14,14,3,0,130,9,8,17,23,25,7,6,3,89,140,177,168,172,126,68,29,3,885,0,6,0,0,8,4,8,4,28,71,69,96,85,81,87,95,37,617,248,493,508,500,405,289,197,57,2698,0,29
5006,5,29,65,67,49,29,6,7,255,0,16,30,35,29,18,6,0,129,18,164,216,205,138,100,28,5,875,20,114,188,197,223,150,41,10,932,357,908,780,834,756,485,207,54,4389,118,58,42,23,29,18,6,0,294,10,10,33,32,41,39,12,3,186,487,982,854,893,826,545,226,63,4867,4,10,15,22,22,5,11,6,110,227,291,297,302,267,159,143,80,1763,766,1599,1668,1717,1556,1008,456,168,8935,9,63,95,67,39,21,0,0,299,9,81,90,95,61,35,7,0,392,110,434,456,428,227,129,55,10,1848,94,249,291,320,284,180,59,16,1499,285,499,489,504,372,158,45,8,2367,172,102,69,65,43,25,7,0,489,29,32,46,79,63,39,22,3,317,486,642,608,645,481,225,70,13,3170,4,12,5,20,10,12,12,7,87,216,229,270,248,232,234,204,147,1777,925,1710,1827,1814,1350,835,411,197,9071,8,91
5007,10,104,97,57,32,5,3,0,318,4,20,24,21,15,8,0,0,89,53,266,233,146,98,46,10,3,852,16,95,155,118,115,47,8,0,549,297,902,815,741,580,254,77,8,3676,98,38,18,14,9,8,0,0,191,14,22,27,30,23,10,4,0,138,410,963,866,786,609,273,79,9,3999,5,10,9,9,10,6,4,0,48,212,287,263,241,236,158,76,15,1496,715,1744,1655,1380,1102,548,179,29,7353,11,101,108,50,31,8,3,0,306,4,57,62,47,39,6,3,0,222,112,442,370,215,132,40,18,0,1336,37,185,215,199,147,50,14,3,850,229,437,352,263,167,40,10,3,1500,123,65,43,31,13,0,0,0,282,17,43,34,54,39,25,6,0,208,368,539,428,348,224,71,12,3,1994,3,19,9,14,11,4,4,0,67,185,253,212,200,195,140,52,59,1293,728,1601,1407,1073,767,316,106,64,6062,22,204
5008,0,56,60,30,12,4,0,0,158,0,13,26,24,10,3,0,0,77,12,152,172,117,44,15,0,0,512,0,67,166,119,83,11,0,0,446,165,647,660,462,266,70,11,0,2280,62,21,16,8,5,0,0,0,107,4,10,17,17,3,3,0,0,65,233,677,696,487,281,70,12,0,2455,4,6,13,6,7,6,0,0,34,182,280,316,222,142,45,12,0,1204,431,1248,1450,1005,570,155,20,0,4890,0,78,72,44,6,3,0,0,208,9,55,55,39,21,3,0,0,178,49,359,332,158,57,19,0,0,974,27,151,175,131,63,20,4,0,563,98,273,253,160,55,7,4,0,856,52,40,34,24,16,5,0,0,166,6,17,27,31,22,6,0,0,109,160,334,316,215,91,15,4,0,1137,0,7,9,10,5,0,0,0,31,137,267,236,171,99,28,6,7,952,383,1263,1191,766,333,84,16,7,4039,5,127
5009,830,10633,14519,10336,7331,4847,2012,410,50922,187,2447,3413,3396,2770,1737,587,85,14631,8826,32669,33637,24569,16821,11965,4630,1067,134199,4199,12379,15883,14498,11885,9375,4317,998,73536,15956,37467,35271,32299,30688,21755,10617,2848,186903,5285,2163,1203,827,599,408,151,25,10656,893,1351,1725,1965,1836,1677,901,241,10574,22127,40982,38197,35088,33119,23844,11668,3110,208134,508,975,1288,1141,925,916,678,238,6669,7078,11718,11252,9676,7689,5757,4636,2764,60575,43762,111807,118194,98715,80552,58441,28527,8674,548668,871,14060,15848,9557,5719,3009,799,145,50006,634,5803,7104,6275,4770,2728,790,142,28230,12358,48108,46287,30844,18916,12121,4745,1273,174652,5684,16460,19292,18853,16340,10354,4328,1328,92634,15139,23626,20725,18236,13782,6694,1924,531,100657,5180,2553,2198,1914,1682,1122,427,93,15160,1298,1844,2934,4197,4123,3076,1544,553,19572,21619,28018,25855,24351,19585,10890,3896,1171,135394,434,1015,1236,1163,1185,1366,889,313,7606,6374,9650,8406,7216,7088,7653,7316,5531,59235,47977,123115,124029,98254,73593,48125,22762,9898,547758,1703,24695
