SUA_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
5000,0,9,63,326,164,175,348,192,34,1311,0,5,0,9,6,10,16,12,9,62,0,4,7,63,15,19,15,0,0,124,3,39,34,447,91,99,77,66,19,876,4,37,25,199,77,38,31,9,9,427,0,4,7,61,14,12,6,0,0,100,0,0,0,28,7,4,0,0,0,41,0,20,40,395,102,115,87,75,17,854,3,10,18,217,32,98,240,190,106,910,0,8,5,84,25,8,12,0,0,157,3,9,10,96,4,6,6,0,0,130,0,0,0,12,6,6,8,5,0,41,4,10,29,207,85,91,56,25,3,510,0,0,0,7,4,13,30,12,0,70,0,3,11,31,13,23,12,0,0,95,0,0,16,80,52,39,27,0,8,232,0,0,7,49,3,3,0,0,0,63,0,8,27,132,84,135,336,202,48,976,59,238,463,2317,1620,1886,1087,270,39,7986,0,0,0,9,3,11,14,9,11,63
5001,0,0,5,33,23,24,69,36,11,193,0,0,0,0,0,3,0,3,0,6,0,0,0,8,6,3,0,0,0,21,0,3,3,62,19,9,15,14,4,127,0,7,9,30,9,6,8,0,0,64,0,0,0,4,0,6,6,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,25,4,8,13,14,0,59,0,0,0,12,8,10,31,36,24,134,0,0,0,11,9,3,0,0,0,23,0,0,5,7,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,27,10,16,10,4,0,70,0,0,0,0,0,3,0,3,0,9,0,0,0,8,0,5,0,0,0,11,0,0,7,47,20,11,13,8,0,106,0,0,0,8,0,0,0,0,0,6,0,4,3,19,23,19,79,64,16,221,0,20,39,154,116,134,83,37,7,597,0,0,0,0,3,0,0,0,0,4
5002,0,0,3,40,15,11,9,5,6,79,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,18,3,3,0,49,5,3,9,0,0,69,0,0,0,12,0,5,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,5,6,4,0,46,0,0,0,29,6,0,5,0,0,45,0,0,0,14,7,0,0,0,0,24,0,0,0,5,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,4,5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,7,0,0,8,9,8,10,7,0,0,35,0,6,19,94,67,52,31,8,0,280,0,0,0,0,0,0,0,0,0,0
5003,0,3,8,41,23,41,82,49,14,265,0,0,0,3,4,3,6,9,3,25,0,6,3,27,4,7,0,0,0,48,5,58,25,366,58,30,24,18,8,585,0,9,18,73,15,6,7,0,0,138,0,5,0,30,5,0,0,0,0,46,0,7,4,20,6,5,0,0,0,43,6,18,30,114,55,34,46,17,4,326,0,0,6,23,16,27,100,90,67,323,0,8,0,28,20,3,0,0,0,63,0,3,12,87,12,0,0,0,0,116,0,0,0,15,6,11,7,5,0,45,0,9,11,86,34,27,19,14,0,192,0,0,0,0,0,8,4,6,0,18,0,0,3,24,6,9,10,8,3,59,0,3,4,25,7,8,6,4,0,51,0,4,7,53,0,0,0,0,0,62,0,6,0,20,36,35,89,61,22,273,17,148,209,705,433,432,264,66,19,2292,0,0,0,0,0,3,0,0,0,4
5004,3,4,11,84,25,22,49,27,10,222,0,0,0,0,0,0,0,0,0,4,0,0,0,11,3,3,0,0,0,19,0,0,10,91,8,18,11,15,13,164,0,14,3,30,19,7,0,0,0,75,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,5,52,26,21,38,20,4,170,0,0,0,41,4,4,15,12,9,95,0,0,4,31,4,0,3,0,0,43,0,5,0,45,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,4,4,16,7,15,11,4,0,53,0,0,0,0,0,4,0,3,0,9,0,0,0,3,3,0,0,0,0,11,0,0,0,5,0,0,3,0,0,19,0,0,4,15,0,0,0,0,0,19,3,5,3,18,11,20,56,29,8,153,0,46,37,262,177,205,158,53,8,952,0,0,0,0,0,0,0,0,0,0
5005,0,0,0,12,6,13,17,14,0,60,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,14,0,5,0,11,0,0,0,3,0,22,0,0,0,4,6,0,3,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,0,0,26,0,0,0,0,3,0,3,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,16,4,0,32,4,9,9,90,52,81,50,17,0,318,0,0,0,0,0,0,0,0,0,0
5006,0,3,5,30,15,27,29,17,5,134,0,0,0,0,0,3,0,3,3,12,0,0,0,7,0,0,0,0,0,11,4,24,9,124,24,17,8,11,0,222,0,16,3,41,20,0,3,7,3,86,0,0,0,4,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,9,0,4,5,34,17,7,11,12,3,86,0,0,0,9,4,11,33,38,21,122,0,0,3,3,4,0,0,0,0,10,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,38,15,15,10,0,0,80,0,0,0,0,0,0,0,7,0,10,0,0,4,4,0,0,0,0,0,17,0,0,0,5,3,4,3,0,0,16,0,3,0,19,4,0,0,0,0,25,0,0,0,7,10,13,25,20,10,84,4,30,37,172,118,164,117,35,8,679,0,0,0,0,0,0,3,3,0,8
5007,0,0,0,24,13,8,15,7,3,69,0,0,0,0,0,0,0,0,0,7,0,0,3,3,0,0,0,0,0,7,3,27,28,235,50,14,14,11,0,377,0,5,10,39,15,4,5,0,0,75,0,3,3,26,8,0,0,0,0,42,0,5,0,5,0,0,0,0,0,5,0,3,3,66,7,9,0,4,0,90,0,0,0,14,0,10,4,3,6,36,0,0,0,0,4,0,0,0,0,4,0,6,0,27,4,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,4,26,4,10,3,0,0,42,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,12,0,0,0,14,0,0,0,0,0,20,0,0,0,5,0,7,13,0,0,30,18,144,241,730,357,383,142,26,5,2039,0,0,0,0,0,0,0,0,0,0
5008,0,0,8,11,0,10,3,0,0,34,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,6,0,0,0,9,4,23,8,163,28,15,0,0,0,245,4,4,5,31,14,0,0,0,0,56,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,72,3,8,0,0,0,84,0,0,0,5,0,0,0,0,0,9,0,0,0,10,3,0,0,0,0,13,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,22,7,6,0,0,0,37,0,0,0,0,0,0,3,0,0,3,0,3,0,9,0,0,0,0,0,13,0,7,0,13,5,0,0,0,0,22,0,0,5,18,4,0,0,0,0,32,0,0,0,7,3,4,0,0,0,26,3,35,56,315,150,119,37,3,0,716,0,0,0,0,0,4,4,0,0,18
5009,21,173,370,2315,1323,1182,1913,1320,338,8960,3,26,57,143,120,254,474,575,366,2015,64,348,763,2648,763,776,653,176,67,6247,469,3451,5133,32290,6250,4250,3505,2121,717,58181,134,691,1384,5720,2279,1185,1114,397,104,13005,22,323,528,3141,948,641,389,158,62,6213,15,250,377,1516,708,425,168,58,13,3531,61,862,916,7892,1914,1764,1588,994,359,16350,15,202,330,2431,977,1792,4387,3876,2464,16489,98,303,348,1829,1047,396,230,86,33,4370,54,348,435,3672,881,419,168,53,13,6039,3,45,63,314,235,225,181,65,12,1145,121,1307,3117,11124,4622,4283,4408,1783,436,31209,0,6,12,58,46,140,277,166,52,761,6,140,500,2174,570,680,552,246,108,4975,13,147,559,2842,1478,1566,1382,586,302,8873,14,113,728,3048,195,72,30,4,0,4208,31,144,245,878,731,744,1958,1586,681,7000,403,3693,5578,20130,10635,10326,5967,1836,346,58919,6,34,75,800,538,649,715,359,154,3331
