SUA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
5000,4,88,0,89,..,383,91,471,11,480,..,18,0,17,0,17,..,335,190,518,4,526,..,10164,1094,11261,301,11560,..,21032,2263,23291,473,23768,..,1062,249,1318,37402,38710,220613,22095,2519,24605,37876,283092
5001,0,19,0,19,..,49,4,52,0,52,..,8,0,6,0,6,..,37,0,38,0,38,..,433,136,564,0,573,..,1987,243,2231,16,2249,..,80,7,91,1962,2050,30757,2068,258,2322,1977,35053
5002,0,17,0,17,..,62,11,71,0,71,..,6,0,10,0,14,..,20,0,25,0,25,..,506,22,532,11,544,..,1492,80,1574,16,1590,..,132,18,149,2053,2206,10859,1624,101,1721,2078,14660
5003,0,48,0,48,..,111,18,128,0,128,..,6,0,6,0,6,..,87,47,134,0,140,..,951,109,1059,31,1089,..,5698,623,6322,80,6399,..,240,20,256,4253,4512,65546,5938,641,6574,4329,76452
5004,0,20,0,17,..,70,10,81,0,82,..,0,0,0,0,0,..,53,26,77,0,77,..,356,76,436,11,444,..,1856,201,2061,29,2090,..,135,10,146,2207,2356,36102,1994,209,2204,2237,40544
5005,0,5,0,5,..,31,3,30,0,30,..,0,0,0,0,0,..,18,0,22,0,22,..,94,11,108,0,108,..,471,37,507,7,517,..,48,5,47,1196,1252,10242,516,43,556,1207,12003
5006,0,22,0,22,..,96,21,115,0,115,..,0,0,0,0,0,..,98,46,145,0,142,..,483,47,531,14,544,..,2601,288,2887,39,2929,..,173,10,183,3558,3738,31927,2774,297,3071,3592,38595
5007,0,40,4,43,..,119,24,149,0,149,..,10,0,10,0,10,..,46,16,62,0,58,..,915,63,978,27,1006,..,3413,261,3679,56,3727,..,193,30,225,2954,3181,22162,3613,289,3899,3005,29072
5008,0,18,0,18,..,110,14,128,0,128,..,4,0,4,0,4,..,33,10,42,0,42,..,420,41,459,14,473,..,1917,142,2063,31,2097,..,108,7,119,2502,2621,12300,2029,157,2184,2534,17013
5009,564,8347,95,8439,..,5472,924,6396,45,6441,..,1563,365,1927,11,1940,..,15193,6301,21493,163,21652,..,63147,9982,73128,1401,74528,..,382702,54080,436778,4690,441469,..,9830,1382,11213,93941,105155,1551617,392529,55464,447993,98630,2098239
5010,5,17,0,17,..,86,6,92,0,90,..,5,3,14,0,10,..,44,0,42,0,42,..,541,33,578,15,592,..,2025,147,2171,35,2215,..,189,8,199,2234,2428,10654,2213,162,2372,2275,15298
