SUA_CODE_2021,LFS_Emp_Dia_ges_dia,LFS_Emp_HD_HA_ang,LFS_Emp_Kid_dis,LFS_Emp_LC_COPD_emph,LFS_Emp_MHC_dep_anx,LFS_Emp_Stroke,LFS_Emp_oth_LTHC,LFS_Emp_no_LTHC,LFS_Emp_LTHC_NS,LFS_Emp_Tot,LFS_Unemp_Arth,LFS_Unemp_Asth,LFS_Unemp_Can_rem,LFS_Unemp_Dem_Alzh,LFS_Unemp_Dia_ges_dia,LFS_Unemp_HD_HA_ang,LFS_Unemp_Kid_dis,LFS_Unemp_LC_COPD_emph,LFS_Unemp_MHC_dep_anx,LFS_Unemp_Stroke,LFS_Unemp_oth_LTHC,LFS_Unemp_no_LTHC,LFS_Unemp_LTHC_NS,LFS_Unemp_Tot,LFS_NLF_Arth,LFS_NLF_Asth,LFS_NLF_Can_rem,LFS_NLF_Dem_Alzh,LFS_NLF_Dia_ges_dia,LFS_NLF_HD_HA_ang,LFS_NLF_Kid_dis,LFS_NLF_LC_COPD_emph,LFS_NLF_MHC_dep_anx,LFS_NLF_Stroke,LFS_NLF_oth_LTHC,LFS_NLF_no_LTHC,LFS_NLF_LTHC_NS,LFS_NLF_Tot,LFS_NS_Arth,LFS_NS_Asth,LFS_NS_Can_rem,LFS_NS_Dem_Alzh,LFS_NS_Dia_ges_dia,LFS_NS_HD_HA_ang,LFS_NS_Kid_dis,LFS_NS_LC_COPD_emph,LFS_NS_MHC_dep_anx,LFS_NS_Stroke,LFS_NS_oth_LTHC,LFS_NS_no_LTHC,LFS_NS_LTHC_NS,LFS_NS_Tot,LFS_Tot_Arth,LFS_Tot_Asth,LFS_Tot_Can_rem,LFS_Tot_Dem_Alzh,LFS_Tot_Dia_ges_dia,LFS_Tot_HD_HA_ang,LFS_Tot_Kid_dis,LFS_Tot_LC_COPD_emph,LFS_Tot_MHC_dep_anx,LFS_Tot_Stroke,LFS_Tot_oth_LTHC,LFS_Tot_no_LTHC,LFS_Tot_LTHC_NS,LFS_Tot_Tot,TPI_wk_NNI_Arth,TPI_wk_NNI_Asth,TPI_wk_NNI_Can_rem,TPI_wk_NNI_Dem_Alzh,TPI_wk_NNI_Dia_ges_dia,TPI_wk_NNI_HD_HA_ang,TPI_wk_NNI_Kid_dis,TPI_wk_NNI_LC_COPD_emph,TPI_wk_NNI_MHC_dep_anx,TPI_wk_NNI_Stroke,TPI_wk_NNI_oth_LTHC,TPI_wk_NNI_no_LTHC,TPI_wk_NNI_LTHC_NS,TPI_wk_NNI_Tot,TPI_wk_1_299_Arth,TPI_wk_1_299_Asth,TPI_wk_1_299_Can_rem,TPI_wk_1_299_Dem_Alzh,TPI_wk_1_299_Dia_ges_dia,TPI_wk_1_299_HD_HA_ang,TPI_wk_1_299_Kid_dis,TPI_wk_1_299_LC_COPD_emph,TPI_wk_1_299_MHC_dep_anx,TPI_wk_1_299_Stroke,TPI_wk_1_299_oth_LTHC,TPI_wk_1_299_no_LTHC,TPI_wk_1_299_LTHC_NS,TPI_wk_1_299_Tot,TPI_wk_300_649_Arth,TPI_wk_300_649_Asth,TPI_wk_300_649_Can_rem,TPI_wk_300_649_Dem_Alzh,TPI_wk_300_649_Dia_ges_dia,TPI_wk_300_649_HD_HA_ang,TPI_wk_300_649_Kid_dis,TPI_wk_300_649_LC_COPD_emph,TPI_wk_300_649_MHC_dep_anx,TPI_wk_300_649_Stroke,TPI_wk_300_649_oth_LTHC,TPI_wk_300_649_no_LTHC,TPI_wk_300_649_LTHC_NS,TPI_wk_300_649_Tot,TPI_wk_650_999_Arth,TPI_wk_650_999_Asth,TPI_wk_650_999_Can_rem,TPI_wk_650_999_Dem_Alzh,TPI_wk_650_999_Dia_ges_dia,TPI_wk_650_999_HD_HA_ang,TPI_wk_650_999_Kid_dis,TPI_wk_650_999_LC_COPD_emph,TPI_wk_650_999_MHC_dep_anx,TPI_wk_650_999_Stroke,TPI_wk_650_999_oth_LTHC,TPI_wk_650_999_no_LTHC,TPI_wk_650_999_LTHC_NS,TPI_wk_650_999_Tot,TPI_wk_1000_1749_Arth,TPI_wk_1000_1749_Asth,TPI_wk_1000_1749_Can_rem,TPI_wk_1000_1749_Dem_Alzh,TPI_wk_1000_1749_Dia_ges_dia,TPI_wk_1000_1749_HD_HA_ang,TPI_wk_1000_1749_Kid_dis,TPI_wk_1000_1749_LC_COPD_emph,TPI_wk_1000_1749_MHC_dep_anx,TPI_wk_1000_1749_Stroke,TPI_wk_1000_1749_oth_LTHC,TPI_wk_1000_1749_no_LTHC,TPI_wk_1000_1749_LTHC_NS,TPI_wk_1000_1749_Tot,TPI_wk_1750_2999_Arth,TPI_wk_1750_2999_Asth,TPI_wk_1750_2999_Can_rem,TPI_wk_1750_2999_Dem_Alzh,TPI_wk_1750_2999_Dia_ges_dia,TPI_wk_1750_2999_HD_HA_ang,TPI_wk_1750_2999_Kid_dis,TPI_wk_1750_2999_LC_COPD_emph,TPI_wk_1750_2999_MHC_dep_anx,TPI_wk_1750_2999_Stroke,TPI_wk_1750_2999_oth_LTHC,TPI_wk_1750_2999_no_LTHC,TPI_wk_1750_2999_LTHC_NS,TPI_wk_1750_2999_Tot,TPI_wk_3000_more_Arth,TPI_wk_3000_more_Asth,TPI_wk_3000_more_Can_rem,TPI_wk_3000_more_Dem_Alzh,TPI_wk_3000_more_Dia_ges_dia,TPI_wk_3000_more_HD_HA_ang,TPI_wk_3000_more_Kid_dis,TPI_wk_3000_more_LC_COPD_emph,TPI_wk_3000_more_MHC_dep_anx,TPI_wk_3000_more_Stroke,TPI_wk_3000_more_oth_LTHC,TPI_wk_3000_more_no_LTHC,TPI_wk_3000_more_LTHC_NS,TPI_wk_3000_more_Tot,TPI_wk_NS_Arth,TPI_wk_NS_Asth,TPI_wk_NS_Can_rem,TPI_wk_NS_Dem_Alzh,TPI_wk_NS_Dia_ges_dia,TPI_wk_NS_HD_HA_ang,TPI_wk_NS_Kid_dis,TPI_wk_NS_LC_COPD_emph,TPI_wk_NS_MHC_dep_anx,TPI_wk_NS_Stroke,TPI_wk_NS_oth_LTHC,TPI_wk_NS_no_LTHC,TPI_wk_NS_LTHC_NS,TPI_wk_NS_Tot,TPI_wk_Tot_Arth,TPI_wk_Tot_Asth,TPI_wk_Tot_Can_rem,TPI_wk_Tot_Dem_Alzh,TPI_wk_Tot_Dia_ges_dia,TPI_wk_Tot_HD_HA_ang,TPI_wk_Tot_Kid_dis,TPI_wk_Tot_LC_COPD_emph,TPI_wk_Tot_MHC_dep_anx,TPI_wk_Tot_Stroke,TPI_wk_Tot_oth_LTHC,TPI_wk_Tot_no_LTHC,TPI_wk_Tot_LTHC_NS,TPI_wk_Tot_Total,CANA_HNA_Arth,CANA_HNA_Asth,CANA_HNA_Can_rem,CANA_HNA_Dem_Alzh,CANA_HNA_Dia_ges_dia,CANA_HNA_HD_HA_ang,CANA_HNA_Kid_dis,CANA_HNA_LC_COPD_emph
5000,4806,3217,579,1229,10182,463,7162,83050,4056,123469,427,575,91,4,334,199,40,88,926,37,400,3553,197,5843,14749,6496,4928,1328,8092,7275,1646,3716,8845,1867,8424,29467,5565,72767,438,191,138,110,240,216,61,111,242,76,229,988,28630,30711,24382,17205,8029,1500,13475,10909,2329,5137,20195,2444,16223,117055,38453,232781,1583,1427,537,144,891,661,138,312,1776,160,1393,10259,700,16915,2384,1737,758,128,1601,1213,310,553,2387,243,1897,10712,1387,20192,10684,5048,3401,819,5541,4944,1116,2741,6937,1280,6103,22309,2343,51950,3240,2569,1085,119,1647,1280,240,554,2976,284,2050,17622,1016,29386,3385,3305,1153,67,1831,1384,214,493,3345,204,2451,27490,1363,41769,1661,2031,576,20,1070,690,136,220,1736,85,1396,18399,811,26536,633,702,245,16,379,323,60,80,554,47,481,7368,305,10363,813,395,267,196,514,411,119,185,486,145,441,2899,30534,35668,24382,17205,8029,1500,13475,10909,2329,5137,20195,2444,16223,117055,38453,232781,4092,1750,1371,1145,2203,2204,720,1312
5001,598,382,62,127,1823,65,1096,9907,632,15751,44,58,12,0,31,11,3,15,159,0,53,329,28,638,2717,1069,884,380,1266,1294,223,611,1645,367,1576,3701,741,11018,58,19,28,17,37,29,4,11,24,16,14,90,1330,1550,3948,2639,1293,405,1936,1713,288,761,3650,446,2737,14031,2731,28964,177,187,76,42,102,73,12,43,290,15,205,1055,92,1958,367,281,116,24,170,141,19,62,411,40,300,1295,106,2586,1867,818,578,166,910,831,147,426,1343,232,1091,2949,317,7930,595,459,206,39,269,274,44,103,597,76,411,2612,182,4779,497,527,186,15,264,192,34,63,634,30,430,3779,254,6078,212,246,70,5,116,83,11,14,216,18,162,1658,87,2625,64,58,25,0,32,32,5,8,43,3,46,442,38,710,157,61,44,111,74,84,18,28,106,39,94,240,1663,2300,3948,2639,1293,405,1936,1713,288,761,3650,446,2737,14031,2731,28964,780,318,246,328,385,416,99,237
5002,193,116,39,63,507,11,352,5209,283,7176,0,19,5,0,19,11,3,0,25,0,14,213,15,299,201,158,113,36,213,150,65,86,216,39,225,1058,133,2074,4,5,3,4,9,11,0,5,6,4,0,92,1560,1686,526,636,253,40,433,283,115,158,741,55,587,6565,1996,11236,20,28,15,4,25,14,12,7,42,0,43,382,31,564,30,50,12,5,34,22,4,12,54,10,46,437,30,654,147,100,76,27,157,111,46,69,166,24,151,788,88,1495,60,69,29,4,38,32,14,16,104,10,68,926,54,1296,135,191,58,0,105,51,16,32,191,8,140,2058,93,2858,94,143,38,0,54,28,12,10,139,3,111,1393,74,1952,25,38,12,0,11,13,4,5,33,0,21,384,23,544,18,16,3,4,16,16,6,5,3,3,7,201,1599,1871,526,636,253,40,433,283,115,158,741,55,587,6565,1996,11236,72,49,38,38,69,49,35,39
5003,1312,649,161,283,3808,120,2363,23150,1367,35640,134,202,32,0,73,38,6,22,394,3,179,1016,83,1845,4821,2006,1547,562,2402,2129,442,1114,3092,562,2783,7370,1221,20320,87,41,21,24,40,43,6,25,37,13,35,171,3089,3462,7426,5385,2308,608,3837,2863,625,1445,7319,698,5359,31713,5759,61269,437,452,175,36,270,149,25,74,634,33,467,2923,217,5002,654,512,210,53,344,237,58,143,773,73,565,2629,223,5085,3448,1540,1011,356,1636,1426,324,777,2506,360,1934,5714,543,14731,1083,892,310,62,485,371,53,186,1253,96,776,5254,330,9246,999,1073,313,18,572,330,73,150,1265,59,892,7720,434,12253,484,657,181,6,314,166,42,45,616,25,469,5296,259,7877,161,172,62,8,119,86,14,24,151,14,137,1776,82,2557,156,83,49,75,104,102,29,46,124,27,112,393,3677,4517,7426,5385,2308,608,3837,2863,625,1445,7319,698,5359,31713,5759,61269,1365,580,412,477,701,707,220,454
5004,483,349,64,121,1798,68,1159,12743,673,18915,43,53,11,0,17,9,5,4,104,5,42,357,28,592,2853,1070,1016,334,1122,1287,256,627,1515,343,1509,4297,353,11430,56,25,12,9,35,36,9,7,26,9,14,98,1781,2011,4159,2639,1473,347,1658,1674,333,765,3439,415,2722,17493,2835,32951,204,173,91,12,79,53,17,39,239,14,166,1193,83,2046,453,289,151,63,164,146,37,81,342,60,283,1618,108,2999,1833,798,610,134,724,774,145,403,1179,191,1015,3543,250,8365,637,410,243,27,256,262,35,98,582,64,449,3176,187,5409,573,562,202,18,233,223,53,84,636,43,443,4245,227,6693,206,263,80,8,97,83,10,18,257,12,205,2420,110,3518,118,79,49,6,35,43,8,7,72,7,59,1018,60,1466,137,67,48,82,71,93,25,39,125,26,94,277,1814,2460,4159,2639,1473,347,1658,1674,333,765,3439,415,2722,17493,2835,32951,718,283,233,283,305,339,108,218
5005,205,108,29,47,472,19,272,3715,176,5501,6,19,9,0,13,10,4,3,29,0,5,93,6,159,657,316,235,85,368,364,72,169,373,76,343,1232,99,3039,19,13,8,0,5,15,0,3,6,3,4,36,915,1001,1038,859,367,89,592,494,101,225,879,100,622,5073,1197,9700,49,57,21,0,30,19,5,9,65,7,50,410,18,648,62,61,21,4,47,43,13,17,84,7,48,403,27,684,471,248,150,55,277,247,46,122,300,53,255,988,63,2294,146,148,67,8,67,53,11,20,145,11,81,875,45,1433,166,189,51,3,87,51,15,21,145,18,92,1245,58,1923,68,99,33,3,44,39,9,15,90,0,46,778,42,1149,26,40,15,0,18,19,0,0,23,0,21,242,13,375,45,20,8,24,24,19,6,15,26,5,28,131,931,1188,1038,859,367,89,592,494,101,225,879,100,622,5073,1197,9700,175,66,78,83,99,97,28,56
5006,753,401,81,152,1712,59,1165,11404,693,17580,71,102,19,0,54,27,16,25,191,3,77,522,50,954,2088,1040,793,295,1268,1132,348,579,1434,285,1231,3443,544,9500,75,30,20,67,47,36,11,17,49,20,59,72,2576,2827,3287,2786,1204,366,2127,1599,455,772,3383,364,2529,15440,3864,30859,197,203,94,9,155,92,32,37,279,22,215,1264,97,2239,269,284,92,25,180,137,43,87,413,36,248,1312,117,2523,1511,796,520,194,896,750,230,416,1107,203,901,2835,276,7087,424,466,155,17,275,172,46,90,499,41,317,2587,184,4451,465,568,174,12,314,207,53,78,609,35,429,3854,281,6209,218,311,88,0,185,110,20,25,300,12,244,2596,115,3877,60,82,35,0,53,26,3,7,56,0,75,780,29,1125,140,69,50,103,69,100,26,42,121,21,106,204,2758,3345,3287,2786,1204,366,2127,1599,455,772,3383,364,2529,15440,3864,30859,689,327,247,320,407,420,155,227
5007,640,275,77,107,1139,50,847,10543,596,15164,31,49,9,0,32,9,6,7,83,0,45,326,23,533,765,400,253,106,533,414,150,232,587,107,528,1991,412,4577,17,17,0,0,16,14,3,3,6,5,7,95,2165,2319,1630,1581,550,114,1225,711,240,352,1818,166,1433,12952,3193,22592,133,133,31,4,111,64,24,31,191,19,148,1127,76,1775,119,122,46,11,88,70,24,36,168,21,116,722,60,1253,532,294,182,83,355,266,105,165,428,62,389,1396,126,3062,196,190,57,0,131,59,22,27,234,17,150,1578,95,2420,285,404,97,3,221,103,39,43,411,22,269,3322,192,4905,237,314,93,0,204,84,18,30,278,18,276,3324,159,4674,82,93,28,0,80,32,9,9,80,0,69,1267,68,1735,38,27,15,5,36,24,10,17,26,4,19,221,2418,2771,1630,1581,550,114,1225,711,240,352,1818,166,1433,12952,3193,22592,252,128,105,95,186,147,73,105
5008,259,116,28,40,630,13,421,6476,310,8866,12,26,3,0,9,4,0,3,27,0,14,170,15,254,85,118,47,7,84,46,14,24,145,12,109,945,54,1451,3,5,0,0,0,0,0,0,3,0,0,30,1897,1940,445,777,174,13,353,169,46,63,813,29,545,7619,2280,12514,37,62,17,4,25,13,6,7,73,5,47,596,31,824,19,37,9,0,31,12,0,4,49,0,36,437,20,611,56,79,24,5,48,32,3,10,111,8,70,535,43,875,52,74,15,0,24,11,0,6,75,5,55,768,45,1051,89,174,25,4,72,38,15,17,186,9,121,1832,70,2477,119,220,45,0,110,35,6,14,217,0,140,2010,113,2851,70,120,27,0,37,25,7,0,88,0,69,1333,55,1763,8,7,4,0,3,5,0,0,9,0,9,99,1909,2048,445,777,174,13,353,169,46,63,813,29,545,7619,2280,12514,31,29,12,6,32,20,11,12
5009,33367,19135,3857,6545,92318,2843,68666,728040,33458,1050544,2705,5052,809,24,2167,1141,275,556,9786,215,4732,36857,2027,58604,100390,44036,36244,12564,53590,51896,10864,24084,64337,13266,68332,214688,18119,503943,1845,806,568,1259,1147,1052,285,488,1310,347,1397,4684,76566,86766,155072,131746,56609,14096,90274,73224,15277,31677,167750,16668,143126,984270,130169,1699854,10129,11092,3993,1204,7614,4714,1140,2093,15626,1368,13436,102707,5297,157730,13673,12097,4896,1138,7838,6321,1380,3016,18072,1629,14605,83903,4763,143459,65512,32871,21479,6776,34228,31590,7031,15996,50457,8090,44674,159410,10608,351537,21192,18498,7828,1196,11595,9605,1846,3885,24256,1891,18500,142682,7433,230719,23028,29072,8948,618,14998,9920,1800,3544,33301,1686,26027,247449,11381,370837,12146,18590,5352,190,8075,5543,977,1419,17375,713,15694,160701,6570,233325,5299,7588,2659,126,3535,3030,493,615,5401,412,6475,74337,2806,105094,4086,1937,1447,2855,2387,2504,608,1105,3267,883,3715,13079,81312,107155,155072,131746,56609,14096,90274,73224,15277,31677,167750,16668,143126,984270,130169,1699854,28860,12337,10181,11571,15974,16932,4988,9136
