SUA_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
5000,0,0,0,19,8,0,0,0,0,34,0,6,24,219,53,57,44,37,12,449,0,0,16,116,14,56,145,111,62,526,0,3,3,16,5,0,5,0,0,37,0,0,8,37,3,0,0,0,0,59,0,0,0,7,6,3,0,0,0,33,0,5,15,107,45,42,23,8,0,251,0,0,0,0,3,9,22,13,0,41,0,0,0,20,5,11,5,0,0,45,0,0,10,45,24,18,16,0,4,117,0,0,5,30,3,3,0,0,0,42,0,4,19,52,38,76,185,114,22,505,26,107,224,1271,922,1003,630,164,15,4367,0,0,0,7,0,11,8,7,3,34,0,9,5,41,0,8,4,0,0,76,0,0,7,32,45,20,4,0,0,115,10,136,179,564,233,60,12,0,0,1195,0,0,0,16,15,12,20,12,3,86,0,0,0,18,10,0,0,0,0,34,0,5,17,109,111,194,180,90,21,731
5001,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,5,5,4,0,32,0,0,0,5,9,8,16,19,11,68,0,0,0,0,3,0,0,0,0,8,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,12,4,0,0,44,0,0,0,0,0,4,0,4,0,3,0,0,0,0,0,0,0,0,0,7,0,0,5,24,9,5,3,0,0,51,0,0,0,3,0,0,0,0,0,3,0,0,0,9,11,12,34,36,3,101,0,6,22,80,63,58,42,16,0,298,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,25,44,102,47,9,0,0,0,237,0,0,0,8,3,0,0,8,3,17,0,0,0,0,0,0,0,0,0,3,0,0,6,11,9,31,27,28,7,109
5002,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,6,4,0,23,0,0,0,16,0,0,0,4,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,3,0,5,4,0,0,12,0,7,3,50,29,21,19,5,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,9,21,37,13,11,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,6,5,0,0,22
5003,0,0,0,10,3,0,0,0,0,22,0,12,8,61,27,20,18,10,8,167,0,0,3,10,5,14,47,48,39,169,0,5,0,12,7,0,0,0,0,28,0,3,5,43,5,0,0,0,0,62,0,0,0,3,0,7,3,0,0,24,0,4,5,32,16,8,10,7,0,83,0,0,0,0,0,3,4,0,0,11,0,0,0,10,4,9,6,0,3,25,0,3,4,13,5,6,3,0,0,26,0,0,4,25,0,0,0,0,0,36,0,4,0,11,17,11,42,27,7,133,9,69,108,351,221,239,143,37,3,1188,0,0,0,0,0,0,0,0,0,0,0,15,0,28,0,0,4,0,0,49,0,0,0,5,9,5,0,0,0,16,7,60,71,156,84,18,0,0,0,394,0,0,0,7,4,6,14,3,4,37,0,0,0,5,0,0,0,0,0,6,0,3,12,29,36,61,53,33,6,235
5004,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,6,17,9,0,76,0,3,0,23,3,5,15,4,7,60,0,3,5,3,0,0,0,0,0,10,0,5,0,15,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,3,3,4,0,29,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,10,0,0,0,0,0,9,0,0,3,12,5,8,30,14,4,72,0,30,20,120,101,99,86,34,5,496,0,0,0,0,0,0,0,0,0,0,0,5,0,6,9,0,0,0,0,14,0,0,0,0,4,3,0,0,0,10,0,4,15,22,7,0,0,0,0,47,0,0,0,4,4,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,19,16,32,42,23,4,135
5005,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,10,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,17,0,7,0,41,22,43,24,9,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,9,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,4,9,0,29
5006,0,0,0,0,0,0,0,0,0,3,0,0,0,17,10,0,3,0,0,35,0,0,0,3,5,4,16,23,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,19,9,8,0,0,0,39,0,0,0,0,0,0,0,6,0,10,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,5,3,0,0,7,0,6,0,11,0,0,0,0,0,10,0,0,0,5,5,5,13,14,3,41,0,19,16,84,65,89,65,16,4,360,0,0,0,0,0,0,0,0,0,5,0,0,0,17,0,4,0,0,0,21,0,0,0,0,0,0,0,0,0,5,3,24,28,70,39,15,0,0,0,176,0,0,0,0,0,0,4,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,26,18,17,0,79
5007,0,5,0,4,0,0,0,0,0,4,0,3,0,40,8,4,0,0,0,56,0,0,0,11,0,4,4,3,0,19,0,0,0,0,0,0,0,0,0,4,0,4,0,13,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,3,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,12,0,0,0,0,0,6,8,0,0,15,7,80,122,363,210,220,87,14,0,1093,0,0,0,0,0,0,0,0,0,0,0,3,5,24,0,3,0,0,0,34,3,8,15,29,20,4,0,0,0,85,0,38,53,149,65,30,3,0,0,333,0,0,0,0,4,0,0,0,0,8,0,0,0,9,5,5,0,0,0,12,0,0,0,19,9,19,10,4,0,63
5008,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,4,0,0,0,50,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,9,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,12,0,0,0,11,0,0,0,0,0,16,0,0,0,4,5,0,0,0,0,9,0,10,28,165,86,72,28,4,0,396,0,0,0,0,0,3,0,0,0,8,0,0,0,15,0,0,0,0,0,20,0,0,0,6,6,0,0,0,0,15,0,19,24,68,59,18,3,0,0,197,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,5,20,8,11,5,0,0,49
5009,9,134,192,726,396,267,88,28,10,1856,27,457,466,4322,986,839,805,475,153,8523,5,107,176,1396,584,986,2244,1931,1064,8489,52,163,146,454,226,90,71,29,9,1249,25,170,236,1602,365,191,69,21,6,2692,0,23,36,157,133,101,109,43,3,605,55,666,1556,5112,1955,1720,1933,881,185,14065,0,0,6,28,22,67,138,97,24,391,0,58,241,1070,298,341,262,111,41,2434,10,74,272,1360,719,736,600,278,107,4147,8,54,353,1575,121,31,8,0,0,2156,12,81,132,419,396,373,984,787,261,3443,221,1946,2782,10531,5521,5330,3190,942,143,30609,0,21,30,374,272,300,387,171,65,1629,70,395,802,2550,349,157,94,33,8,4449,0,36,95,164,236,98,34,0,4,669,66,1507,2722,4662,2704,900,244,57,9,12876,6,44,55,590,289,375,596,162,80,2193,0,6,26,108,58,43,28,7,0,282,26,416,838,2346,1988,2396,1943,1221,328,11500
