SUA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
5000,1113,1153,725,446,590,80,41,4150,776,857,532,348,370,39,22,2949,1217,1187,646,375,376,49,9,3860,7972,8808,5163,2978,2916,317,91,28248,68,87,55,50,25,4,0,284,11144,12097,7119,4205,4273,487,169,39491,57,103,89,47,85,14,4,409,117,244,145,109,117,15,9,757,96,170,136,86,114,9,0,612,1621,2286,1584,1072,1023,82,18,7681,93,124,62,65,24,0,0,371,1983,2924,2012,1384,1369,122,32,9825,13127,15020,9131,5584,5644,611,203,49318
5001,145,170,122,112,133,28,11,717,99,124,66,45,79,8,0,419,140,123,93,76,62,8,0,511,994,987,625,489,516,41,3,3653,7,6,0,4,3,0,0,14,1386,1411,905,716,793,87,13,5313,11,21,21,12,19,3,0,87,12,34,26,16,25,6,0,123,14,40,32,24,35,0,0,145,213,351,231,185,201,18,4,1197,4,16,3,3,0,0,0,35,257,454,314,246,282,27,7,1594,1643,1865,1216,962,1083,114,22,6904
5002,114,99,40,16,31,6,0,307,48,45,16,15,9,0,0,143,62,63,28,20,20,0,0,203,497,562,315,193,148,14,4,1732,4,3,0,0,0,0,0,13,725,783,403,246,209,23,0,2394,3,9,3,9,3,0,0,29,7,5,5,3,4,0,0,28,4,14,10,7,3,0,0,42,136,203,134,101,90,4,0,669,10,17,6,3,0,0,0,39,162,250,164,121,108,6,0,813,885,1032,571,371,318,27,4,3204
5003,599,638,441,288,361,59,21,2423,335,310,171,121,139,22,10,1105,343,363,191,122,162,15,7,1203,2241,2513,1426,996,1206,118,48,8546,10,22,10,6,0,0,0,54,3524,3847,2249,1536,1870,214,86,13332,56,64,53,50,72,9,4,311,72,114,67,54,62,9,0,376,51,90,49,43,67,4,0,320,556,784,573,415,436,42,9,2815,22,16,10,14,0,0,0,71,765,1074,759,576,642,64,15,3885,4290,4921,3006,2115,2511,282,103,17216
5004,193,226,159,99,115,12,6,808,183,217,136,75,123,10,3,740,206,286,136,81,88,13,0,814,1070,1282,872,582,613,63,17,4499,13,15,12,3,3,0,0,39,1665,2014,1311,840,944,94,26,6899,9,19,13,13,21,3,0,85,22,44,54,33,30,0,0,183,15,41,42,33,34,4,0,169,163,321,224,190,220,11,0,1138,3,9,3,3,6,0,0,34,207,437,339,270,315,18,4,1597,1875,2457,1654,1113,1259,116,31,8499
5005,37,50,24,14,24,0,0,151,42,57,20,25,13,0,0,155,55,65,26,8,14,0,0,173,344,390,249,182,170,9,0,1350,4,4,0,0,0,0,0,12,487,562,313,225,223,10,0,1829,11,4,4,0,8,0,0,27,11,11,5,7,7,0,0,50,10,15,5,10,8,0,0,48,81,99,53,56,73,3,3,366,3,12,3,0,3,0,0,17,112,136,78,69,93,7,3,503,601,701,387,303,324,23,7,2330
5006,176,221,149,91,105,14,13,774,96,120,75,43,47,10,5,390,142,122,59,55,67,0,3,450,1245,1279,760,506,569,58,15,4419,10,6,0,0,0,0,0,17,1662,1750,1047,691,789,78,30,6053,12,22,27,9,25,0,0,91,30,49,39,21,24,3,4,164,21,22,27,17,31,5,0,106,318,477,339,227,228,17,4,1621,14,24,7,14,0,0,0,56,381,595,437,281,304,25,8,2040,2047,2344,1485,974,1097,105,43,8090
5007,395,460,227,146,159,22,8,1422,138,133,67,33,37,0,0,407,189,172,82,47,46,0,0,532,988,881,470,320,312,10,7,2984,5,9,0,0,0,0,0,17,1725,1647,850,548,555,35,11,5365,26,50,27,22,29,4,0,159,35,37,16,15,17,0,0,115,22,23,12,7,14,0,0,84,185,213,166,109,81,9,0,753,10,17,8,7,0,0,0,46,276,336,231,158,138,9,0,1161,2004,1983,1084,706,694,46,16,6526
5008,238,205,125,62,86,10,0,722,108,89,40,18,14,0,0,272,143,145,72,31,30,3,0,420,708,780,396,251,250,12,5,2394,10,6,0,0,0,0,0,19,1199,1227,637,360,387,22,5,3831,8,11,7,7,14,0,0,48,4,11,9,3,7,0,0,30,8,7,10,6,8,0,0,42,53,90,61,54,41,0,0,293,0,3,3,0,0,0,0,11,77,122,83,75,63,0,0,425,1275,1354,719,429,454,23,5,4257
5009,40037,42013,23409,14891,19747,10527,6190,156815,12073,11323,6342,4163,5276,2181,1049,42405,12853,12045,6364,4096,4813,1916,991,43071,42906,41150,24886,16254,19378,7102,3306,154972,451,464,274,163,79,30,16,1472,108325,106994,61273,39562,49287,21743,11544,398734,2608,4615,3493,2639,3799,1914,1361,20424,2045,3035,2093,1503,1788,644,353,11457,1352,2281,1565,1210,1470,530,335,8749,7731,11556,7880,5821,6599,1820,1013,42423,499,554,334,175,125,42,21,1751,14236,22045,15364,11350,13785,4942,3083,84810,122562,129039,76644,50905,63076,26690,14628,483539
