SUA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
5000,308,404,808,802,796,726,213,25,0,4083,338,410,867,883,1049,1012,451,168,30,5200,6014,8106,21653,24553,27111,25332,8841,1689,172,123469
5001,47,72,137,127,120,121,51,3,0,680,56,50,96,88,107,91,38,12,3,543,1217,1174,2689,2952,3486,3107,987,124,18,15751
5002,12,24,61,81,53,32,11,0,0,273,23,28,82,106,72,40,15,3,0,369,377,439,1735,1809,1473,1003,315,31,0,7176
5003,78,166,334,274,304,220,59,9,0,1445,92,129,277,294,228,193,65,11,6,1294,2503,2853,6853,7792,7862,6085,1544,136,12,35640
5004,51,74,127,144,165,99,35,3,0,705,52,53,91,144,149,117,46,16,6,682,1414,1099,2909,4149,4513,3529,1141,142,15,18915
5005,28,30,69,50,69,40,10,0,0,299,20,33,41,38,42,46,19,8,0,244,373,435,994,1066,1215,1065,303,49,5,5501
5006,68,96,164,146,135,108,39,12,0,773,55,61,127,116,143,105,42,9,4,656,1309,1415,3263,3460,3919,3184,915,103,14,17580
5007,57,91,169,142,141,83,21,0,0,703,49,64,142,143,134,90,32,3,0,658,883,1417,3532,3289,3011,2403,582,45,0,15164
5008,28,34,96,93,62,26,0,0,0,339,20,45,131,137,82,53,8,0,0,472,489,619,2315,2536,1792,942,168,4,0,8866
5009,2098,4459,10120,8862,7660,5679,1832,242,15,40975,2264,4819,11711,11527,9744,6687,2127,465,97,49442,56923,97253,234162,241001,214639,157679,43646,4896,346,1050544
5010,20,26,73,67,45,32,4,0,0,269,22,34,79,80,69,47,13,0,0,338,377,508,2133,2068,1379,1002,174,6,0,7643
