SUA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
5000,183,138,391,418,671,1002,1875,2051,942,7674,27,44,129,164,243,215,198,196,96,1311,1650,2097,5737,5898,6031,5368,3814,2256,868,33716,7719,13341,34342,36932,39728,41782,32671,14938,4316,225771
5001,8,12,37,44,47,105,202,340,222,1022,0,5,18,27,36,19,19,10,17,147,86,79,219,221,240,274,294,281,190,1879,991,1605,3773,3838,4423,4787,4515,2701,1136,27780
5002,8,4,8,16,23,26,62,33,15,195,4,0,3,11,12,9,9,3,8,65,124,134,428,326,351,247,119,44,17,1781,421,748,2500,2409,2075,1574,819,237,63,10842
5003,17,22,58,67,91,171,398,557,310,1695,5,0,27,19,27,44,30,29,24,206,179,223,646,570,590,571,522,375,288,3959,2067,3887,9397,10065,10006,9601,7858,4159,1539,58569
5004,9,11,21,25,36,72,174,278,245,863,0,5,34,10,18,20,12,9,13,114,102,77,319,350,333,318,339,289,163,2291,921,1390,3811,5145,5486,5341,5498,2958,1045,31596
5005,6,0,10,9,17,41,71,115,64,330,0,0,0,3,0,7,10,0,5,24,74,69,141,163,192,147,157,144,39,1121,359,578,1333,1398,1581,1626,1321,858,275,9323
5006,20,15,25,35,58,141,271,364,199,1126,0,12,16,21,20,31,36,36,28,196,216,191,473,508,495,431,312,269,154,3042,1225,2033,4611,4762,5252,4990,3835,2078,828,29612
5007,10,13,22,53,64,97,128,101,49,541,6,4,12,30,23,18,12,6,6,113,146,214,510,445,391,384,258,129,74,2544,878,1958,4745,4336,3890,3392,1765,671,202,21839
5008,3,0,5,17,32,22,31,7,3,125,5,4,5,12,5,3,3,7,0,35,128,164,514,525,359,219,71,17,3,2000,428,890,3191,3349,2352,1324,386,75,11,12007
5009,470,463,1665,2636,3384,4976,9135,11341,7108,41175,97,231,1331,1872,2112,2177,1898,1564,1154,12438,4342,6693,18131,16112,13720,11584,10458,9775,7365,98174,54294,131292,301393,304236,271295,237243,188097,102237,40626,1630708
5010,6,8,15,32,37,46,43,23,8,211,4,0,7,12,20,7,11,4,0,60,119,157,496,426,336,278,83,21,8,1928,448,825,2999,2781,1955,1568,453,103,25,11161
