SUA_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
5000,149,3,0,3,144,12,0,155,7186,806,216,82,8290,83,29,110,8403,557,13,8968,11618,1557,484,158,13815,125,33,151,13965,522,16,14506,1036,147,284,26,1490,11,0,11,1495,45,0,1543,164,7,14,236,429,7,0,7,425,41,11,484,20001,2508,997,499,24016,218,62,280,24291,1167,42,25497,133,28,5,3,172,77,0,77,251,35,0,285,253,40,17,9,321,31,34,67,387,30,9,426,387,66,23,15,492,116,34,144,638,67,9,714,20392,2580,1019,516,24511,330,97,425,24934,1235,43,26209,5501,781,408,247,6933,304,49,355,7285,2003,32,9322,58,17,6,37,114,0,7,7,114,20,179,308,25942,3381,1432,794,31555,631,150,776,32334,3254,250,35840
5001,14,0,0,0,14,0,0,11,963,167,24,4,1156,0,7,5,1167,56,5,1232,1755,274,43,12,2083,13,16,30,2113,79,3,2192,134,19,15,0,169,0,0,0,169,10,0,181,8,0,0,16,32,0,0,0,32,3,0,33,2858,460,83,35,3439,16,23,40,3481,148,10,3635,16,0,0,0,16,0,0,0,16,0,0,16,31,5,0,0,42,0,0,0,42,4,0,43,44,5,0,0,48,0,0,0,48,4,0,54,2904,468,83,36,3490,16,23,40,3530,152,10,3687,806,147,17,27,1002,15,12,22,1025,108,8,1146,0,0,0,6,11,0,0,0,11,4,18,27,3716,613,105,68,4499,31,35,68,4565,268,31,4863
5002,4,0,0,0,4,0,0,4,628,91,19,19,751,6,3,4,760,37,0,802,643,72,22,17,760,11,0,11,769,19,5,798,89,13,11,0,114,0,0,0,119,3,0,124,13,3,0,7,24,0,0,0,24,3,3,35,1380,175,57,40,1652,15,5,20,1668,70,19,1754,10,0,0,0,10,6,0,6,19,0,0,19,7,0,4,0,9,3,0,4,17,0,0,21,19,0,4,0,23,13,0,18,37,0,0,43,1395,173,59,40,1673,30,7,35,1706,71,16,1797,189,24,16,9,248,19,9,25,276,74,0,355,3,0,0,4,6,0,0,0,6,0,5,18,1593,203,78,58,1929,53,15,63,1994,152,28,2166
5003,68,0,0,0,72,9,0,81,2362,270,73,17,2722,27,16,39,2760,134,0,2894,4427,439,183,27,5065,48,10,59,5129,138,3,5274,363,41,66,10,488,7,0,7,491,10,0,505,28,0,0,37,66,0,0,0,66,6,7,83,7173,750,323,92,8344,81,26,103,8450,290,15,8757,36,10,0,0,45,23,0,23,61,5,0,68,153,5,4,0,167,21,0,24,191,8,0,196,192,8,4,0,213,41,0,46,253,10,0,264,7366,762,328,95,8554,127,31,149,8707,303,15,9023,2112,234,107,59,2508,55,10,75,2584,244,0,2824,9,3,0,16,31,0,0,0,31,0,26,58,9480,1003,440,170,11092,182,42,223,11319,551,46,11911
5004,19,0,0,0,19,0,0,18,1185,196,51,7,1433,5,0,8,1446,75,0,1519,2357,348,143,23,2874,19,7,24,2897,100,0,3003,146,36,41,3,225,0,0,5,233,4,0,232,17,0,3,28,43,0,0,0,48,0,0,50,3708,578,237,55,4584,26,12,36,4622,178,3,4809,17,0,3,0,24,5,0,5,24,5,0,28,47,0,7,0,58,5,0,3,63,3,0,69,64,3,12,0,82,3,0,4,87,7,0,95,3771,583,253,55,4663,28,13,44,4713,186,3,4904,788,131,47,24,986,20,0,21,1005,96,0,1103,9,0,0,0,6,0,0,0,12,0,15,23,4563,713,296,83,5655,52,13,63,5724,286,27,6032
5005,0,0,0,0,0,0,0,0,323,21,4,7,356,0,0,8,363,13,0,375,711,64,22,6,805,0,4,6,808,10,0,816,36,8,18,0,56,0,0,0,56,0,0,54,9,0,0,6,21,0,0,0,21,0,4,28,1084,86,47,22,1236,3,0,7,1243,26,4,1276,0,0,0,0,4,0,0,0,4,3,0,5,8,0,0,0,8,0,0,0,8,0,0,8,10,0,0,0,9,0,0,0,9,3,0,12,1094,90,47,22,1249,3,0,7,1255,35,4,1295,240,29,18,10,296,9,10,15,311,47,0,359,6,0,0,0,10,0,0,0,10,0,0,10,1336,110,65,38,1549,11,15,27,1574,80,3,1659
5006,22,0,0,0,22,0,0,23,1256,129,26,8,1418,27,0,29,1448,67,0,1512,1766,268,77,22,2142,11,5,17,2160,78,0,2245,159,25,38,0,218,0,0,0,218,10,0,226,7,0,0,21,29,6,0,6,33,4,0,33,3185,429,140,49,3800,43,11,50,3855,164,0,4014,3,0,0,5,10,10,0,6,18,5,0,25,44,10,4,5,61,0,0,0,60,4,0,63,44,11,4,6,63,8,0,11,76,9,0,83,3233,439,141,55,3869,56,5,58,3930,169,0,4104,756,114,37,31,935,38,8,50,986,182,3,1168,4,0,0,0,4,0,0,0,4,0,7,12,3987,551,182,83,4810,89,21,105,4919,351,16,5291
5007,7,0,0,0,7,0,0,13,1329,102,30,12,1485,16,3,16,1499,37,0,1538,1533,129,54,9,1717,5,0,6,1729,29,3,1759,167,14,18,17,219,0,0,0,219,11,0,230,22,5,0,6,34,0,0,0,35,7,4,47,3054,252,105,43,3457,27,9,32,3486,85,10,3575,15,0,0,0,15,0,0,0,19,0,0,19,41,10,4,5,56,8,4,6,65,0,0,65,63,10,4,5,80,8,4,8,84,0,0,84,3115,263,111,48,3531,27,7,36,3571,85,10,3661,992,55,39,34,1122,38,3,38,1164,77,0,1246,14,0,0,7,20,0,0,0,20,0,40,64,4117,324,149,89,4678,66,13,78,4757,164,56,4972
5008,5,0,0,0,5,0,0,5,926,66,45,0,1045,16,0,16,1055,44,0,1096,1187,102,54,19,1355,4,0,4,1363,17,0,1374,145,7,27,0,176,0,0,0,176,10,0,194,13,0,0,11,24,0,0,0,24,0,0,24,2271,172,127,34,2600,22,0,22,2622,68,0,2692,24,0,0,0,27,0,0,0,26,0,0,26,26,0,10,0,33,0,0,0,36,0,0,36,57,0,8,0,62,0,0,0,64,0,0,64,2321,176,134,34,2668,18,0,23,2691,68,0,2758,636,43,41,29,753,4,0,4,759,36,0,798,3,0,0,0,5,0,0,0,5,0,11,16,2962,218,178,66,3426,30,0,29,3454,106,17,3570
5009,9310,185,70,261,9571,1077,32,10686,80364,9830,1730,450,92377,1291,393,1685,94060,4538,145,98744,123192,15299,2919,905,142321,1426,352,1777,144092,3918,224,148240,11726,1548,1746,126,15142,134,31,168,15310,428,41,15783,1102,129,32,1170,2438,48,6,51,2489,115,218,2822,216379,26808,6434,2655,252270,2895,787,3676,255956,9004,635,265593,2177,408,57,52,2692,316,42,357,3052,276,11,3334,5496,788,180,133,6591,343,103,446,7037,349,30,7413,7672,1196,236,183,9282,659,150,802,10085,622,38,10747,224049,28003,6668,2839,261558,3554,933,4487,266042,9626,673,276338,62341,9424,2555,1745,76065,1933,514,2439,78511,9278,267,88053,453,85,7,519,1070,18,0,18,1085,64,946,2096,286842,37514,9229,5100,338690,5504,1441,6946,345633,18976,1888,366493
