SUA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
5000,22499,15481,20522,12229,11812,7076,14432,16878,2528,123469
5001,1715,2717,2500,2287,1691,1537,1088,2003,220,15751
5002,977,1675,918,1031,916,519,353,630,158,7176
5003,3091,5826,6573,4281,4052,3176,3602,4477,559,35640
5004,2483,3153,3380,2319,1871,1800,1274,2320,310,18915
5005,685,755,920,529,644,494,689,665,127,5501
5006,1732,2992,2989,2387,2007,1616,1614,1968,276,17580
5007,1376,2233,3366,1416,1681,990,2499,1341,267,15164
5008,977,1348,2203,833,1020,530,875,879,198,8866
5009,124436,249833,154090,126386,131055,83498,72836,91039,17373,1050544
5010,705,999,1915,644,851,421,1133,763,202,7643
