SUA_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
5000,1403,3371,9456,10439,11544,10093,3063,485,47,49904,1444,800,1452,1453,1754,2552,1789,509,63,11811,151,183,609,748,865,983,401,69,6,4020,120,168,359,327,296,272,132,79,26,1791,3123,4529,11874,12963,14465,13893,5389,1139,144,67519,186,320,503,423,431,434,86,3,0,2385,219,101,116,111,121,159,76,14,3,910,400,418,615,539,551,593,161,15,3,3293,3521,4946,12485,13499,15019,14489,5550,1152,147,70805,3276,1234,2556,2641,2706,4517,10167,5758,1465,34315,873,1149,3287,3406,3566,2932,1823,923,292,18245,7675,7326,18334,19542,21290,21931,17536,7829,1899,123367,655,1988,4903,5166,6428,5188,1160,161,5,25653,1989,1270,3783,5595,5388,5259,1951,308,13,25550,122,200,869,623,617,805,256,36,0,3527,121,124,212,209,217,178,85,56,11,1212,2890,3578,9776,11594,12644,11432,3456,554,29,55946,132,146,260,236,260,199,29,0,0,1262,232,106,208,255,225,222,44,4,0,1290,362,247,471,482,487,420,73,4,3,2553
5001,222,412,1099,1117,1276,1033,241,24,4,5434,363,170,238,241,244,391,267,50,3,1964,14,18,61,55,93,107,45,11,7,402,10,26,26,25,32,22,9,3,0,148,612,620,1427,1437,1648,1559,556,79,16,7944,26,27,49,27,40,28,6,0,0,218,47,15,29,10,12,21,15,0,0,159,75,42,80,44,48,54,23,0,0,371,687,664,1506,1476,1697,1606,577,78,16,8317,396,137,339,270,258,509,1453,1067,422,4866,50,42,108,113,113,128,123,75,48,792,1133,842,1961,1856,2067,2247,2155,1229,481,13971,99,294,555,594,895,603,110,6,0,3149,477,229,585,856,847,824,287,28,5,4137,18,20,104,55,77,105,35,8,0,420,11,11,20,10,21,13,8,4,0,100,606,549,1262,1522,1840,1549,434,45,5,7810,12,17,15,16,18,12,0,0,0,97,46,17,27,18,20,34,3,0,0,167,58,35,42,30,39,50,11,0,0,265
5002,39,157,608,687,607,363,104,10,0,2581,104,40,92,92,85,75,58,11,0,559,9,10,34,37,32,29,14,0,0,159,5,11,24,23,11,13,6,0,0,93,160,212,766,836,736,481,174,13,0,3389,14,23,33,17,24,18,0,0,0,125,9,5,6,6,11,10,0,0,0,49,24,27,38,30,29,28,5,0,0,168,181,243,800,866,760,504,181,13,0,3557,126,52,102,91,107,155,202,82,22,956,63,73,176,142,177,121,57,20,10,838,375,367,1081,1106,1048,783,438,118,33,5349,48,134,595,572,505,328,70,0,0,2239,153,76,272,342,203,156,61,15,0,1267,7,11,74,42,16,33,8,0,0,197,13,9,25,15,15,10,3,0,0,84,217,226,972,966,739,521,135,16,0,3794,18,8,18,15,9,3,0,0,0,65,10,10,14,12,10,10,0,0,0,62,25,16,31,27,14,14,0,0,0,130
5003,390,1052,2865,3325,3226,2477,461,21,0,13828,717,345,493,422,393,487,371,61,5,3287,57,57,153,155,203,241,70,11,3,945,22,28,79,63,58,32,8,3,3,282,1188,1485,3592,3968,3884,3230,906,90,10,18347,75,98,147,116,109,95,16,0,0,646,111,46,49,17,27,32,16,3,0,308,180,139,195,140,140,129,29,3,0,951,1368,1626,3788,4108,4024,3358,939,90,10,19298,911,229,478,516,504,1020,2657,1714,502,8521,90,126,339,329,330,284,204,112,79,1890,2365,1976,4599,4952,4853,4657,3798,1919,588,29714,227,687,1526,1529,1982,1213,128,5,0,7297,1017,585,1426,2080,1818,1421,456,31,0,8830,57,70,269,162,146,197,44,7,0,951,21,30,42,52,37,23,13,0,0,222,1320,1372,3259,3819,3980,2851,636,46,3,17296,56,47,69,61,58,57,9,0,0,352,156,56,87,95,81,58,12,4,0,545,211,99,156,151,140,115,18,4,0,894
5004,201,379,1121,1571,1669,1162,275,21,3,6397,464,167,252,281,337,467,338,50,5,2344,38,28,89,121,138,137,48,11,0,613,23,8,28,41,36,18,5,4,0,161,721,588,1486,2015,2166,1783,666,91,13,9519,18,26,49,28,38,23,0,0,0,182,40,10,14,16,8,13,13,0,0,122,58,39,65,45,48,38,9,0,0,305,776,620,1553,2059,2215,1820,674,93,13,9824,361,76,124,151,223,526,1855,1249,354,4914,47,41,175,197,197,159,131,111,41,1096,1183,737,1851,2401,2639,2512,2666,1448,404,15832,107,230,620,753,1036,611,86,7,0,3459,529,248,680,1237,1193,984,337,31,0,5233,46,29,109,119,97,134,47,3,0,588,13,13,13,33,18,17,6,5,0,120,696,519,1424,2137,2341,1744,475,53,5,9396,13,10,16,16,22,14,3,0,0,86,46,8,30,36,34,38,5,0,0,196,55,16,42,56,55,48,10,0,0,287
5005,95,193,402,451,512,415,81,13,0,2167,86,27,73,51,65,102,69,9,0,493,9,9,37,29,23,50,17,0,0,175,9,8,20,15,7,9,3,0,0,77,196,234,524,554,623,577,172,30,5,2905,12,4,3,13,9,12,0,0,0,55,13,0,4,3,4,6,4,0,0,41,28,10,10,16,17,19,10,0,0,94,222,242,533,571,637,591,179,28,5,2998,141,14,37,38,69,154,406,320,90,1265,40,42,69,67,101,78,65,60,11,542,406,297,636,668,803,822,652,414,103,4811,45,101,207,214,307,208,43,3,0,1130,113,89,212,269,248,234,76,9,0,1249,5,11,44,23,32,40,9,4,0,174,7,6,8,4,7,12,0,0,0,47,177,204,470,513,596,491,127,19,0,2598,0,6,5,5,5,0,0,0,0,24,10,8,3,10,4,7,3,0,0,37,11,11,11,15,12,11,3,0,0,64
5006,243,488,1320,1414,1490,1245,279,22,5,6503,348,180,263,206,249,296,191,46,0,1786,16,26,76,75,117,108,47,5,0,470,18,15,49,23,30,17,0,4,0,158,627,709,1714,1717,1884,1668,518,75,7,8916,33,53,72,72,70,61,3,0,0,356,68,13,21,19,21,23,16,0,0,187,102,67,91,89,91,78,25,0,0,543,725,780,1805,1809,1976,1752,539,75,7,9457,419,147,226,235,299,535,1190,802,289,4138,128,87,242,265,270,230,133,107,52,1507,1269,1006,2270,2309,2540,2516,1860,992,349,15104,121,353,727,819,1070,688,115,0,0,3893,536,308,666,835,856,718,250,18,3,4196,21,31,136,80,73,92,22,4,0,459,0,5,24,16,32,20,10,3,3,121,684,703,1555,1745,2035,1513,394,31,3,8663,21,28,30,19,41,20,4,0,0,165,52,24,40,44,39,48,0,0,0,246,74,50,66,64,78,73,12,0,0,411
5007,219,624,1660,1580,1395,1136,255,16,0,6876,210,85,164,136,108,135,79,14,0,939,16,34,53,60,69,88,15,0,0,340,4,32,51,30,28,25,9,0,0,179,451,775,1925,1808,1608,1378,360,28,0,8334,22,35,40,39,46,33,5,0,0,221,37,9,11,6,3,13,6,0,0,88,56,44,51,51,57,41,7,0,0,304,507,818,1976,1855,1659,1422,363,28,0,8642,269,108,195,163,180,243,497,273,56,1975,66,123,260,243,222,198,124,50,8,1298,849,1048,2434,2255,2059,1866,980,354,60,11910,149,432,934,858,934,602,99,3,0,4012,266,167,531,546,396,356,116,10,0,2383,12,20,121,52,54,55,8,0,0,326,4,20,29,16,22,13,3,3,0,104,428,638,1604,1481,1406,1027,225,15,0,6828,20,23,22,23,23,11,0,0,0,118,30,13,24,24,12,13,0,0,0,112,45,31,39,49,32,25,0,0,0,231
5008,100,279,1023,1220,864,483,88,0,0,4062,147,46,100,104,63,50,11,3,0,519,14,3,71,77,47,43,8,0,0,265,0,12,32,22,13,7,4,0,0,88,260,343,1223,1416,995,584,108,0,0,4935,9,6,18,14,12,13,0,0,0,79,23,3,7,0,0,0,5,0,0,44,40,12,27,15,13,13,3,0,0,121,301,356,1249,1431,1008,601,111,0,0,5061,135,37,48,44,50,63,71,24,4,480,72,94,260,303,201,126,37,5,0,1104,506,485,1557,1780,1266,787,222,41,5,6644,52,203,633,615,515,238,33,0,0,2285,160,54,333,441,253,92,23,0,0,1354,11,17,108,61,24,26,5,0,0,243,10,0,18,5,4,4,0,0,0,48,223,281,1091,1117,794,359,58,0,0,3928,6,8,21,15,16,8,0,0,0,67,15,6,13,10,14,7,0,0,0,68,19,15,36,26,27,6,0,0,0,130
5009,6808,25792,92719,105570,91504,62803,12693,889,48,398822,19286,20424,20877,15221,13400,15295,10983,2161,149,117800,893,1354,4081,4021,3689,3965,1287,147,17,19462,406,1183,2866,2064,1479,943,296,100,26,9367,27399,48754,120543,126875,110065,83011,25257,3298,242,545448,1406,2806,4439,3451,3420,2975,532,30,3,19066,4674,2053,1492,724,734,1017,596,65,7,11356,6081,4863,5933,4174,4154,3991,1134,91,8,30422,33479,53612,126472,131050,114222,87004,26391,3393,249,575869,26779,9353,11308,10029,12059,22590,59460,41342,13590,206512,2240,3648,9987,9289,7822,5968,3877,2953,1876,47655,62498,66618,147770,150366,134098,115557,89720,47690,15710,830028,2867,18823,60881,53171,55212,34545,5373,216,5,231086,25228,26996,42825,54247,45033,35608,11711,1189,57,242893,971,1749,8024,5444,3238,3786,1068,111,5,24400,466,934,1889,1261,1091,726,233,85,37,6716,29526,48503,113616,114125,104578,74666,18386,1595,104,505102,898,1515,2562,2280,2225,1458,138,13,0,11083,4709,1986,2876,3067,2224,1818,387,27,3,17096,5604,3501,5441,5344,4453,3279,524,37,7,28184
