SUA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
5000,123367,109415,232781,49904,25653,75559,11811,25550,37362,5808,4742,10545,3293,2553,5843,70805,58500,129304,34315,38452,72767,4.6,4.4,4.5,57.4,53.5,55.5,54.7,51.1,53,1705,2191,3897,877,2294,3171,7479,13293,20773,6428,9690,16123,30864,14246,45103,1641,2615,4259,1539,2199,3739,34043,19062,53107,103539,97383,200924,20237,19825,40065,71946,66410,138352,45127,44551,89684
5001,13971,14988,28964,5434,3149,8582,1964,4137,6101,549,518,1068,371,265,638,8317,8078,16392,4866,6156,11018,4.5,3.3,3.9,59.5,53.9,56.6,56.9,52.1,54.4,303,372,671,177,407,581,1101,2045,3154,1016,1655,2670,3857,2259,6117,282,399,676,195,376,567,4336,3025,7365,13279,14318,27599,2350,2564,4916,8776,9348,18127,6051,6799,12854
5002,5349,5887,11236,2581,2239,4817,559,1267,1831,246,282,529,168,130,299,3557,3921,7478,956,1120,2074,4.8,3.3,4,66.5,66.6,66.5,63.3,64.4,63.9,135,292,432,82,238,325,566,1120,1683,398,601,1000,1373,640,2010,74,140,211,81,98,181,1522,881,2406,4631,4831,9454,1248,1583,2828,2564,2608,5170,2879,3390,6273
5003,29714,31553,61269,13828,7297,21123,3287,8830,12109,1233,1172,2402,951,894,1845,19298,18189,37482,8521,11800,20320,4.9,4.9,4.9,64.9,57.6,61.2,61.7,54.8,58.2,631,674,1300,332,761,1092,2368,4151,6520,2024,2996,5019,9197,5598,14793,541,881,1416,392,805,1199,10131,7275,17410,29098,30737,59832,5317,5824,11146,19348,20223,39569,13027,14515,27540
5004,15832,17118,32951,6397,3459,9858,2344,5233,7580,773,703,1475,305,287,592,9824,9686,19509,4914,6515,11430,3.1,3,3,62,56.6,59.2,60.1,54.9,57.4,368,419,785,188,524,721,1587,2705,4297,1327,1955,3286,4659,2439,7091,237,371,602,240,452,689,5132,3256,8388,15222,16248,31468,3000,3255,6248,9797,10248,20048,7556,8366,15923
5005,4811,4895,9700,2167,1130,3298,493,1249,1736,249,218,469,94,64,159,2998,2661,5661,1265,1771,3039,3.2,2.5,2.9,62.4,54.4,58.4,60.4,53.1,56.7,59,67,121,33,110,144,278,563,842,254,425,678,1327,670,1997,67,130,191,46,89,136,1442,885,2327,4384,4489,8873,844,855,1704,3010,3020,6033,1927,2058,3986
5006,15104,15759,30859,6503,3893,10399,1786,4196,5981,629,576,1207,543,411,954,9457,9073,18533,4138,5360,9500,5.7,4.6,5.1,62.6,57.6,60.1,59,55,57,255,299,554,129,392,522,875,1848,2728,932,1499,2432,4389,2367,6751,294,489,783,186,317,507,4867,3170,8042,14274,14859,29133,2512,2776,5282,9557,9806,19365,6267,6875,13136
5007,11910,10682,22592,6876,4012,10889,939,2383,3324,520,431,950,304,231,533,8642,7058,15702,1975,2603,4577,3.5,3.2,3.4,72.5,66.1,69.5,70,63.9,67.1,318,306,625,89,222,304,852,1336,2185,549,850,1400,3676,1500,5176,191,282,472,138,208,345,3999,1994,5992,10562,9867,20428,2696,2459,5153,6465,5831,12292,5849,5599,11453
5008,6644,5868,12514,4062,2285,6348,519,1354,1870,353,293,649,121,130,254,5061,4060,9117,480,972,1451,2.4,3.2,2.8,76.1,69.2,72.9,74.3,67,70.9,158,208,368,77,178,257,512,974,1485,446,563,1010,2280,856,3135,107,166,278,65,109,177,2455,1137,3588,5567,4997,10569,1833,1800,3635,2416,2042,4454,4358,4189,8543
5009,830028,869829,1699854,398822,231086,629908,117800,242893,360690,28826,31117,59946,30422,28184,58604,575869,533278,1109145,206512,297434,503943,5.3,5.3,5.3,69.4,61.3,65.2,65.7,58.1,61.8,50922,50006,100929,14631,28230,42866,134199,174652,308855,73536,92634,166170,186903,100657,287560,10656,15160,25813,10574,19572,30150,208134,135394,343523,827888,859681,1687573,138713,147045,285758,534685,553678,1088362,375999,400215,776205
5010,6121,5397,11520,3479,2085,5563,431,965,1396,362,322,682,145,129,276,4422,3499,7916,633,1090,1721,3.3,3.7,3.5,72.2,64.8,68.8,69.8,62.4,66.4,106,122,229,53,108,163,333,760,1093,390,477,865,2038,743,2786,68,161,234,74,94,161,2187,999,3184,4938,4463,9399,1701,1660,3362,1967,1663,3630,4080,3934,8010
