SUA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
5000,547,78,1253,611,474,332,472,594,63,4422,4,8,14,16,4,9,3,35,5,106,168,138,199,142,89,38,178,115,37,1110,479,182,556,322,207,188,435,555,413,3335,12756,14154,15539,8408,6969,2937,6165,6977,1382,75297
5001,68,26,229,110,69,68,35,77,8,689,0,0,0,0,0,3,0,3,0,15,14,19,22,28,15,4,7,17,5,130,28,22,55,36,21,21,18,49,25,285,1137,2573,1928,1682,1018,624,505,817,117,10397
5002,40,13,70,62,49,24,8,29,0,301,0,0,0,0,0,0,0,0,0,6,16,18,15,12,12,0,5,3,0,82,17,35,28,33,32,22,10,30,49,249,757,1563,739,732,606,245,181,334,105,5254
5003,122,40,428,235,144,166,137,177,15,1466,3,5,0,10,0,3,7,6,0,35,34,63,67,46,39,12,75,42,8,374,45,52,137,63,44,43,94,99,108,678,2224,5504,5345,3189,2477,1276,1688,1780,345,23828
5004,146,23,397,159,81,75,54,102,12,1042,0,0,5,6,0,4,0,0,0,19,25,28,26,20,12,10,11,21,8,161,44,28,71,41,35,44,31,52,42,388,1744,2957,2615,1606,1231,786,633,1051,192,12805
5005,20,6,78,42,25,16,19,34,5,241,0,0,0,0,0,0,0,0,0,0,4,6,4,9,3,0,6,6,0,34,15,8,26,19,16,12,20,25,17,158,427,694,704,346,387,164,291,259,70,3340
5006,58,12,205,126,81,63,47,74,4,668,0,0,6,0,0,3,0,7,0,17,23,20,19,29,13,8,9,15,3,131,38,31,56,37,30,18,31,46,42,326,1197,2797,2303,1663,1191,611,666,792,162,11376
5007,60,22,148,80,80,46,92,51,3,580,0,0,0,3,0,5,3,0,0,17,9,15,32,19,10,3,37,12,9,143,22,20,81,40,20,10,64,37,50,339,964,2045,2563,913,901,341,1012,492,145,9374
5008,53,13,96,47,46,32,23,20,6,328,0,0,0,0,0,0,0,0,0,8,10,16,40,16,11,3,18,11,3,121,10,14,61,9,22,8,28,24,33,213,772,1281,1838,556,675,229,415,365,124,6246
5009,4223,1259,13083,7018,4830,3568,2773,3630,400,40783,56,65,104,137,92,119,94,196,30,891,1328,2051,1582,1574,1289,637,1104,867,343,10780,1654,1708,3203,2038,1796,1132,1731,1978,3295,18532,96921,234554,119864,90636,84122,37227,34900,39817,11169,749213
5010,29,15,55,25,40,12,31,28,4,234,0,0,0,0,0,0,5,3,0,11,6,15,23,10,13,9,18,9,5,105,14,12,58,15,11,5,27,34,45,229,524,924,1613,412,525,159,472,345,130,5107
