SUA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
5000,0,0,0,23,129,94,591,885,203,150,177,197,77,27,113,2666,21,10,12,13,80,9,20,5,0,0,6,0,0,0,11,188,0,8,35,54,40,30,51,15,11,6,5,6,0,3,25,284,0,12,49,98,213,288,924,320,45,47,47,75,49,37,70,2273,5,11,4,5,16,7,46,19,11,6,8,13,6,3,28,187,0,0,0,0,0,0,32,65,15,8,58,75,14,0,9,286,0,0,4,11,35,49,187,126,40,35,37,41,20,6,37,628,308,971,4820,3132,2153,1320,2378,906,94,63,133,189,66,25,859,17409,4,14,78,123,97,103,149,85,26,16,27,45,21,14,28,823,0,0,0,13,90,57,77,75,15,19,17,12,10,7,105,506,66,153,588,457,578,468,1150,662,153,136,208,473,213,221,511,6055,757,2159,6624,5498,5727,4188,8611,5271,927,801,1131,1794,744,511,2914,47656
5001,0,0,0,9,31,26,273,128,34,21,24,24,10,3,8,592,9,3,3,3,6,6,4,0,3,0,0,0,0,0,0,39,0,0,3,8,4,0,7,3,0,0,0,4,0,0,0,32,0,9,10,18,31,35,165,76,14,14,16,20,0,0,8,411,0,3,0,0,0,6,4,7,0,0,10,0,0,0,0,30,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,17,0,0,0,0,0,11,49,45,15,0,5,0,3,0,5,142,101,231,922,586,346,192,264,105,14,12,12,20,4,0,100,2906,0,0,14,29,23,17,21,9,4,0,0,7,0,0,0,121,0,0,0,3,0,7,9,7,0,0,3,0,0,0,15,40,19,25,60,55,64,46,158,85,33,21,19,18,11,42,36,681,188,492,1205,868,740,499,1245,656,148,95,123,140,53,63,276,6791
5002,0,0,0,0,9,8,61,82,13,4,13,14,4,0,3,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,0,0,0,0,0,0,0,0,0,23,0,0,0,9,6,13,41,15,0,8,0,0,0,0,0,96,0,0,0,0,0,0,15,7,0,0,4,4,0,0,0,24,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,23,0,0,0,0,3,10,18,17,4,0,3,11,0,0,3,69,0,13,82,65,65,44,121,75,5,6,6,16,6,0,18,518,0,3,0,3,3,4,16,7,0,3,0,5,0,0,0,49,0,0,0,0,0,0,3,6,0,4,5,0,0,3,0,25,0,0,8,27,26,27,92,50,13,28,20,67,30,7,17,408,6,45,132,166,196,181,550,411,61,77,77,193,68,19,79,2257
5003,0,0,0,14,47,60,327,298,51,44,44,46,29,3,23,988,9,4,0,9,36,9,10,13,0,0,0,0,0,0,3,91,3,8,5,11,12,16,42,14,6,4,4,0,4,0,3,118,0,5,20,46,62,115,719,312,20,51,38,43,20,7,21,1468,0,0,3,0,7,5,17,15,8,4,4,0,0,4,0,67,0,0,0,0,0,4,13,38,4,12,22,44,17,0,0,148,0,0,0,7,12,11,65,25,10,12,7,10,3,0,6,173,117,270,1238,802,637,348,833,387,43,19,23,47,26,8,131,4920,0,0,18,44,26,10,43,24,5,0,3,8,0,7,0,187,0,0,0,9,7,19,25,22,4,3,6,6,5,0,5,117,24,38,104,126,147,129,522,286,38,59,39,53,38,15,41,1668,266,682,1675,1412,1629,1191,3874,2468,309,349,343,417,205,82,419,15327
5004,0,0,0,0,14,7,57,37,13,3,5,14,5,0,3,166,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0,30,0,3,3,10,4,8,7,10,0,0,0,0,0,0,0,47,0,0,10,31,66,60,166,72,13,12,0,17,11,0,0,477,0,0,0,0,0,0,12,20,0,3,0,3,0,0,0,46,0,0,0,0,0,0,3,17,3,0,0,6,0,0,0,44,0,0,0,0,6,9,34,20,8,0,3,8,0,0,0,90,80,222,901,617,522,264,525,252,34,12,23,33,25,14,123,3648,3,4,9,31,11,17,30,23,0,9,0,5,6,5,6,158,0,0,0,3,3,11,15,24,4,0,0,7,0,0,3,64,18,24,90,81,90,61,170,105,22,24,27,32,10,4,17,773,164,382,1182,1031,1057,699,1474,935,145,124,123,172,87,41,238,7848
5005,0,0,0,0,6,5,9,31,4,5,0,10,8,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,8,0,0,0,0,0,0,0,0,15,0,0,0,3,6,12,84,17,0,3,5,7,0,0,0,145,0,0,0,0,0,0,8,14,0,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,13,0,3,5,0,5,0,0,0,35,11,42,149,80,65,29,74,23,0,12,0,5,5,0,26,517,0,0,6,6,0,4,4,6,0,0,0,0,0,0,0,20,0,0,0,0,0,4,4,0,0,0,0,0,3,3,0,15,0,3,18,6,13,11,36,26,3,3,4,5,10,0,10,155,31,87,210,156,194,143,335,178,27,40,26,54,25,7,55,1567
5006,0,0,0,7,34,37,114,155,31,23,17,25,11,5,3,463,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,16,0,0,0,10,0,3,7,0,0,0,0,0,0,0,0,40,0,0,13,16,22,21,201,158,7,14,12,8,8,6,3,482,0,0,0,0,3,6,18,6,0,4,0,0,0,0,0,40,0,0,0,0,0,3,6,13,0,0,3,4,0,0,0,34,0,0,0,3,9,15,35,26,15,13,0,6,9,4,6,134,38,114,508,258,147,110,290,169,9,11,5,10,8,3,67,1737,0,0,3,7,14,11,22,17,0,3,6,0,7,0,5,98,0,0,0,14,22,19,12,16,7,4,3,3,5,0,3,103,15,11,66,43,59,56,154,95,10,19,21,15,18,8,11,597,109,254,706,544,515,454,1246,955,127,141,110,107,96,44,145,5545
5007,0,0,0,8,31,36,209,244,30,41,52,68,13,4,14,748,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,4,5,3,5,4,3,0,0,0,0,0,0,0,23,0,0,0,4,10,31,234,117,6,25,25,27,26,4,11,529,0,0,0,4,0,0,17,5,3,0,0,6,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,18,0,0,0,4,3,20,49,42,18,12,8,11,0,3,3,171,8,34,193,147,83,61,128,92,6,12,19,13,5,8,23,825,0,0,3,5,4,9,11,14,0,0,0,0,0,0,0,52,0,0,0,4,0,0,8,18,6,0,0,10,6,0,0,49,7,13,25,36,54,60,382,242,49,57,88,99,53,34,17,1220,27,96,293,340,474,568,2027,1565,197,235,339,401,171,86,165,6974
5008,0,0,0,4,17,14,122,141,32,24,22,18,8,0,10,408,0,0,0,0,9,0,5,4,0,0,0,0,0,0,0,13,0,0,0,3,0,3,11,4,0,0,0,3,0,0,0,26,0,0,0,4,14,27,97,46,0,0,0,11,8,8,0,213,0,0,4,0,4,0,16,12,3,0,0,0,0,0,0,36,0,0,0,0,0,0,6,24,0,0,0,7,0,0,0,32,0,0,0,0,6,8,39,35,8,11,6,14,4,0,4,136,3,8,73,71,77,54,142,72,4,6,7,5,0,0,17,542,0,0,0,0,4,3,12,16,0,0,0,4,0,0,0,36,0,0,0,0,3,0,5,12,4,3,0,3,0,0,0,39,0,3,5,24,28,36,117,102,24,15,27,25,20,5,19,460,7,14,114,181,280,276,1008,823,138,113,117,168,91,33,78,3434
5009,7,5,52,407,2100,1803,9180,10323,1739,1246,1185,1503,537,167,493,30737,199,93,168,369,2244,661,568,508,60,61,62,54,29,5,97,5196,67,138,446,1468,2391,2320,4603,1788,348,383,374,417,310,51,242,15346,19,85,421,1605,3584,5103,16375,6766,898,717,855,963,515,270,414,38595,48,79,187,375,827,828,2362,1994,257,248,286,675,298,26,110,8612,0,0,3,17,240,358,676,1161,153,149,202,289,59,15,69,3393,4,4,40,199,736,833,2741,1760,428,345,361,379,205,71,237,8340,2203,6504,35724,28328,29754,19309,44698,23048,2161,1762,1759,1909,1092,396,4036,202687,29,82,449,792,980,1078,1988,1414,284,273,310,409,334,135,211,8781,5,0,25,1639,4649,2740,2816,2149,506,519,438,588,313,71,640,17092,846,1402,6766,7473,11293,14300,32501,18289,4021,3799,4231,5569,2357,535,2184,115558,6430,20183,59646,59535,90992,79253,197523,128275,20362,18404,20513,25614,11890,3391,15017,757036
