SUA_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
5000,331,2092,10244,36863,27701,4434,1239,1573,84481,16,570,1572,834,186,21,15,134,3340,0,55,132,133,51,13,0,12,403,20,623,1710,961,234,31,17,148,3742,11,187,294,161,28,4,7,40,735,0,5,15,12,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,13,5,3,0,0,3,39,12,204,321,179,32,3,8,47,809,290,692,358,265,179,34,28,227,2075,37,144,162,196,148,44,62,115,905,689,3747,12800,38467,28290,4551,1358,2112,92016
5001,15,143,1199,5623,4313,531,134,149,12112,8,243,426,224,18,0,0,35,962,0,15,46,28,11,0,0,5,101,6,263,474,252,29,0,0,35,1061,0,27,4,14,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,7,3,0,0,0,21,0,26,16,14,6,0,0,0,64,13,77,68,26,4,0,0,3,191,0,8,0,7,9,0,0,0,28,35,515,1760,5927,4350,535,135,197,13451
5002,16,104,293,1524,1266,154,29,87,3469,18,102,199,101,24,0,0,26,472,9,30,110,62,9,0,0,0,222,34,137,309,165,29,0,0,27,695,0,15,75,17,4,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,78,21,4,0,0,3,124,31,88,22,14,12,6,0,6,182,11,28,13,7,4,0,0,8,63,85,370,710,1736,1318,162,31,127,4532
5003,12,97,987,8541,12935,1258,192,278,24294,8,328,1098,1147,86,0,7,98,2775,0,15,89,280,47,3,0,5,438,8,342,1187,1432,131,6,7,98,3206,4,132,211,93,0,0,0,13,450,0,10,64,26,0,0,0,0,104,0,0,12,3,0,0,0,0,15,0,0,10,20,0,0,0,0,32,5,3,0,0,0,0,0,0,9,3,142,296,136,7,0,0,12,610,16,119,71,21,3,0,0,26,241,0,8,4,12,12,0,0,7,50,44,712,2547,10141,13085,1262,197,421,28400
5004,20,157,801,4711,6515,710,129,160,13208,4,131,445,451,99,9,4,27,1166,0,23,27,93,55,12,0,7,205,4,151,466,541,155,16,4,35,1366,0,0,22,8,4,0,0,0,31,0,0,0,0,0,0,0,0,0,0,4,10,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,9,6,7,7,0,0,0,31,0,11,40,16,9,0,0,0,74,19,80,113,29,16,0,0,13,268,0,3,9,7,3,0,0,7,36,44,404,1429,5304,6697,727,137,219,14957
5005,5,67,266,1782,1365,206,42,47,3778,5,64,184,89,15,4,0,12,373,0,0,17,13,3,0,0,0,40,5,65,200,102,22,3,0,12,413,0,36,35,8,0,0,0,5,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,36,39,10,0,0,0,5,95,12,25,10,3,0,0,0,4,60,0,8,8,12,9,4,0,0,40,23,201,523,1906,1401,218,47,69,4379
5006,16,108,778,4867,5427,605,112,156,12062,3,111,662,394,31,0,0,27,1225,0,8,86,99,84,13,0,0,295,5,116,743,492,109,19,4,27,1516,0,60,85,48,6,0,0,8,198,0,4,10,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,12,0,69,99,44,6,0,0,8,227,25,80,27,17,7,0,0,3,159,0,25,15,8,3,0,0,3,55,46,400,1660,5425,5552,627,113,196,14020
5007,9,103,517,3429,3280,514,95,157,8106,3,207,514,553,41,0,0,43,1369,0,9,39,103,41,4,0,3,202,3,215,553,656,80,4,0,50,1569,0,42,61,6,3,0,0,3,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,42,61,13,3,0,0,3,125,25,90,12,12,4,4,0,0,148,0,4,0,0,7,0,0,0,18,39,465,1150,4116,3376,522,101,216,9975
5008,0,35,127,1498,2085,182,28,64,4015,0,33,252,198,32,4,0,18,534,0,34,36,62,4,0,0,4,142,0,61,285,266,36,4,0,21,676,4,50,26,13,0,0,0,3,91,0,32,0,0,0,0,0,0,30,0,7,28,10,0,0,0,0,40,0,61,65,5,0,0,0,0,137,0,0,0,0,0,0,0,0,0,4,147,111,29,0,0,0,4,298,8,27,11,0,8,0,0,4,60,0,4,0,5,0,0,0,8,13,19,275,540,1790,2126,182,29,98,5062
5009,421,3533,28493,218039,294790,41565,7118,6207,600165,119,5584,26432,41372,3918,336,142,1433,79334,79,2165,9094,15571,3247,335,108,377,30977,199,7750,35532,56945,7162,672,254,1804,110312,120,4091,10886,3125,243,24,35,370,18894,194,4028,8062,1794,74,6,8,211,14370,222,4971,8220,2403,92,4,10,194,16121,128,2201,5201,1595,60,3,6,97,9300,16,205,257,116,107,42,36,19,797,677,15496,32627,9034,573,81,90,896,59481,198,873,853,216,103,27,14,133,2409,20,104,159,199,133,22,19,138,798,1517,27762,97659,284430,302768,42369,7502,9170,773166
