SUA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
5000,84481,208791,3340,5751,403,749,3742,6510,735,1183,35,52,0,0,3,5,39,75,809,1316,1307,2398,353,617,184,383,232,550,2075,3943,905,1844,92016,222408,28071,..,120088,222408
5001,12112,29393,962,1402,101,152,1061,1550,42,61,0,0,0,0,0,0,21,42,64,103,72,97,116,159,3,7,3,4,191,265,28,47,13451,31359,1927,..,15378,31359
5002,3469,10445,472,984,222,429,695,1407,118,261,0,0,0,0,0,0,3,10,124,268,142,286,4,9,14,30,18,40,182,360,63,111,4532,12592,722,..,5250,12592
5003,24294,62876,2775,4318,438,802,3206,5124,450,682,104,160,15,27,32,53,9,12,610,933,138,186,90,135,12,7,12,20,241,351,50,87,28400,69364,2894,..,31295,69364
5004,13208,32921,1166,1902,205,412,1366,2313,31,52,0,0,18,25,0,0,31,63,74,144,83,139,159,224,10,28,14,49,268,436,36,70,14957,35879,5103,..,20055,35879
5005,3778,9210,373,589,40,67,413,658,89,111,0,0,0,0,0,0,4,3,95,112,42,61,14,18,0,3,4,8,60,92,40,89,4379,10161,911,..,5287,10161
5006,12062,30543,1225,1953,295,591,1516,2542,198,315,15,14,0,3,0,0,12,15,227,343,93,139,29,46,16,35,16,25,159,246,55,94,14020,33765,1978,..,15999,33765
5007,8106,21812,1369,2540,202,447,1569,2985,127,201,0,0,0,0,0,0,3,6,125,205,34,51,101,151,0,0,16,24,148,225,18,37,9975,25261,1686,..,11659,25261
5008,4015,12152,534,1093,142,246,676,1342,91,141,30,46,40,73,137,198,0,0,298,465,41,74,15,22,0,4,7,12,60,113,13,34,5062,14104,1240,..,6307,14104
5009,600165,1637063,79334,148580,30977,62512,110312,211095,18894,30485,14370,22805,16121,26200,9300,16017,797,1643,59481,97151,949,1344,973,1373,93,189,403,838,2409,3743,798,1532,773166,1950581,72131,..,845299,1950581
5010,3347,9715,642,1436,249,604,883,2038,258,395,116,178,75,123,0,0,0,0,453,694,29,56,15,27,4,0,17,46,65,127,18,32,4766,12611,1462,..,6224,12611
