SUA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
5000,28079,24138,8159,801,61177,21288,2015,84481,607,324,295,40,1267,1969,104,3340,98,59,29,7,190,191,27,403,710,377,327,46,1454,2156,130,3742,123,58,52,8,241,471,28,735,11,3,0,0,18,16,4,35,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,3,14,9,0,0,20,13,3,39,148,71,54,8,281,501,29,809,427,89,50,9,573,698,45,1307,113,21,13,0,144,184,21,353,47,21,10,7,86,91,8,184,75,47,17,6,141,78,13,232,664,174,87,16,943,1044,87,2075,248,154,47,11,462,423,24,905,29844,24916,8668,891,64313,25421,2287,92016
5001,3942,3275,1350,112,8677,3124,309,12112,149,42,80,9,278,670,21,962,25,7,6,0,29,65,3,101,177,46,87,9,312,730,22,1061,3,0,9,0,10,34,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,8,13,0,21,8,3,11,0,21,39,3,64,18,0,3,0,19,51,0,72,26,0,3,0,34,82,0,116,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,46,4,3,0,54,137,0,191,3,5,3,0,13,11,0,28,4175,3329,1449,118,9075,4045,325,13451
5002,869,1291,483,43,2683,605,178,3469,74,64,70,11,215,236,21,472,66,24,21,0,111,97,17,222,138,85,93,11,330,332,37,695,27,25,19,0,70,44,10,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,27,25,17,0,67,47,10,124,54,10,3,0,71,70,0,142,4,0,0,0,4,0,0,4,0,3,0,0,3,10,0,14,9,0,3,0,12,5,0,18,67,12,9,3,94,84,4,182,19,5,3,0,24,36,6,63,1121,1421,607,52,3201,1102,230,4532
5003,7287,8112,3092,204,18695,4934,659,24294,523,159,279,22,982,1708,79,2775,132,55,39,0,226,179,30,438,652,213,323,23,1208,1889,109,3206,82,33,26,4,148,292,17,450,10,8,13,5,35,65,5,104,4,0,0,0,5,8,0,15,17,4,0,0,21,12,0,32,0,0,0,0,0,5,0,9,119,39,39,8,204,387,18,610,38,0,5,0,46,90,0,138,28,3,0,0,32,55,0,90,0,0,0,0,0,7,0,12,4,0,0,0,3,3,0,12,70,6,9,0,92,157,0,241,13,6,0,0,17,27,3,50,8133,8386,3461,237,20220,7386,796,28400
5004,4524,4105,1334,80,10041,2814,348,13208,305,92,96,3,493,639,29,1166,70,43,11,0,130,71,8,205,371,131,105,3,618,714,34,1366,14,0,0,0,18,13,0,31,0,0,0,0,0,0,0,0,9,0,0,0,9,5,0,18,0,0,0,0,0,0,0,0,4,5,0,0,17,14,0,31,30,9,5,0,44,26,3,74,17,7,5,0,27,50,4,83,51,3,3,0,54,100,0,159,0,3,0,0,10,3,0,10,8,6,0,0,12,3,0,14,77,22,7,0,106,158,4,268,10,9,0,0,14,14,4,36,5016,4279,1451,81,10831,3730,395,14957
5005,1213,1101,399,40,2748,921,112,3778,52,24,43,6,121,240,6,373,8,5,0,0,19,22,0,40,67,33,43,6,141,263,7,413,5,4,4,0,18,71,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,4,4,0,14,73,0,95,13,0,0,0,11,26,6,42,0,0,0,0,5,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,18,0,0,6,22,36,4,60,12,11,0,0,23,12,0,40,1311,1144,449,45,2950,1305,124,4379
5006,3610,3668,1567,126,8965,2776,323,12062,215,77,126,26,443,744,34,1225,97,52,28,0,182,105,5,295,312,126,159,31,626,848,45,1516,35,7,20,7,60,130,8,198,0,0,0,0,0,13,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,12,30,7,20,7,70,147,10,227,35,0,0,0,41,54,0,93,8,0,0,0,9,21,0,29,8,0,3,0,8,8,0,16,0,4,0,0,7,6,3,16,53,3,6,3,63,90,3,159,6,0,0,0,17,41,0,55,4013,3812,1751,160,9737,3899,384,14020
5007,2111,2993,875,99,6068,1769,275,8106,240,227,107,10,588,712,66,1369,64,48,11,0,124,55,18,202,300,273,127,17,715,768,89,1569,26,15,7,3,39,76,9,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,15,7,3,43,76,5,125,9,0,0,0,10,20,0,34,28,3,5,0,37,62,0,101,0,0,0,0,0,0,0,0,5,0,0,0,8,7,0,16,45,9,6,0,54,95,0,148,0,0,6,0,6,8,0,18,2480,3282,1014,117,6890,2718,368,9975
5008,969,1993,290,20,3277,603,133,4015,138,111,53,3,307,215,19,534,33,18,5,0,64,67,13,142,165,128,58,9,365,279,30,676,22,5,0,0,27,55,6,91,11,0,0,0,13,18,0,30,13,7,0,0,19,19,0,40,32,10,5,0,40,85,6,137,0,0,0,0,0,0,0,0,81,23,6,0,100,178,15,298,11,3,3,0,23,15,0,41,3,0,0,0,9,5,0,15,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,7,22,9,4,0,27,25,7,60,0,4,0,0,5,14,0,13,1229,2150,361,33,3774,1102,183,5062
5009,161456,234573,68641,6729,471404,111074,17685,600165,17413,11608,8258,1062,38337,37386,3608,79334,8462,5333,2964,520,17278,11481,2224,30977,25871,16941,11221,1583,55616,48862,5836,110312,3919,1679,1229,262,7092,10785,1024,18894,3403,1047,765,201,5406,7990,969,14370,4726,1219,749,187,6881,8219,1023,16121,3116,877,396,133,4515,4097,692,9300,202,151,67,11,432,346,17,797,15358,4966,3211,796,24326,31431,3726,59481,218,25,39,4,290,638,22,949,262,17,38,7,321,643,16,973,25,19,3,0,42,41,0,93,127,66,25,8,217,145,39,403,628,125,99,17,871,1467,75,2409,166,126,65,10,368,408,25,798,203485,256733,83237,9135,552581,193244,27339,773166
