SUA_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
5000,970,1547,1482,1176,1905,4069,1751,9205,394,22499,1061,1799,1699,1347,2407,3180,1120,2717,150,15481,1276,1446,1305,992,2690,4024,1754,6624,410,20522,827,2469,2211,1466,1758,1709,473,1081,237,12229,665,2176,1833,1095,2355,1971,533,1063,117,11812,335,2027,1231,650,989,874,282,572,118,7076,1316,899,778,405,1271,1931,1113,6406,308,14432,861,3503,2070,1275,2172,2526,935,3078,462,16878,227,222,149,112,202,297,102,423,800,2528,7548,16090,12757,8510,15748,20573,8073,31166,2999,123469
5001,102,147,128,101,252,383,157,431,20,1715,134,328,343,313,541,564,165,321,12,2717,117,177,185,167,542,619,265,400,33,2500,117,500,435,323,348,299,79,137,36,2287,95,301,274,194,428,244,60,76,19,1691,70,472,266,120,271,189,66,70,11,1537,75,97,84,59,102,172,120,366,22,1088,81,607,287,165,264,266,136,152,34,2003,24,23,19,5,33,31,14,16,55,220,818,2654,2008,1434,2789,2762,1063,1974,247,15751
5002,43,24,47,40,207,223,91,290,4,977,119,107,143,151,405,357,105,263,19,1675,34,57,49,42,151,226,89,256,20,918,62,124,100,116,247,181,50,127,19,1031,31,83,84,93,317,164,38,85,13,916,15,142,57,36,105,78,25,46,11,519,25,22,15,20,40,59,18,145,8,353,22,123,74,46,103,105,32,110,16,630,3,11,8,8,17,28,0,18,62,158,351,688,588,553,1594,1420,447,1351,182,7176
5003,110,139,182,159,510,738,370,889,15,3091,292,642,666,582,1095,1301,431,780,28,5826,368,412,345,262,1065,1619,613,1813,79,6573,233,952,933,604,696,428,116,265,54,4281,200,608,626,407,1028,692,155,310,25,4052,152,1072,569,316,478,303,102,160,29,3176,282,206,201,127,395,653,378,1304,65,3602,229,1091,565,351,675,631,257,597,68,4477,36,48,27,23,72,97,32,92,131,559,1897,5171,4120,2818,6019,6451,2450,6205,505,35640
5004,131,183,199,155,347,525,238,683,25,2483,226,423,411,361,496,610,214,403,20,3153,218,236,264,226,586,813,268,734,37,3380,141,633,461,307,311,249,68,116,29,2319,101,386,368,192,369,261,77,103,11,1871,80,589,331,179,258,196,48,99,17,1800,151,107,97,69,113,136,84,487,17,1274,122,680,405,216,273,255,91,223,53,2320,21,49,25,22,30,42,9,44,80,310,1191,3283,2567,1728,2777,3095,1100,2892,282,18915
5005,35,50,43,28,90,147,58,225,6,685,45,62,86,74,127,178,53,127,0,755,45,45,46,43,152,257,96,212,18,920,35,97,98,66,97,75,19,23,14,529,40,120,112,71,121,113,26,43,3,644,23,139,73,35,86,63,19,34,9,494,61,48,30,24,67,125,71,257,13,689,41,166,97,53,68,92,18,102,21,665,11,17,0,4,11,21,8,17,32,127,345,751,590,400,822,1067,371,1042,120,5501
5006,51,84,94,89,278,401,170,551,6,1732,197,301,305,286,610,628,222,423,19,2992,157,186,190,139,468,724,299,776,41,2989,121,468,432,316,390,340,110,184,33,2387,84,290,271,226,545,347,91,138,14,2007,56,520,281,158,271,166,68,85,13,1616,135,121,114,62,144,232,164,617,28,1614,112,524,293,182,232,250,58,276,48,1968,13,20,17,7,48,38,14,39,69,276,923,2519,2001,1465,2985,3122,1198,3091,278,17580
5007,40,35,67,47,191,298,122,558,16,1376,96,147,134,104,368,543,278,542,20,2233,139,127,113,81,285,562,371,1625,60,3366,67,220,206,127,258,255,88,170,17,1416,72,149,177,142,418,394,112,203,12,1681,36,293,182,87,161,115,29,71,14,990,152,102,86,47,159,283,267,1355,54,2499,48,264,213,122,171,159,60,279,19,1341,21,25,17,6,28,28,15,54,75,267,661,1364,1196,760,2034,2650,1343,4867,286,15164
5008,33,33,34,26,129,221,119,384,11,977,94,84,93,92,230,346,135,258,15,1348,167,96,58,52,201,436,242,917,39,2203,47,165,102,82,149,146,50,84,6,833,48,82,110,64,226,248,96,144,8,1020,25,154,73,54,83,66,28,43,0,530,60,36,34,24,87,134,144,353,14,875,29,153,101,64,88,111,82,238,13,879,14,13,7,3,18,31,16,65,34,198,508,811,605,462,1212,1739,908,2491,135,8866
5009,3557,6034,7366,6331,22209,32904,13088,32113,833,124436,10791,24750,26010,20409,51054,63486,18255,33520,1566,249833,6424,10789,10888,8340,30430,38708,12931,33294,2278,154090,5947,32461,25631,14536,19280,14547,4177,8005,1807,126386,5180,18136,18961,11544,35080,26142,6187,8859,960,131055,2942,29576,15556,6481,11825,9058,2536,4613,907,83498,4408,6146,5675,3705,12603,12434,5680,20716,1469,72836,3820,25577,14678,7369,12966,11463,3433,10101,1628,91039,795,1724,1207,806,2661,2756,733,2067,4627,17373,43862,155201,125977,79518,198104,211502,67016,153286,16079,1050544
5010,32,21,21,32,92,144,79,282,9,705,91,47,42,52,207,282,99,172,5,999,114,70,72,41,162,259,223,934,47,1915,40,111,67,60,112,135,34,73,15,644,40,67,77,42,214,181,71,149,10,851,18,100,58,33,80,53,20,51,10,421,84,55,27,17,81,89,89,662,26,1133,53,118,82,51,81,97,42,221,19,763,14,17,9,7,17,19,18,52,54,202,480,612,455,328,1045,1255,668,2595,201,7643
