SUA_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
5000,134,88,1049,967,218,1378,305,1715,168,6014,464,694,1823,1036,647,683,860,1716,177,8106,2460,3245,4584,2318,1903,964,2342,3439,401,21653,4283,3732,4547,2375,2559,1024,2815,2780,446,24553,5569,3515,4233,2631,2854,1274,3502,3027,516,27111,5493,3126,3390,2326,2721,1295,3507,3004,467,25332,3052,1003,825,529,802,412,1010,992,213,8841,931,85,71,50,110,54,81,202,109,1689,113,0,0,0,3,3,3,12,27,172,22499,15481,20522,12229,11812,7076,14432,16878,2528,123469
5001,17,15,174,226,50,389,28,296,24,1217,42,95,296,218,77,147,69,213,19,1174,181,509,619,348,265,235,187,313,31,2689,341,604,464,423,328,217,184,339,32,2952,481,701,470,522,413,242,255,364,47,3486,411,590,362,451,434,222,269,327,45,3107,203,174,110,95,118,66,88,126,14,987,30,19,12,7,9,13,7,15,10,124,11,0,0,0,0,0,0,4,0,18,1715,2717,2500,2287,1691,1537,1088,2003,220,15751
5002,0,11,32,69,32,126,6,83,14,377,17,60,80,100,52,46,19,56,10,439,173,508,236,289,200,85,70,147,32,1735,280,491,236,233,242,76,82,130,44,1809,254,312,204,194,220,84,72,101,31,1473,183,230,100,120,126,76,72,80,18,1003,52,62,33,28,48,30,27,28,6,315,11,4,0,0,4,4,5,9,0,31,0,0,0,0,0,0,0,0,0,0,977,1675,918,1031,916,519,353,630,158,7176
5003,18,26,311,410,105,859,98,635,42,2503,105,219,654,476,261,327,256,509,43,2853,460,1228,1588,748,690,513,638,881,106,6853,782,1512,1525,859,877,447,794,841,139,7792,877,1429,1333,951,1027,506,837,779,124,7862,640,1067,942,674,869,401,774,651,64,6085,178,323,206,143,211,104,193,166,28,1544,36,25,3,6,12,12,15,19,5,136,3,0,0,3,0,3,0,0,4,12,3091,5826,6573,4281,4052,3176,3602,4477,559,35640
5004,14,9,196,346,25,470,30,301,26,1414,51,75,313,184,61,133,53,213,13,1099,310,504,728,388,215,176,165,373,48,2909,584,857,834,455,428,260,250,403,70,4149,678,905,710,485,526,329,355,461,56,4513,551,600,467,372,457,296,303,423,56,3529,240,175,123,85,138,126,107,128,25,1141,46,17,7,3,17,12,6,17,11,142,9,0,0,0,0,0,0,3,3,15,2483,3153,3380,2319,1871,1800,1274,2320,310,18915
5005,3,0,73,46,19,113,21,87,9,373,14,41,122,54,48,50,51,47,15,435,86,175,210,92,113,81,102,120,20,994,123,173,176,104,130,88,129,117,25,1066,217,170,174,114,166,88,156,114,25,1215,144,149,139,95,131,62,179,138,24,1065,64,43,27,25,44,12,45,36,3,303,24,8,0,0,3,0,0,4,7,49,4,0,0,0,0,0,0,0,0,5,685,755,920,529,644,494,689,665,127,5501
5006,8,21,215,231,41,433,52,291,24,1309,57,126,341,258,123,192,88,203,19,1415,233,630,712,454,354,229,260,343,46,3263,406,743,615,428,414,222,258,333,37,3460,482,789,542,510,496,262,413,350,74,3919,373,514,438,406,432,212,428,325,47,3184,141,145,113,100,134,54,101,102,14,915,30,17,13,4,9,7,5,13,7,103,4,0,0,0,0,0,0,0,7,14,1732,2992,2989,2387,2007,1616,1614,1968,276,17580
5007,9,14,210,112,43,257,56,165,22,883,26,195,398,141,140,121,206,157,22,1417,204,686,912,309,388,172,551,270,46,3532,411,550,712,334,354,140,519,209,57,3289,356,413,615,268,376,143,564,219,57,3011,288,298,432,201,296,135,475,244,42,2403,78,68,89,41,77,25,134,68,15,582,5,9,4,3,8,0,3,12,5,45,0,0,0,0,0,0,0,0,0,0,1376,2233,3366,1416,1681,990,2499,1341,267,15164
5008,6,5,99,56,35,157,17,106,9,489,28,58,182,77,77,49,57,79,6,619,208,450,638,183,270,108,189,240,37,2315,344,413,667,233,313,83,226,187,70,2536,248,266,393,176,215,83,208,144,54,1792,126,131,192,87,102,47,141,99,18,942,24,29,31,12,12,5,40,18,3,168,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,977,1348,2203,833,1020,530,875,879,198,8866
5009,690,1266,5742,11314,2383,19174,2588,12930,837,56923,3794,13263,15595,20292,9949,15033,6041,11645,1640,97253,21018,66283,39978,28421,26364,13895,15776,18192,4232,234162,34616,69262,36416,24472,29642,11035,15989,15610,3968,241001,34393,52852,29819,22232,30131,11398,15291,15171,3359,214639,22876,34851,21128,15848,24918,9513,13376,12936,2232,157679,6132,10677,5012,3560,6943,3066,3516,3988,747,43646,862,1304,385,232,682,364,263,541,269,4896,54,69,16,8,44,23,9,35,87,346,124436,249833,154090,126386,131055,83498,72836,91039,17373,1050544
5010,4,6,78,50,24,90,28,75,19,377,7,60,135,46,57,45,64,81,15,508,148,333,617,177,232,96,283,190,54,2133,226,297,553,192,242,78,253,173,52,2068,167,167,322,95,155,52,266,124,37,1379,129,120,191,62,118,51,214,97,24,1002,24,22,32,12,28,10,25,19,0,174,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,705,999,1915,644,851,421,1133,763,202,7643
