SUA_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
5000,499,265,140,33,53,11,1009,134,56,21,26,24,4,265,254,140,68,38,68,5,570,267,145,71,39,59,11,599,467,336,140,84,92,14,1128,548,445,157,123,121,3,1389,660,707,217,157,117,15,1874,682,803,267,147,118,14,2043,593,771,218,108,78,11,1783,628,839,261,118,66,5,1916,369,620,166,56,49,0,1262,669,932,322,78,68,14,2078,264,441,106,21,17,3,847,183,273,68,27,11,3,565,476,587,205,56,37,0,1368,573,648,241,44,40,0,1549,215,209,118,14,20,0,576,208,155,67,16,11,0,454,531,364,226,80,63,16,1284,8216,8729,3075,1264,1120,143,22549
5001,58,19,18,8,7,0,109,10,4,6,0,4,0,30,57,16,16,8,7,6,98,28,11,4,5,5,0,52,44,29,16,6,15,3,110,74,62,21,17,14,0,189,95,112,40,29,16,0,291,135,164,50,43,28,4,416,127,217,34,30,17,3,424,122,200,62,26,19,7,435,58,153,40,18,3,0,260,123,185,61,13,13,0,401,34,75,23,0,0,0,140,27,32,11,4,6,0,90,45,89,36,9,0,0,167,52,70,20,10,5,0,168,17,24,15,6,4,0,60,12,12,8,3,0,0,39,67,61,30,8,20,0,187,1183,1528,500,243,175,20,3654
5002,3,9,6,0,0,0,18,0,3,0,0,0,0,3,0,4,0,0,0,0,4,0,0,0,0,0,0,5,7,5,0,0,0,0,18,13,14,6,0,0,0,32,20,15,3,9,0,0,40,17,13,3,5,0,0,48,29,17,9,0,0,0,60,28,37,5,8,4,0,79,19,39,9,9,4,0,73,34,65,17,10,3,0,129,13,36,7,3,4,0,69,20,35,3,4,0,0,59,25,66,13,8,7,0,116,53,110,26,6,4,0,204,25,31,6,3,0,0,65,9,16,4,3,0,3,34,22,22,3,6,5,0,62,338,541,105,79,37,10,1112
5003,115,50,32,17,18,0,238,39,11,12,0,5,0,78,77,32,20,8,13,4,152,44,40,21,13,24,3,137,91,59,45,21,37,0,254,137,130,57,46,46,0,423,234,251,70,78,54,10,686,286,375,121,104,66,11,965,277,533,133,84,55,16,1103,339,623,144,86,54,4,1250,198,375,103,40,22,6,748,290,556,188,62,42,3,1140,104,236,55,21,11,0,420,63,122,36,19,3,0,244,157,279,100,25,23,0,578,161,242,88,18,12,3,524,71,82,47,11,6,0,210,35,55,24,5,4,0,121,154,188,61,40,26,11,470,2862,4229,1353,695,517,76,9726
5004,67,25,22,8,7,0,126,25,11,6,6,0,0,41,49,21,8,5,6,0,84,21,13,12,7,5,0,65,53,28,20,15,14,0,128,64,56,18,17,20,4,174,82,79,24,9,25,0,223,115,134,46,34,26,0,354,121,178,44,42,17,0,406,166,227,59,45,22,0,518,108,211,44,20,10,0,402,154,287,75,35,17,3,566,58,145,43,12,9,0,266,34,106,12,9,0,5,164,92,157,50,14,9,0,320,100,195,58,13,3,0,368,49,50,24,0,0,0,131,37,49,14,4,6,0,108,73,75,35,20,12,6,221,1467,2054,613,312,204,22,4671
5005,16,5,8,0,4,0,32,10,0,5,0,0,0,11,3,5,0,0,0,0,19,9,7,4,0,0,0,20,18,19,7,0,0,0,47,27,28,6,5,8,0,75,31,27,11,15,9,3,96,47,53,14,10,10,0,137,33,54,11,7,4,0,110,35,59,13,6,5,0,119,22,48,20,3,3,0,100,46,50,18,0,7,5,120,11,25,5,0,4,0,47,9,15,8,0,4,0,37,22,34,14,6,0,0,76,23,31,13,0,0,0,65,4,9,3,0,0,0,22,5,8,3,0,0,0,14,27,28,15,3,3,3,67,402,504,175,60,53,15,1204
5006,53,27,14,8,15,4,115,18,0,6,0,3,3,27,36,18,9,3,4,0,70,23,13,9,6,12,0,57,59,50,26,23,13,0,169,82,76,37,24,13,5,233,124,107,42,36,22,0,324,127,193,39,36,41,0,440,110,187,48,32,26,0,409,130,199,45,35,23,0,439,77,138,31,22,15,6,282,127,236,71,31,17,0,482,37,79,19,3,3,4,153,16,52,5,0,3,0,79,65,102,47,9,9,0,231,82,118,54,11,0,0,270,35,35,10,4,5,0,95,21,20,18,0,0,0,65,67,76,35,17,18,5,223,1296,1721,572,291,238,37,4157
5007,23,16,11,4,5,0,67,4,9,0,0,0,0,16,16,7,5,3,0,0,34,19,15,5,6,0,0,48,35,40,13,12,18,0,125,71,74,10,20,7,5,187,88,111,33,26,19,0,267,109,150,41,31,18,3,347,107,188,49,17,12,3,375,112,173,50,19,14,0,366,68,129,26,14,9,3,245,99,194,48,16,15,3,386,38,83,13,0,0,3,136,28,40,9,5,0,0,85,53,97,34,7,6,0,199,77,94,37,3,3,0,217,23,32,14,0,3,0,67,16,14,17,0,0,0,42,58,71,29,3,4,5,180,1044,1539,438,200,151,28,3391
5008,9,4,0,4,0,0,21,8,3,0,0,0,0,10,0,5,0,0,0,0,10,0,4,0,0,0,0,10,14,5,0,0,6,0,24,7,8,0,0,0,0,21,22,33,4,0,0,0,59,35,36,6,5,0,0,75,36,58,5,4,0,0,101,28,63,8,3,0,0,99,21,45,7,7,0,0,83,36,67,12,3,5,4,124,20,42,4,0,0,0,68,13,22,5,0,0,0,38,16,47,7,0,0,0,76,31,60,16,7,0,0,111,22,41,7,0,0,0,70,14,16,5,0,0,0,42,17,33,8,3,0,0,59,349,585,105,38,22,8,1106
5009,3183,2199,1754,427,725,157,8447,742,355,386,88,158,22,1740,1307,688,727,186,387,56,3353,1128,703,678,182,349,46,3079,1883,1369,1045,380,673,81,5433,2672,2304,1517,684,910,114,8200,3893,4338,2118,950,1240,169,12699,5279,6870,2660,1442,1535,249,18033,6168,9241,2651,1568,1397,225,21250,7328,12090,3327,1764,1390,228,26122,5592,10603,2599,1221,952,194,21164,8643,16488,5071,1797,1372,280,33653,3802,8054,2073,675,504,101,15202,2755,6395,1694,519,324,65,11747,5205,11147,3448,863,681,112,21459,6510,13945,4926,915,839,132,27256,2729,5702,2113,400,318,47,11314,2285,5271,2070,260,290,45,10209,4051,5766,2937,836,1040,204,14830,75145,123510,43792,15139,15093,2514,275201
