SUA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
5000,30882,60463,480,2591,2376,10298,1035,4750,14613,57424,18503,75063,898,3455,1483,4310,4382,13339,6763,21102,25266,96165,135,640,611,2135,532,2103,3905,10960,5183,15847,222,700,589,1222,3161,6859,3978,8785,9156,24634,886,1953,66192,183207
5001,4293,8500,89,519,345,1565,123,546,1840,7181,2396,9814,131,533,233,734,594,1839,959,3105,3352,12921,13,56,126,438,76,256,609,1663,827,2416,49,164,115,241,492,1052,655,1454,1478,3871,118,243,9245,25539
5002,1163,2225,14,95,128,517,54,260,973,3804,1175,4683,44,156,66,190,149,467,256,814,1435,5494,17,66,49,177,35,132,326,931,425,1306,8,15,55,109,152,328,207,450,633,1755,56,121,3283,9599
5003,8363,16390,161,848,896,3992,319,1396,4790,18436,6164,24681,354,1408,564,1738,1364,4174,2279,7322,8444,32002,50,230,274,905,168,591,1605,4301,2097,6019,125,375,268,559,1067,2235,1457,3167,3556,9184,240,501,20598,58083
5004,5155,10079,63,352,466,2039,168,725,2497,9595,3197,12720,153,571,304,925,658,1975,1108,3473,4310,16194,21,96,150,486,65,200,643,1684,878,2465,39,108,122,265,452,928,612,1304,1496,3766,82,171,11044,30206
5005,1348,2628,27,137,135,583,32,135,657,2601,853,3454,34,136,63,183,198,604,301,920,1149,4371,8,42,45,159,20,68,177,484,242,751,14,40,30,71,162,327,211,446,452,1187,49,95,3001,8285
5006,4133,8063,68,349,379,1708,125,593,2223,8558,2790,11207,146,600,234,706,679,2054,1056,3360,3845,14566,24,149,131,453,113,432,778,2161,1054,3195,63,195,129,260,563,1184,755,1651,1809,4840,164,328,9955,27804
5007,2551,5027,59,329,237,1100,154,708,2110,8226,2558,10371,108,424,155,480,490,1518,752,2427,3312,12793,18,76,56,199,49,169,514,1425,632,1868,23,62,56,121,342,738,423,924,1054,2789,114,243,7026,20853
5008,1269,2458,33,173,214,936,60,255,1548,6024,1851,7393,41,165,102,311,168,529,316,1003,2162,8396,4,19,35,117,16,63,196,511,253,708,9,32,20,46,84,197,120,275,371,982,33,62,3839,11897
5009,212152,418239,4218,23910,25068,114303,6323,28430,144850,551819,180457,718468,13250,55212,22409,76844,42581,134306,78233,266362,258688,984830,1218,5649,6080,20713,2963,10608,32993,86264,43249,123236,3815,12062,8607,19444,29867,64505,42286,96008,85539,219241,9135,19191,565513,1641507
5010,1173,2273,27,154,122,590,61,281,1243,4905,1457,5936,29,120,50,136,162,528,243,780,1704,6714,4,26,28,112,34,122,259,717,331,976,14,33,37,79,121,272,167,380,494,1359,62,135,3436,10478
