SUA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
5000,1985,10324,9444,75932,1366,99051,69,692,315,23273,552,24899,1329,74,98,266,20,1785,411,178,88,555,20,1259,2455,753,508,1366,40,5120,27688,9847,8737,61297,1573,109139,2782,19,256,69,20,3148,879,94,105,351,9,1428,2833,693,731,5005,99,9362,201,93,48,278,6,628,211,63,36,67,4,379,995,113,58,122,6,1290,5091,1705,1312,14336,283,22724,2879,1157,560,5287,102,9979,147,6,16,0,0,171,56,12,8,29,0,104,210,51,23,122,4,406,149,65,25,128,0,366,2042,302,266,115,54,2775,1569,640,461,224,35,2930,858,187,132,545,16,1738,213,30,40,105,4,389,145,16,4,11,0,179,6355,2098,1812,14123,250,24638,170,25,13,42,0,252,1319,162,147,55,6,1689,465,47,33,222,4,776,94,16,18,22,0,146,423,11,32,12,5,487,964,214,152,678,10,2022,9474,1449,1411,2863,242,15434,628,155,139,1412,36302,38633,58959,18257,15534,150350,39994,283092
5001,326,1640,1445,10273,147,13831,4,69,33,1090,21,1215,207,5,33,37,0,284,35,17,14,59,0,126,573,167,87,435,6,1275,4185,1685,1404,9128,181,16579,644,8,43,16,3,710,103,17,16,38,0,174,386,102,118,697,13,1315,27,8,0,41,0,79,38,7,5,16,0,61,151,7,7,23,4,194,634,236,186,1928,24,3019,352,142,61,668,7,1225,16,0,8,4,0,19,5,0,0,3,0,6,6,8,0,8,0,26,18,5,4,10,0,34,114,22,24,11,0,172,126,83,48,36,0,296,200,47,28,139,3,409,30,0,3,12,0,47,3,0,0,0,0,3,934,330,283,1991,16,3553,18,4,0,9,0,34,240,30,17,15,0,303,53,4,5,20,0,83,24,4,4,0,0,31,32,0,0,3,0,37,183,37,42,105,0,373,1260,209,207,338,18,2025,78,19,18,173,1875,2164,8708,2857,2351,18894,2243,35053
5002,120,452,421,3553,33,4590,4,164,40,2823,89,3123,146,27,10,92,5,283,24,6,3,19,0,58,91,45,28,69,5,235,1002,380,313,2616,53,4363,239,4,14,17,0,280,74,3,7,14,0,102,154,36,19,202,9,420,14,4,6,22,0,40,14,5,0,4,0,30,84,9,0,10,0,106,223,97,57,839,6,1222,154,42,23,207,0,438,15,0,0,0,0,12,4,0,0,3,0,7,7,0,0,7,0,16,9,9,3,13,0,34,66,14,10,4,5,89,66,25,7,10,3,113,16,11,6,23,0,54,10,4,0,6,0,24,7,0,3,0,0,9,267,86,87,704,4,1147,4,0,0,0,0,12,61,11,11,3,0,91,56,0,10,14,0,75,15,3,5,8,0,29,22,0,0,0,0,22,42,14,7,23,0,89,618,140,95,406,23,1280,63,5,4,91,2007,2166,2863,919,681,8016,2187,14660
5003,640,3450,2665,22139,204,29094,14,164,64,2270,43,2557,705,24,49,55,5,846,78,39,28,133,0,278,791,248,157,435,10,1633,8209,3483,2703,19660,253,34310,1060,8,103,22,6,1202,175,34,16,140,0,364,730,198,148,1405,19,2500,93,47,16,192,6,351,45,13,6,32,0,103,691,28,19,52,0,791,1711,516,440,4488,31,7191,1102,534,200,2668,20,4528,130,0,16,0,0,151,68,13,6,4,0,95,20,11,9,43,0,77,31,19,16,35,0,101,926,152,96,43,16,1231,439,225,117,84,5,870,333,91,79,228,5,740,129,8,17,29,0,185,48,3,6,0,0,62,1956,664,566,4312,41,7544,47,6,8,12,0,73,852,56,62,27,0,998,133,17,22,103,0,277,38,3,8,5,0,58,111,5,17,3,3,137,269,82,48,211,4,614,3246,443,439,801,47,4972,196,44,37,335,4173,4778,19615,6155,4699,41262,4720,76452
5004,330,2018,1722,11750,175,16002,3,55,32,697,13,797,195,16,28,40,0,276,48,16,16,81,4,164,406,115,89,264,4,887,5364,2014,1564,10642,189,19772,151,10,40,11,0,219,181,23,24,77,0,309,471,134,107,748,14,1470,43,27,11,79,0,162,32,16,5,27,0,81,128,17,23,34,0,196,1022,373,242,2675,25,4343,374,177,90,905,21,1565,52,0,9,0,0,61,10,4,3,5,0,16,6,5,9,21,0,45,23,12,3,28,0,70,118,40,27,23,4,216,239,151,80,36,9,507,119,31,37,58,5,252,49,9,11,26,0,92,4,0,0,0,0,4,1114,414,314,2436,15,4296,23,4,0,7,0,30,266,52,44,16,0,370,66,14,7,76,0,160,34,12,5,8,0,48,64,8,3,8,0,77,192,48,24,109,0,370,1404,286,306,372,23,2389,77,32,27,220,2156,2504,9741,3530,2795,21925,2556,40544
5005,75,534,442,4068,82,5204,0,20,6,494,12,531,50,4,0,13,0,67,5,5,0,29,0,45,79,18,20,44,0,168,925,452,338,3042,83,4849,81,0,13,0,0,96,20,0,7,24,0,53,125,32,36,325,3,519,7,5,0,5,0,16,7,3,0,0,0,8,39,3,3,0,0,46,169,62,44,737,6,1025,55,45,12,238,0,350,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,79,21,13,10,4,127,83,36,18,6,0,145,25,6,0,15,0,50,12,0,3,5,0,19,0,0,0,0,0,6,252,109,69,739,13,1177,0,0,0,6,0,7,63,5,10,0,0,78,6,3,3,3,0,21,12,0,0,0,0,12,14,0,0,0,0,20,28,5,10,35,0,80,287,79,65,131,10,573,20,7,10,74,1157,1260,1977,867,658,7177,1333,12003
5006,227,1512,1176,11919,140,14973,10,141,62,3166,45,3421,203,12,22,62,5,305,36,22,7,95,3,164,291,90,57,204,5,647,2815,1375,1067,9648,143,15041,489,13,77,21,3,612,87,18,14,45,0,162,312,80,76,823,5,1291,32,22,15,36,0,102,25,11,0,7,0,48,280,20,12,32,0,345,511,279,174,2593,24,3577,355,163,77,873,18,1491,6,0,0,4,0,10,6,0,0,3,0,14,32,9,5,34,0,83,22,21,3,24,0,65,202,40,34,31,4,311,124,71,62,40,0,294,88,22,19,83,0,217,36,6,5,16,0,72,18,0,4,5,0,25,677,291,212,2140,26,3346,6,0,0,0,0,8,288,30,16,29,0,364,74,13,3,45,0,131,10,0,9,0,0,21,141,3,8,0,0,152,100,35,23,98,0,251,1358,252,266,665,19,2556,87,13,9,208,3473,3788,7096,2646,1981,23059,3807,38595
5007,257,1037,992,7397,106,9790,12,84,63,1660,70,1882,294,10,17,41,0,358,86,32,13,116,0,247,185,68,28,91,0,379,2384,848,783,5596,101,9714,784,3,79,13,3,886,71,3,6,35,4,114,298,70,62,541,11,978,22,7,9,41,0,83,11,4,0,12,0,31,468,10,15,20,0,509,595,162,124,1539,18,2444,186,104,61,616,15,974,35,0,0,0,0,36,9,0,0,7,0,16,3,3,3,13,0,23,8,3,6,14,0,33,978,91,85,21,22,1197,378,113,62,26,4,578,59,20,7,66,0,156,27,5,9,5,0,41,135,17,0,0,3,154,728,220,142,1324,16,2429,24,4,3,4,0,32,301,30,21,4,0,360,83,3,3,17,0,109,28,0,5,3,0,32,58,0,3,0,0,62,71,27,12,71,0,175,2229,160,198,311,25,2926,144,22,23,185,2883,3260,8537,1813,1593,13920,3207,29072
5008,165,617,647,4222,32,5682,8,75,49,1268,18,1420,191,0,9,37,0,237,16,11,8,59,5,96,113,51,31,105,3,305,1279,537,527,3031,34,5405,450,6,37,12,3,511,57,9,3,20,0,90,118,56,49,317,0,544,17,7,4,35,0,63,3,3,4,10,0,23,309,11,4,11,0,336,363,87,82,749,10,1296,69,78,27,298,0,480,13,0,0,0,0,15,4,0,0,0,0,0,21,3,6,5,0,30,8,8,0,9,0,28,291,31,24,11,3,360,138,69,50,22,0,277,39,11,12,45,0,102,17,0,0,4,0,23,33,4,0,0,0,40,374,111,96,699,8,1292,14,5,3,0,0,27,124,8,26,8,3,169,46,0,0,12,0,59,16,0,6,0,0,22,37,0,4,0,0,40,36,6,9,27,0,78,1143,122,162,333,17,1771,66,10,11,89,2472,2645,4352,1096,1072,7908,2587,17013
5009,29184,94801,77908,380374,4467,586733,591,2831,1788,32867,689,38773,102075,2271,4309,2998,527,112183,9531,2717,1461,7760,147,21615,21310,5857,3941,10650,196,41962,302115,85094,68000,316412,5734,777352,34578,547,2726,601,138,38596,9776,1120,954,2525,72,14446,24185,5334,4425,25175,385,59504,6030,2059,1079,5293,75,14531,3109,552,367,868,35,4932,67393,2314,1648,1765,197,73312,70732,15524,11431,86592,1070,185350,46325,15173,7417,46322,649,115881,7543,117,415,119,16,8210,1914,440,251,531,11,3153,6426,1109,702,2304,60,10602,1999,704,389,1379,30,4496,18839,2577,1687,799,193,24089,13321,5146,3076,1499,115,23154,11990,1911,1576,4228,106,19803,4503,372,619,777,43,6313,2304,316,107,63,20,2817,71334,17771,13740,78275,973,182104,6450,575,357,656,39,8084,23887,2252,1956,594,101,28782,7782,646,569,1780,58,10834,5500,483,316,367,31,6692,20662,515,944,412,74,22610,11884,2064,1458,4241,71,19713,251558,19552,19431,21147,1990,313679,12296,1020,853,5392,93262,112823,980477,168119,133429,708370,107842,2098239
