SUA_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
5000,698,917,1614,368,364,736,421,1114,1535,456,1953,2410,1543,4871,6410,1466,2542,4006,4557,1686,6244,3679,2251,5932,4121,2342,6465,4584,1763,6347,3103,1541,4643,3530,1190,4719,7254,2086,9337,5411,160,5573,4420,520,4944,2663,73,2736,6521,638,7156,8322,445,8764,1196,1244,2440,64313,27707,92016
5001,79,129,208,45,66,109,32,154,186,62,323,385,194,824,1020,213,611,824,712,324,1041,576,390,971,696,385,1082,797,227,1026,558,212,768,571,147,712,1167,228,1391,860,19,874,608,40,648,328,10,331,679,62,744,807,60,860,108,163,272,9075,4372,13451
5002,22,33,54,10,14,20,17,45,56,28,111,138,40,105,141,54,59,111,82,60,142,80,70,154,111,118,227,113,95,211,104,107,213,122,96,219,385,164,545,345,33,374,358,35,390,227,14,246,555,65,619,489,66,554,71,53,123,3201,1333,4532
5003,151,221,373,68,81,151,91,249,342,111,574,685,368,1408,1773,451,824,1279,1330,594,1923,1085,680,1757,1252,712,1961,1357,554,1913,1049,480,1527,1192,386,1575,2563,605,3164,1997,59,2060,1668,168,1837,933,36,966,2148,178,2321,2217,141,2360,178,243,427,20220,8185,28400
5004,101,111,211,53,48,98,55,137,189,50,266,317,198,712,908,207,546,758,745,351,1099,604,357,960,813,350,1162,834,261,1096,569,187,760,590,134,727,1273,222,1500,964,36,1001,732,63,798,454,10,470,1124,73,1197,1332,102,1438,119,159,282,10831,4129,14957
5005,25,36,59,13,25,39,20,48,69,21,107,120,58,262,322,52,158,203,170,91,268,145,100,252,179,128,305,202,87,299,145,63,211,177,59,233,397,91,491,266,7,281,236,31,270,108,5,114,296,33,326,396,24,420,45,61,105,2950,1430,4379
5006,111,120,235,39,56,92,61,181,241,57,314,374,173,699,874,203,452,657,618,300,914,519,360,881,536,378,911,625,277,904,528,214,738,516,201,715,1195,332,1521,969,29,998,788,64,852,474,11,492,1007,78,1085,1206,72,1280,122,135,256,9737,4281,14020
5007,40,90,132,22,28,50,28,66,96,22,121,140,60,268,326,92,135,231,191,115,306,174,179,351,196,249,443,253,218,480,220,299,517,282,260,537,825,507,1325,759,38,801,795,137,934,526,26,550,1577,151,1726,721,87,801,111,109,218,6890,3081,9975
5008,12,20,28,7,4,11,4,20,20,7,23,29,16,31,49,16,19,39,23,31,50,28,42,73,53,70,116,63,93,152,81,129,208,132,141,271,373,275,644,327,22,346,452,99,546,317,20,340,1415,175,1595,435,40,469,23,38,57,3774,1288,5062
5009,5212,7378,12588,2073,2597,4677,2410,6674,9082,2757,13305,16071,7914,30536,38444,9445,20277,29720,26002,13373,39377,24307,16661,40970,29827,19484,49307,34357,16496,50852,27552,14558,42116,29484,11363,40847,66729,20087,86818,52918,2534,55455,46573,5329,51900,30513,1095,31601,96314,7746,104060,53266,5515,58787,4930,5570,10507,552581,220584,773166
5010,24,28,57,7,6,15,12,22,36,18,47,61,28,33,55,30,33,58,48,28,79,53,38,86,63,76,143,74,95,174,73,135,213,118,126,238,315,331,645,308,21,332,400,122,521,303,17,321,1041,156,1197,386,39,426,69,48,113,3367,1401,4766
