SUA_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
5000,47663,24629,30265,32976,35103,36620,28508,13575,3995,253319,125,124,143,130,172,183,214,104,30,1228,229,85,304,357,343,602,709,68,4,2695,419,99,266,408,435,822,982,113,7,3547,168,103,336,503,475,821,724,86,0,3205,106,73,173,218,272,443,489,89,0,1855,2203,4499,11668,10803,11551,11067,7686,2301,319,62088,38,30,64,86,105,193,122,16,4,645,41,28,108,83,91,99,48,8,0,511,32,7,15,25,20,38,36,0,0,177,0,0,0,0,0,3,0,0,0,9,3228,4925,12933,12481,13290,14091,10788,2672,333,74733,3355,5045,13068,12609,13463,14272,10997,2778,360,75962,51022,29672,43334,45579,48566,50894,39509,16351,4355,329284
5001,5912,3565,3506,3568,4088,4327,3907,2482,1062,32411,6,7,10,7,12,18,19,15,7,101,7,0,3,4,0,8,7,0,0,36,0,0,3,6,0,13,13,0,0,33,4,0,3,3,0,3,3,0,0,20,0,4,0,0,0,0,0,0,0,13,129,216,250,230,247,287,173,93,41,1676,0,5,0,0,0,0,3,0,0,9,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,227,263,240,248,316,213,98,41,1792,145,235,272,247,257,336,230,116,52,1897,6054,3806,3782,3816,4349,4661,4135,2593,1112,34302
5002,3297,1392,2273,2245,1853,1410,731,208,49,13466,19,13,11,10,11,20,9,6,0,97,48,20,31,44,55,67,81,9,3,364,67,14,34,56,36,150,214,47,0,613,35,3,21,32,26,75,62,8,0,256,14,7,16,16,17,40,69,15,0,190,302,305,555,447,588,1029,1478,575,51,5332,9,0,17,5,4,19,31,5,0,94,3,9,27,4,6,6,0,6,0,64,10,0,0,6,0,4,4,0,0,27,0,0,0,0,0,0,0,0,0,0,490,346,704,614,725,1398,1932,670,62,6934,507,356,719,625,739,1410,1940,676,61,7029,3803,1752,2989,2875,2589,2819,2670,882,111,20493
5003,14860,8130,8703,9421,9268,8594,6960,3835,1437,71213,10,14,18,5,22,27,28,28,10,154,0,3,3,0,4,5,6,0,0,35,0,5,10,6,9,14,11,0,5,56,4,0,0,8,5,7,9,0,0,40,4,0,5,0,0,0,0,0,0,12,259,389,395,343,352,386,220,85,77,2494,0,0,0,0,8,5,10,0,0,23,0,3,6,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,270,402,415,364,370,421,258,94,83,2676,279,410,431,368,393,451,284,120,93,2831,15141,8540,9139,9792,9656,9050,7242,3957,1528,74044
5004,7399,3394,3400,4666,4974,4663,4720,2609,984,36803,14,3,11,13,14,21,34,25,3,131,0,4,4,7,4,8,5,0,0,33,3,0,9,4,0,8,9,0,0,35,5,0,10,6,3,12,19,4,0,54,5,0,0,0,14,8,0,0,0,28,284,248,377,316,311,538,534,199,48,2852,0,0,0,0,3,9,0,0,0,14,0,0,0,0,0,4,0,0,0,6,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,301,260,402,337,333,579,569,203,49,3031,314,261,409,344,351,599,604,230,54,3162,7711,3649,3807,5011,5319,5265,5321,2841,1039,39963
5005,2244,1204,1217,1306,1441,1431,1140,787,254,11019,5,10,3,6,8,14,11,0,5,54,4,3,0,4,7,11,20,3,0,57,0,0,4,3,0,9,10,0,0,34,0,0,3,0,0,14,10,0,0,30,0,0,6,0,0,9,8,5,0,24,79,107,117,103,140,136,98,46,11,829,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,111,134,119,145,182,153,53,11,993,89,116,137,119,157,192,166,53,18,1048,2331,1322,1355,1428,1596,1628,1304,840,271,12063
5006,7504,4189,4232,4398,4730,4508,3464,1949,775,35758,4,4,7,14,14,5,18,5,6,80,7,0,8,4,4,17,33,9,0,79,8,0,3,12,9,17,40,7,0,89,5,3,11,12,9,26,38,0,0,99,0,0,0,0,0,16,30,11,0,61,203,284,265,249,265,312,303,140,48,2062,0,0,0,4,0,4,23,3,0,36,0,0,0,4,0,5,0,6,0,16,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,222,288,280,282,289,394,478,165,45,2442,225,291,287,294,303,400,496,172,53,2518,7733,4480,4521,4697,5036,4909,3954,2119,829,38278
5007,6286,3366,4441,4105,3669,3123,1612,614,186,27404,0,3,4,4,10,11,7,10,0,58,0,3,5,9,8,13,20,0,0,58,0,0,6,8,9,10,67,5,0,103,0,5,15,4,7,27,17,0,0,79,0,0,5,9,0,18,32,0,0,65,101,221,440,374,305,378,158,56,3,2039,0,0,3,0,4,18,0,0,0,28,0,0,0,0,0,9,0,0,0,14,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,106,235,481,398,340,468,295,69,3,2398,107,237,492,410,350,481,300,75,10,2452,6395,3607,4932,4508,4016,3605,1919,690,197,29861
5008,4357,1703,2982,3181,2175,1226,360,66,8,16056,6,4,7,6,3,7,0,3,0,35,9,7,17,13,24,29,27,6,0,128,21,4,21,18,22,46,42,6,0,172,8,4,22,34,52,42,47,5,3,211,6,0,0,14,20,27,25,6,0,92,65,164,496,517,544,487,283,88,6,2646,0,0,0,4,5,3,9,0,0,20,0,0,0,4,5,4,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,178,557,597,662,648,431,111,9,3292,113,186,563,602,664,650,431,115,9,3331,4459,1889,3550,3787,2837,1873,785,181,22,19385
5009,391541,242733,282476,288534,256157,222112,176652,97461,39001,1996676,294,243,333,344,299,437,476,344,156,2924,66,209,315,255,224,224,206,67,11,1590,91,143,280,228,217,285,251,64,9,1566,41,78,161,189,215,251,163,30,3,1131,16,36,85,93,142,118,72,32,5,579,6164,7838,8196,6350,5701,5339,4302,2636,1409,47945,22,25,44,45,57,93,127,28,7,442,31,31,75,69,47,53,27,8,0,348,20,26,56,39,29,21,15,4,0,199,10,4,8,10,15,17,17,5,0,83,6465,8378,9213,7271,6644,6416,5181,2869,1446,53883,6760,8623,9553,7615,6943,6845,5662,3216,1599,56808,398297,251358,292027,296152,263105,228967,182307,100675,40595,2053484
