SUA_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
5000,4170,2136,1981,4122,2197,1981,4174,2233,2061,4296,2263,2079,4343,11063,10042,21107,2312,2068,4382,2174,1929,4102,2207,2088,4292,2087,1877,3963,2085,1864,3945,10865,9822,20686,2126,1924,4051,1978,1698,3672,1870,1600,3469,1819,1639,3458,1772,1561,3333,9564,8421,17985,1778,1504,3280,1650,1367,3015,1577,1288,2870,1469,1289,2760,1487,1280,2771,7973,6725,14698,1188,1069,2260,1094,953,2040,1010,878,1885,839,748,1587,853,759,1616,4980,4407,9393,2847,2704,5556,1283,1523,2802,513,669,1184,100,197,301,6,28,35,149382,133713,283092
5001,444,228,230,459,216,210,430,242,269,512,211,277,491,1109,1227,2337,238,299,540,206,268,472,229,281,512,223,238,451,248,235,474,1137,1321,2456,218,252,469,215,248,464,223,239,460,226,260,486,215,252,464,1097,1248,2348,242,237,474,222,252,470,196,208,398,189,218,407,211,211,424,1061,1111,2170,140,167,310,154,169,323,140,162,297,128,170,303,143,162,308,705,833,1538,522,640,1163,317,388,705,135,197,328,33,60,87,5,14,14,17081,17975,35053
5002,170,91,97,191,76,91,167,87,76,162,94,84,176,437,430,865,86,74,157,78,89,168,59,60,123,56,60,117,68,79,151,348,362,713,75,71,147,62,55,114,55,47,93,49,34,80,47,38,87,283,246,524,38,32,76,32,22,56,37,22,57,25,30,50,27,24,52,164,133,295,10,15,28,18,12,33,24,17,45,14,21,40,9,13,25,76,82,161,41,35,74,24,23,48,5,3,13,0,0,0,0,0,0,7108,7553,14660
5003,925,490,477,966,464,497,962,452,476,924,471,518,985,2333,2428,4765,491,540,1032,464,497,967,482,494,970,430,552,987,454,431,880,2328,2512,4839,469,457,925,353,470,817,410,404,819,381,405,792,363,387,744,1971,2121,4097,374,418,795,350,407,751,370,371,747,352,363,719,373,381,758,1825,1942,3763,277,317,599,267,281,554,251,275,521,193,222,419,214,222,432,1196,1328,2528,725,915,1639,400,545,942,141,318,458,41,79,124,4,10,9,37589,38869,76452
5004,523,243,256,500,237,261,499,270,291,564,226,288,517,1241,1345,2587,265,332,600,232,288,519,256,264,523,225,315,541,285,293,576,1267,1484,2751,249,305,559,267,298,566,263,279,546,270,304,572,253,262,514,1308,1454,2761,271,290,561,262,289,546,268,276,541,258,230,485,308,299,606,1360,1380,2737,208,180,389,190,200,390,179,190,365,152,175,323,144,177,320,871,926,1796,580,588,1164,257,400,656,113,192,308,27,50,74,0,8,7,19696,20852,40544
5005,177,90,67,157,74,65,146,92,99,191,89,77,165,417,418,835,88,85,178,80,80,163,73,75,150,85,74,164,76,64,137,405,389,791,70,68,136,59,75,134,62,69,131,64,58,118,64,74,136,307,344,655,74,71,141,54,44,93,76,72,148,66,65,138,79,70,146,344,321,664,59,48,105,50,70,125,42,62,105,43,58,104,50,40,89,249,277,521,165,172,340,70,102,176,29,45,73,6,13,15,0,3,3,5987,6019,12003
5006,502,241,228,470,261,273,532,267,274,541,252,240,495,1279,1261,2537,253,244,500,261,238,501,261,254,515,240,247,483,218,236,451,1234,1220,2460,226,229,457,220,209,434,192,205,394,151,221,372,182,224,402,964,1088,2053,194,182,377,174,183,357,158,181,340,181,160,342,183,187,371,893,896,1785,119,146,269,138,123,265,124,142,259,98,109,208,112,113,225,596,629,1223,397,464,860,247,307,550,84,144,223,16,29,47,0,4,3,19039,19561,38595
5007,357,185,177,360,208,184,398,234,149,384,186,153,340,997,843,1838,219,157,377,191,150,340,149,129,279,147,135,284,154,114,272,868,692,1563,148,113,265,111,95,207,109,93,203,104,84,191,98,76,175,576,463,1038,83,63,142,89,58,143,93,69,156,81,73,156,63,68,136,408,325,734,51,35,82,53,32,84,47,41,90,32,27,66,38,41,86,228,175,402,125,143,268,43,93,139,10,29,46,3,10,17,0,0,0,15265,13805,29072
5008,156,90,62,157,114,62,175,71,70,139,87,56,140,451,314,767,79,54,132,74,57,129,58,49,106,68,34,109,51,34,85,334,227,561,48,25,70,30,33,58,34,20,59,30,14,43,21,14,33,154,106,262,12,20,31,12,7,25,14,14,21,11,12,20,16,12,30,63,62,126,9,5,16,3,5,5,6,8,7,3,5,7,0,4,6,26,22,47,11,14,27,4,7,6,0,3,3,0,0,0,0,0,0,8976,8036,17013
5009,24762,12062,12646,24705,12373,12805,25178,12380,12730,25110,11969,12481,24451,60936,63270,124208,11748,12271,24020,11292,12110,23398,10831,11756,22587,10567,11337,21904,10183,11118,21302,54619,58597,113213,10352,11123,21473,9661,10923,20581,9276,10552,19828,9203,10219,19419,8987,9870,18863,47477,52688,100165,8827,9478,18307,8535,9282,17813,8157,9146,17302,8208,8744,16950,8527,9172,17698,42241,45824,88067,6606,7048,13652,6183,6678,12862,5927,6461,12386,5062,5708,10771,5076,5604,10679,28851,31501,60350,18838,23138,41980,10243,14604,24844,4360,7681,12040,1023,2321,3339,84,350,432,1034714,1063528,2098239
5010,175,102,69,179,112,77,196,134,74,203,89,94,179,540,389,928,106,69,173,88,59,143,60,38,98,63,34,100,78,41,118,392,241,636,38,37,79,53,36,90,24,34,57,15,20,39,24,18,44,157,144,302,17,12,34,21,17,39,24,13,38,14,7,24,8,12,20,83,75,150,7,7,18,9,3,12,4,7,8,3,4,6,3,4,8,32,20,56,29,21,50,9,9,20,5,3,6,0,0,0,0,0,0,8028,7271,15298
