SUA_CODE_2021,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
5000,1490,3783,8202,8178,7419,6393,5263,1945,355,43017,620,842,2017,2233,2551,2160,1255,485,79,12234,862,1213,3737,4423,6058,8025,6034,2114,365,32836,237,166,443,621,859,1338,1566,870,244,6343,105,83,241,266,417,612,1157,1169,468,4521,17,21,78,104,166,140,107,102,47,781,887,1213,3599,3700,3808,3257,2151,1139,342,20100,4214,7316,18318,19535,21274,21924,17530,7831,1899,119835,1535,3672,9677,9991,8567,7540,4760,1811,442,47990,377,542,1596,1876,2391,2866,1413,479,83,11630,539,724,2142,2749,4432,6054,5455,1994,578,24665,198,121,286,374,520,823,1029,743,262,4359,77,53,148,151,258,393,720,881,480,3143,12,22,51,57,74,71,93,95,50,527,765,888,2137,2203,2216,2113,1664,1116,518,13613,3501,6026,16023,17400,18454,19857,15140,7110,2419,105940,3024,7452,17870,18162,15987,13934,10023,3756,790,91008,1000,1386,3616,4106,4935,5030,2666,961,161,23865,1411,1935,5878,7181,10490,14076,11486,4099,947,57503,438,285,727,1000,1377,2165,2599,1611,507,10705
5001,223,441,952,920,922,833,790,363,107,5550,112,127,252,239,260,212,172,63,27,1466,163,196,530,473,623,877,771,352,111,4104,30,15,45,50,82,113,162,152,59,707,4,8,31,27,34,63,114,183,108,562,0,5,14,15,16,12,9,4,12,73,44,47,135,121,129,141,147,116,59,944,569,842,1961,1853,2070,2246,2155,1229,482,13401,217,501,1201,1283,1295,1145,845,410,153,7044,59,95,197,208,298,326,290,110,24,1604,86,120,300,339,573,793,829,460,139,3642,19,14,20,31,45,92,151,160,76,611,5,3,7,16,14,42,88,159,116,461,0,0,5,6,17,12,10,10,10,69,40,38,83,94,105,136,144,165,127,942,420,769,1816,1985,2357,2540,2360,1475,654,14373,444,940,2148,2207,2218,1979,1637,773,262,12602,167,225,453,449,558,536,460,179,52,3069,250,318,828,814,1203,1674,1599,814,249,7749,44,33,67,81,126,203,312,314,136,1318
5002,59,204,633,594,416,241,154,30,5,2339,21,36,91,111,143,93,39,8,0,537,39,44,139,191,253,253,118,32,9,1076,18,5,20,31,27,41,35,9,0,187,0,0,10,6,14,14,39,18,7,112,0,0,3,8,3,6,4,3,0,33,58,74,191,149,187,135,56,16,9,880,198,367,1078,1100,1048,783,438,118,33,5169,103,247,952,848,530,333,138,32,4,3193,16,22,90,106,129,113,24,8,0,522,25,33,111,143,161,186,106,22,8,799,10,8,18,23,25,32,17,9,3,148,3,3,3,13,13,7,22,21,3,85,0,0,0,6,9,8,0,0,0,27,58,61,243,174,159,117,61,21,10,902,220,374,1424,1310,1024,794,380,123,31,5671,162,454,1582,1448,950,573,292,64,5,5533,41,55,186,219,270,206,62,14,0,1061,64,77,249,330,414,439,225,57,14,1875,21,17,37,52,51,73,59,15,9,332
5003,490,1183,2274,2405,2068,1565,1222,493,137,11831,185,272,640,725,670,482,278,102,20,3377,242,347,1133,1279,1515,1878,1476,637,112,8630,57,43,142,137,168,281,321,245,73,1467,14,11,30,32,43,89,218,269,129,841,3,0,18,14,21,27,15,14,12,117,96,128,365,357,364,331,267,151,105,2163,1088,1976,4599,4950,4853,4661,3791,1919,588,28425,559,1370,3045,3196,2675,1924,1184,520,160,14636,122,149,563,643,678,716,448,140,43,3505,179,239,772,921,1420,1779,1659,797,244,8009,38,37,89,102,99,180,323,258,123,1244,6,13,26,37,47,81,182,285,183,857,3,0,8,10,7,21,15,15,17,90,76,93,283,212,225,245,256,217,175,1793,978,1907,4796,5117,5149,4940,4061,2242,952,30144,1053,2553,5324,5599,4746,3489,2403,1017,297,26473,302,426,1207,1371,1347,1203,727,243,65,6880,423,584,1909,2198,2936,3652,3139,1436,362,16640,90,79,230,238,265,461,640,507,193,2714
5004,258,497,1045,1378,1298,1052,1122,488,104,7244,81,86,232,293,340,278,222,103,21,1645,85,98,317,446,688,866,903,435,68,3898,22,3,41,50,71,92,164,140,44,632,9,9,17,14,22,35,100,138,101,431,0,0,17,8,6,13,4,9,7,69,45,37,180,213,215,177,157,128,63,1210,503,737,1851,2396,2637,2512,2666,1444,404,15142,261,484,1403,1964,1674,1308,1013,435,124,8662,30,45,159,236,377,410,311,114,29,1714,49,70,223,367,622,846,1086,537,150,3959,19,4,23,25,40,80,152,127,80,556,6,0,7,12,15,34,77,139,143,425,0,3,10,4,12,7,4,0,5,45,59,43,139,134,117,142,181,164,108,1080,418,651,1957,2746,2849,2833,2833,1506,645,16451,521,983,2447,3346,2970,2364,2134,925,231,15913,116,137,391,526,717,689,527,217,51,3366,128,175,536,815,1310,1713,1991,976,222,7862,39,15,64,76,106,175,314,266,127,1193
5005,75,171,329,316,289,240,157,81,28,1682,39,49,95,73,96,103,54,35,5,554,37,30,119,181,261,326,254,108,14,1327,12,4,21,23,31,53,65,49,11,262,5,0,4,3,16,21,47,59,31,178,0,0,0,0,0,0,0,0,6,10,42,41,76,74,114,80,80,78,17,603,212,297,636,668,803,822,652,414,103,4614,72,188,482,415,386,285,191,110,23,2154,10,27,62,89,133,163,92,22,13,616,23,29,71,121,161,227,239,127,37,1028,8,6,6,12,17,35,49,65,30,225,0,0,5,7,9,19,30,56,32,156,0,0,0,0,0,7,5,0,0,14,31,24,63,88,73,64,77,71,20,516,148,277,692,728,779,800,670,447,168,4707,146,363,814,731,674,525,344,188,55,3833,55,77,161,157,231,264,143,61,15,1169,59,54,191,301,419,552,485,235,54,2355,18,10,23,33,49,85,111,113,45,485
5006,216,560,1064,1082,963,727,507,201,50,5370,125,155,329,319,363,284,154,46,9,1791,150,163,545,543,781,1023,704,258,76,4240,48,25,53,62,101,129,183,143,45,785,9,7,14,23,38,89,159,194,95,627,0,5,6,10,13,15,14,17,16,92,122,90,261,272,282,243,141,124,61,1595,674,1006,2270,2303,2540,2511,1860,992,349,14499,233,655,1469,1459,1359,844,515,204,67,6804,79,99,281,273,386,453,271,83,15,1942,115,137,325,410,659,825,739,330,116,3649,24,28,42,57,70,101,149,153,64,686,7,10,10,10,22,58,112,169,104,498,0,8,10,9,12,18,22,21,15,104,96,103,215,237,209,188,171,144,92,1445,550,1027,2340,2453,2710,2479,1980,1088,477,15114,447,1215,2533,2537,2318,1566,1024,408,122,12168,209,252,613,592,747,743,422,122,30,3731,261,298,864,954,1439,1849,1442,587,191,7885,68,54,95,119,175,234,336,294,103,1472
5007,151,563,1265,1102,760,520,225,59,10,4650,83,135,312,288,273,209,85,14,0,1396,140,182,512,511,657,725,355,101,17,3201,26,31,48,59,96,113,97,52,6,524,7,15,14,28,35,61,67,48,19,286,3,0,8,17,10,11,5,3,0,72,70,127,277,247,230,224,144,72,15,1412,469,1047,2434,2255,2059,1863,978,352,60,11534,171,578,1463,1233,851,563,196,61,20,5134,54,75,239,205,238,230,57,12,0,1117,81,146,321,370,479,468,291,103,15,2270,26,13,40,41,55,62,69,41,9,354,6,5,11,24,30,39,62,56,29,260,4,4,5,8,8,8,3,4,6,46,72,89,233,196,171,155,109,53,55,1130,411,912,2308,2078,1827,1527,787,322,138,10308,320,1141,2737,2331,1603,1086,415,122,25,9785,135,213,546,489,513,439,143,23,3,2505,217,330,833,878,1140,1195,647,204,37,5474,54,40,87,107,151,173,165,86,13,878
5008,82,277,806,914,545,239,62,11,0,2943,40,46,174,197,154,100,14,3,0,737,34,54,254,321,301,254,71,5,0,1293,11,16,41,35,36,37,9,5,0,179,0,0,10,9,19,15,23,3,0,73,0,0,3,9,0,6,0,0,0,22,72,96,265,303,208,134,43,6,0,1137,247,485,1556,1784,1266,787,222,41,5,6376,86,260,1088,1003,543,216,48,8,3,3238,22,40,127,141,144,58,11,3,0,535,24,37,154,177,219,151,43,8,0,810,7,0,20,12,18,25,15,5,0,108,0,0,0,7,14,7,8,3,3,55,0,4,3,0,3,0,0,0,0,12,54,72,245,225,154,84,31,6,0,868,184,408,1633,1565,1092,544,162,37,8,5631,163,540,1894,1915,1085,455,106,20,5,6183,63,83,306,335,304,159,27,12,0,1279,55,86,407,500,515,407,118,18,0,2099,16,16,64,53,51,59,25,4,0,287
5009,18032,51726,103837,103847,79871,57825,43016,19076,4805,482034,2795,4599,12704,13087,13333,11213,6137,2725,592,67186,3524,5323,17140,18870,26699,32198,25327,11694,3052,143822,1001,728,2069,2620,3197,4295,5183,4086,1564,24758,260,275,878,1287,1561,2343,4153,5201,2739,18698,51,148,709,878,1006,935,800,625,360,5509,2247,3682,10317,9668,8340,6663,5036,4239,2589,52787,27904,66484,147649,150268,134005,115467,89656,47650,15701,794783,18900,53617,120312,118375,89308,63948,41013,17667,5665,528805,1795,3345,9819,10283,13400,14446,8273,3421,970,65757,2603,4033,12982,14567,23777,30794,32015,16021,5763,142550,741,523,1412,1958,2491,3796,5635,4864,2588,24009,210,187,785,1344,1830,2633,4981,6140,4367,22475,44,88,625,998,1108,1246,1097,938,795,6934,2094,3011,7819,6440,5379,4920,5417,5530,4780,45391,26390,64806,153746,153969,137294,121777,98431,54587,24925,835925,36927,105343,224149,222223,169180,121772,84029,36742,10466,1010837,4589,7947,22518,23379,26732,25654,14413,6147,1559,132945,6130,9354,30118,33435,50475,62989,57344,27716,8819,286369,1743,1255,3477,4580,5689,8090,10818,8954,4157,48768
