SUA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
5000,839,1266,2106,15730,17071,32803,0,0,0,1995,2111,4103,225,224,444,20012,20507,40520,510,570,1086,334,271,603,545,708,1256,201,199,402,477,561,1037,26,19,47,1044,1135,2177,690,795,1486,1619,1540,3157,164,207,370,598,689,1288,2896,3390,6281,4079,4357,8437,112,127,232,51258,54480,105734,354,253,607,785,586,1372,76,60,142,450,421,872,100,64,163,358,552,912,911,1039,1944,66931,57285,124219,355,236,595,199,285,480,67483,57809,125293,27679,18217,45896,149382,133713,283092
5001,95,173,268,1782,2375,4159,0,0,0,555,558,1109,51,53,100,1708,2033,3736,83,94,177,34,30,67,67,115,185,26,33,58,41,63,105,0,0,4,87,127,216,124,151,272,385,450,834,26,48,75,72,80,149,389,554,940,765,903,1665,12,17,26,6205,7675,13883,63,52,111,49,44,92,11,10,23,6,0,6,15,15,27,60,111,167,78,122,200,8897,8601,17497,61,37,98,24,58,84,8985,8701,17684,1600,1201,2799,17081,17975,35053
5002,49,132,178,381,434,814,0,0,0,57,61,119,0,0,0,1418,1720,3140,0,4,4,10,11,27,24,28,53,6,6,7,3,19,22,4,0,4,20,36,57,40,44,80,48,59,104,0,11,11,19,19,30,69,96,165,86,118,210,0,4,3,2183,2664,4848,33,24,58,47,38,83,4,3,3,8,15,29,5,10,12,19,18,36,35,46,79,3462,3434,6895,18,13,31,7,17,25,3482,3471,6957,1272,1180,2458,7108,7553,14660
5003,208,391,599,4076,5306,9384,0,0,0,768,799,1565,0,0,0,6066,7093,13158,71,119,192,111,140,255,209,317,528,157,190,348,88,104,188,17,14,26,143,174,314,261,307,573,417,476,891,56,88,142,100,113,212,571,826,1396,1180,1354,2530,58,61,120,14345,17494,31841,229,208,438,309,312,619,14,23,34,3,4,8,80,67,148,110,166,276,195,236,433,18693,17658,36351,112,82,192,58,80,137,18863,17815,36675,3428,2389,5817,37589,38869,76452
5004,135,246,379,2633,3324,5962,0,0,0,236,279,520,0,0,0,2671,3240,5906,102,111,208,37,47,84,124,174,300,24,25,49,41,53,102,0,0,0,64,79,142,95,111,206,211,242,451,10,30,42,66,64,129,428,631,1062,516,597,1107,17,16,30,7275,9032,16307,70,61,126,106,87,191,10,8,20,0,4,8,40,29,74,35,56,87,76,89,164,10268,9776,20043,62,35,92,23,55,77,10347,9869,20212,1671,1466,3140,19696,20852,40544
5005,28,58,87,610,686,1291,0,0,0,87,102,193,0,0,4,622,740,1365,15,28,44,3,6,12,53,73,119,4,7,5,51,71,122,0,6,4,34,43,79,40,32,74,66,82,148,3,9,11,26,29,57,143,200,341,271,291,560,9,4,17,2048,2409,4456,6,4,15,9,7,18,0,0,0,3,3,9,0,0,5,8,10,18,11,17,33,3079,2821,5905,14,6,24,6,10,17,3099,2840,5942,783,679,1459,5987,6019,12003
5006,113,234,343,2094,2514,4606,0,0,0,180,180,359,0,0,0,3936,4647,8586,27,27,59,39,24,64,103,148,247,22,22,40,50,88,143,0,0,3,72,95,168,251,313,561,154,154,302,30,45,73,95,92,182,315,444,759,456,562,1021,8,13,25,7831,9376,17212,92,73,169,268,294,565,3,10,12,0,3,10,20,9,31,45,71,117,67,85,151,8374,7523,15896,36,30,67,18,39,52,8429,7588,16014,2231,1887,4122,19039,19561,38595
5007,118,199,317,1012,1016,2028,0,0,0,244,266,518,5,6,14,2646,2635,5275,64,95,164,31,40,70,60,67,121,111,134,238,61,51,116,10,3,12,119,118,233,122,136,254,168,168,337,17,22,43,66,76,139,189,235,421,559,676,1233,23,36,58,5506,5777,11282,197,173,375,162,111,276,3,0,6,0,5,4,44,43,92,31,42,75,76,89,169,7039,5845,12886,34,29,59,16,27,42,7086,5896,12983,2111,1557,3667,15265,13805,29072
5008,115,179,301,506,497,1003,0,0,0,129,140,267,0,0,0,1403,1374,2780,13,11,24,38,40,79,27,26,53,26,23,54,24,14,40,0,0,0,39,36,75,38,32,69,53,49,101,3,10,15,19,25,44,74,101,173,172,207,375,14,11,27,2572,2603,5169,160,134,294,123,93,216,5,5,16,9,7,17,22,23,42,11,20,32,42,49,93,4360,3717,8085,26,15,38,4,10,13,4394,3744,8137,1566,1227,2798,8976,8036,17013
5009,22372,30469,52834,92107,114547,206659,20,14,34,15743,17905,33646,646,620,1267,192074,217686,409767,2316,2934,5255,11366,12327,23688,3553,4630,8181,2169,2498,4672,1935,2468,4406,1621,1598,3221,5864,6832,12697,10839,12865,23708,13254,14869,28120,903,1336,2239,2113,2605,4723,12808,18002,30805,33204,39131,72330,1146,1335,2478,403690,474212,877907,25564,24085,49648,32376,30479,62857,2602,2803,5410,66,58,126,9473,8494,17968,3739,5153,8892,13282,13703,26985,454257,421386,875644,3550,2604,6153,1430,2360,3791,459240,426351,885592,75587,61418,137003,1034714,1063528,2098239
5010,77,138,213,423,448,870,0,0,0,94,102,192,0,0,0,1319,1291,2611,19,22,41,28,29,57,41,57,100,33,38,70,20,15,35,3,0,5,36,26,67,73,108,183,52,44,99,0,3,8,30,47,74,88,85,179,221,229,449,6,7,12,2479,2564,5043,114,97,205,259,225,483,3,0,10,10,11,16,13,15,24,29,21,43,49,39,86,3596,3086,6683,23,9,32,10,6,15,3631,3100,6726,1424,1111,2535,8028,7271,15298
