SUA_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
5000,1330,1187,2521,5940,5609,11547,733,673,1398,8008,7463,15469,1399,1329,2725,6779,6202,12981,923,860,1782,9101,8387,17490,1318,1370,2692,6665,6214,12884,920,863,1784,8904,8451,17353,1334,1265,2596,5559,4983,10535,787,685,1475,7675,6931,14606,1205,1076,2278,5135,4211,9345,985,754,1740,7326,6036,13364,1140,978,2115,6162,5626,11789,1417,849,2262,8715,7449,16167,1137,972,2109,6993,6631,13625,1487,970,2460,9616,8577,18193,1037,930,1963,7387,7076,14460,1533,949,2481,9952,8957,18911,964,878,1843,7231,6704,13938,1398,875,2274,9590,8460,18052,922,778,1695,7809,7109,14914,1506,920,2424,10237,8808,19037,776,833,1609,8685,7882,16564,1595,946,2539,11061,9656,20710,658,679,1341,8988,8410,17394,1415,958,2375,11063,10042,21107,571,536,1108,9031,8455,17484,1264,830,2092,10865,9822,20686,814,952,1772,23899,21579,45484,2544,2140,4690,27265,24678,51942,14614,13757,28368,116267,106680,222949,18499,13278,31774,149382,133713,283092
5001,70,68,139,794,749,1548,36,20,60,899,844,1741,77,55,134,907,894,1795,46,47,91,1027,992,2023,56,83,143,1081,1017,2095,43,52,96,1180,1145,2334,81,62,140,1015,934,1951,41,35,81,1133,1035,2170,73,43,113,737,700,1436,35,28,65,842,766,1611,89,37,129,818,810,1626,46,34,77,953,878,1831,67,32,95,893,867,1759,50,43,93,1006,934,1945,59,34,93,831,918,1748,51,36,91,940,988,1930,42,20,69,813,926,1734,55,45,101,917,992,1907,39,39,80,920,1050,1968,52,51,102,1005,1141,2147,35,45,78,970,1132,2097,56,48,106,1064,1216,2281,35,38,74,1011,1128,2142,64,56,124,1109,1227,2337,29,18,47,1046,1245,2294,60,51,113,1137,1321,2456,30,58,88,3640,4212,7853,197,220,415,3870,4486,8353,782,638,1425,15475,16568,32041,827,764,1591,17081,17975,35053
5002,187,158,346,291,288,578,73,61,126,552,508,1060,215,172,395,328,346,675,84,76,155,624,593,1219,204,208,411,306,277,586,71,76,153,586,565,1149,127,156,282,199,224,422,45,57,103,375,435,804,122,118,243,191,216,408,55,45,100,367,374,748,103,141,241,279,423,708,59,87,151,448,646,1099,138,134,271,406,532,938,91,113,204,636,775,1408,112,114,230,410,516,930,75,79,155,593,716,1308,107,124,231,343,406,747,57,68,120,507,595,1100,73,72,146,359,374,732,85,76,158,513,523,1041,81,88,174,382,341,724,69,69,142,532,499,1033,65,78,140,307,293,599,66,60,122,437,430,865,60,82,144,243,240,490,43,37,84,348,362,713,82,110,191,441,352,792,63,74,136,590,528,1123,1675,1760,3436,4497,4827,9325,937,962,1894,7108,7553,14660
5003,154,141,297,2135,1974,4112,75,84,165,2369,2203,4567,168,136,311,2447,2264,4708,106,76,180,2719,2479,5196,162,161,326,2527,2357,4885,107,111,212,2793,2628,5425,134,168,302,2149,2145,4292,83,71,156,2365,2382,4749,113,126,238,1755,1693,3448,113,92,202,1976,1907,3887,115,107,224,1915,2014,3931,158,129,289,2193,2243,4438,95,73,172,2172,2364,4532,140,113,256,2407,2550,4959,72,83,156,2258,2448,4704,154,89,247,2487,2623,5113,63,66,126,2248,2331,4580,161,94,258,2461,2492,4956,59,84,147,2215,2361,4583,155,86,248,2437,2532,4972,52,70,121,2214,2449,4656,154,103,253,2417,2614,5032,45,50,99,2138,2278,4416,151,101,251,2333,2428,4765,34,39,78,2160,2376,4535,127,102,226,2328,2512,4839,55,79,132,5907,6765,12667,343,416,766,6301,7256,13568,1332,1391,2720,34228,35806,70038,2032,1668,3702,37589,38869,76452
5004,67,31,99,884,950,1841,50,39,88,1005,1030,2030,51,52,99,1253,1146,2399,48,76,125,1355,1274,2622,58,55,116,1392,1313,2706,61,63,127,1508,1437,2944,41,39,86,1093,977,2078,46,53,104,1183,1078,2264,37,26,62,672,592,1262,37,29,65,737,651,1390,24,18,49,713,785,1496,74,65,143,816,867,1684,19,19,48,926,1015,1939,87,56,142,1032,1096,2127,13,17,28,1035,1289,2323,92,70,158,1133,1377,2509,31,19,45,1142,1289,2432,97,58,156,1263,1371,2634,19,24,47,1229,1372,2600,99,48,146,1350,1450,2796,13,22,34,1183,1326,2506,95,55,150,1293,1403,2695,13,13,25,1152,1269,2421,79,68,144,1241,1345,2587,17,10,21,1181,1417,2596,73,61,133,1267,1484,2751,17,29,43,4264,4708,8966,236,257,493,4511,4989,9507,418,383,797,18108,19456,37565,1170,1011,2181,19696,20852,40544
5005,47,27,74,270,277,546,31,29,59,349,331,677,33,23,53,339,311,655,53,43,99,422,381,806,30,29,63,321,327,654,52,55,104,410,413,817,46,34,79,315,270,586,46,34,74,406,333,737,16,25,41,243,230,473,37,23,61,297,277,578,18,19,35,261,275,539,30,27,62,304,327,631,9,13,27,290,314,602,36,33,69,331,367,696,12,13,27,294,319,617,38,43,81,341,383,720,8,16,17,290,300,593,35,32,70,328,344,677,13,16,30,314,336,656,41,37,82,372,394,767,10,16,22,368,339,707,54,28,87,435,383,818,18,12,28,363,380,737,38,23,64,417,418,835,8,8,19,366,338,703,29,39,70,405,389,791,23,17,39,1024,1147,2167,126,124,246,1171,1279,2450,286,273,558,5062,5171,10227,638,579,1212,5987,6019,12003
5006,186,183,371,877,860,1741,89,107,199,1155,1150,2306,216,200,422,1012,962,1974,136,122,262,1366,1287,2654,224,216,445,1071,1032,2105,107,119,227,1408,1369,2776,189,181,365,970,930,1895,109,79,186,1269,1188,2454,138,154,290,785,790,1575,83,88,172,1006,1027,2033,137,126,260,901,904,1804,111,98,212,1149,1126,2278,105,115,223,901,997,1898,119,99,213,1123,1210,2337,103,106,208,956,1004,1952,128,121,249,1185,1228,2411,96,104,201,906,1019,1927,129,103,229,1125,1227,2355,95,100,194,1008,1132,2140,132,91,221,1231,1324,2561,86,97,180,1096,1192,2289,124,98,222,1303,1387,2695,71,96,161,1087,1095,2174,127,75,199,1279,1261,2537,59,86,152,1073,1056,2135,99,77,176,1234,1220,2460,109,152,256,2865,3127,5999,221,268,486,3195,3545,6745,1821,1906,3736,15508,16102,31608,1703,1549,3250,19039,19561,38595
5007,135,113,247,933,897,1826,87,62,148,1154,1073,2227,109,105,210,940,877,1823,89,97,179,1139,1078,2216,144,123,263,801,777,1572,110,79,194,1062,971,2033,88,95,184,705,615,1323,52,60,112,849,772,1616,118,72,186,828,760,1587,103,87,186,1048,912,1961,105,79,182,1025,942,1964,135,115,246,1261,1128,2393,101,56,165,973,1028,1997,97,96,192,1170,1181,2347,57,72,130,1037,985,2019,96,101,198,1196,1156,2349,72,54,134,879,805,1683,107,69,185,1063,932,1996,66,59,127,870,801,1674,99,54,155,1036,915,1954,61,58,111,862,779,1641,103,82,181,1020,911,1932,44,44,91,854,730,1580,100,69,164,997,843,1838,40,45,78,726,590,1317,99,53,157,868,692,1563,47,69,115,1190,1063,2245,165,114,284,1399,1248,2650,1196,1031,2231,12626,11632,24258,1446,1133,2581,15265,13805,29072
5008,89,89,177,618,535,1154,103,67,179,815,697,1508,105,87,199,593,605,1200,122,137,256,819,828,1650,81,87,176,521,481,1004,91,73,170,699,646,1343,77,70,143,367,300,657,68,46,120,506,417,924,63,53,119,326,282,609,98,71,170,485,408,890,56,78,138,520,517,1033,119,102,224,696,706,1393,60,55,119,663,741,1404,137,131,270,866,931,1796,55,51,107,754,739,1493,153,118,265,957,910,1868,42,44,90,634,516,1151,144,98,243,824,661,1485,43,50,87,572,486,1059,108,73,184,729,609,1337,21,34,52,425,379,809,87,65,154,534,479,1015,23,20,40,358,246,605,73,44,121,451,314,767,17,20,33,272,174,443,50,34,86,334,227,561,12,24,34,206,159,365,44,25,69,263,209,474,755,773,1530,6820,6167,12984,1405,1096,2500,8976,8036,17013
5009,2420,2256,4678,61727,58344,120074,2099,1934,4035,66247,62540,128789,2470,2231,4699,64565,61544,126112,2349,2302,4652,69386,66078,135463,2383,2331,4712,64351,60608,124961,2320,2143,4468,69054,65083,134135,2098,1993,4089,58342,55694,114043,2058,1945,4004,62498,59635,122135,1899,1810,3709,61531,60528,122061,3186,2584,5771,66618,64924,131537,1710,1765,3474,64989,66750,131736,4172,3391,7565,70868,71906,142774,1488,1528,3011,70724,77124,147851,4693,3293,7984,76904,81938,158850,1206,1235,2441,74190,77854,152049,4505,3170,7674,79902,82259,162159,965,1006,1973,65514,68462,133980,3988,2334,6326,70467,71810,142274,939,995,1934,62969,66032,129003,3695,2380,6073,67603,69404,137014,811,988,1798,62073,64797,126877,3611,2191,5806,66496,67980,134477,730,831,1562,57062,60385,117450,3141,2049,5199,60936,63270,124208,532,626,1158,51583,56154,107737,2499,1812,4314,54619,58597,113213,832,1072,1899,145958,169933,315884,6337,7106,13441,153117,178107,331228,20472,20661,41139,965588,1004229,1969814,48654,38635,87292,1034714,1063528,2098239
