SUA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
5000,3,18,17,69,3,17,8,0,0,120,0,3,11,48,70,36,15,0,0,192,19,295,306,1215,482,247,75,24,0,2666,0,0,0,47,28,23,52,24,21,188,0,0,0,22,9,5,7,0,0,42,0,14,33,244,223,410,356,181,47,1505,5,12,22,68,71,57,40,9,0,284,22,127,201,718,530,371,204,86,17,2273,4,7,12,102,21,16,15,13,5,187,6,4,4,269,0,4,0,0,0,286,10,75,74,232,150,67,20,5,0,628,0,0,0,12,4,4,0,3,0,22,9,38,40,222,137,171,150,53,12,823,4,18,21,239,121,74,23,0,3,506,0,5,9,75,68,113,93,43,12,420,4,9,44,219,170,162,111,26,0,749,29,93,245,1750,571,704,559,290,76,4310,1372,3533,3425,10262,5534,5116,3570,1822,583,35218,15469,34842,27970,71325,39751,41796,32681,14942,4317,283092
5001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,64,89,229,127,42,28,6,0,592,0,0,0,5,9,0,4,10,4,39,0,0,0,0,0,3,0,0,0,5,0,5,5,24,21,65,46,53,21,244,0,0,0,3,9,4,0,6,0,32,0,33,49,105,98,61,35,17,7,411,3,0,4,5,5,0,5,0,0,30,0,0,0,9,0,0,0,0,0,17,0,39,42,38,14,8,5,0,0,142,0,0,0,6,0,0,0,0,0,6,0,4,8,18,17,24,27,11,4,121,0,3,3,20,5,3,0,0,0,40,0,0,0,10,11,20,16,11,3,71,0,0,10,28,18,20,18,3,0,95,3,17,31,132,54,82,85,54,19,481,45,171,148,393,221,271,252,162,100,1768,1741,4351,3781,7612,4425,4793,4515,2701,1133,35053
5002,0,0,0,0,3,0,0,0,0,7,0,0,0,3,0,0,0,0,0,6,0,18,41,92,40,28,8,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,11,3,0,0,52,0,0,0,6,3,4,4,0,0,23,0,6,5,39,19,18,11,0,0,96,0,6,0,10,9,0,0,0,0,24,0,0,0,16,0,0,0,0,0,23,0,3,4,33,14,5,0,0,0,69,0,0,0,4,5,0,0,0,0,6,0,0,3,23,8,7,4,0,3,49,0,4,0,15,0,0,0,0,0,25,0,0,0,3,0,0,0,0,0,10,0,0,3,17,8,4,4,0,0,34,3,9,17,179,33,20,14,5,0,279,126,311,221,681,314,232,110,36,17,2050,1060,2368,1552,4914,2075,1573,819,237,63,14660
5003,3,20,9,56,0,5,3,0,0,92,0,6,5,16,13,10,3,0,0,44,12,97,146,419,196,69,42,3,0,988,0,0,0,25,7,18,19,9,10,91,0,0,0,7,4,0,0,0,0,11,0,9,18,57,70,125,109,60,19,466,0,7,9,36,22,22,19,7,0,118,3,101,208,414,345,214,114,48,18,1468,0,4,3,32,8,8,6,0,0,67,0,0,5,135,0,0,4,0,0,148,0,23,15,67,40,20,8,0,3,173,0,0,0,0,0,6,0,0,0,7,0,14,10,37,29,32,41,12,0,187,0,7,7,52,25,14,13,0,0,117,0,0,4,21,20,29,25,20,8,127,0,21,50,132,99,90,55,7,6,466,11,73,57,339,185,175,121,74,24,1048,162,386,360,1084,540,518,415,273,191,3920,4567,10620,8636,19465,10003,9605,7859,4162,1539,76452
5004,0,3,5,4,5,0,0,0,0,26,0,0,0,3,4,9,0,0,0,11,0,11,24,74,18,19,7,0,0,166,0,0,0,7,9,5,6,3,0,30,0,0,0,0,0,0,0,0,0,0,0,3,11,35,29,63,81,44,8,278,0,0,0,14,11,9,5,3,0,47,0,24,35,132,112,69,62,21,17,477,0,9,4,15,10,0,0,4,0,46,0,0,0,44,0,0,0,0,0,44,0,11,10,35,19,11,4,0,0,90,0,0,0,3,0,0,0,0,0,6,4,10,14,40,18,23,30,8,0,158,0,7,8,26,13,3,3,0,0,64,0,0,0,15,15,20,23,14,3,88,0,0,0,27,27,23,14,0,0,100,5,31,17,152,92,97,85,60,28,570,83,243,166,648,331,315,308,240,86,2417,2030,5567,3654,8953,5485,5341,5494,2956,1045,40544
5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,5,34,11,16,4,0,0,81,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,17,12,19,0,63,0,0,0,3,5,5,0,0,0,15,0,5,20,45,26,28,10,6,0,145,0,4,0,14,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,5,0,3,6,13,4,9,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,5,9,7,3,7,0,0,20,0,0,0,13,0,0,0,0,0,15,0,0,0,3,0,3,0,0,0,12,0,0,6,14,7,4,4,0,0,34,0,5,7,25,15,16,12,9,6,102,55,198,136,306,198,174,140,122,22,1356,677,1624,1311,2726,1582,1627,1322,858,275,12003
5006,0,0,0,33,3,7,0,0,0,39,0,0,0,8,6,3,4,0,0,10,8,39,58,181,94,56,29,4,0,463,0,0,0,4,3,0,4,4,0,16,0,0,0,5,0,0,0,0,0,11,0,7,0,20,32,55,39,27,10,172,0,0,0,12,6,8,0,3,0,40,0,40,58,161,124,61,33,13,0,482,0,6,10,12,12,3,0,0,0,40,0,0,4,26,4,0,0,0,0,34,4,18,12,38,32,16,4,0,0,134,0,0,0,0,0,0,0,0,0,3,0,7,6,36,12,24,15,6,0,98,0,3,3,45,14,16,20,3,0,103,0,0,7,8,17,13,10,0,0,53,0,8,14,30,24,13,10,3,0,106,0,16,22,110,83,69,35,47,14,405,193,479,380,948,464,405,289,199,100,3458,2306,5436,4489,9375,5253,4994,3839,2078,828,38595
5007,0,6,10,37,4,3,3,0,0,62,6,25,38,53,37,10,0,0,0,168,7,80,105,315,129,79,27,8,3,748,0,0,0,6,0,0,4,0,0,9,0,0,3,6,5,4,0,0,0,23,0,0,5,30,11,30,20,18,3,114,0,0,5,9,8,6,0,0,0,23,7,57,81,191,111,53,15,7,0,529,0,0,5,22,8,0,3,0,0,38,0,0,0,18,0,0,0,0,0,18,0,23,16,63,38,23,6,0,0,171,0,0,0,5,0,0,0,0,0,10,0,4,7,23,5,6,5,0,0,52,0,4,3,27,4,0,4,0,0,49,0,0,0,10,5,7,0,0,0,26,0,24,31,132,60,46,12,0,3,316,17,57,43,255,96,64,33,21,10,590,166,393,319,847,356,347,197,81,33,2744,2227,4245,3575,9088,3889,3399,1770,669,202,29072
5008,0,4,0,33,3,0,0,0,0,39,0,0,0,7,5,0,0,0,0,16,0,37,50,166,101,46,12,0,0,408,0,0,0,6,4,3,0,0,0,13,0,0,0,3,0,0,5,0,0,4,0,0,5,33,21,18,5,0,0,79,0,3,4,9,7,0,0,0,0,26,0,16,25,95,50,22,5,6,0,213,0,0,4,17,9,3,0,0,0,36,0,0,0,29,0,0,0,0,0,32,3,16,18,67,25,12,0,0,0,136,0,0,0,4,0,0,0,0,0,4,0,3,0,23,9,0,0,0,0,36,0,0,6,27,3,5,0,0,0,39,0,0,0,0,0,0,0,4,0,13,0,0,0,34,9,10,0,0,0,53,0,16,17,162,50,25,12,5,0,299,178,423,273,1026,349,211,62,14,4,2538,1508,2990,1816,6546,2357,1328,384,75,11,17013
5009,109,796,1074,4131,554,287,191,60,14,7212,0,64,205,379,488,225,79,15,3,1456,127,2903,5500,11860,5957,2765,1292,293,40,30737,6,80,107,1402,704,928,1289,373,314,5196,0,13,44,160,103,86,53,20,3,487,49,761,1522,4671,3905,4838,4030,2510,837,23120,74,907,1710,4721,2421,2444,2100,756,203,15346,164,2107,5255,12486,8391,5496,3039,1290,377,38595,43,493,914,3549,1413,898,785,398,111,8612,43,130,109,2499,268,162,143,30,6,3393,90,909,1368,3411,1440,693,350,59,20,8340,13,73,71,587,291,196,88,46,17,1381,209,945,1057,2861,1153,1172,918,367,92,8781,82,604,1209,5850,3680,3051,1867,515,233,17092,19,177,413,1356,1030,1136,936,589,200,5839,30,307,1290,3787,2265,1812,856,266,65,10677,479,4740,7504,31256,11688,9854,7266,4210,1462,78445,4072,9106,10082,31101,12515,10332,8024,6319,4301,95846,128789,269599,253674,606049,271487,237421,188232,102330,40664,2098239
5010,0,0,0,9,3,0,0,0,0,12,0,0,4,9,3,4,0,0,0,20,0,49,54,218,72,43,15,0,0,451,0,0,0,6,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,4,19,7,15,6,0,0,59,0,5,0,13,4,8,9,0,0,39,0,11,14,66,61,31,7,0,0,194,0,10,0,30,3,9,3,0,0,47,0,0,0,0,0,0,0,0,0,9,0,13,8,56,13,3,0,0,0,92,0,0,0,0,4,5,0,0,0,13,0,3,0,19,0,9,3,0,0,31,0,7,5,19,6,0,0,0,0,33,0,0,0,0,6,7,4,0,0,10,0,4,18,28,36,22,0,0,0,101,0,8,12,100,38,49,12,0,0,233,136,278,261,906,343,258,64,15,6,2272,1385,2392,1619,5791,1956,1568,455,103,25,15298
