SUA_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
5000,17,119,5758,5896,181,879,3705,4767,3043,3263,4593,10890,6490,2450,3405,12346,7819,2279,4284,14385,9153,2023,4909,16080,8460,1055,4254,13771,4228,283,1865,6379,823,22,609,1457,40217,12368,33376,85964,42,208,5188,5442,299,1310,2715,4318,4380,3732,3945,12052,7979,2673,3397,14049,8604,2452,3948,14996,9698,1880,4421,15998,7615,741,3928,12285,2952,174,2764,5890,357,23,1304,1678,41916,13187,31608,86709,66,331,10945,11335,473,2183,6420,9089,7417,6993,8533,22948,14468,5122,6796,26391,16421,4729,8229,29381,18845,3896,9332,32076,16077,1794,8179,26055,7180,458,4630,12268,1179,47,1911,3131,82132,25554,64985,172670
5001,0,20,1021,1042,28,154,526,709,497,410,661,1564,827,292,390,1509,1014,261,483,1760,1171,211,553,1936,1200,141,430,1774,762,33,240,1032,238,4,143,389,5736,1530,4446,11711,0,42,906,951,56,201,427,685,631,445,576,1647,983,317,527,1825,1190,270,697,2153,1217,230,776,2221,1154,77,745,1983,586,34,640,1263,117,4,339,455,5939,1612,5633,13185,0,59,1928,1993,84,351,953,1390,1129,854,1233,3213,1809,610,916,3337,2203,529,1180,3909,2388,440,1326,4157,2350,221,1176,3752,1351,66,890,2300,355,5,482,844,11683,3142,10080,24901
5002,0,0,293,292,7,50,202,260,168,312,309,786,425,242,218,882,354,188,227,767,263,111,206,586,176,38,135,351,32,8,41,87,6,0,9,14,1436,949,1648,4028,3,8,331,339,10,67,213,289,246,384,452,1078,489,268,324,1079,368,164,279,799,268,100,259,618,105,19,152,282,21,9,58,86,6,0,7,13,1508,1009,2061,4583,3,8,620,630,10,118,411,545,413,694,759,1872,916,512,536,1964,723,349,501,1571,526,211,461,1202,283,58,292,631,58,13,97,170,11,0,21,30,2942,1959,3706,8614
5003,4,33,2157,2193,46,360,1302,1714,1109,1115,1575,3798,2377,620,1142,4139,2490,474,1142,4109,2527,404,993,3921,2245,207,735,3186,1236,51,387,1669,274,7,174,460,12307,3269,9617,25191,0,54,2141,2200,94,531,1071,1691,1679,1225,1463,4370,2792,668,1347,4807,2792,539,1455,4789,2589,386,1402,4381,2067,141,1334,3544,911,36,998,1949,132,0,518,650,13050,3591,11739,28377,3,89,4297,4395,140,889,2371,3398,2787,2340,3040,8170,5165,1291,2490,8948,5281,1016,2600,8901,5114,792,2395,8302,4313,344,2072,6732,2146,92,1382,3617,405,9,693,1111,25353,6866,21351,53568
5004,3,6,1079,1087,3,106,536,648,439,435,623,1499,1169,385,414,1969,1376,302,512,2191,1379,228,460,2068,1575,162,445,2183,885,52,237,1173,194,9,106,304,7019,1673,4419,13112,0,19,950,969,17,151,392,557,643,545,532,1715,1539,405,555,2501,1528,349,745,2625,1496,229,695,2425,1491,126,748,2371,666,32,567,1266,106,0,335,446,7487,1867,5516,14869,4,25,2036,2060,22,255,927,1202,1076,979,1153,3210,2710,789,974,4465,2903,653,1253,4808,2874,465,1160,4489,3073,289,1199,4553,1548,76,801,2439,298,14,440,753,14507,3538,9940,27983
5005,0,4,325,335,3,49,176,231,150,160,214,521,287,126,141,554,358,98,185,644,391,84,199,666,336,36,144,512,203,6,112,322,45,0,41,81,1765,565,1537,3867,0,15,250,265,12,78,141,227,220,180,180,584,341,124,161,624,368,111,187,670,403,80,191,669,330,20,193,539,147,7,209,361,24,0,94,124,1845,612,1610,4074,0,21,579,598,17,130,312,464,376,338,389,1108,628,250,308,1180,722,206,376,1310,795,159,385,1341,661,52,339,1048,351,16,322,687,67,0,138,208,3614,1176,3144,7941
5006,0,17,1081,1096,16,177,635,825,499,544,744,1786,942,320,565,1828,1158,263,621,2046,1190,260,628,2080,1042,99,442,1579,556,26,243,821,147,16,100,258,5547,1724,5054,12322,0,44,1000,1046,49,270,534,859,750,576,717,2037,1157,352,639,2151,1335,322,721,2380,1206,230,743,2177,968,80,655,1704,424,27,476,925,62,0,232,302,5959,1906,5717,13583,0,59,2087,2142,69,452,1169,1688,1243,1121,1464,3830,2105,668,1201,3975,2500,591,1340,4428,2398,492,1372,4255,2008,182,1092,3283,974,54,712,1742,211,15,334,564,11507,3623,10773,25904
5007,0,19,735,765,15,197,603,821,494,629,792,1911,963,357,556,1871,898,259,553,1713,852,179,498,1531,433,49,309,786,146,10,117,271,22,0,23,41,3820,1708,4187,9713,0,41,639,674,30,309,415,752,718,683,591,1991,1074,348,403,1826,895,282,434,1607,762,125,409,1294,328,34,279,648,97,9,152,262,14,0,62,76,3922,1825,3385,9131,3,63,1374,1438,51,505,1025,1576,1207,1311,1384,3900,2036,708,955,3698,1794,541,985,3317,1611,308,906,2827,762,80,590,1437,246,20,269,533,30,0,80,120,7742,3539,7574,18850
5008,0,12,399,412,6,93,252,348,354,421,389,1162,824,280,271,1373,582,154,235,972,336,73,181,587,86,13,68,170,13,0,12,29,0,0,4,4,2193,1052,1815,5061,0,16,334,346,11,139,163,311,545,441,307,1298,833,259,196,1284,547,149,184,874,256,48,122,424,54,17,57,132,10,0,25,33,0,0,3,3,2247,1074,1394,4716,0,29,730,761,15,233,415,664,895,866,699,2463,1654,543,465,2659,1126,300,419,1848,593,124,306,1015,140,35,128,301,22,0,37,62,0,0,8,8,4446,2125,3203,9776
5009,23,407,57914,58346,992,6288,51883,59167,36279,31863,60853,128995,80900,19157,33261,133319,76428,12884,29951,119267,67787,8896,26658,103340,57208,4357,19708,81272,30820,1329,10505,42652,7486,229,4596,12302,357918,85419,295333,738667,32,751,54431,55214,2378,10025,45902,58312,54449,36370,50308,141126,91225,19199,34635,145062,80031,12953,36411,129393,67735,8010,37294,113030,52099,3328,34741,90167,22410,863,25296,48565,3552,106,13756,17417,373907,91601,332787,798293,55,1160,112348,113563,3375,16312,97790,117482,90724,68234,111164,270125,172122,38363,67897,278375,156455,25837,66366,248657,135519,16903,63949,216374,109309,7684,54449,171446,53227,2190,35795,91217,11032,333,18355,29725,731825,177017,628120,1536962
