SUA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
5000,886,703,749,560,197,18,3897,36,489,649,707,701,476,104,11,3171,854,4521,4824,4066,3272,2259,812,166,20773,439,2025,2845,3313,3637,2714,980,182,16123,3761,8562,8930,8607,8269,5100,1602,283,45103,1419,827,630,540,492,279,72,10,4259,218,365,562,734,846,690,259,56,3739,5402,9750,10119,9875,9607,6070,1938,342,53107,72,159,195,228,249,299,153,43,1389,4342,5998,6211,6484,5881,4547,2683,1002,37139,11194,23676,25717,25371,24103,16914,6852,1768,135594
5001,136,137,125,113,40,13,671,11,64,93,140,143,98,27,0,581,97,497,611,642,564,486,201,42,3154,87,305,426,517,586,464,230,56,2670,640,1211,1075,1099,1000,682,306,105,6117,303,112,81,69,64,34,14,3,676,34,43,50,111,138,125,49,18,567,980,1370,1207,1276,1209,842,361,124,7365,6,18,27,27,23,52,29,11,198,209,240,252,273,361,399,355,233,2315,1401,2606,2752,3008,2999,2455,1251,486,16959
5002,127,77,55,29,10,0,432,3,85,103,60,46,17,3,0,325,65,572,455,310,177,86,19,4,1683,43,201,288,212,164,73,15,3,1000,177,455,491,443,283,137,20,6,2010,81,48,39,16,17,5,0,0,211,14,31,36,43,40,17,3,0,181,270,535,572,504,337,165,27,6,2406,9,11,12,14,13,10,3,0,71,291,461,364,372,282,139,51,16,1973,690,1990,1920,1553,1073,512,122,30,7887
5003,330,299,230,162,41,11,1300,15,155,245,268,221,141,38,5,1092,229,1332,1596,1365,984,674,260,71,6520,162,736,1018,1019,1014,716,290,81,5019,1657,3064,3002,2686,2292,1437,536,117,14793,574,308,179,142,110,72,22,12,1416,84,107,191,247,276,191,78,15,1199,2316,3481,3373,3083,2679,1698,638,143,17410,14,41,64,62,62,83,51,18,393,476,703,694,689,704,648,514,313,4746,3231,6668,7334,6774,5890,4117,1828,638,36479
5004,159,184,133,136,67,3,785,3,78,171,187,135,105,31,8,721,81,628,1043,909,702,599,266,64,4297,71,353,582,675,669,591,283,60,3286,548,1157,1447,1372,1176,923,376,84,7091,220,90,76,79,62,57,16,7,602,41,55,88,137,146,150,61,15,689,810,1297,1611,1590,1390,1130,455,108,8388,8,27,31,38,46,51,39,8,248,257,366,400,398,410,423,362,193,2801,1230,2854,3997,3979,3480,3042,1503,443,20530
5005,24,32,15,16,0,0,121,3,17,37,31,27,16,3,6,144,33,199,176,174,112,87,49,10,842,14,80,121,141,142,97,59,20,678,201,424,391,378,334,166,82,15,1997,71,43,31,16,14,12,4,0,191,18,7,20,30,35,17,9,3,136,293,474,443,431,377,194,105,14,2327,4,5,4,4,15,6,8,4,55,171,150,176,204,171,177,178,46,1276,517,952,985,1019,863,593,406,98,5441
5006,160,134,89,47,9,7,554,9,99,119,129,98,56,14,0,522,129,602,670,626,367,227,81,12,2728,114,358,479,518,511,331,98,29,2432,646,1407,1274,1337,1127,650,252,66,6751,295,162,108,87,78,41,10,4,783,40,50,80,114,99,79,36,10,507,972,1621,1467,1535,1303,769,295,75,8042,12,24,19,43,39,23,23,18,193,443,515,565,550,502,388,343,231,3540,1695,3312,3488,3538,2906,1845,869,366,18006
5007,203,111,58,14,7,0,625,12,75,85,69,55,17,3,0,304,164,710,609,357,226,87,27,5,2185,55,280,370,311,260,102,17,3,1400,526,1336,1168,1008,746,300,87,11,5176,226,101,62,51,23,13,7,0,472,27,64,67,81,61,39,5,0,345,779,1499,1296,1138,826,341,94,13,5992,10,27,17,21,19,14,8,0,117,398,544,481,448,426,292,127,71,2785,1440,3343,3060,2456,1869,867,284,92,13413
5008,138,70,21,5,0,0,368,10,70,83,64,21,6,0,0,257,62,512,498,271,105,30,5,0,1485,33,214,337,246,138,31,4,0,1010,263,918,914,626,322,72,15,0,3135,109,65,49,30,20,5,0,0,278,15,24,49,49,31,7,0,0,177,389,1009,1009,704,365,86,15,0,3588,5,17,17,15,4,6,0,0,66,315,553,555,386,242,78,19,3,2149,816,2508,2639,1769,907,237,41,3,8921
5009,30369,19888,13052,7856,2810,557,100929,819,8250,10520,9675,7540,4466,1374,226,42866,21180,80780,79926,55421,35742,24085,9382,2342,308855,9884,28842,35176,33357,28223,19726,8646,2320,166170,31094,61086,55993,50537,44474,28450,12544,3375,287560,10468,4709,3404,2742,2275,1530,582,113,25813,2191,3197,4660,6158,5960,4753,2438,789,30150,43747,69001,64054,59437,52706,34733,15567,4276,343523,942,1990,2524,2301,2110,2285,1568,548,14271,13457,21368,19654,16889,14775,13412,11948,8299,119811,91736,234922,242222,196975,154149,106561,51300,18573,1096428
