SUA_CODE_2021,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
5000,869,48,5,49,921,365,5,1284,7,6,0,0,18,0,0,0,17,0,28,49,4693,641,218,118,5669,108,24,127,5796,609,40,6446,1037,126,30,10,1201,10,6,13,1220,78,3,1300,1091,192,48,19,1356,12,5,19,1370,78,3,1456,56,6,12,0,82,0,0,0,82,3,0,79,18,0,0,23,45,0,0,0,45,4,0,48,2201,327,99,56,2678,22,13,35,2714,167,6,2884,20,5,0,3,24,16,0,16,37,7,0,43,21,9,0,4,30,0,3,12,41,13,0,50,43,13,0,9,53,16,3,22,79,17,0,96,2240,339,96,55,2738,41,15,56,2792,181,6,2983,366,63,18,25,473,16,4,21,488,255,7,747,5,0,0,8,9,0,0,0,10,5,22,35,2611,392,118,89,3215,56,18,79,3295,440,34,3765,1149,125,36,14,1332,13,0,13,1346,91,0,1439,1111,215,66,18,1403,24,4,23,1429,71,0,1498
5001,126,3,0,3,126,20,7,151,0,0,0,0,0,0,0,0,0,0,5,0,612,105,21,6,741,3,3,11,749,58,8,818,187,25,0,0,223,0,0,0,217,10,0,234,238,26,7,0,282,0,7,4,285,6,0,294,7,0,0,0,7,0,0,0,7,3,0,9,3,0,0,0,7,0,0,0,7,0,0,7,432,58,11,6,508,0,5,5,520,22,4,542,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,5,0,0,0,5,0,0,5,3,0,0,0,11,0,0,0,11,0,0,11,441,60,11,7,520,0,5,5,521,22,4,546,73,18,0,4,90,0,0,0,96,13,3,111,0,0,0,0,0,0,0,0,0,0,0,0,515,78,11,8,608,3,5,6,619,40,3,664,240,35,3,3,277,0,0,3,284,6,0,292,248,37,6,0,289,0,3,7,297,16,0,314
5002,24,0,0,7,28,17,0,44,0,0,0,0,0,0,0,0,0,0,0,0,263,31,17,12,325,7,0,13,334,31,0,368,82,11,3,0,103,0,0,0,103,3,0,103,53,6,0,4,65,0,0,0,65,3,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,139,21,3,9,172,0,0,0,172,11,0,175,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,4,0,0,4,6,0,0,0,4,0,0,0,5,0,0,5,142,18,3,9,172,0,0,0,174,11,0,181,16,5,0,0,22,0,0,0,19,9,0,29,0,0,0,0,0,0,0,0,0,0,0,0,156,22,6,9,192,0,0,4,196,17,0,218,77,3,4,0,82,0,0,0,86,4,0,95,52,10,0,0,60,0,0,0,60,0,0,61
5003,307,7,0,10,318,41,0,359,0,0,0,7,8,0,0,0,8,0,5,13,1553,174,61,31,1826,37,3,45,1867,108,8,1979,413,40,13,6,470,3,0,4,468,13,0,485,508,49,13,4,572,4,3,7,580,13,0,591,14,3,4,0,23,0,0,0,22,0,0,23,4,0,0,4,10,0,0,0,10,0,0,11,933,92,29,10,1068,5,0,11,1079,29,0,1113,9,3,0,0,10,3,0,3,15,0,0,14,16,0,0,0,16,0,0,4,17,5,0,18,21,3,0,0,27,3,0,4,29,0,0,33,955,93,29,10,1092,8,5,17,1111,33,0,1147,166,15,3,7,190,9,0,9,193,29,0,223,0,0,0,0,0,0,0,0,0,0,0,8,1123,109,33,18,1283,19,5,22,1303,64,4,1371,525,44,19,3,600,10,0,10,607,21,0,626,642,66,27,0,738,12,0,12,750,15,0,764
5004,128,8,0,8,134,19,0,150,0,0,0,0,0,0,0,0,0,0,3,4,855,132,60,19,1068,5,5,10,1078,45,7,1125,202,35,6,0,237,4,0,4,238,8,0,248,275,50,17,3,345,3,0,0,351,20,0,369,6,4,5,0,14,0,0,0,14,0,0,14,0,0,0,4,3,0,0,0,3,0,0,3,482,82,25,4,598,7,0,11,605,30,3,635,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,7,0,0,7,488,82,31,4,602,10,3,6,610,30,3,643,56,13,0,0,67,4,0,4,71,13,0,78,0,0,0,0,0,0,0,0,0,0,0,4,537,94,31,10,672,7,3,12,680,36,3,722,252,39,14,0,303,3,0,3,302,19,0,320,293,57,24,4,382,3,5,4,381,16,0,397
5005,36,3,6,10,43,7,0,52,0,0,0,0,0,0,0,0,0,0,0,0,228,18,9,5,263,3,7,7,266,14,0,280,67,6,0,0,76,0,0,0,77,3,0,80,68,11,0,0,81,0,0,0,82,0,0,83,0,0,5,0,8,0,0,0,8,0,0,8,0,0,0,0,3,0,0,0,3,0,0,3,137,17,5,4,164,4,0,4,169,6,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,141,17,5,4,162,4,0,4,164,3,0,175,25,0,0,0,31,0,0,0,31,4,0,36,0,0,0,0,0,0,0,0,0,0,0,0,165,18,5,7,192,4,0,7,195,10,0,205,60,3,3,3,70,0,0,0,72,6,0,74,69,8,5,0,84,0,0,0,85,0,0,88
5006,113,4,0,6,118,33,0,155,0,0,0,0,0,0,0,0,0,0,4,3,693,91,17,13,820,15,8,23,844,71,4,917,199,15,8,0,224,0,0,0,227,10,0,235,201,36,14,0,249,0,0,0,255,11,0,264,9,0,0,0,5,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,399,60,20,5,482,0,0,3,486,23,0,506,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,6,3,0,0,0,4,0,0,0,8,4,0,5,404,61,20,5,488,3,0,10,493,19,0,519,42,4,0,0,49,0,0,0,49,28,0,77,0,0,0,0,0,0,0,0,0,0,0,0,445,69,22,5,538,3,0,10,547,46,3,592,275,18,8,0,293,0,0,0,296,10,0,301,199,34,18,5,248,0,0,0,248,17,0,269
5007,131,5,0,8,141,3,0,147,3,0,0,0,5,0,0,0,5,0,6,7,642,52,20,16,731,13,0,15,752,23,4,779,205,14,0,0,228,9,0,9,229,12,0,239,117,15,4,0,133,0,0,0,133,3,0,140,9,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,4,0,7,331,33,9,7,367,9,0,9,375,17,0,396,3,0,0,0,3,0,0,0,3,0,0,3,9,0,0,0,6,0,0,0,6,0,0,6,13,0,0,0,13,0,0,0,15,0,0,15,340,33,9,7,382,9,0,3,391,17,0,407,62,4,6,0,68,3,0,3,75,16,0,90,0,0,0,0,0,0,0,0,0,0,9,9,399,36,11,3,451,8,6,16,464,31,7,503,228,20,7,3,252,0,0,6,254,4,0,260,129,19,9,0,153,0,0,0,153,3,0,157
5008,82,0,0,0,81,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,504,30,33,0,575,6,0,6,578,12,0,593,127,8,9,0,139,4,0,4,139,6,0,147,108,11,7,0,125,3,0,3,125,0,0,125,0,0,3,0,5,0,0,0,5,0,0,5,0,0,0,5,3,0,0,0,3,0,0,3,236,17,17,4,271,5,0,5,272,5,0,278,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,3,0,0,3,239,17,17,4,273,3,0,3,276,5,0,286,33,0,4,3,40,0,0,0,40,9,0,47,0,0,0,0,0,0,0,0,0,0,0,0,272,15,20,4,311,3,0,3,319,10,0,326,160,4,7,0,173,0,0,0,174,8,0,179,88,8,3,0,99,0,0,0,105,0,0,103
5009,9819,252,78,327,10142,1444,28,11615,63,10,0,80,158,0,0,0,158,7,179,343,44414,5471,1203,745,51839,884,216,1101,52941,2967,319,56228,10228,1188,227,48,11685,173,39,214,11901,542,22,12466,12285,1558,305,92,14240,150,32,181,14423,430,16,14868,341,64,68,4,476,3,0,3,481,30,3,511,99,15,7,113,223,9,0,9,235,13,33,278,22938,2825,602,259,26626,337,76,412,27036,1016,76,28131,211,35,10,4,268,45,5,46,312,24,3,341,483,66,14,14,580,39,10,40,621,39,5,667,691,105,26,25,842,78,9,89,935,69,4,1009,23635,2927,626,282,27470,415,80,500,27969,1086,81,29142,4611,748,170,125,5648,172,45,215,5868,994,15,6874,28,5,0,48,87,7,0,7,86,9,108,202,28277,3677,800,459,33206,591,131,718,33921,2087,206,36217,13662,1540,295,72,15569,243,62,303,15875,747,25,16638,14817,1917,331,111,17170,207,65,268,17442,652,24,18121
