SUA_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
5000,342,757,552,375,390,35,4,2458,48,50,65,38,33,0,0,235,22,28,24,24,19,0,0,114,608,1386,1162,798,925,80,22,4983,44,77,49,48,45,6,0,273,58,115,56,43,32,6,0,314,102,199,109,97,81,4,0,584,709,1581,1269,890,1004,84,23,5567,1237,1271,707,468,354,33,4,4066,40,73,42,25,16,0,0,195,1983,2924,2012,1384,1369,122,32,9825
5001,64,165,121,75,102,10,0,541,9,8,9,5,3,0,0,33,4,3,0,7,3,0,0,20,92,258,221,176,218,12,5,985,0,12,0,3,5,0,0,26,5,8,6,0,3,0,0,31,9,20,10,7,9,0,0,55,106,284,228,180,226,15,9,1036,151,170,85,66,59,10,3,535,3,4,0,6,0,0,0,15,257,454,314,246,282,27,7,1594
5002,28,57,32,20,21,3,0,152,5,0,0,0,0,0,0,10,0,3,0,0,0,0,0,8,71,149,105,76,79,6,0,490,0,0,7,4,3,0,0,17,0,5,7,6,4,0,0,17,0,11,8,9,6,0,0,34,76,159,112,83,85,6,0,520,79,85,47,32,22,0,0,263,9,11,10,4,0,0,0,23,162,250,164,121,108,6,0,813
5003,158,341,246,209,203,21,3,1185,31,18,24,16,16,0,0,105,13,7,8,4,5,0,0,36,293,608,492,418,498,49,10,2369,11,19,19,13,7,0,0,69,22,54,33,20,14,0,0,141,35,72,48,30,24,4,0,213,331,680,539,449,521,53,16,2580,426,383,217,125,121,13,4,1286,6,4,0,3,3,0,0,21,765,1074,759,576,642,64,15,3885
5004,66,195,165,114,126,7,0,674,9,11,11,7,6,0,5,38,0,8,0,0,0,0,0,9,87,302,280,218,260,17,0,1167,0,5,7,3,0,0,0,15,4,7,0,3,0,0,0,21,4,10,5,4,3,0,0,38,93,317,290,223,264,17,0,1203,111,118,54,48,44,0,0,377,0,10,0,0,0,0,0,14,207,437,339,270,315,18,4,1597
5005,22,39,16,20,29,0,0,119,0,0,0,3,5,0,0,9,0,4,0,0,3,0,0,4,31,75,48,49,76,3,3,285,0,3,4,0,0,0,0,9,0,5,0,0,0,0,0,12,0,8,4,4,0,0,0,16,36,82,49,51,75,3,3,306,74,57,18,21,22,0,0,191,5,0,0,0,0,0,0,3,112,136,78,69,93,7,3,503
5006,76,153,122,68,84,0,0,503,12,13,12,10,8,4,0,52,0,3,0,0,0,0,0,13,122,284,271,178,224,14,10,1102,3,17,26,12,0,0,0,57,18,27,13,8,10,0,0,78,14,47,35,18,15,0,0,132,140,327,306,194,237,14,3,1235,234,250,119,82,62,10,0,768,3,21,7,10,4,0,0,41,381,595,437,281,304,25,8,2040
5007,50,80,50,32,27,0,0,247,0,4,5,6,0,0,0,19,8,5,9,3,0,0,0,22,112,219,168,120,116,8,0,745,0,4,4,0,3,0,0,23,0,5,7,5,0,0,0,23,5,10,11,7,4,0,0,40,119,231,185,126,125,9,0,787,140,90,45,30,19,0,0,325,14,10,9,3,4,0,0,49,276,336,231,158,138,9,0,1161
5008,16,29,14,9,16,0,0,76,3,3,3,0,3,0,0,8,0,8,0,3,0,0,0,14,48,87,65,57,51,0,0,317,0,0,0,0,0,0,0,3,0,6,0,4,0,0,0,10,3,7,0,4,0,0,0,17,51,94,68,61,53,0,0,332,20,25,16,15,11,0,0,90,0,3,4,0,0,0,0,5,77,122,83,75,63,0,0,425
5009,3283,6904,4806,3375,3979,1368,759,24469,451,394,259,208,264,98,68,1744,166,244,157,123,152,50,37,919,6132,13112,10256,7810,10206,3897,2400,53811,275,606,440,304,385,120,74,2216,542,1047,571,379,383,75,62,3058,826,1654,1011,678,775,196,136,5274,6955,14767,11267,8483,10979,4096,2546,59082,7101,7058,3946,2764,2735,831,526,24950,189,223,155,101,72,23,17,774,14236,22045,15364,11350,13785,4942,3083,84810
5010,12,32,12,18,4,0,0,81,0,0,0,0,0,0,0,4,10,7,0,0,3,0,0,18,62,121,65,50,53,9,0,357,8,4,0,8,0,0,0,17,0,3,0,0,0,0,0,11,6,10,7,10,0,0,0,28,66,133,65,55,51,9,0,383,58,54,38,14,15,4,0,176,5,3,0,0,0,0,0,17,129,186,102,70,67,14,0,579
