SUA_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
5000,0,6,..,223,27,254,6,259,..,519,38,561,12,573,..,95,16,109,0,109,..,26,3,33,0,33,..,60,15,74,0,74,..,44,9,48,0,48,..,102,8,114,0,112,..,17,4,23,0,23,..,105,7,108,0,108,..,116,10,124,4,132,..,43,10,49,0,49,..,12,0,12,0,11,..,31,5,31,0,29,..,449,18,468,10,475,..,155,13,168,6,174,..,477,17,493,3,502,..,253,53,309,0,315,..,1330,108,1437,21,1458,..,291,8,296,0,303,..,36,5,35,0,35,..,289,75,364,9,368,..,3,0,3,0,3,..,160,101,262,4,267,..,5120,469,5588,136,5724,..,10642,1101,11745,229,11975,..,483,121,605,14363,14968,106778,11130,1225,12349,14591,133713,220613,..,..,..,..,220613,..,975,24,998,7,1002,..,152,24,176,3,179,..,7384,574,7958,209,8168,..,141,39,180,0,177,..,654,201,856,10,866
5001,0,7,..,36,0,34,0,36,..,71,5,79,4,77,..,15,0,12,0,12,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,16,0,19,0,19,..,5,0,5,0,5,..,23,0,19,0,19,..,3,0,3,0,3,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,116,6,120,0,120,..,33,3,37,0,37,..,124,7,125,0,128,..,42,0,46,0,46,..,315,17,332,0,336,..,12,0,14,0,14,..,11,0,11,0,11,..,39,4,43,0,43,..,0,0,0,0,0,..,20,0,20,0,20,..,210,63,274,0,271,..,1071,123,1194,4,1202,..,52,6,55,786,841,15932,1122,131,1253,793,17975,30757,..,..,..,..,30757,..,195,3,195,0,196,..,6,0,8,0,8,..,30,0,30,0,30,..,36,11,47,0,47,..,76,17,91,0,91
5002,0,0,..,32,0,33,0,33,..,43,3,48,0,48,..,19,7,21,0,21,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,14,0,14,0,14,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,47,0,47,0,47,..,6,0,4,0,4,..,45,0,45,0,45,..,7,0,7,0,7,..,107,0,111,0,111,..,63,4,67,0,67,..,5,0,5,0,5,..,43,11,58,0,58,..,4,0,4,0,4,..,15,0,16,0,16,..,283,9,290,3,294,..,860,50,904,5,914,..,71,12,80,1000,1077,5565,929,59,988,1001,7553,10859,..,..,..,..,10859,..,23,0,23,0,23,..,9,0,9,0,9,..,370,11,384,7,389,..,33,9,46,0,46,..,80,10,89,0,93
5003,0,14,..,271,26,295,3,296,..,218,33,254,7,262,..,42,4,49,0,47,..,4,0,4,0,4,..,44,19,57,0,57,..,5,0,5,0,5,..,102,11,112,0,112,..,19,3,23,0,23,..,58,5,64,0,64,..,34,0,36,0,36,..,50,11,58,0,58,..,5,0,3,0,3,..,10,0,10,0,10,..,178,0,184,5,188,..,65,6,71,0,69,..,251,6,258,0,258,..,110,3,112,3,118,..,608,22,627,13,632,..,75,4,75,0,81,..,30,0,30,0,30,..,91,15,103,0,103,..,6,0,6,0,6,..,49,37,87,0,86,..,501,47,550,16,568,..,3083,355,3435,43,3478,..,134,7,142,1667,1807,33581,3213,366,3577,1707,38869,65546,..,..,..,..,65546,..,666,9,671,4,671,..,146,15,159,0,158,..,108,3,111,0,111,..,76,15,99,3,97,..,356,145,500,4,505
5004,0,0,..,71,10,72,0,72,..,64,4,70,3,74,..,29,0,33,0,33,..,0,0,0,0,0,..,23,4,23,0,23,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,3,0,3,..,11,0,11,0,11,..,30,3,34,3,35,..,6,0,12,0,12,..,0,0,0,0,0,..,4,0,4,0,4,..,14,4,20,0,18,..,34,0,34,0,34,..,36,0,37,0,32,..,14,0,14,0,14,..,97,4,96,0,104,..,34,0,34,0,35,..,9,0,9,0,9,..,58,8,67,0,62,..,0,0,0,0,0,..,28,12,45,0,45,..,202,32,236,0,235,..,1048,98,1140,16,1161,..,74,6,79,1016,1102,18593,1117,103,1223,1033,20852,36102,..,..,..,..,36102,..,177,0,177,0,177,..,15,6,20,0,20,..,43,0,42,0,47,..,24,9,31,0,31,..,65,15,89,0,89
5005,0,0,..,21,3,19,0,19,..,4,0,3,0,3,..,0,0,0,0,0,..,0,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,3,5,0,5,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,21,0,26,0,26,..,9,0,9,0,9,..,9,0,11,0,11,..,0,0,0,0,0,..,40,3,46,0,46,..,7,0,6,0,6,..,0,0,0,0,0,..,26,3,27,0,27,..,0,0,0,0,0,..,7,0,7,0,7,..,52,0,53,0,55,..,272,19,290,4,291,..,25,0,26,554,580,5143,296,21,316,559,6019,10242,..,..,..,..,10242,..,80,0,85,0,82,..,0,0,3,0,3,..,25,0,25,0,25,..,15,3,14,0,13,..,10,4,11,0,16
5006,0,0,..,83,12,99,0,99,..,80,11,88,0,88,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,4,0,4,..,63,0,65,0,62,..,0,0,0,0,0,..,11,0,11,0,11,..,13,0,16,0,16,..,9,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,88,0,91,0,91,..,50,0,46,0,46,..,106,5,111,0,115,..,141,36,178,0,180,..,383,44,426,4,432,..,14,0,14,0,14,..,7,0,7,0,7,..,69,21,90,0,90,..,0,0,0,0,0,..,57,31,83,0,84,..,260,17,282,7,286,..,1405,166,1569,17,1584,..,98,5,105,1633,1737,16231,1500,172,1673,1652,19561,31927,..,..,..,..,31927,..,271,6,273,3,277,..,31,8,43,4,42,..,152,5,158,5,163,..,21,5,33,0,34,..,91,36,121,0,121
5007,0,23,..,190,23,213,0,216,..,31,4,30,0,30,..,3,0,3,0,3,..,4,0,7,0,7,..,12,8,13,0,15,..,0,0,0,0,0,..,20,0,22,0,25,..,19,3,20,0,20,..,0,0,4,0,4,..,26,8,33,0,33,..,15,3,14,0,14,..,28,0,35,0,35,..,7,0,7,0,7,..,137,0,140,0,140,..,32,4,34,0,38,..,165,7,169,0,168,..,40,0,43,0,43,..,373,9,383,4,383,..,45,4,49,0,49,..,17,0,17,0,17,..,94,20,115,0,115,..,4,0,4,0,4,..,25,10,36,0,36,..,467,25,495,8,500,..,1708,140,1854,23,1871,..,99,14,113,1244,1352,10579,1808,156,1960,1257,13805,22162,..,..,..,..,22162,..,300,3,308,0,308,..,43,0,52,0,52,..,153,6,155,0,157,..,14,7,18,0,18,..,165,31,200,0,199
5008,0,12,..,148,9,154,3,157,..,6,0,6,0,6,..,7,0,7,0,7,..,5,0,7,0,7,..,3,0,3,0,3,..,8,0,11,0,11,..,11,0,14,0,14,..,0,0,0,0,0,..,8,0,8,0,9,..,17,0,17,0,17,..,4,0,4,0,4,..,7,0,7,0,7,..,8,0,8,0,8,..,79,3,83,0,83,..,22,0,23,0,23,..,101,4,106,0,106,..,18,0,19,0,19,..,218,7,227,0,231,..,23,0,23,0,23,..,8,0,9,0,9,..,80,14,90,0,94,..,0,0,0,0,0,..,14,3,17,0,17,..,219,20,245,6,246,..,986,78,1067,13,1081,..,58,4,65,1106,1172,5786,1049,87,1133,1117,8036,12300,..,..,..,..,12300,..,92,4,94,0,98,..,15,3,16,0,16,..,151,8,153,4,155,..,29,0,29,0,30,..,86,25,107,0,112
5009,6,1298,..,28269,2687,30955,318,31276,..,10819,1370,12191,97,12282,..,2899,449,3347,21,3367,..,609,263,872,6,880,..,2570,887,3455,23,3477,..,2479,425,2904,18,2922,..,4118,265,4379,44,4421,..,3082,545,3627,24,3653,..,2671,277,2946,19,2968,..,3687,424,4111,39,4154,..,1933,226,2159,11,2166,..,341,17,358,0,361,..,2360,404,2767,10,2779,..,5393,162,5554,41,5594,..,5964,614,6580,59,6641,..,7740,298,8031,41,8076,..,4087,307,4391,35,4425,..,23183,1375,24561,174,24735,..,5721,565,6283,64,6350,..,3828,319,4149,36,4179,..,3840,705,4548,21,4571,..,718,213,938,7,948,..,7847,3836,11683,78,11764,..,32611,5414,38022,670,38689,..,199085,31140,230231,2238,232470,..,5200,783,5984,41409,47396,783669,204291,31924,236206,43649,1063528,1551617,..,..,..,..,1551617,..,11565,166,11730,67,11802,..,13322,2054,15375,110,15488,..,1894,48,1943,31,1968,..,15269,3748,19014,151,19164,..,38516,10591,49103,486,49593
