SUA_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
5000,131,152,343,354,439,389,176,72,5,2063,2890,3578,9776,11594,12644,11432,3456,554,29,55946,603,1109,2985,3255,3755,4005,2613,900,110,19341,189,902,3372,3914,3601,2503,382,23,0,14879,368,486,1171,1330,1369,1087,325,42,0,6180,35,87,232,334,396,366,91,5,0,1544,447,691,1746,1968,2044,1958,534,49,4,9436,140,251,518,509,601,538,155,32,0,2744,1269,765,1228,1323,1654,1549,481,66,0,8321,1390,710,1415,1140,1162,1187,410,52,10,7475,99,247,653,798,1159,1359,597,69,5,4987,19,23,73,91,62,77,36,4,0,383,12,67,186,235,230,184,44,9,0,962,29,62,195,193,251,250,123,24,0,1137,54,189,590,767,708,649,276,36,3,3274,118,236,649,706,810,702,226,31,0,3469,119,362,1181,1487,1937,1827,436,44,0,7398,141,452,1643,2320,2640,2315,597,36,0,10142,230,555,1907,2247,2637,2795,774,62,0,11222,101,104,233,246,259,243,85,22,0,1298
5001,16,20,37,37,42,40,15,0,0,212,606,549,1262,1522,1840,1549,434,45,5,7810,29,42,96,110,136,149,120,19,7,709,6,10,96,93,93,59,16,0,0,363,62,100,188,154,172,127,37,5,0,838,4,5,27,55,46,47,7,0,0,185,90,140,335,292,297,245,66,3,0,1479,10,36,67,61,103,65,21,0,0,365,359,197,305,286,323,285,92,10,0,1853,416,144,208,181,148,123,54,8,0,1278,7,22,58,94,167,176,57,8,0,584,7,9,24,15,21,14,8,0,0,110,3,22,44,46,56,43,10,0,0,227,0,14,49,37,49,37,20,5,0,209,12,24,112,142,125,129,52,8,0,599,5,24,56,86,98,112,30,0,0,418,8,23,121,228,300,258,52,4,0,997,16,50,198,285,436,348,99,12,0,1450,58,163,441,544,656,633,156,12,0,2675,22,10,46,29,35,33,12,3,0,192
5002,10,13,38,40,27,17,0,7,0,154,217,226,972,966,739,521,135,16,0,3794,9,13,35,31,16,19,6,3,0,125,0,13,58,59,46,28,4,0,0,211,7,10,28,21,20,18,5,0,0,107,0,0,19,32,29,11,3,0,0,92,15,35,99,141,137,74,32,0,0,535,3,4,12,11,10,20,5,0,0,75,122,48,98,98,103,97,29,4,0,600,88,54,237,102,76,56,18,5,0,645,13,32,130,113,83,65,29,3,0,470,3,0,13,17,21,9,0,0,0,65,0,4,18,13,14,4,0,0,0,57,0,8,23,26,25,11,5,3,0,105,3,10,50,49,52,37,8,0,0,214,15,18,51,65,66,33,18,0,0,267,7,19,129,190,153,100,29,0,0,620,14,32,188,265,201,126,29,0,0,848,33,82,379,353,271,212,57,3,0,1383,6,5,24,24,19,19,12,0,0,117
5003,34,51,99,119,82,70,28,6,0,473,1320,1372,3259,3819,3980,2851,636,46,3,17296,29,50,113,79,99,94,59,17,0,544,27,163,587,748,708,458,68,0,0,2758,150,291,683,843,761,483,87,3,0,3292,11,42,131,160,176,164,28,5,0,708,160,385,847,880,764,662,165,11,0,3874,24,51,110,147,164,106,24,3,0,625,601,402,701,666,632,510,103,15,0,3635,923,283,367,324,261,147,42,8,0,2362,23,82,200,255,346,369,116,12,0,1406,33,29,58,42,31,18,18,0,0,222,4,20,94,108,124,78,22,6,0,453,16,27,87,92,99,88,31,9,3,446,21,66,247,318,272,200,102,11,0,1228,26,63,159,212,215,181,56,3,0,921,26,89,296,389,473,367,81,6,0,1738,54,98,439,693,903,672,171,5,0,3039,128,395,1044,1217,1234,1021,236,6,0,5287,63,36,80,54,52,45,11,0,0,354
5004,25,27,34,69,73,48,21,12,0,302,696,519,1424,2137,2341,1744,475,53,5,9396,30,43,90,129,131,179,116,34,6,766,8,48,219,377,397,184,38,0,0,1268,64,68,183,272,232,194,74,6,0,1098,0,4,23,43,53,41,8,0,0,176,109,171,413,508,497,355,90,4,0,2147,8,8,36,55,78,55,21,0,0,261,345,167,276,322,378,373,108,14,0,1984,533,207,379,424,313,258,88,10,0,2217,15,14,45,75,135,137,71,3,0,502,13,3,15,21,29,14,8,0,0,97,0,6,36,63,85,60,22,0,0,268,5,25,46,66,80,61,39,6,0,324,8,16,111,186,238,161,72,13,0,814,23,47,137,185,210,154,46,7,0,810,14,15,91,158,207,148,45,0,0,685,36,36,184,391,457,329,72,11,0,1511,43,90,366,546,614,571,121,8,0,2348,38,9,49,53,52,35,12,0,0,241
5005,8,10,10,18,19,13,13,0,0,98,177,204,470,513,596,491,127,19,0,2598,16,21,82,82,111,95,61,15,4,482,0,18,42,49,48,48,7,0,0,212,14,18,30,29,31,22,10,3,0,167,6,0,9,22,25,11,0,0,0,79,33,49,104,86,76,90,28,0,0,459,13,11,42,50,61,48,3,0,0,240,99,62,100,104,95,79,12,0,0,547,92,54,55,54,56,56,18,0,0,389,3,23,89,118,128,118,32,3,0,522,0,3,0,5,7,6,0,0,0,22,0,8,16,24,13,15,6,0,0,76,0,4,12,15,25,14,3,0,0,69,6,12,37,28,28,30,15,0,0,160,0,8,30,25,30,39,8,3,0,136,4,14,45,63,87,56,13,0,0,277,6,20,94,108,135,120,27,0,0,506,13,47,94,111,144,138,36,4,0,581,8,4,6,6,13,0,0,0,0,36
5006,23,28,34,54,55,44,16,3,3,256,684,703,1555,1745,2035,1513,394,31,3,8663,23,43,86,93,121,107,68,22,3,566,11,80,256,297,311,185,31,0,0,1168,34,37,90,96,83,85,25,8,0,458,4,8,26,39,37,47,12,0,0,173,97,164,368,332,262,304,84,3,0,1632,19,33,81,115,105,85,16,3,0,457,364,253,315,289,328,247,72,14,0,1890,444,157,201,152,130,107,35,3,0,1236,21,41,181,197,307,284,97,5,0,1129,12,9,23,26,9,19,0,0,0,104,0,11,37,43,57,41,10,0,0,206,10,10,31,27,45,37,14,0,0,169,16,40,133,148,166,107,46,5,0,656,15,27,84,93,129,105,25,3,0,481,13,44,167,229,325,269,59,5,0,1112,30,79,304,432,518,401,76,5,0,1849,68,188,568,579,676,501,150,5,0,2735,10,20,13,18,32,25,5,0,0,135
5007,18,19,46,64,63,32,8,4,0,258,428,638,1604,1481,1406,1027,225,15,0,6828,3,0,10,5,8,3,4,0,0,27,110,360,1091,992,814,569,81,3,0,4030,21,51,175,168,107,105,31,0,0,652,7,15,34,45,35,35,8,0,0,175,52,103,250,211,178,183,51,0,0,1030,10,38,112,100,93,59,16,0,0,429,231,140,186,168,180,146,49,4,0,1110,204,107,161,145,127,84,27,8,0,852,7,49,120,141,215,205,83,0,0,822,3,14,14,14,9,6,0,0,0,52,0,8,26,28,19,11,4,0,0,90,6,32,65,53,53,50,6,0,0,272,30,58,136,108,101,78,26,3,0,553,7,35,73,63,78,56,11,4,0,331,14,44,185,182,167,136,33,3,0,769,18,80,222,232,254,217,47,4,0,1075,30,120,347,312,285,259,55,3,0,1409,15,6,24,26,22,21,8,0,0,123
5008,10,20,38,44,21,8,0,0,0,139,223,281,1091,1117,794,359,58,0,0,3928,0,0,5,5,3,0,0,0,0,13,12,93,480,639,385,166,21,0,0,1812,22,24,75,77,54,34,0,0,0,287,4,14,57,65,44,37,7,0,0,220,38,80,323,275,168,106,22,0,0,1007,18,9,38,42,27,18,4,0,0,151,130,57,141,119,93,50,8,0,0,591,119,39,117,98,67,38,15,0,0,490,10,26,105,138,143,74,15,0,0,520,3,4,18,9,3,6,0,0,0,40,3,0,15,15,10,3,0,0,0,43,5,20,44,48,45,29,4,0,0,194,8,7,66,66,33,25,5,0,0,219,17,30,99,100,86,47,9,0,0,382,12,23,128,168,151,92,19,0,0,595,0,39,185,241,198,60,10,0,0,739,28,55,189,187,123,84,13,0,0,669,10,6,18,22,20,8,0,0,0,76
5009,909,1745,4329,4277,3542,2307,717,182,39,18047,29526,48503,113616,114125,104578,74666,18386,1595,104,505102,265,497,1310,1344,1445,1270,686,207,19,7057,456,3585,17652,20388,16297,9243,1614,104,5,69342,2151,4017,10731,12949,13054,9872,2342,273,13,55403,155,522,2454,3238,2853,2016,382,19,0,11642,3209,7962,23006,23141,18710,13511,3196,252,13,93001,724,1857,5467,6485,6264,4550,1161,145,15,26667,14654,16881,18954,14857,13765,10921,3218,344,23,93615,20172,13082,13769,9100,6232,4336,1160,111,9,67978,884,3087,9828,10910,10432,9209,2757,245,9,47362,429,913,2189,2188,1735,1139,324,61,0,8970,170,1308,5861,7370,6227,3720,1013,161,12,25842,233,1003,3116,3491,3450,2704,1257,275,27,15560,680,5792,20247,23296,17341,10577,3774,527,30,82263,930,3088,7775,7450,6599,5230,1602,183,10,32872,580,3522,12998,15476,15329,11933,2725,232,10,62809,2348,5819,17196,20998,23146,17879,4896,399,16,92696,2160,12157,35488,34434,31679,25257,6839,522,15,148553,2355,2882,4281,3491,2677,1947,752,130,8,18510
