SUA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
5000,67,38,104,3173,789,3960,20,8,28,5,6,8,85,49,131,36653,32058,68706,3307,2800,6106,1291,61,1352,272,64,337,486,330,817,2628,728,3360,4309,4161,8470,52294,41090,93384,17,12,28,0,0,0,0,0,0,61,72,127,7,10,15,0,0,0,83,93,181,0,0,0,0,0,0,130,59,191,30,18,47,137,22,163,295,102,399,751,329,1082,1137,530,1662,32,26,51,103,17,118,66,10,73,195,52,251,5889,6565,12451,7186,7139,14320,825,578,1395,67519,55946,123469
5001,0,0,0,94,24,119,0,0,0,0,0,0,18,13,36,5732,5448,11184,400,477,875,100,3,101,35,0,42,68,19,90,100,22,130,155,147,300,6707,6164,12871,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,6,7,11,3,0,5,6,0,3,9,9,22,58,44,106,73,50,126,0,0,0,6,0,6,4,0,4,7,0,10,301,496,801,817,1062,1880,43,30,70,7944,7810,15751
5002,0,3,3,39,19,57,0,0,0,0,0,0,5,6,15,2144,2385,4525,187,279,463,24,0,27,80,35,122,118,93,208,76,28,103,154,204,354,2827,3053,5877,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,3,4,5,27,19,49,34,24,60,0,0,0,0,0,0,0,0,0,0,0,0,124,227,344,357,450,802,50,42,87,3389,3794,7176
5003,10,8,17,471,133,603,0,0,3,0,0,0,34,37,75,12509,11981,24489,1069,1052,2119,166,8,179,62,10,70,156,42,194,306,75,383,276,276,549,15065,13628,28687,0,0,0,0,0,0,0,0,0,9,4,13,4,3,7,0,0,0,17,3,22,0,0,0,0,0,0,172,42,216,19,16,31,26,4,31,213,66,278,226,81,303,450,152,599,4,3,7,25,5,32,13,3,13,37,11,51,503,928,1425,2201,2535,4730,92,42,136,18347,17296,35640
5004,4,4,5,182,38,216,3,0,3,0,0,0,22,10,30,5930,5963,11890,456,471,930,95,5,101,16,0,16,149,60,207,229,48,274,239,218,454,7316,6809,14131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13,10,21,5,4,7,19,3,18,37,13,47,93,22,114,130,40,171,0,0,0,17,0,21,4,0,10,22,0,26,677,1048,1727,1311,1426,2736,56,62,124,9519,9396,18915
5005,0,0,4,34,8,41,0,0,0,0,0,0,8,3,9,2088,1748,3840,120,131,247,51,0,51,24,6,33,35,26,63,20,15,35,76,83,160,2452,2028,4481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,3,0,0,0,6,5,10,26,10,39,32,14,50,0,0,0,0,0,0,0,0,0,0,0,0,98,216,310,292,315,612,27,17,45,2905,2598,5501
5006,4,0,4,161,37,204,0,0,4,0,0,0,13,16,30,6105,6151,12257,487,540,1018,147,5,151,80,10,95,108,47,159,173,39,217,184,157,337,7460,7009,14472,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,4,9,0,0,0,0,0,0,10,0,12,5,5,7,11,9,17,25,14,36,63,42,107,96,58,154,0,0,0,9,0,8,9,0,9,17,3,15,245,448,695,1065,1117,2177,40,26,66,8916,8663,17580
5007,4,0,4,251,86,333,8,4,14,0,0,0,44,49,94,5870,4791,10663,585,555,1144,114,11,128,54,6,63,66,15,80,71,39,105,217,235,454,7285,5798,13076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,55,10,68,8,0,10,5,0,5,67,16,82,76,52,130,141,73,211,0,0,0,9,0,14,7,0,3,14,3,20,101,266,372,754,668,1425,41,22,65,8334,6828,15164
5008,5,0,4,150,33,180,0,0,0,0,0,0,9,5,21,3473,2768,6241,339,254,592,62,0,61,52,4,54,30,14,49,67,27,90,107,162,270,4294,3257,7553,0,4,4,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,12,5,13,4,3,8,5,0,5,18,8,22,42,18,63,64,33,90,6,0,3,5,0,5,3,4,6,11,4,15,48,182,226,506,440,946,17,13,30,4935,3928,8866
5009,11465,11464,22931,17871,13832,31707,145,76,217,31,15,48,2023,1688,3716,347257,304387,651649,20364,26025,46390,5324,180,5508,2539,254,2791,5318,1522,6839,11859,2924,14779,8519,8030,16547,432712,370405,803115,6777,6575,13349,12,7,24,0,4,5,4671,4248,8925,662,920,1587,500,189,688,12624,11947,24571,23,6,32,8,8,15,769,779,1548,490,885,1374,699,400,1105,1984,2079,4067,4490,2216,6707,19102,16248,35346,2158,2555,4709,526,260,790,264,100,365,2944,2917,5872,34895,44864,79753,53350,68992,122342,2442,1675,4111,545448,505102,1050544
5010,3,0,3,51,25,77,3,0,3,0,0,0,9,23,31,3111,2409,5522,233,222,456,53,6,57,44,8,53,24,9,40,56,18,78,92,120,212,3681,2843,6519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,5,5,3,4,9,8,8,12,44,14,57,55,24,75,0,0,0,0,0,0,0,0,0,0,0,0,52,126,180,451,359,809,36,20,59,4275,3369,7643
