SUA_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
5000,1116,170,2294,15,11,144,183,368,57,781,7,6,28,23,39,6,110,15,11,93,115,169,29,441,5,12,63,118,187,32,423,121,68,517,242,413,42,1407,22,23,191,217,477,68,995,155,123,674,533,915,78,2480,435,717,2733,824,1717,205,6639,460,465,2416,1511,2261,287,7398,34,12,142,79,197,30,491,28,22,155,243,713,56,1221,51,26,214,151,380,251,1072,1749,1797,10296,6503,13214,1921,35475,211,178,2217,1464,4331,627,9032,291,121,1111,1089,6804,342,9760,90,61,667,463,2251,196,3716,18,10,87,113,770,39,1040,64,46,366,578,4533,219,5819,17,25,233,188,1017,50,1530,95,29,602,559,2040,257,3582,114,49,728,670,1958,264,3780,39,22,279,422,1539,127,2435,23,10,59,44,138,4,276,24,21,151,159,223,38,611,13,20,114,191,371,45,751,257,104,992,456,783,74,2659,40,36,305,320,1068,109,1881,285,208,1125,1108,2087,167,4976,603
5001,169,12,307,5,0,13,15,31,3,67,0,0,7,4,13,0,30,0,6,13,29,39,3,86,0,0,7,12,55,7,84,33,15,97,58,70,6,279,0,6,18,33,67,7,123,25,17,104,69,98,11,323,77,117,349,131,224,11,902,119,97,568,360,568,60,1769,5,0,13,24,33,3,79,4,3,28,57,136,5,232,5,4,17,21,45,17,111,296,283,1429,1042,2042,198,5287,16,3,63,57,200,18,360,3,6,19,33,193,5,256,3,7,56,64,333,24,487,0,3,15,30,95,0,141,3,5,44,104,804,16,979,0,3,18,26,137,0,191,11,11,79,108,587,32,819,11,8,93,99,314,20,535,0,7,45,49,195,10,307,5,5,22,12,34,3,71,3,5,26,50,64,9,155,3,0,15,29,89,9,150,62,23,201,109,114,10,512,0,6,25,47,143,6,230,44,38,180,168,318,32,777,118
5002,68,13,226,6,9,12,29,32,8,88,3,0,12,4,7,0,25,0,0,4,6,7,0,26,0,0,3,16,20,4,49,15,11,36,14,25,5,98,5,0,26,13,32,11,83,12,22,79,46,64,5,225,66,61,222,74,108,12,552,113,91,340,165,159,35,901,3,0,18,10,16,3,57,4,5,21,22,32,3,79,10,5,26,5,20,28,100,260,210,982,521,703,144,2816,3,0,19,16,44,4,89,7,5,10,15,91,0,128,7,0,7,13,45,0,73,3,0,7,9,50,4,72,3,0,32,39,315,18,402,0,0,8,8,31,0,43,18,5,60,56,145,24,300,21,4,139,84,139,23,416,16,12,57,71,146,16,325,3,4,23,9,11,0,49,0,3,13,6,12,0,36,0,0,6,18,29,8,68,22,12,82,22,40,9,179,4,0,37,27,87,11,169,25,33,155,97,148,16,475,84
5003,370,24,607,5,4,23,36,94,7,168,0,0,18,9,29,0,62,0,0,36,56,72,4,174,3,4,22,31,110,12,175,23,23,166,85,158,12,471,7,3,50,52,155,8,274,34,34,174,132,264,13,649,140,263,810,288,606,44,2137,210,177,1199,610,1284,103,3584,3,5,29,24,75,10,145,15,13,72,106,328,17,556,11,6,36,41,109,61,269,529,594,3169,1948,5040,420,11697,14,6,53,47,146,19,284,55,23,236,236,1398,47,1990,76,31,327,249,1413,62,2156,23,6,50,79,363,17,533,36,18,178,276,1988,75,2569,6,3,34,49,246,8,349,29,16,226,229,1078,69,1651,18,8,163,134,571,39,936,25,12,93,108,481,42,763,4,5,41,31,62,3,147,7,8,65,111,101,12,300,3,3,32,59,176,16,294,56,45,368,189,322,36,1015,8,3,77,73,295,14,475,75,57,306,256,531,29,1258,188
5004,292,33,655,0,3,15,15,37,4,71,0,3,15,3,6,0,33,6,6,22,29,33,9,97,3,0,30,38,56,18,146,19,19,148,74,95,8,361,10,12,66,53,134,10,282,20,19,85,50,66,3,244,81,150,438,137,250,19,1072,101,118,589,296,451,50,1604,6,0,20,24,28,6,83,9,9,37,51,189,17,305,3,4,51,36,52,39,187,312,384,1969,1242,2297,283,6479,8,10,95,76,195,25,409,20,12,108,103,651,28,933,19,23,176,117,361,21,714,6,0,17,16,79,3,131,11,8,117,194,1114,50,1491,6,3,26,28,93,7,164,18,6,157,172,547,43,947,33,15,235,234,556,50,1121,6,10,27,42,178,7,272,5,5,25,7,16,6,65,17,4,61,64,44,9,194,3,4,54,63,91,23,236,54,31,296,126,162,17,683,10,20,85,86,254,21,467,38,30,157,107,192,13,541,108
5005,63,4,113,0,0,14,12,32,4,58,0,0,0,0,5,0,9,3,0,9,5,13,0,29,0,0,5,8,13,6,30,5,3,25,13,26,0,70,0,0,3,5,16,8,41,0,4,30,24,24,5,88,11,45,129,54,82,6,325,9,22,112,66,131,10,359,6,0,4,0,9,5,19,0,0,3,22,61,0,83,0,0,17,13,21,8,54,49,87,419,316,663,81,1620,3,4,34,46,133,17,241,0,4,8,13,98,10,137,0,0,15,7,66,3,92,3,0,6,7,39,0,55,0,0,9,28,217,17,277,0,0,16,22,103,5,147,3,4,25,32,132,15,209,4,0,18,30,101,13,163,3,0,26,37,216,12,297,0,0,0,0,3,0,9,3,0,15,8,13,0,49,0,0,8,9,23,3,39,8,0,39,22,44,4,123,0,0,5,5,33,7,59,12,13,58,43,75,3,197,19
5006,170,12,282,7,4,18,20,57,6,114,3,8,5,8,11,0,33,3,4,8,26,45,5,87,0,4,7,14,30,6,57,9,19,78,41,83,6,243,0,0,9,26,54,3,99,16,21,92,96,135,10,363,72,120,475,170,346,34,1221,115,123,615,375,545,57,1828,3,4,9,3,16,3,48,0,3,13,62,143,8,242,4,4,21,29,57,19,129,256,334,1519,1076,2260,214,5660,3,0,34,43,207,25,320,17,11,44,87,621,24,801,3,0,20,25,227,13,288,0,0,9,16,91,0,117,0,6,46,113,868,22,1059,3,4,34,20,189,8,261,19,6,92,96,524,35,772,10,3,65,75,296,26,480,16,5,57,97,421,24,628,0,8,15,14,34,0,71,7,6,16,48,53,7,146,6,4,8,25,60,6,101,36,32,178,100,171,16,529,4,4,22,47,152,10,238,38,40,179,203,348,29,825,122
5007,110,23,230,0,0,15,17,59,4,100,0,0,5,0,5,0,12,0,0,14,11,17,0,38,0,0,3,20,41,10,81,15,9,65,31,54,6,179,3,3,15,19,57,8,111,20,7,64,63,98,13,263,53,86,312,72,182,13,726,90,55,325,187,220,26,906,0,0,9,18,25,4,52,0,3,16,33,106,3,166,7,3,14,23,49,26,121,263,197,1148,704,1562,196,4068,0,0,0,8,7,7,17,181,40,456,239,1621,74,2604,15,3,55,54,276,15,427,4,0,6,3,79,3,104,3,0,46,57,535,19,661,0,0,19,19,214,3,264,17,11,53,51,255,31,403,13,0,82,56,182,26,358,11,4,47,51,228,20,357,0,0,12,0,14,0,33,5,4,16,21,21,0,58,0,0,7,30,114,12,168,34,11,124,53,121,9,355,3,3,23,31,93,9,163,38,16,109,117,209,15,509,88
5008,52,9,145,0,3,16,19,51,4,94,0,0,5,3,4,0,15,0,0,6,3,8,0,21,0,0,6,19,35,5,69,7,9,31,14,22,0,84,0,4,26,18,57,10,113,14,12,63,48,65,12,224,47,64,231,56,116,9,524,51,50,178,79,92,15,465,0,0,6,6,15,3,35,4,0,22,29,61,0,117,7,3,15,11,28,17,87,180,161,833,466,945,107,2691,0,0,0,0,9,0,9,50,25,218,165,966,33,1445,15,0,45,23,115,6,216,14,3,32,18,81,0,146,13,3,43,75,550,21,697,0,0,7,14,75,6,99,11,0,75,35,141,17,283,10,0,61,53,118,11,249,9,5,54,57,167,14,305,0,0,11,10,9,0,28,0,0,7,6,14,0,27,0,0,16,23,75,8,129,10,11,50,38,67,4,180,5,10,31,35,113,14,201,32,18,110,113,152,13,440,68
5009,6450,751,16886,499,183,1774,1341,2382,279,6462,280,166,1101,375,428,68,2415,964,423,3685,2317,2360,367,10115,301,140,1594,1513,1918,347,5818,5125,1782,14140,3858,4290,654,29848,851,354,3240,2310,3661,503,10917,3194,1876,9120,3978,4756,623,23548,8543,7778,24537,7493,10840,1235,60429,11284,6211,39726,17520,21251,2857,98848,523,264,2285,1091,1772,177,6109,712,410,3080,3389,7290,519,15399,1034,322,3411,1959,2831,1781,11346,39895,22226,133686,62682,91853,12737,363076,325,106,1117,613,1359,208,3726,6535,1652,15904,6319,22575,1288,54277,2470,680,8046,5511,18556,1150,36409,1110,322,2668,1225,3188,195,8703,2471,766,10322,8567,39611,1928,63674,1306,358,4406,2609,7376,536,16589,3200,781,12827,7922,18746,1891,45371,1790,405,8766,7081,12814,1361,32217,2313,614,6919,5948,11165,1209,28173,717,282,2654,1176,1607,179,6616,2336,1009,8137,4416,3524,596,20012,717,273,3427,2709,3758,524,11403,13295,3547,35097,9218,9192,1595,71948,1641,570,5741,3926,7752,871,20499,6234,3339,16706,9264,12813,1333,49681,13773
5010,27,8,79,3,0,25,29,44,5,109,0,0,4,0,0,0,9,0,0,8,3,8,0,19,0,0,10,7,31,4,50,3,4,19,10,14,5,58,0,0,25,14,15,0,56,9,6,47,42,66,7,178,28,34,171,34,76,10,361,30,33,197,80,130,15,480,0,4,3,8,8,0,18,9,0,13,11,42,0,73,4,0,18,9,26,18,71,102,100,666,391,800,93,2156,0,0,0,0,3,0,6,31,21,125,174,1069,37,1450,3,0,15,13,185,4,230,0,0,3,12,52,4,74,6,0,20,39,237,15,317,0,5,10,20,98,0,125,13,3,36,33,103,11,191,6,0,27,34,58,12,145,15,12,75,89,261,14,460,0,0,3,0,6,0,11,0,0,8,3,8,0,24,3,0,14,17,63,4,99,9,6,51,17,38,5,125,4,0,34,22,54,0,114,18,11,72,78,120,9,312,38
