SUA_CODE_2021,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
5000,423,798,2108,2239,2579,2723,1769,653,93,13390,140,653,2651,3204,3022,2147,349,22,0,12200,228,345,772,899,943,798,247,33,0,4267,32,69,168,277,314,295,80,5,0,1244,422,620,1501,1625,1686,1641,454,41,4,7994,97,158,326,342,391,370,115,16,0,1824,538,328,488,347,491,485,195,32,0,2910,492,259,506,379,368,404,200,30,3,2650,73,156,451,507,757,972,438,51,5,3404,8,23,37,52,36,40,20,4,0,215,11,13,28,50,73,49,27,6,0,249,11,23,67,60,115,122,69,14,0,481,21,61,241,312,346,329,168,21,3,1504,58,111,305,283,365,322,125,16,0,1581,67,184,564,657,982,1098,283,27,0,3858,27,109,298,377,469,506,190,13,0,1986,45,63,290,320,396,443,186,27,0,1769,29,40,93,96,110,114,45,19,0,545,202,263,449,410,410,409,149,14,0,2308,206,258,524,524,608,620,279,94,25,3134
5001,24,38,80,75,101,109,80,14,10,526,3,8,89,89,91,55,16,0,0,331,46,72,154,115,124,90,24,5,0,622,0,6,22,39,41,38,3,0,0,153,88,135,294,244,239,214,56,3,0,1278,0,25,53,49,81,50,19,0,0,280,150,97,135,116,117,106,42,4,0,774,196,63,86,69,49,30,25,3,0,521,4,16,43,76,131,143,44,7,0,464,3,3,13,9,14,9,5,0,0,59,0,3,9,17,30,18,8,0,0,85,0,0,22,17,12,22,8,3,0,86,4,12,42,55,44,69,29,3,0,264,3,10,30,43,42,52,14,0,0,195,5,13,66,127,162,167,37,4,0,582,11,14,70,79,94,98,35,4,0,406,5,24,92,106,122,151,47,3,0,553,6,7,19,10,15,12,9,3,0,84,23,42,75,57,62,69,27,3,0,353,35,34,61,48,70,54,26,12,3,336
5002,9,16,27,21,11,10,6,4,0,94,0,9,49,59,41,23,3,0,0,187,7,11,16,18,16,9,5,0,0,73,0,0,13,20,27,11,3,0,0,72,14,35,89,115,109,59,26,0,0,447,0,4,8,11,10,11,4,0,0,47,47,24,46,45,41,37,15,0,0,251,33,24,96,50,36,34,9,3,0,284,3,19,85,78,58,45,26,3,0,321,0,3,8,12,5,5,0,0,0,31,0,0,4,0,5,4,0,0,0,17,0,0,10,8,12,7,0,3,0,39,6,0,20,19,25,19,4,0,0,92,12,7,16,27,42,21,13,0,0,131,0,11,66,100,94,56,12,0,0,336,3,4,39,63,54,32,11,0,0,208,0,14,74,75,65,59,21,0,0,319,3,0,6,9,11,3,6,0,0,45,3,19,38,45,27,14,6,0,0,155,6,15,48,66,44,21,9,0,0,213
5003,23,27,71,59,66,67,41,11,0,354,19,117,488,645,599,409,63,0,0,2345,93,209,529,650,610,405,68,3,0,2570,9,30,97,129,150,141,19,0,0,581,144,348,722,744,649,558,152,11,0,3325,14,43,80,113,106,76,18,0,0,443,241,170,267,197,174,158,52,7,0,1265,406,97,139,100,65,54,11,0,0,874,11,57,150,198,270,293,95,8,0,1084,11,14,32,23,20,13,9,0,0,116,3,7,22,31,49,32,11,6,0,164,9,7,32,25,44,36,18,5,3,172,13,29,130,142,136,105,62,7,0,629,18,28,64,80,78,77,35,0,0,379,12,43,130,168,215,201,51,3,0,820,10,25,90,119,148,148,71,0,0,613,17,58,191,212,200,193,58,6,0,941,29,9,24,17,18,16,6,0,0,127,48,85,147,140,142,118,34,5,0,716,55,78,183,174,151,123,38,8,4,815
5004,19,34,70,90,83,128,78,24,5,531,10,33,187,345,341,169,31,0,0,1118,43,47,124,175,146,131,48,3,0,730,0,0,21,34,46,35,7,0,0,141,107,161,349,429,411,306,75,6,0,1836,7,3,25,28,45,32,14,0,0,156,153,78,118,123,120,126,52,3,0,767,249,89,171,162,112,94,47,9,0,927,13,13,30,46,95,102,60,3,0,364,6,7,6,9,14,9,5,0,0,46,0,3,10,26,43,25,12,0,0,111,0,5,12,23,36,32,19,5,0,130,5,4,49,58,113,96,47,13,0,389,10,25,48,68,81,86,22,7,0,343,11,5,43,80,114,82,30,4,0,371,9,3,34,71,77,79,24,4,0,306,13,11,69,88,115,121,29,3,0,442,19,3,15,20,19,19,8,0,0,109,31,31,55,65,67,44,26,0,0,315,32,28,57,80,84,68,24,8,5,383
5005,11,15,65,61,89,65,37,12,4,358,0,12,34,39,40,41,5,0,0,186,15,21,25,17,22,16,7,0,0,120,4,0,4,17,24,12,0,0,0,66,32,41,81,77,65,76,25,0,0,388,11,14,32,35,47,46,3,0,0,188,38,27,39,31,24,25,9,0,0,188,52,18,21,10,12,15,9,0,0,140,3,18,68,91,107,108,30,3,0,422,0,0,0,0,4,0,0,0,0,13,0,0,3,10,6,4,0,0,0,28,0,0,0,4,11,4,0,0,0,23,5,0,9,7,11,16,10,0,0,61,0,0,14,5,8,15,4,0,0,52,0,5,25,41,48,33,3,0,0,148,0,5,17,26,28,31,4,0,0,114,6,5,17,16,21,19,4,0,0,92,0,0,0,0,3,0,0,0,0,8,16,19,41,30,41,24,3,0,0,178,11,17,27,18,24,30,4,3,0,148
5006,18,40,74,75,99,83,47,16,0,451,11,61,220,264,269,164,22,0,0,1011,28,30,65,63,66,63,14,3,0,333,3,6,20,26,38,43,9,0,0,149,92,148,317,270,218,251,74,3,0,1383,18,20,63,81,85,65,16,3,0,345,161,109,143,110,99,66,33,11,0,730,176,64,85,53,31,34,13,3,0,462,13,28,140,147,251,239,78,4,0,902,8,4,16,16,4,15,0,0,0,60,0,4,5,15,20,18,8,0,0,69,0,3,8,8,17,24,10,0,0,67,5,22,59,74,90,68,27,5,0,344,12,11,44,48,51,55,17,3,0,237,0,22,98,123,175,166,35,0,0,632,6,18,60,86,107,89,26,4,0,402,11,16,89,93,126,95,33,0,0,461,6,12,4,13,10,14,8,0,0,54,39,52,98,82,54,66,21,4,0,426,27,35,94,63,81,59,30,8,4,402
5007,0,0,4,4,0,0,4,0,0,18,78,255,818,765,640,492,77,3,0,3124,18,40,114,127,82,87,19,0,0,478,6,11,23,34,30,35,7,0,0,136,45,88,205,165,144,148,34,3,0,841,3,27,70,72,58,41,10,0,0,284,84,63,54,57,46,40,12,4,0,364,96,39,44,43,20,31,5,4,0,284,6,36,84,96,158,150,68,0,0,600,0,3,8,8,7,0,0,0,0,28,0,0,0,10,13,4,0,0,0,29,7,16,35,18,20,25,10,0,0,128,18,34,67,49,56,38,14,0,0,273,3,11,21,13,19,16,5,0,0,98,8,14,81,82,84,82,24,0,0,376,4,13,49,37,43,43,18,0,0,196,8,19,52,60,46,37,11,3,0,231,5,6,4,5,0,6,3,0,0,28,31,62,91,85,89,51,10,0,0,424,31,46,98,83,73,60,21,0,0,401
5008,0,0,0,4,0,0,0,0,0,9,13,62,347,507,317,149,18,0,0,1418,11,13,56,69,42,20,0,0,0,226,4,10,33,36,30,29,7,0,0,152,32,74,260,225,136,94,18,0,0,846,7,4,24,29,24,17,4,0,0,105,59,25,47,40,14,16,9,0,0,205,70,18,43,51,22,14,7,0,0,217,9,15,68,99,109,49,16,0,0,358,0,3,7,9,0,0,0,0,0,14,0,0,0,6,3,0,0,0,0,5,3,5,21,19,24,13,0,0,0,88,0,5,30,33,22,14,0,0,0,109,12,15,43,32,28,18,5,0,0,146,0,14,51,75,80,58,7,0,0,287,0,8,28,38,33,13,5,0,0,131,4,5,26,15,11,15,8,0,0,86,9,5,5,4,4,4,0,0,0,23,18,26,40,49,34,13,3,0,0,186,12,29,92,90,56,46,3,0,0,333
5009,175,328,767,772,813,796,461,158,15,4285,345,2506,13018,15691,13087,7726,1409,84,3,53873,1336,2978,7718,9375,9522,7451,1772,208,12,40369,119,357,1624,2156,2029,1573,301,21,0,8182,3002,6989,19145,19212,15537,11304,2677,207,17,78093,516,1247,3735,4460,4262,3177,847,106,7,18346,5941,7552,8586,6432,5168,3917,1541,213,13,39378,8786,5716,6534,4371,2651,2037,605,81,3,30782,690,2274,7446,8367,7820,7331,2305,204,4,36444,213,523,1284,1458,1132,715,212,37,0,5576,54,589,2453,3237,2886,1798,604,120,8,11754,120,433,1308,1590,1619,1307,752,187,21,7328,374,2994,10543,13267,10315,6557,2523,395,28,46999,559,1545,3511,3319,2982,2602,934,127,10,15594,312,1916,6834,7819,7913,6458,1644,163,8,33064,886,1835,4775,4973,4877,4680,1778,189,13,24004,388,2348,7158,7338,6270,5090,1914,253,9,30778,1197,1415,2056,1630,1246,982,420,92,6,9033,1029,2159,4655,4155,3737,3120,1142,165,11,20176,1358,3071,7383,7247,6200,4377,1411,281,56,31394
