SUA_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
5000,0,0,4,27,9,3,5,0,0,49,0,7,15,119,55,26,8,4,0,229,0,0,0,9,4,7,11,5,0,50,0,0,0,6,0,0,10,0,0,15,4,68,191,1093,1220,2187,1658,1006,291,7712,0,5,3,22,12,12,3,0,0,63,0,5,13,137,21,23,13,10,0,228,0,6,34,226,105,105,166,79,17,746,0,0,0,4,3,4,0,6,0,24,0,0,6,31,10,15,6,0,0,65,6,24,12,178,30,49,37,34,10,386,0,19,7,139,61,23,25,5,3,282,0,0,5,13,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,6,0,11,21,177,50,58,42,36,7,400,4,3,5,104,12,36,91,83,43,384,0,3,0,70,23,10,9,0,0,120,0,6,3,58,3,5,0,0,0,69,0,0,0,0,0,0,3,0,0,5,4,3,16,98,44,54,30,12,0,256
5001,0,0,0,0,0,0,0,0,0,0,0,0,3,29,4,15,0,0,0,47,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,12,31,119,155,318,321,298,119,1376,0,0,0,0,5,0,0,0,0,3,0,0,0,9,3,0,0,0,0,14,0,0,4,21,8,15,40,19,10,118,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,10,0,0,0,27,9,0,10,3,0,58,0,0,4,25,6,3,9,0,0,51,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,4,11,3,36,0,0,0,8,4,3,13,21,10,64,0,0,0,10,3,0,0,0,0,17,0,0,3,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,14,3,4,4,5,0,30
5002,0,0,0,14,0,0,0,0,0,14,0,0,8,56,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,12,81,50,55,22,11,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,4,0,0,0,28,0,0,5,22,9,9,0,5,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,3,0,16,0,5,5,0,0,30,0,0,0,9,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,25,0,0,0,14,4,3,0,0,0,22,0,0,0,14,7,0,0,0,0,17,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,4,0,0,13
5003,0,0,0,5,4,0,0,0,0,8,0,4,13,66,32,17,3,0,0,135,0,0,0,0,0,3,3,0,0,11,0,0,0,5,0,0,0,0,0,10,5,43,106,290,326,550,413,310,111,2164,0,0,0,4,0,0,0,0,0,7,0,0,0,14,6,3,0,9,0,33,0,0,8,34,15,23,41,30,12,159,0,0,0,3,0,0,4,4,0,16,0,3,3,17,0,5,0,0,0,29,3,25,13,176,17,13,13,9,3,276,0,3,4,59,15,3,9,0,0,95,0,0,0,13,0,0,0,0,0,16,0,3,3,13,3,0,0,0,0,22,0,8,21,49,24,17,25,6,6,154,0,0,0,8,6,13,56,38,31,153,0,0,0,16,10,0,0,0,0,36,0,0,5,46,3,0,0,0,0,56,0,0,0,6,0,3,3,4,0,21,0,5,3,48,24,16,14,8,0,109
5004,0,0,0,0,0,0,0,0,0,3,0,0,0,12,7,10,0,3,0,35,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,3,0,39,34,228,250,338,407,281,108,1690,0,0,0,0,4,0,0,0,0,7,0,0,0,26,11,7,7,0,0,46,3,0,5,60,18,15,27,17,3,141,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,18,0,0,0,38,6,8,3,5,3,69,0,4,0,28,16,3,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,33,10,12,17,11,7,101,0,0,0,15,0,0,7,8,7,40,0,0,0,27,4,0,0,0,0,37,0,0,0,29,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,7,6,0,0,25
5005,0,0,0,5,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,41,23,53,44,39,14,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,3,3,6,4,0,34,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,8,0,0,0,4,6,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,13,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
5006,0,0,0,0,0,0,0,0,0,5,0,0,0,14,11,0,5,0,0,41,0,0,0,0,0,0,0,3,0,3,4,0,0,5,0,0,0,0,0,12,0,16,33,109,147,178,134,116,44,771,0,0,3,9,0,0,0,0,0,17,0,0,0,5,0,4,0,0,0,20,0,0,7,25,14,18,19,9,5,85,0,0,0,0,0,6,0,0,0,7,0,0,0,5,0,0,0,0,0,6,3,11,3,60,8,8,7,10,0,112,0,8,4,28,11,0,0,0,0,58,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,13,8,3,10,4,0,45,0,0,0,3,0,8,16,17,15,60,0,0,0,3,4,0,0,0,0,8,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,8,0,0,0,37
5007,0,0,0,12,7,5,0,0,0,28,0,0,0,42,13,4,3,0,0,57,0,0,0,0,5,3,0,0,0,15,0,0,0,5,0,0,4,0,0,7,0,11,8,75,53,85,43,16,3,299,0,4,5,26,4,4,0,0,0,49,0,0,0,7,0,0,0,0,0,14,0,0,0,12,8,0,10,0,3,37,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,11,8,105,16,4,4,9,0,161,0,0,3,27,10,4,3,0,0,46,0,0,0,11,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,4,0,5,0,23,0,3,0,4,0,39,0,0,0,0,0,5,0,0,4,15,0,0,0,0,4,0,0,0,0,4,0,0,0,11,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,3,0,0,0,25
5008,0,0,0,0,0,4,0,0,0,0,0,0,5,26,4,0,0,0,0,35,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,5,87,36,43,12,5,0,189,0,0,0,3,0,0,3,0,0,11,0,0,6,7,4,0,0,0,0,20,0,0,3,10,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,11,5,77,18,0,0,0,0,112,0,5,4,20,11,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,28,5,0,0,0,0,35,0,0,0,0,0,0,0,0,0,3,0,0,0,10,3,0,0,0,0,13,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,17
5009,6,25,56,343,169,167,116,63,14,962,53,581,1361,7267,2689,2046,1054,317,175,15537,0,19,25,334,214,434,591,351,226,2196,8,122,136,301,88,123,163,118,59,1117,181,2618,5777,15876,14311,18054,13662,9880,3741,84091,0,19,33,204,99,118,52,26,5,562,12,63,109,948,255,190,115,75,30,1801,9,97,207,1389,690,660,1004,651,211,4915,3,12,38,82,55,117,232,291,223,1039,34,163,365,1424,417,448,364,82,36,3340,241,1614,2220,15511,2762,2238,1817,1121,439,27966,62,339,703,3667,1533,800,651,220,65,8038,12,145,265,1581,396,310,191,71,36,3002,7,115,182,791,313,151,83,29,0,1676,39,408,457,3571,928,924,787,521,209,7832,11,95,156,1038,396,805,2143,1943,1404,7995,46,138,201,1372,824,307,153,63,18,3122,33,182,198,2070,519,228,99,26,3,3345,3,23,26,158,100,125,73,23,6,543,65,638,1559,6008,2668,2566,2481,905,255,17140
