SUA_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
5000,24,73,189,466,1099,2543,3339,1826,486,10051,1560,962,1060,1204,1171,1216,1001,457,101,8738,23,34,48,85,289,884,1477,1036,244,4120,0,3,5,9,19,46,121,270,181,650,49,110,184,408,1040,1917,2397,1318,252,7674,47,50,75,159,596,1565,2436,1639,468,7029,27,20,36,59,138,242,334,304,91,1258,40,25,32,64,196,622,1033,656,134,2807,491,889,1078,1320,1547,1625,1133,420,100,8599,10,3,15,30,103,247,472,392,111,1385,987,568,518,809,1198,1696,1578,700,229,8278,19462,10013,11054,11289,11439,10123,6210,2024,396,82008,3652,2703,4604,4686,4570,3713,2264,1011,259,27463,26011,14995,18334,19542,21290,21931,17536,7829,1899,149382,30,87,243,672,1808,3652,4392,2544,962,14381,1048,1030,1361,1556,1829,1875,1542,658,175,11075,28,19,75,206,535,1017,1183,700,183,3954,0,7,6,8,10,48,141,293,354,857,35,75,187,409,906,1453,1659,880,293,5885,44,45,74,139,339,762,1171,930,476,3966
5001,3,9,37,76,146,296,429,323,145,1465,305,190,161,159,144,164,148,65,20,1357,3,0,6,8,49,94,225,169,70,628,0,0,0,0,3,0,22,79,44,155,3,12,22,32,117,222,298,225,63,999,4,6,13,9,50,188,310,287,139,1015,0,0,6,0,10,23,50,39,19,156,5,4,0,7,20,62,121,104,46,370,93,213,231,182,213,260,192,68,28,1466,0,0,0,3,12,24,70,87,50,251,191,110,97,96,165,224,224,152,57,1309,2310,1329,1196,1111,1186,1045,763,287,95,9325,268,194,301,288,231,223,178,98,46,1828,3106,1975,1961,1856,2067,2247,2155,1229,481,17081,9,15,32,82,254,524,701,607,274,2497,181,194,248,231,265,241,226,140,42,1766,0,0,7,25,69,148,206,160,50,675,0,0,0,0,5,10,17,82,136,247,9,12,26,57,105,206,255,215,73,954,0,0,9,20,35,93,200,207,142,703
5002,0,0,9,16,38,70,58,14,5,218,67,22,41,43,52,37,27,5,3,295,0,0,0,9,20,38,30,13,5,118,0,0,0,0,0,4,5,5,8,20,3,7,4,20,48,65,48,13,5,203,6,5,10,14,14,58,50,22,8,179,4,0,3,10,7,13,14,4,4,66,5,0,0,3,13,19,25,4,5,71,12,24,44,51,59,48,22,4,5,264,0,0,0,0,6,6,8,10,0,29,50,17,31,44,59,63,37,13,0,308,1307,516,754,740,583,345,192,39,12,4473,310,164,204,194,227,152,62,22,7,1331,1761,743,1081,1106,1048,783,438,118,33,7108,0,7,7,29,53,100,72,33,3,308,39,46,75,99,84,57,41,8,0,454,0,0,3,18,27,38,25,18,0,126,0,0,0,0,0,0,8,9,5,21,0,5,18,24,46,61,45,20,4,233,10,10,10,6,21,32,34,12,0,125
5003,8,29,70,164,313,579,797,526,156,2640,763,351,402,379,349,253,244,139,33,2909,7,7,16,48,79,234,362,253,82,1092,0,0,0,4,0,16,39,103,75,236,19,29,51,121,300,467,653,354,94,2089,12,14,22,47,125,336,568,442,185,1751,5,5,14,13,39,49,76,89,37,340,12,8,10,17,54,128,223,196,47,698,214,387,476,464,470,447,306,117,44,2934,0,0,9,9,24,60,122,88,38,350,411,225,199,261,335,474,384,211,77,2578,5972,2994,2970,3144,2770,2191,1327,493,112,21968,629,470,632,633,592,479,301,145,71,3944,7877,4345,4599,4952,4853,4657,3798,1919,588,37589,17,33,119,272,640,1100,1333,881,414,4807,469,423,508,594,511,502,434,203,67,3704,3,4,26,77,161,286,359,241,87,1236,0,0,3,0,8,17,47,123,170,369,14,34,68,126,227,399,493,293,127,1779,9,11,10,30,72,174,297,319,212,1132
5004,4,12,18,63,145,325,496,365,128,1556,280,151,121,198,159,159,154,83,35,1335,6,0,5,20,48,126,248,189,61,707,0,0,0,0,0,11,27,57,46,142,11,0,18,40,91,184,326,214,60,938,5,0,3,11,63,147,359,340,124,1064,7,3,3,9,19,24,40,58,24,184,3,0,7,5,14,56,132,121,36,383,94,141,174,214,259,228,180,96,23,1416,0,0,0,0,16,32,79,60,26,215,163,106,71,120,174,205,250,153,45,1291,3042,1409,1259,1572,1635,1286,1062,404,67,11741,312,155,228,275,272,220,181,121,38,1808,3863,1927,1851,2401,2639,2512,2666,1448,404,19696,3,9,31,107,253,516,818,572,299,2614,193,138,171,258,256,248,284,151,74,1787,0,0,11,46,86,162,246,162,57,771,0,0,0,0,0,8,22,69,103,202,7,4,19,31,76,142,235,147,81,735,6,6,5,11,27,75,190,179,135,624
5005,0,0,12,19,44,88,126,91,28,405,85,68,43,69,55,66,40,23,3,449,0,0,3,3,13,34,65,50,21,189,0,0,0,0,0,3,3,18,10,34,3,10,8,12,54,78,90,66,16,330,0,4,0,4,17,62,87,88,34,301,0,0,6,0,7,10,12,14,6,57,0,3,0,0,3,24,35,27,9,108,28,47,54,55,58,70,42,16,9,369,0,0,0,0,0,11,25,14,4,59,39,16,25,21,48,54,50,38,22,308,870,475,423,441,451,409,247,92,20,3430,165,104,92,90,126,96,67,66,13,823,1179,701,636,668,803,822,652,414,103,5987,0,0,8,29,72,137,171,154,61,639,65,49,81,76,79,74,69,49,20,556,0,5,0,10,28,37,45,38,11,177,0,0,0,0,0,6,0,18,30,57,0,3,15,14,30,50,60,60,21,260,0,0,0,5,16,34,48,68,34,198
5006,0,11,25,57,169,267,361,252,101,1248,349,196,157,171,177,167,122,63,28,1420,3,7,14,15,55,124,210,133,54,616,0,0,0,0,5,10,23,59,64,163,10,10,40,59,140,311,321,203,56,1141,6,4,14,16,88,191,290,237,102,950,8,5,7,10,18,41,56,51,38,231,8,0,4,8,40,94,123,89,39,399,78,166,206,204,254,236,136,57,39,1376,0,0,4,3,14,34,38,63,22,176,208,111,100,134,149,216,179,104,46,1253,2844,1518,1420,1369,1411,1127,669,253,56,10664,495,323,394,378,378,311,170,103,35,2591,3931,2276,2270,2309,2540,2516,1860,992,349,19039,4,13,42,101,265,453,575,397,193,2049,234,229,262,290,293,254,235,107,35,1938,0,0,8,26,73,131,167,128,59,599,0,0,0,4,6,8,19,74,94,203,5,17,28,65,147,247,268,153,65,1002,3,8,6,19,50,123,176,153,127,654
5007,4,9,17,59,121,174,189,78,21,672,201,133,144,132,96,90,47,25,6,865,6,0,14,20,33,64,85,52,14,271,0,0,0,0,0,5,6,14,7,41,9,7,26,65,124,219,162,72,12,691,8,3,5,7,53,134,153,67,22,442,3,3,8,6,14,25,35,22,9,131,3,0,0,0,18,51,70,33,7,194,39,85,120,144,137,100,59,14,3,706,0,0,0,7,5,31,23,11,6,84,110,75,66,81,121,147,80,40,8,726,2580,1328,1709,1465,1200,915,324,83,10,9623,426,291,378,357,320,290,137,49,11,2267,3353,1893,2434,2255,2059,1866,980,354,60,15265,5,10,48,77,163,275,215,126,49,967,120,124,205,155,155,155,70,40,14,1034,0,4,10,28,64,75,59,25,14,284,0,0,0,0,5,4,13,18,33,77,0,6,33,40,102,146,135,56,16,540,3,3,10,6,36,82,60,43,30,277
5008,0,0,14,23,50,75,26,9,0,208,94,39,88,90,57,37,8,0,0,415,0,0,7,13,14,21,8,3,4,75,0,0,0,0,0,0,4,0,0,4,3,7,10,25,57,66,31,9,0,215,0,0,4,12,29,48,26,9,0,115,0,0,3,3,6,3,3,3,0,29,0,3,5,0,8,10,7,3,0,42,35,55,88,74,66,42,9,4,0,360,0,0,0,6,3,0,3,4,0,20,66,46,40,49,56,39,13,4,0,321,1755,661,1054,1187,745,379,94,0,0,5878,388,206,286,345,247,153,49,9,0,1678,2327,992,1557,1780,1266,787,222,41,5,8976,0,4,27,27,77,73,27,10,0,246,65,66,128,103,83,52,20,6,0,513,0,0,5,22,38,16,10,4,0,97,0,0,0,0,0,0,0,0,0,7,3,4,11,19,29,38,27,4,0,147,6,4,0,7,11,17,5,3,0,55
5009,145,497,1573,3308,6473,11930,15856,11337,4083,55204,12995,9398,10187,10371,8539,6683,5356,2864,890,67286,212,260,556,1089,2135,4973,8630,6751,2305,26903,3,19,22,44,98,292,965,2286,2012,5746,323,633,1296,3477,7184,11425,14328,8857,2435,49951,279,252,468,1140,3737,9029,14511,11519,4415,45352,215,154,253,502,726,1271,1956,2135,1068,8278,276,169,264,485,1164,2757,4662,4024,1491,15279,4170,9404,12395,12043,10939,8791,5806,2707,1006,67258,42,59,104,305,670,1439,2545,2701,1217,9084,9700,6059,6214,7758,9788,11180,10147,5512,2419,68774,165572,95873,106145,104623,83824,59710,33393,12444,2805,664397,14055,10445,14078,13504,12224,9333,5687,3322,1778,84422,204686,129112,147770,150366,134098,115557,89720,47690,15710,1034714,216,818,2335,5070,11584,20897,28083,21030,10208,100232,8995,10106,13600,13634,12243,11215,9617,5176,1868,86457,169,229,672,1922,4218,6641,8357,5632,2245,30078,12,21,15,30,57,264,898,2885,4189,8367,300,682,1347,2918,5397,8841,11180,7312,2963,40946,208,238,337,726,1816,4249,7608,7934,5249,28354
