SUA_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
5000,0,0,0,3,3,9,13,3,0,29,0,0,5,14,3,12,3,0,0,51,0,0,9,38,30,24,17,0,4,114,0,0,0,15,0,0,0,0,0,18,0,0,7,84,50,68,147,89,28,473,35,133,246,1039,696,883,459,108,23,3618,0,0,0,3,3,8,6,3,6,23,3,6,3,16,3,8,0,0,0,47,0,0,7,17,25,16,15,0,0,76,15,158,131,654,255,181,65,18,0,1476,0,0,0,25,12,9,29,11,15,101,0,0,0,4,0,3,3,0,0,8,0,10,16,133,111,213,174,93,25,778,3,3,9,41,36,44,26,0,3,165,12,61,99,349,261,174,96,41,6,1109,0,0,7,36,4,12,5,5,5,74,6,3,4,194,3,4,0,0,0,210,10,36,35,186,142,63,20,3,0,493,0,0,0,5,3,0,0,0,0,10,0,20,16,136,68,78,77,23,0,425
5001,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,22,14,3,4,0,0,52,0,0,0,4,0,0,0,0,0,4,0,4,3,12,16,9,44,33,12,122,0,11,18,74,53,71,39,19,8,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,44,130,80,34,30,7,0,355,0,0,0,4,11,0,4,0,0,22,0,0,0,0,0,4,0,0,0,4,0,8,7,14,10,35,20,28,16,133,0,0,0,5,4,6,0,0,0,23,0,18,31,52,48,37,14,11,0,210,0,0,0,4,0,0,3,0,0,19,0,0,0,9,0,0,0,0,0,13,0,22,17,24,14,8,5,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,6,15,13,9,13,4,0,73
5002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,0,3,0,0,19,0,4,10,48,38,27,8,3,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,9,17,56,19,11,4,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,4,0,0,24,0,0,0,8,3,0,7,0,0,16,0,3,4,18,13,11,3,0,0,53,0,0,0,7,0,0,0,0,0,12,0,0,0,14,0,0,0,0,0,17,0,0,4,30,14,5,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,4,0,0,0,27
5003,0,0,0,0,0,4,0,4,0,8,0,0,3,7,3,7,10,0,0,30,0,0,0,13,0,0,4,4,0,31,0,3,0,24,0,0,0,0,0,32,0,0,0,8,17,18,42,31,16,134,3,77,101,350,216,196,123,27,8,1105,0,0,0,0,0,0,0,0,0,3,0,5,0,27,0,0,0,0,0,39,0,3,5,3,7,9,3,0,0,30,4,45,75,264,109,53,38,4,0,593,0,0,0,18,5,11,11,4,6,57,0,0,0,3,0,0,0,0,0,0,0,3,8,29,31,62,51,33,13,232,0,3,10,27,8,7,10,0,0,70,0,49,92,232,187,98,65,23,11,752,0,0,0,19,11,3,6,0,0,38,0,0,5,84,0,0,0,0,0,98,0,15,3,52,38,18,8,0,3,137,0,0,0,3,0,6,0,0,0,6,0,8,4,20,15,16,20,7,0,93
5004,0,0,0,0,0,3,0,3,0,9,0,0,0,0,6,0,0,0,0,10,0,0,0,6,0,0,0,0,0,13,0,0,4,11,0,0,0,0,0,10,0,3,0,13,10,7,22,14,4,79,0,19,18,138,78,100,64,26,6,460,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,6,0,11,14,52,13,13,9,0,0,113,0,0,0,3,3,0,6,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,7,22,15,29,39,25,4,141,0,0,0,9,8,4,9,0,0,37,0,11,20,73,60,37,33,11,11,243,0,6,0,12,6,0,0,0,0,25,0,0,0,31,0,0,0,0,0,34,0,4,3,32,19,11,4,0,0,75,0,0,0,0,0,0,0,0,0,0,4,5,4,26,5,12,17,3,3,74
5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,17,0,5,3,47,28,40,33,8,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,24,9,16,5,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,6,10,0,29,0,0,0,0,0,5,0,0,0,4,0,0,12,23,15,14,5,3,0,73,0,0,0,9,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,5,7,11,4,9,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,3,0,0,11
5006,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,9,0,0,0,9,3,0,14,8,3,39,0,12,22,92,51,76,54,12,0,320,0,0,0,0,0,0,3,0,0,6,0,0,0,15,0,0,0,0,0,16,0,0,0,4,4,0,0,0,0,9,3,15,28,116,52,41,27,4,0,288,0,0,0,4,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,11,0,7,0,8,17,25,21,10,4,92,0,0,0,3,3,4,0,3,0,21,0,15,23,86,73,26,20,7,0,255,0,5,3,5,6,0,0,0,0,24,0,0,0,20,4,0,0,0,0,22,5,10,3,39,32,18,4,0,0,107,0,0,0,0,0,0,0,0,0,0,0,4,4,24,5,11,7,4,0,51
5007,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,10,0,0,0,4,0,0,8,6,0,9,11,63,120,369,151,163,56,12,5,951,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,3,0,0,27,0,17,17,23,24,3,0,0,0,84,3,43,57,166,66,49,19,5,0,408,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,5,0,0,0,11,0,0,4,11,7,10,5,5,0,51,0,0,0,5,4,3,0,0,0,9,3,31,36,105,54,25,4,8,0,279,0,0,0,10,0,0,0,0,0,17,0,0,0,8,0,0,0,0,0,8,0,13,6,54,37,23,3,0,0,140,0,0,0,3,0,0,0,0,0,3,0,0,7,13,5,3,3,0,0,27
5008,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,3,0,3,5,0,0,0,0,11,0,0,4,10,0,0,0,0,0,21,0,0,0,10,0,4,0,0,0,11,0,20,31,151,58,46,14,3,0,322,0,0,0,0,0,4,4,0,0,5,0,3,0,11,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,7,0,16,23,95,46,24,6,0,0,212,0,0,0,3,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,12,8,6,0,0,0,31,0,0,4,4,6,0,0,0,0,11,5,8,9,51,22,11,0,0,0,100,0,0,0,12,0,0,0,0,0,16,0,0,0,19,0,0,0,0,0,19,0,6,4,56,27,6,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,0,0,0,21
5009,0,4,8,29,28,75,136,72,28,372,3,82,254,1101,276,334,287,133,66,2539,5,73,292,1483,760,833,780,301,193,4727,8,58,376,1472,77,47,16,4,0,2051,17,59,115,458,340,370,972,801,419,3561,180,1746,2800,9605,5117,4996,2780,896,201,28309,3,12,43,429,265,349,327,187,87,1699,41,400,276,1581,209,130,98,29,3,2764,0,31,107,212,254,129,43,13,0,791,69,1392,2776,7196,3253,1860,1048,239,36,17865,4,39,52,811,409,549,698,211,234,3003,0,6,20,52,44,41,26,15,0,204,22,346,688,2322,1918,2440,2084,1285,508,11618,34,425,896,2597,1270,1428,1210,417,124,8402,79,1075,2566,6434,4392,2747,1565,725,256,19831,23,237,426,1698,637,469,401,210,64,4172,25,65,55,1703,169,111,97,11,4,2242,49,424,731,2640,1279,623,301,54,15,6119,6,34,25,284,139,78,41,16,9,647,97,475,507,1646,574,537,426,159,48,4468
