SUA_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
5000,96,44,875,183,40,482,239,1067,93,3123,307,256,1513,224,85,245,649,1173,86,4529,1551,1059,3834,604,235,318,1873,2154,244,11874,2608,1239,3754,544,330,255,2339,1615,275,12963,3445,1273,3496,602,368,321,2985,1648,328,14465,3472,1191,2787,551,442,380,3094,1657,312,13893,2064,481,699,150,168,174,904,613,130,5389,683,54,53,19,40,34,67,128,62,1139,96,4,0,0,0,3,3,15,20,144,14334,5601,17020,2874,1709,2208,12154,10065,1558,67519,40,39,174,781,177,900,70,644,71,2890,161,447,312,811,565,437,207,544,96,3578,910,2187,745,1714,1667,643,466,1281,156,9776,1671,2491,794,1832,2228,764,477,1165,172,11594,2117,2238,733,2036,2483,956,522,1379,187,12644,2013,1927,603,1775,2278,908,415,1349,158,11432,986,522,125,381,636,238,108,379,84,3456,247,30,18,32,75,22,13,77,46,554,17,0,0,0,0,0,0,0,4,29,8167,9881,3504,9356,10108,4865,2277,6818,970,55946
5001,6,5,150,50,13,134,18,213,14,612,20,30,246,47,5,53,58,147,13,620,112,181,529,87,28,88,171,215,21,1427,201,207,399,113,48,76,173,196,20,1437,268,262,381,148,57,72,236,195,26,1648,251,261,298,146,65,81,252,180,25,1559,133,82,93,27,22,34,80,81,9,556,23,10,10,4,0,6,7,12,8,79,10,0,0,0,0,0,0,4,0,16,1018,1039,2101,625,246,538,997,1247,134,7944,10,10,22,173,37,256,5,81,17,606,17,64,53,168,72,93,16,66,7,549,77,334,88,254,239,145,18,95,14,1262,145,398,67,314,282,144,13,143,17,1522,208,439,87,375,348,174,15,171,20,1840,158,334,59,306,367,144,22,150,16,1549,72,93,19,61,96,33,4,46,6,434,13,9,0,3,8,3,0,8,0,45,0,0,0,0,0,0,0,0,0,5,695,1677,396,1660,1444,993,91,756,89,7810
5002,0,0,25,15,0,56,4,49,6,160,7,15,68,29,3,21,18,48,3,212,80,167,195,94,42,22,62,77,20,766,144,171,206,79,41,28,75,73,27,836,143,117,179,80,37,27,63,66,23,736,102,84,83,45,23,23,60,50,7,481,31,28,28,9,12,11,30,22,5,174,10,0,0,0,0,4,5,4,0,13,0,0,0,0,0,0,0,0,0,0,523,581,791,353,169,183,308,386,91,3389,4,11,10,58,31,72,4,33,9,217,11,45,8,70,42,26,0,11,4,226,91,341,40,201,158,65,8,70,12,972,138,316,28,148,201,50,12,55,17,966,112,194,21,112,181,57,10,40,11,739,77,148,12,75,99,52,13,33,9,521,23,35,5,14,35,16,0,4,0,135,4,5,0,0,0,0,0,7,0,16,0,0,0,0,0,0,0,0,0,0,451,1095,125,682,752,340,39,246,63,3794
5003,5,9,265,80,14,273,77,438,24,1188,30,66,542,81,44,118,221,364,21,1485,242,398,1319,157,102,167,553,581,72,3592,462,528,1302,154,154,104,710,465,87,3968,540,558,1103,175,172,133,740,381,78,3884,407,467,820,149,166,121,705,350,45,3230,127,166,181,40,57,46,180,94,20,906,27,14,9,6,3,9,14,6,5,90,0,0,0,3,0,3,0,0,4,10,1836,2204,5540,840,716,988,3192,2687,349,18347,15,16,44,337,90,586,19,201,21,1320,71,153,113,397,220,211,39,145,19,1372,222,826,269,589,594,346,84,300,38,3259,326,992,223,705,724,342,86,373,51,3819,341,867,233,781,857,369,98,397,49,3980,231,602,124,528,705,280,71,300,22,2851,48,158,26,102,151,54,17,71,10,636,11,10,0,7,4,3,3,8,4,46,0,0,0,0,0,0,0,0,0,3,1260,3618,1034,3441,3340,2193,409,1796,210,17296
5004,10,9,163,89,9,207,26,203,16,721,21,15,262,42,15,48,47,136,3,588,146,153,599,94,35,65,139,227,31,1486,306,279,694,101,46,81,228,235,43,2015,409,347,596,95,65,102,297,230,38,2166,367,251,392,92,80,81,266,224,33,1783,167,88,94,25,36,51,101,78,16,666,31,14,11,0,6,8,6,12,3,91,9,0,0,0,0,0,0,3,0,13,1459,1155,2820,532,284,642,1104,1328,189,9519,0,9,33,254,18,260,9,97,13,696,32,61,56,140,49,85,8,77,9,519,158,349,129,296,185,116,26,154,14,1424,277,582,137,361,380,178,19,174,28,2137,275,565,113,392,468,228,55,235,21,2341,189,350,76,284,377,215,35,200,20,1744,71,86,23,61,105,72,11,48,11,475,16,4,0,3,11,0,0,6,3,53,0,0,0,0,0,0,0,0,0,5,1021,1996,568,1792,1584,1156,163,988,118,9396
5005,3,0,59,10,4,46,17,53,9,196,11,10,107,7,5,19,39,27,5,234,47,49,180,20,10,36,82,79,13,524,87,54,145,22,15,24,121,71,13,554,125,74,143,14,16,25,137,61,11,623,88,63,120,7,21,21,172,69,15,577,38,20,18,0,13,8,45,22,3,172,14,3,0,0,0,0,0,0,3,30,4,0,0,0,0,0,0,0,0,5,417,279,774,93,85,175,617,378,85,2905,0,0,11,34,18,72,6,35,4,177,5,24,16,44,40,35,8,14,6,204,43,121,28,70,100,47,17,47,7,470,41,124,33,80,109,61,10,51,6,513,90,100,32,96,151,56,17,55,12,596,59,83,20,87,106,40,15,69,13,491,27,21,3,19,37,3,0,17,0,127,5,3,0,0,0,0,0,4,0,19,0,0,0,0,0,0,0,0,0,0,266,475,141,434,559,318,72,285,40,2598
5006,7,9,177,31,10,147,40,194,13,627,21,25,282,44,24,72,75,150,17,709,124,183,618,117,63,90,236,245,32,1714,248,244,537,99,60,77,224,221,19,1717,279,274,440,130,82,79,366,191,45,1884,218,225,385,111,83,65,390,166,24,1668,100,78,99,36,20,21,98,56,9,518,23,9,9,3,3,9,9,6,8,75,5,0,0,0,0,0,0,0,0,7,1025,1048,2545,566,345,558,1431,1238,165,8916,4,10,36,198,32,287,10,90,5,684,33,101,55,215,102,119,13,57,7,703,105,446,94,342,295,137,26,103,18,1555,156,503,83,331,361,148,34,113,17,1745,203,517,95,380,415,184,53,159,26,2035,150,289,58,295,354,150,40,163,24,1513,41,67,16,67,107,38,3,46,6,394,5,7,5,0,6,0,0,6,5,31,0,0,0,0,0,0,0,0,3,3,705,1943,442,1822,1667,1063,187,730,104,8663
5007,0,7,167,27,5,99,41,111,9,451,11,59,336,29,13,44,145,119,12,775,100,260,775,76,49,42,429,163,30,1925,247,231,632,82,46,31,407,100,35,1808,199,160,531,75,44,39,443,78,37,1608,182,130,384,48,47,31,414,117,27,1378,42,41,78,14,17,9,119,28,10,360,0,3,4,0,0,0,3,4,0,28,0,0,0,0,0,0,0,0,0,0,795,894,2905,345,224,286,2002,722,157,8334,5,7,43,88,37,162,22,56,11,428,18,131,64,112,124,75,62,44,12,638,105,425,136,236,337,125,120,107,14,1604,165,318,78,255,305,109,107,115,24,1481,150,254,88,193,337,108,115,140,23,1406,101,170,52,153,241,105,62,123,20,1027,34,23,10,28,62,23,12,34,6,225,4,3,0,0,4,0,0,5,3,15,0,0,0,0,0,0,0,0,0,0,578,1335,466,1069,1453,708,503,619,105,6828
5008,0,0,76,17,3,66,12,81,8,260,14,20,156,16,11,21,43,62,11,343,99,138,541,47,45,25,153,157,26,1223,210,151,571,56,68,19,189,101,46,1416,156,110,342,46,49,16,166,71,37,995,78,60,181,28,27,17,122,53,15,584,14,16,31,0,0,0,34,10,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,493,1903,215,209,158,719,536,132,4935,4,5,22,35,28,89,4,25,10,223,17,44,31,60,64,32,15,16,0,281,109,313,98,136,229,84,39,83,13,1091,130,254,92,180,242,62,32,79,27,1117,91,156,50,131,169,67,41,79,10,794,49,68,11,60,71,27,19,46,0,359,7,17,0,13,10,4,4,14,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,855,301,618,815,376,155,349,63,3928
5009,335,588,4730,3203,645,6286,2148,9034,432,27399,1705,5588,12546,6124,2574,5866,5018,8376,954,48754,10863,27725,32468,8618,6851,5682,13599,12228,2517,120543,21328,31140,30264,6666,7336,4279,14118,9368,2378,126875,21872,23765,24845,5531,6564,3986,13305,8143,2047,110065,15381,16541,17830,4069,5524,3265,11909,7130,1365,83011,4500,6060,4281,1082,1730,1444,3208,2477,473,25257,697,946,330,94,234,228,239,377,157,3298,40,58,10,4,28,21,4,21,48,242,76719,112422,127307,35393,31479,31057,63543,57153,10370,545448,355,682,1012,8111,1736,12886,441,3896,403,29526,2093,7674,3047,14167,7375,9168,1026,3269,686,48503,10155,38561,7510,19800,19516,8215,2179,5963,1717,113616,13291,38119,6154,17805,22302,6753,1865,6241,1591,114125,12522,29090,4971,16699,23568,7410,1986,7023,1312,104578,7494,18305,3305,11785,19394,6247,1467,5805,866,74666,1631,4616,732,2481,5219,1616,312,1515,276,18386,169,356,50,143,446,140,22,163,114,1595,11,13,6,0,24,7,0,10,40,104,47713,137408,26787,90996,99574,52444,9294,33886,7002,505102
